Centaur Zendo round 1 (training)
round_id : f40508b2f8af4761a2c5f17493b8ebc0
written  : 2026-09-02 13:49:23Z
presented=798  answered=0  correct=0  skipped=799
client answer latency: mean 0.083 ms  median 0.076 ms  max 1.283 ms  (n=799)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     E2                                        None                                      0
   1  LegoZendo     E12                                       None                                      0
   2  LegoZendo     B3                                        None                                      0
   3  LegoZendo     F7                                        None                                      0
   4  LegoZendo     P2                                        None                                      0
   5  LegoZendo     N7                                        None                                      0
   6  LegoZendo     C1                                        None                                      0
   7  LegoZendo     M3                                        None                                      0
   8  LegoZendo     Y1                                        None                                      0
   9  LegoZendo     U3                                        None                                      0
  10  LegoZendo     G5                                        None                                      0
  11  LegoZendo     K1                                        None                                      0
  12  LegoZendo     C7                                        None                                      0
  13  LegoZendo     B3                                        None                                      0
  14  LegoZendo     Q12                                       None                                      0
  15  LegoZendo     Q6                                        None                                      0
  16  LegoZendo     Y9                                        None                                      0
  17  LegoZendo     R3                                        None                                      0
  18  LegoZendo     G11                                       None                                      0
  19  LegoZendo     C4                                        None                                      0
  20  LegoZendo     B6                                        None                                      0
  21  LegoZendo     C11                                       None                                      0
  22  LegoZendo     K10                                       None                                      0
  23  LegoZendo     K2                                        None                                      0
  24  LegoZendo     V4                                        None                                      0
  25  LegoZendo     I11                                       None                                      0
  26  LegoZendo     D3                                        None                                      0
  27  LegoZendo     H0                                        None                                      0
  28  LegoZendo     P6                                        None                                      0
  29  LegoZendo     X0                                        None                                      0
  30  LegoZendo     E12                                       None                                      0
  31  LegoZendo     P4                                        None                                      0
  32  LegoZendo     V0                                        None                                      0
  33  LegoZendo     C5                                        None                                      0
  34  LegoZendo     A8                                        None                                      0
  35  LegoZendo     F8                                        None                                      0
  36  LegoZendo     J7                                        None                                      0
  37  LegoZendo     V12                                       None                                      0
  38  LegoZendo     M7                                        None                                      0
  39  LegoZendo     Q6                                        None                                      0
  40  LegoZendo     V11                                       None                                      0
  41  LegoZendo     H8                                        None                                      0
  42  LegoZendo     E5                                        None                                      0
  43  LegoZendo     C6                                        None                                      0
  44  LegoZendo     R2                                        None                                      0
  45  LegoZendo     E12                                       None                                      0
  46  LegoZendo     V0                                        None                                      0
  47  LegoZendo     X7                                        None                                      0
