Centaur Zendo round 2 (training)
round_id : 7cc195d9df4a4299919ead3524a662db
written  : 2026-09-02 13:52:20Z
presented=373  answered=373  correct=35  skipped=0
client answer latency: mean 0.090 ms  median 0.085 ms  max 0.238 ms  (n=373)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     L3                                        :::::::::::::::::::::::OO::::::::::::::…  0
   1  LegoZendo     D11                                       AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
   2  LegoZendo     Q5                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
   3  LegoZendo     J2                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
   4  LegoZendo     D7                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
   5  LegoZendo     C11                                       OOO.........................FF..\nOOO..…  0
   6  LegoZendo     C10                                       :::::::::::::::::::::::OO::::::::::::::…  0
   7  LegoZendo     X12                                       AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
   8  LegoZendo     K0                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  1
   9  LegoZendo     O7                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  10  LegoZendo     V4                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  11  LegoZendo     P12                                       OOO.........................FF..\nOOO..…  0
  12  LegoZendo     X3                                        :::::::::::::::::::::::OO::::::::::::::…  0
  13  LegoZendo     Y2                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  14  LegoZendo     E3                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  15  LegoZendo     Z11                                       AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  16  LegoZendo     A0                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  1
  17  LegoZendo     P0                                        OOO.........................FF..\nOOO..…  1
  18  LegoZendo     D1                                        :::::::::::::::::::::::OO::::::::::::::…  0
  19  LegoZendo     P0                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  1
  20  LegoZendo     F0                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  1
  21  LegoZendo     N2                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  22  LegoZendo     G4                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  23  LegoZendo     G11                                       OOO.........................FF..\nOOO..…  0
  24  LegoZendo     K12                                       :::::::::::::::::::::::OO::::::::::::::…  0
  25  LegoZendo     G7                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  26  LegoZendo     F5                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  27  LegoZendo     U4                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  28  LegoZendo     T6                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  29  LegoZendo     M9                                        OOO.........................FF..\nOOO..…  0
  30  LegoZendo     J9                                        :::::::::::::::::::::::OO::::::::::::::…  0
  31  LegoZendo     C10                                       AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  32  LegoZendo     M8                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  33  LegoZendo     S8                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  34  LegoZendo     K1                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  35  LegoZendo     R10                                       OOO.........................FF..\nOOO..…  0
  36  LegoZendo     P0                                        :::::::::::::::::::::::OO::::::::::::::…  1
  37  LegoZendo     Y11                                       AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  38  LegoZendo     T4                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  39  LegoZendo     Z0                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  1
  40  LegoZendo     T11                                       AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  41  LegoZendo     L3                                        OOO.........................FF..\nOOO..…  0
  42  LegoZendo     S1                                        :::::::::::::::::::::::OO::::::::::::::…  0
  43  LegoZendo     N6                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  44  LegoZendo     E1                                        AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  45  LegoZendo     R9                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  46  LegoZendo     F8                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  47  LegoZendo     N6                                        OOO.........................FF..\nOOO..…  0
  48  LegoZendo     M11                                       :::::::::::::::::::::::OO::::::::::::::…  0
  49  LegoZendo     T0                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  1
  50  LegoZendo     J11                                       AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  51  LegoZendo     X3                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
  52  LegoZendo     N3                                        AA##BB##CC##DD##EE##FF##GG##AA##BB##CC#…  0
  53  LegoZendo     Q7                                        OOO.........................FF..\nOOO..…  0
  54  LegoZendo     U2                                        :::::::::::::::::::::::OO::::::::::::::…  0
  55  LegoZendo     X7                                        AA::BB::CC::DD::EE::FF::GG::AA::BB::CC:…  0
  56  LegoZendo     T12                                       AA..BB..CC..DD..EE..FF..GG..AA..\nAA..B…  0
  57  LegoZendo     R2                                        AA..BB..CC..DD..EE..\nAA..BB..CC..DD..E…  0
