Centaur Zendo round 4 (training)
round_id : e0705ec7a03f4de6a92c2f2f0b71cf85
written  : 2026-09-02 13:59:20Z
presented=392  answered=392  correct=30  skipped=0
client answer latency: mean 0.102 ms  median 0.095 ms  max 1.051 ms  (n=393)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     U12                                       UUU...UUU...UUU...UUU...\nUUU...UUU...U…  0
   1  LegoZendo     B1                                        BBBBBBBBBBBB............\nBBBBBBBBBBBB.…  0
   2  LegoZendo     W5                                        WWWQQQWWWRRR............\nWWWQQQWWWRRR.…  0
   3  LegoZendo     E1                                        EEE...EEE...EEE...EEE...\nEEE...EEE...E…  0
   4  LegoZendo     I3                                        IIIIIIIIIIII............\nIIIIIIIIIIII.…  0
   5  LegoZendo     Z7                                        ZZZQQQZZZRRR............\nZZZQQQZZZRRR.…  0
   6  LegoZendo     R3                                        RRR...RRR...RRR...RRR...\nRRR...RRR...R…  0
   7  LegoZendo     Q5                                        QQQQQQQQQQQQ............\nQQQQQQQQQQQQ.…  0
   8  LegoZendo     S6                                        SSSQQQSSSRRR............\nSSSQQQSSSRRR.…  0
   9  LegoZendo     T2                                        TTT...TTT...TTT...TTT...\nTTT...TTT...T…  0
  10  LegoZendo     P7                                        PPPPPPPPPPPP............\nPPPPPPPPPPPP.…  0
  11  LegoZendo     X10                                       XXXQQQXXXRRR............\nXXXQQQXXXRRR.…  0
  12  LegoZendo     X5                                        XXX...XXX...XXX...XXX...\nXXX...XXX...X…  0
  13  LegoZendo     Z11                                       ZZZZZZZZZZZZ............\nZZZZZZZZZZZZ.…  0
  14  LegoZendo     H11                                       HHHQQQHHHRRR............\nHHHQQQHHHRRR.…  0
  15  LegoZendo     W4                                        WWW...WWW...WWW...WWW...\nWWW...WWW...W…  0
  16  LegoZendo     U8                                        UUUUUUUUUUUU............\nUUUUUUUUUUUU.…  0
  17  LegoZendo     D7                                        DDDQQQDDDRRR............\nDDDQQQDDDRRR.…  0
  18  LegoZendo     V7                                        VVV...VVV...VVV...VVV...\nVVV...VVV...V…  0
  19  LegoZendo     V2                                        VVVVVVVVVVVV............\nVVVVVVVVVVVV.…  0
  20  LegoZendo     R0                                        RRRQQQRRRSSS............\nRRRQQQRRRSSS.…  1
  21  LegoZendo     Z7                                        ZZZ...ZZZ...ZZZ...ZZZ...\nZZZ...ZZZ...Z…  0
  22  LegoZendo     A5                                        AAAAAAAAAAAA............\nAAAAAAAAAAAA.…  0
  23  LegoZendo     L12                                       LLLQQQLLLRRR............\nLLLQQQLLLRRR.…  0
  24  LegoZendo     T7                                        TTT...TTT...TTT...TTT...\nTTT...TTT...T…  0
  25  LegoZendo     M11                                       MMMMMMMMMMMM............\nMMMMMMMMMMMM.…  0
  26  LegoZendo     V6                                        VVVQQQVVVRRR............\nVVVQQQVVVRRR.…  0
  27  LegoZendo     B3                                        BBB...BBB...BBB...BBB...\nBBB...BBB...B…  0
  28  LegoZendo     T3                                        TTTTTTTTTTTT............\nTTTTTTTTTTTT.…  0
  29  LegoZendo     A1                                        AAAQQQAAARRR............\nAAAQQQAAARRR.…  0
  30  LegoZendo     F0                                        FFF...FFF...FFF...FFF...\nFFF...FFF...F…  1
  31  LegoZendo     F2                                        FFFFFFFFFFFF............\nFFFFFFFFFFFF.…  0
  32  LegoZendo     I11                                       IIIQQQIIIRRR............\nIIIQQQIIIRRR.…  0
  33  LegoZendo     D2                                        DDD...DDD...DDD...DDD...\nDDD...DDD...D…  0
  34  LegoZendo     T7                                        TTTTTTTTTTTT............\nTTTTTTTTTTTT.…  0
  35  LegoZendo     O4                                        OOOQQQOOORRR............\nOOOQQQOOORRR.…  0
  36  LegoZendo     Y3                                        YYY...YYY...YYY...YYY...\nYYY...YYY...Y…  0
  37  LegoZendo     U3                                        UUUUUUUUUUUU............\nUUUUUUUUUUUU.…  0
  38  LegoZendo     X12                                       XXXQQQXXXRRR............\nXXXQQQXXXRRR.…  0
  39  LegoZendo     A6                                        AAA...AAA...AAA...AAA...\nAAA...AAA...A…  0
  40  LegoZendo     C3                                        CCCCCCCCCCCC............\nCCCCCCCCCCCC.…  0
  41  LegoZendo     Y0                                        YYYQQQYYYRRR............\nYYYQQQYYYRRR.…  1
  42  LegoZendo     S3                                        SSS...SSS...SSS...SSS...\nSSS...SSS...S…  0
  43  LegoZendo     I5                                        IIIIIIIIIIII............\nIIIIIIIIIIII.…  0
  44  LegoZendo     G2                                        GGGQQQGGGRRR............\nGGGQQQGGGRRR.…  0
  45  LegoZendo     R0                                        RRR...RRR...RRR...RRR...\nRRR...RRR...R…  1
  46  LegoZendo     X1                                        XXXXXXXXXXXX............\nXXXXXXXXXXXX.…  0
  47  LegoZendo     O4                                        OOOQQQOOORRR............\nOOOQQQOOORRR.…  0
  48  LegoZendo     X9                                        XXX...XXX...XXX...XXX...\nXXX...XXX...X…  0
  49  LegoZendo     K11                                       KKKKKKKKKKKK............\nKKKKKKKKKKKK.…  0
  50  LegoZendo     V4                                        VVVQQQVVVRRR............\nVVVQQQVVVRRR.…  0
  51  LegoZendo     H2                                        HHH...HHH...HHH...HHH...\nHHH...HHH...H…  0
  52  LegoZendo     C5                                        CCCCCCCCCCCC............\nCCCCCCCCCCCC.…  0
  53  LegoZendo     L2                                        LLLQQQLLLRRR............\nLLLQQQLLLRRR.…  0
  54  LegoZendo     J5                                        JJJ...JJJ...JJJ...JJJ...\nJJJ...JJJ...J…  0
  55  LegoZendo     P6                                        PPPPPPPPPPPP............\nPPPPPPPPPPPP.…  0
  56  LegoZendo     T8                                        TTTQQQTTTRRR............\nTTTQQQTTTRRR.…  0
  57  LegoZendo     Z8                                        ZZZ...ZZZ...ZZZ...ZZZ...\nZZZ...ZZZ...Z…  0
  58  LegoZendo     D5                                        DDDDDDDDDDDD............\nDDDDDDDDDDDD.…  0
  59  LegoZendo     Q1                                        QQQRRRQQQSSS............\nQQQRRRQQQSSS.…  0
  60  LegoZendo     Y10                                       YYY...YYY...YYY...YYY...\nYYY...YYY...Y…  0
  61  LegoZendo     R2                                        RRRRRRRRRRRR............\nRRRRRRRRRRRR.…  0
  62  LegoZendo     D7                                        DDDQQQDDDRRR............\nDDDQQQDDDRRR.…  0
  63  LegoZendo     F0                                        FFF...FFF...FFF...FFF...\nFFF...FFF...F…  1
  64  LegoZendo     F2                                        FFFFFFFFFFFF............\nFFFFFFFFFFFF.…  0
  65  LegoZendo     F2                                        FFFQQQFFFRRR............\nFFFQQQFFFRRR.…  0
  66  LegoZendo     M4                                        MMM...MMM...MMM...MMM...\nMMM...MMM...M…  0
  67  LegoZendo     Y3                                        YYYYYYYYYYYY............\nYYYYYYYYYYYY.…  0
  68  LegoZendo     L10                                       LLLQQQLLLRRR............\nLLLQQQLLLRRR.…  0
  69  LegoZendo     H12                                       HHH...HHH...HHH...HHH...\nHHH...HHH...H…  0
  70  LegoZendo     N11                                       NNNNNNNNNNNN............\nNNNNNNNNNNNN.…  0
  71  LegoZendo     F4                                        FFFQQQFFFRRR............\nFFFQQQFFFRRR.…  0
  72  LegoZendo     U10                                       UUU...UUU...UUU...UUU...\nUUU...UUU...U…  0
  73  LegoZendo     K10                                       KKKKKKKKKKKK............\nKKKKKKKKKKKK.…  0
  74  LegoZendo     Y11                                       YYYQQQYYYRRR............\nYYYQQQYYYRRR.…  0
  75  LegoZendo     C1                                        CCC...CCC...CCC...CCC...\nCCC...CCC...C…  0
  76  LegoZendo     K1                                        KKKKKKKKKKKK............\nKKKKKKKKKKKK.…  0
  77  LegoZendo     T9                                        TTTQQQTTTRRR............\nTTTQQQTTTRRR.…  0
  78  LegoZendo     Q2                                        QQQ...QQQ...QQQ...QQQ...\nQQQ...QQQ...Q…  0
  79  LegoZendo     I10                                       IIIIIIIIIIII............\nIIIIIIIIIIII.…  0
  80  LegoZendo     Q7                                        QQQRRRQQQSSS............\nQQQRRRQQQSSS.…  0
  81  LegoZendo     G0                                        GGG...GGG...GGG...GGG...\nGGG...GGG...G…  1
  82  LegoZendo     R0                                        RRRRRRRRRRRR............\nRRRRRRRRRRRR.…  1
  83  LegoZendo     S4                                        SSSQQQSSSRRR............\nSSSQQQSSSRRR.…  0
  84  LegoZendo     Y7                                        YYY...YYY...YYY...YYY...\nYYY...YYY...Y…  0
  85  LegoZendo     T10                                       TTTTTTTTTTTT............\nTTTTTTTTTTTT.…  0
  86  LegoZendo     T3                                        TTTQQQTTTRRR............\nTTTQQQTTTRRR.…  0
  87  LegoZendo     H5                                        HHH...HHH...HHH...HHH...\nHHH...HHH...H…  0
  88  LegoZendo     V0                                        VVVVVVVVVVVV............\nVVVVVVVVVVVV.…  1
  89  LegoZendo     B5                                        BBBQQQBBBRRR............\nBBBQQQBBBRRR.…  0
  90  LegoZendo     M0                                        MMM...MMM...MMM...MMM...\nMMM...MMM...M…  1
  91  LegoZendo     Q4                                        QQQQQQQQQQQQ............\nQQQQQQQQQQQQ.…  0
  92  LegoZendo     T2                                        TTTQQQTTTRRR............\nTTTQQQTTTRRR.…  0
  93  LegoZendo     C12                                       CCC...CCC...CCC...CCC...\nCCC...CCC...C…  0
  94  LegoZendo     H0                                        HHHHHHHHHHHH............\nHHHHHHHHHHHH.…  1
  95  LegoZendo     W0                                        WWWQQQWWWRRR............\nWWWQQQWWWRRR.…  1
  96  LegoZendo     B9                                        BBB...BBB...BBB...BBB...\nBBB...BBB...B…  0
  97  LegoZendo     U4                                        UUUUUUUUUUUU............\nUUUUUUUUUUUU.…  0
  98  LegoZendo     B12                                       BBBQQQBBBRRR............\nBBBQQQBBBRRR.…  0
  99  LegoZendo     Y1                                        YYY...YYY...YYY...YYY...\nYYY...YYY...Y…  0
 100  LegoZendo     J12                                       JJJJJJJJJJJJ............\nJJJJJJJJJJJJ.…  0
 101  LegoZendo     L6                                        LLLQQQLLLRRR............\nLLLQQQLLLRRR.…  0
 102  LegoZendo     J3                                        JJJ...JJJ...JJJ...JJJ...\nJJJ...JJJ...J…  0
 103  LegoZendo     B9                                        BBBBBBBBBBBB............\nBBBBBBBBBBBB.…  0
 104  LegoZendo     B9                                        BBBQQQBBBRRR............\nBBBQQQBBBRRR.…  0
 105  LegoZendo     V4                                        VVV...VVV...VVV...VVV...\nVVV...VVV...V…  0
 106  LegoZendo     V10                                       VVVVVVVVVVVV............\nVVVVVVVVVVVV.…  0
 107  LegoZendo     L12                                       LLLQQQLLLRRR............\nLLLQQQLLLRRR.…  0
 108  LegoZendo     V4                                        VVV...VVV...VVV...VVV...\nVVV...VVV...V…  0
 109  LegoZendo     S0                                        SSSSSSSSSSSS............\nSSSSSSSSSSSS.…  1
 110  LegoZendo     B5                                        BBBQQQBBBRRR............\nBBBQQQBBBRRR.…  0
 111  LegoZendo     K12                                       KKK...KKK...KKK...KKK...\nKKK...KKK...K…  0
 112  LegoZendo     W11                                       WWWWWWWWWWWW............\nWWWWWWWWWWWW.…  0
 113  LegoZendo     Z4                                        ZZZQQQZZZRRR............\nZZZQQQZZZRRR.…  0
