Centaur Zendo round 5 (training)
round_id : 60044a43adea4e1393420c0457d84420
written  : 2026-09-02 14:01:55Z
presented=443  answered=443  correct=9  skipped=0
client answer latency: mean 0.840 ms  median 0.867 ms  max 4.451 ms  (n=444)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     U6                                        ........QQUU........XXX.....SS......RR.…  0
   1  LegoZendo     P12                                       .....QQQ.UU.............PP...UU.\n.QQ..…  0
   2  LegoZendo     P0                                        x                                         0
   3  LegoZendo     H9                                        QQQ...SSS...WW.........................…  0
   4  LegoZendo     O8                                        .OOO.......UUU.OOO...WW.OOO.....\n.OOOO…  0
   5  LegoZendo     A10                                       ::AAA:::RRR::::AAA:::::::::::AAAA:AA:AA…  0
   6  LegoZendo     V9                                        .............WW........XX..XX.VV.......…  0
   7  LegoZendo     S11                                       XX........SSS.................SS\nXX...…  0
   8  LegoZendo     O4                                        ::::OO:::OO:::::::::::OO::::::::::OO:::…  0
   9  LegoZendo     A9                                        ..AAA..AAA......RRR....QQQ......VV..WWR…  0
  10  LegoZendo     N0                                        x                                         0
  11  LegoZendo     D5                                        ::::DDD::::::::::DDD::UUU::::DD::::SSS:…  0
  12  LegoZendo     U2                                        ........QQUU........XXX.....SS......RR.…  0
  13  LegoZendo     F0                                        ...FFF...UUU...FFF.FFF.........RRR.....…  0
  14  LegoZendo     P3                                        :::::::::PPPPP::::::::PP:::UUU:::PP::::…  0
  15  LegoZendo     T7                                        .....SSS..........RRR.................T…  0
  16  LegoZendo     H9                                        SS.HHH.......QQQUUU..HH.........\nSS.HH…  0
  17  LegoZendo     M7                                        ::::::::VV:::::::::::::::::::MMM::MM:::…  0
  18  LegoZendo     W5                                        ................SSS.WWW..QQQ....WWW.QQQ…  0
  19  LegoZendo     Z1                                        ______AANNII_WWW____AAA____ZZZ__\nZZZ__…  1
  20  LegoZendo     F5                                        FFF:::::::::::::UUU:FF::::::FF:::::::::…  0
  21  LegoZendo     R5                                        ..........SSS......RRRUU..WW.......RR..…  0
  22  LegoZendo     T6                                        ......UUU...TTT....TT.......TTT.\n..QQ.…  0
  23  LegoZendo     J4                                        JJJ:::::::::::::::JJ:::::::::::::::::::…  0
  24  LegoZendo     X7                                        .......................XXXX.SS.XX......…  0
  25  LegoZendo     N3                                        ....UUU...NNWW.........NNN......\n.QQQU…  0
  26  LegoZendo     H8                                        HHH:HHHHH::HH:::::::::::HHH:VV:::::::::…  0
  27  LegoZendo     A4                                        ..AAA..AAA......RRR....QQQ......VV..WWR…  0
  28  LegoZendo     I2                                        ........SSIII...................\nVV..I…  0
  29  LegoZendo     Z10                                       :::::::::::::ZZ:::RRR:::::ZZZZZZZZZ::::…  0
  30  LegoZendo     D3                                        ....WWRRR...WWDDD.SSS.................R…  0
  31  LegoZendo     J7                                        ....VV.............SS.....JJJUUU\n..SSV…  0
  32  LegoZendo     E11                                       :::::EEE:::::EE:::::::::::::::::::UUU::…  0
  33  LegoZendo     T5                                        .....SSS..........RRR.................T…  0
  34  LegoZendo     N2                                        ....UUU...NNWW.........NNN......\n.QQQU…  0
  35  LegoZendo     J11                                       JJJ:::::::::::::::JJ:::::::::::::::::::…  0
  36  LegoZendo     Y3                                        .........VVV..UUYYY.QQQ.........YYY....…  0
  37  LegoZendo     T0                                        .....SSS..........RRR.................T…  0
  38  LegoZendo     O10                                       ::::OO:::OO:::::::::::OO::::::::::OO:::…  0
  39  LegoZendo     S9                                        ....UU.......QQQ.....UUU.SSS...........…  0
  40  LegoZendo     Y11                                       .....VV..VVV...............YY...\n.....…  0
  41  LegoZendo     Q6                                        ::WW:::::::QQQ:::QQQQ:QQQ::QQ::SSQQQ::Q…  0
  42  LegoZendo     D9                                        ....WWRRR...WWDDD.SSS.................R…  0
  43  LegoZendo     U5                                        .......QQQ..QQQ..........UUU....\nRRR..…  0
  44  LegoZendo     Q11                                       ::WW:::::::QQQ:::QQQQ:QQQ::QQ::SSQQQ::Q…  0
  45  LegoZendo     M7                                        .......SS.....MM..MM...........VV.WW..V…  0
  46  LegoZendo     C9                                        .VVV...CCC....QQ................\n.VVV.…  0
  47  LegoZendo     J11                                       JJJ:::::::::::::::JJ:::::::::::::::::::…  0
  48  LegoZendo     R0                                        x                                         0
  49  LegoZendo     M2                                        ...UU..MMM.RR....MM........MMRRR\n...UU…  0
  50  LegoZendo     X0                                        x                                         0
