Centaur Zendo round 1 (training)
round_id : cf4f75e8300e41c3ad0b556799d80ebb
written  : 2026-09-02 13:48:45Z
presented=729  answered=0  correct=0  skipped=730
client answer latency: mean 0.087 ms  median 0.083 ms  max 1.250 ms  (n=730)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     K3                                        None                                      0
   1  LegoZendo     Y0                                        None                                      0
   2  LegoZendo     O4                                        None                                      0
   3  LegoZendo     U7                                        None                                      0
   4  LegoZendo     O12                                       None                                      0
   5  LegoZendo     C7                                        None                                      0
   6  LegoZendo     Q10                                       None                                      0
   7  LegoZendo     H0                                        None                                      0
   8  LegoZendo     W5                                        None                                      0
   9  LegoZendo     N0                                        None                                      0
  10  LegoZendo     S4                                        None                                      0
  11  LegoZendo     X3                                        None                                      0
  12  LegoZendo     H7                                        None                                      0
  13  LegoZendo     V11                                       None                                      0
  14  LegoZendo     N6                                        None                                      0
  15  LegoZendo     P7                                        None                                      0
  16  LegoZendo     A1                                        None                                      0
  17  LegoZendo     Q3                                        None                                      0
  18  LegoZendo     K12                                       None                                      0
  19  LegoZendo     R10                                       None                                      0
  20  LegoZendo     H4                                        None                                      0
  21  LegoZendo     U5                                        None                                      0
  22  LegoZendo     A9                                        None                                      0
  23  LegoZendo     V11                                       None                                      0
  24  LegoZendo     M3                                        None                                      0
  25  LegoZendo     G8                                        None                                      0
  26  LegoZendo     A10                                       None                                      0
  27  LegoZendo     X6                                        None                                      0
  28  LegoZendo     G7                                        None                                      0
  29  LegoZendo     W7                                        None                                      0
  30  LegoZendo     K0                                        None                                      0
  31  LegoZendo     H2                                        None                                      0
  32  LegoZendo     I9                                        None                                      0
  33  LegoZendo     L1                                        None                                      0
  34  LegoZendo     R4                                        None                                      0
  35  LegoZendo     S3                                        None                                      0
  36  LegoZendo     S10                                       None                                      0
  37  LegoZendo     A3                                        None                                      0
  38  LegoZendo     T12                                       None                                      0
  39  LegoZendo     B4                                        None                                      0
  40  LegoZendo     M5                                        None                                      0
  41  LegoZendo     D10                                       None                                      0
  42  LegoZendo     J4                                        None                                      0
  43  LegoZendo     I0                                        None                                      0
  44  LegoZendo     E5                                        None                                      0
  45  LegoZendo     L1                                        None                                      0
  46  LegoZendo     V2                                        None                                      0
  47  LegoZendo     N0                                        None                                      0
  48  LegoZendo     U8                                        None                                      0
  49  LegoZendo     V12                                       None                                      0
  50  LegoZendo     S5                                        None                                      0
  51  LegoZendo     N7                                        None                                      0
  52  LegoZendo     O9                                        None                                      0
  53  LegoZendo     N12                                       None                                      0
  54  LegoZendo     D6                                        None                                      0
  55  LegoZendo     A9                                        None                                      0
  56  LegoZendo     S2                                        None                                      0
  57  LegoZendo     H11                                       None                                      0
  58  LegoZendo     L10                                       None                                      0
  59  LegoZendo     X11                                       None                                      0
  60  LegoZendo     X6                                        None                                      0
  61  LegoZendo     O6                                        None                                      0
  62  LegoZendo     G9                                        None                                      0
  63  LegoZendo     V10                                       None                                      0
  64  LegoZendo     U0                                        None                                      0
  65  LegoZendo     V3                                        None                                      0
  66  LegoZendo     G4                                        None                                      0
  67  LegoZendo     K5                                        None                                      0
  68  LegoZendo     T10                                       None                                      0
  69  LegoZendo     I3                                        None                                      0
  70  LegoZendo     X8                                        None                                      0
  71  LegoZendo     G11                                       None                                      0
  72  LegoZendo     S2                                        None                                      0
  73  LegoZendo     C11                                       None                                      0
  74  LegoZendo     B3                                        None                                      0
