Centaur Zendo round 2 (training)
round_id : c2b27b59aaf946f69f96ebc8e0a8ca76
written  : 2026-09-02 13:53:12Z
presented=334  answered=334  correct=23  skipped=0
client answer latency: mean 0.128 ms  median 0.129 ms  max 0.278 ms  (n=334)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     I3                                        _________________QQ___III______________…  0
   1  LegoZendo     U10                                       -----UUU------------TT--UU------\n-----…  0
   2  LegoZendo     D10                                       _____________________DDD___QQ__________…  0
   3  LegoZendo     L3                                        _________________QQ___LLL______________…  0
   4  LegoZendo     Y12                                       _________________QQ___YYY______________…  0
   5  LegoZendo     U10                                       -----UUU------------TT--UU------\n-----…  0
   6  LegoZendo     H12                                       _____________________HHH___QQ__________…  0
   7  LegoZendo     G4                                        _________________QQ___GGG______________…  0
   8  LegoZendo     O10                                       _________________QQ___OOO______________…  0
   9  LegoZendo     B6                                        -----BBB------------TT--BB------\n-----…  0
  10  LegoZendo     G6                                        _____________________GGG___QQ__________…  0
  11  LegoZendo     D10                                       _________________QQ___DDD______________…  0
  12  LegoZendo     G11                                       _________________QQ___GGG______________…  0
  13  LegoZendo     O1                                        -----OOO------------TT--OO------\n-----…  0
  14  LegoZendo     P10                                       _____________________PPP___QQ__________…  0
  15  LegoZendo     C9                                        _________________QQ___CCC______________…  0
  16  LegoZendo     U2                                        _________________QQ___UUU______________…  0
  17  LegoZendo     G0                                        -----GGG------------TT--GG------\n-----…  0
  18  LegoZendo     Q0                                        _____________________QQQ___HH__________…  0
  19  LegoZendo     S2                                        _________________QQ___SSS______________…  0
  20  LegoZendo     V0                                        _________________QQ___VVV______________…  0
  21  LegoZendo     A0                                        -----AAA------------TT--AA------\n-----…  0
  22  LegoZendo     W6                                        _____________________WWW___QQ__________…  0
  23  LegoZendo     W0                                        _________________QQ___WWW______________…  0
  24  LegoZendo     H4                                        _________________QQ___HHH______________…  0
  25  LegoZendo     B8                                        -----BBB------------TT--BB------\n-----…  0
  26  LegoZendo     Z10                                       _____________________ZZZ___QQ__________…  0
  27  LegoZendo     L5                                        _________________QQ___LLL______________…  1
  28  LegoZendo     V10                                       _________________QQ___VVV______________…  0
  29  LegoZendo     S1                                        -----SSS------------TT--SS------\n-----…  0
  30  LegoZendo     D9                                        _____________________DDD___QQ__________…  0
  31  LegoZendo     L4                                        _________________QQ___LLL______________…  0
  32  LegoZendo     H4                                        _________________QQ___HHH______________…  0
  33  LegoZendo     T6                                        -----TTT------------JJ--TT------\n-----…  0
  34  LegoZendo     J10                                       _____________________JJJ___QQ__________…  0
  35  LegoZendo     X1                                        _________________QQ___XXX______________…  0
  36  LegoZendo     B3                                        _________________QQ___BBB______________…  0
  37  LegoZendo     G8                                        -----GGG------------TT--GG------\n-----…  0
  38  LegoZendo     M0                                        _____________________MMM___QQ__________…  0
  39  LegoZendo     G4                                        _________________QQ___GGG______________…  0
