Centaur Zendo round 3 (training)
round_id : ae7497f8879143a9b91d5e63c31b59da
written  : 2026-09-02 13:56:06Z
presented=343  answered=343  correct=25  skipped=0
client answer latency: mean 0.137 ms  median 0.127 ms  max 1.148 ms  (n=344)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     H8                                        _________________QQ___HHH______________…  0
   1  LegoZendo     D9                                        _______________________________________…  0
   2  LegoZendo     A3                                        _________________QQ___AAA______________…  0
   3  LegoZendo     I10                                       -----III------------TT--II------\n-----…  0
   4  LegoZendo     U9                                        -----UUU------------TT--UU----------\n-…  0
   5  LegoZendo     K10                                       _______________UU______________________…  0
   6  LegoZendo     Q3                                        QQ____\nQQ____\nQQ____\n______\n______\…  0
   7  LegoZendo     I3                                        IIBB__\nIIBB__\nIIBB__\nII____\nII____\…  0
   8  LegoZendo     L10                                       _________________QQ___LLL______________…  0
   9  LegoZendo     G9                                        _______________________________________…  0
  10  LegoZendo     C12                                       _________________QQ___CCC______________…  0
  11  LegoZendo     E9                                        -----EEE------------TT--EE------\n-----…  0
  12  LegoZendo     K8                                        -----KKK------------TT--KK----------\n-…  0
  13  LegoZendo     S7                                        ___MM__________III___TT___TTT_II_______…  0
  14  LegoZendo     O2                                        OO____\nOO____\nOO____\n______\n______\…  0
  15  LegoZendo     R6                                        RRBB__\nRRBB__\nRRBB__\nRR____\nRR____\…  0
  16  LegoZendo     I12                                       _________________QQ___III______________…  0
  17  LegoZendo     S11                                       _______________________________________…  0
  18  LegoZendo     A9                                        _________________QQ___AAA______________…  0
  19  LegoZendo     B0                                        -----BBB------------TT--BB------\n-----…  0
  20  LegoZendo     F2                                        -----FFF------------TT--FF----------\n-…  1
  21  LegoZendo     F2                                        ____________VVV__YYY__FFFFFF__FFFFFFXXX…  0
  22  LegoZendo     E1                                        EE____\nEE____\nEE____\n______\n______\…  0
  23  LegoZendo     J9                                        JJBB__\nJJBB__\nJJBB__\nJJ____\nJJ____\…  0
  24  LegoZendo     M12                                       _________________QQ___MMM______________…  0
  25  LegoZendo     U1                                        _______________________________________…  0
  26  LegoZendo     H9                                        _________________QQ___HHH______________…  0
  27  LegoZendo     E3                                        -----EEE------------TT--EE------\n-----…  0
