Centaur Zendo round 4 (training)
round_id : a9f4d8c4afaf49b6bfef48195b57ff24
written  : 2026-09-02 14:02:22Z
presented=369  answered=369  correct=35  skipped=0
client answer latency: mean 0.112 ms  median 0.103 ms  max 0.241 ms  (n=369)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     H8                                        HH_HH_HH_HH_HH_HH_HH_HH_HH_\nHH_HH_HH_H…  0
   1  LegoZendo     B10                                       BB_BB_BB_BB_BB_BB_BB_BB_BB_BB_\nBB_BB_B…  0
   2  LegoZendo     K9                                        KKKKKK_KKKKKK_KKKKKK_KKKKKK_KKKKKK_KKKK…  0
   3  LegoZendo     X7                                        XXXXXX_XXXXXX_XXXXXX_XXXXXX_XXXXXX_XXXX…  0
   4  LegoZendo     C3                                        _________________QQ___CCC______________…  0
   5  LegoZendo     B10                                       BB__\nBB__\nBB__\n____\nBB__\nBB__\nBB_…  0
   6  LegoZendo     H9                                        _________________QQ___HHH______________…  0
   7  LegoZendo     W4                                        -----WWW------------TT--WW------\n-----…  0
   8  LegoZendo     L0                                        LL_\nLL_\nLL_\n___\n___\n___\n___\n___    1
   9  LegoZendo     H8                                        HH_HH_HH_HH_HH_HH_HH_HH_\nHH_HH_HH_HH_H…  0
  10  LegoZendo     K8                                        KKKKKK_KKKKKK_KKKKKK_KKKKKK_KKKKKK_KKKK…  0
  11  LegoZendo     Y6                                        YYYYYY_YYYYYY_YYYYYY_YYYYYY_YYYYYY_YYYY…  0
  12  LegoZendo     L9                                        _________________QQ___LLL______________…  0
  13  LegoZendo     B4                                        BB__\nBB__\nBB__\n____\nBB__\nBB__\nBB_…  0
  14  LegoZendo     O3                                        _________________QQ___OOO______________…  0
  15  LegoZendo     B8                                        -----BBB------------TT--BB------\n-----…  0
  16  LegoZendo     B11                                       BB_BB_BB_BB_BB_BB_BB_BB_BB_BB_BB_BB_\nB…  0
  17  LegoZendo     J6                                        JJ_JJ_JJ_JJ_JJ_JJ_\nJJ_JJ_JJ_JJ_JJ_JJ_\…  0
  18  LegoZendo     A0                                        AA_\nAA_\nAA_\n___\n___\n___\n___\n___    1
  19  LegoZendo     F12                                       FFFFFF_FFFFFF_FFFFFF_FFFFFF_FFFFFF_FFFF…  0
  20  LegoZendo     P5                                        _________________QQ___PPP______________…  1
  21  LegoZendo     R8                                        RR__\nRR__\nRR__\n____\nRR__\nRR__\nRR_…  0
  22  LegoZendo     W10                                       _________________QQ___WWW______________…  0
  23  LegoZendo     Q9                                        -----QQQ------------TT--QQ------\n-----…  0
  24  LegoZendo     C8                                        CC_CC_CC_CC_CC_CC_CC_CC_CC_\nCC_CC_CC_C…  0
  25  LegoZendo     E3                                        EE_EE_EE_\nEE_EE_EE_\nEE_EE_EE_\n______…  0
  26  LegoZendo     Q4                                        QQQQQQ_QQQQQQ_QQQQQQ_QQQQQQ\nQQQQQQ_QQQ…  1
  27  LegoZendo     J12                                       JJJJJJ_JJJJJJ_JJJJJJ_JJJJJJ_JJJJJJ_JJJJ…  0
  28  LegoZendo     M12                                       _________________QQ___MMM______________…  0
