Centaur Zendo round 5 (training)
round_id : 835ff42fa7fc4a9a8772fb50ab4bb0f4
written  : 2026-09-02 14:06:42Z
presented=410  answered=410  correct=37  skipped=0
client answer latency: mean 0.095 ms  median 0.084 ms  max 1.523 ms  (n=411)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     S3                                        SSSSSS\nSSSSSS\nSS__SS\nSS__SS\nSS__SS\…  0
   1  LegoZendo     R2                                        RRRRRR\nRRRRRR\nRR__RR\nRR__RR\nRR__RR\…  0
   2  LegoZendo     Q10                                       QQQQQQ\nQQQQQQ\nQQ__QQ\nQQ__QQ\nQQ__QQ\…  0
   3  LegoZendo     Y10                                       YYYYYY\nYYYYYY\nYY__YY\nYY__YY\nYY__YY\…  0
   4  LegoZendo     O1                                        OOOOOO\nOOOOOO\nOO__OO\nOO__OO\nOO__OO\…  0
   5  LegoZendo     N2                                        NNNNNN\nNNNNNN\nNN__NN\nNN__NN\nNN__NN\…  0
   6  LegoZendo     I3                                        IIIIII\nIIIIII\nII__II\nII__II\nII__II\…  0
   7  LegoZendo     I3                                        IIIIII\nIIIIII\nII__II\nII__II\nII__II\…  0
   8  LegoZendo     H4                                        HHHHHH\nHHHHHH\nHH__HH\nHH__HH\nHH__HH\…  0
   9  LegoZendo     F3                                        FFFFFF\nFFFFFF\nFF__FF\nFF__FF\nFF__FF\…  0
  10  LegoZendo     Y0                                        YYYYYY\nYYYYYY\nYY__YY\nYY__YY\nYY__YY\…  1
  11  LegoZendo     W9                                        WWWWWW\nWWWWWW\nWW__WW\nWW__WW\nWW__WW\…  0
  12  LegoZendo     D1                                        DDDDDD\nDDDDDD\nDD__DD\nDD__DD\nDD__DD\…  0
  13  LegoZendo     H1                                        HHHHHH\nHHHHHH\nHH__HH\nHH__HH\nHH__HH\…  0
  14  LegoZendo     L1                                        LLLLLL\nLLLLLL\nLL__LL\nLL__LL\nLL__LL\…  0
  15  LegoZendo     Z1                                        ZZZZZZ\nZZZZZZ\nZZ__ZZ\nZZ__ZZ\nZZ__ZZ\…  0
  16  LegoZendo     J8                                        JJJJJJ\nJJJJJJ\nJJ__JJ\nJJ__JJ\nJJ__JJ\…  0
  17  LegoZendo     H2                                        HHHHHH\nHHHHHH\nHH__HH\nHH__HH\nHH__HH\…  0
  18  LegoZendo     L6                                        LLLLLL\nLLLLLL\nLL__LL\nLL__LL\nLL__LL\…  0
  19  LegoZendo     L3                                        LLLLLL\nLLLLLL\nLL__LL\nLL__LL\nLL__LL\…  0
