Centaur Zendo round 1 (training)
round_id : 968dc40f98f34b1e97b4b8e9e1bdc3f7
written  : 2026-09-02 13:48:54Z
presented=344  answered=344  correct=26  skipped=0
client answer latency: mean 0.098 ms  median 0.091 ms  max 0.319 ms  (n=344)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    JU2                                       KKK___________YYY_______________\nKKK__…  0
   1  LegoZendo2    UQ5                                       KKK___________YYY_______________\nKKK__…  0
   2  LegoZendo2    PR9                                       KKK___________YYY_______________\nKKK__…  0
   3  LegoZendo2    CZ11                                      KKK___________YYY_______________\nKKK__…  0
   4  LegoZendo2    TX8                                       KKK___________YYY_______________\nKKK__…  0
   5  LegoZendo2    XC12                                      KKK___________YYY_______________\nKKK__…  0
   6  LegoZendo2    MF0                                       KKK___________YYY_______________\nKKK__…  1
   7  LegoZendo2    EB7                                       KKK___________YYY_______________\nKKK__…  0
   8  LegoZendo2    HC12                                      KKK___________YYY_______________\nKKK__…  0
   9  LegoZendo2    NS9                                       KKK___________YYY_______________\nKKK__…  0
  10  LegoZendo2    SX9                                       KKK___________YYY_______________\nKKK__…  0
  11  LegoZendo2    KX10                                      KKK___________YYY_______________\nKKK__…  0
  12  LegoZendo2    JW3                                       KKK___________YYY_______________\nKKK__…  0
  13  LegoZendo2    ZD1                                       KKK___________YYY_______________\nKKK__…  0
  14  LegoZendo2    PH7                                       KKK___________YYY_______________\nKKK__…  0
  15  LegoZendo2    RJ2                                       KKK___________YYY_______________\nKKK__…  0
  16  LegoZendo2    UL7                                       KKK___________YYY_______________\nKKK__…  0
  17  LegoZendo2    FU8                                       KKK___________YYY_______________\nKKK__…  0
  18  LegoZendo2    GT11                                      KKK___________YYY_______________\nKKK__…  0
  19  LegoZendo2    UA0                                       KKK___________YYY_______________\nKKK__…  1
  20  LegoZendo2    SZ4                                       KKK___________YYY_______________\nKKK__…  0
  21  LegoZendo2    KM1                                       KKK___________YYY_______________\nKKK__…  0
  22  LegoZendo2    WZ0                                       KKK___________YYY_______________\nKKK__…  1
  23  LegoZendo2    RC7                                       KKK___________YYY_______________\nKKK__…  0
  24  LegoZendo2    QG6                                       KKK___________YYY_______________\nKKK__…  0
  25  LegoZendo2    OZ4                                       KKK___________YYY_______________\nKKK__…  0
  26  LegoZendo2    ZX9                                       KKK___________YYY_______________\nKKK__…  0
  27  LegoZendo2    MG12                                      KKK___________YYY_______________\nKKK__…  0
  28  LegoZendo2    HY5                                       KKK___________YYY_______________\nKKK__…  0
  29  LegoZendo2    YL10                                      KKK___________YYY_______________\nKKK__…  0
  30  LegoZendo2    PX2                                       KKK___________YYY_______________\nKKK__…  0
  31  LegoZendo2    GE3                                       KKK___________YYY_______________\nKKK__…  0
  32  LegoZendo2    IB3                                       KKK___________YYY_______________\nKKK__…  0
  33  LegoZendo2    OU10                                      KKK___________YYY_______________\nKKK__…  0
  34  LegoZendo2    XM4                                       KKK___________YYY_______________\nKKK__…  0
  35  LegoZendo2    XT10                                      KKK___________YYY_______________\nKKK__…  0
  36  LegoZendo2    IR9                                       KKK___________YYY_______________\nKKK__…  0
  37  LegoZendo2    QL1                                       KKK___________YYY_______________\nKKK__…  0
  38  LegoZendo2    ZH4                                       KKK___________YYY_______________\nKKK__…  0
  39  LegoZendo2    UH5                                       KKK___________YYY_______________\nKKK__…  0
  40  LegoZendo2    XM0                                       KKK___________YYY_______________\nKKK__…  1
  41  LegoZendo2    HP9                                       KKK___________YYY_______________\nKKK__…  0
  42  LegoZendo2    KS9                                       KKK___________YYY_______________\nKKK__…  0
  43  LegoZendo2    SJ5                                       KKK___________YYY_______________\nKKK__…  0
  44  LegoZendo2    PI10                                      KKK___________YYY_______________\nKKK__…  0
  45  LegoZendo2    MI4                                       KKK___________YYY_______________\nKKK__…  0
  46  LegoZendo2    TW1                                       KKK___________YYY_______________\nKKK__…  0
  47  LegoZendo2    SP5                                       KKK___________YYY_______________\nKKK__…  0
  48  LegoZendo2    HT9                                       KKK___________YYY_______________\nKKK__…  0
  49  LegoZendo2    HT5                                       KKK___________YYY_______________\nKKK__…  0
  50  LegoZendo2    JQ3                                       KKK___________YYY_______________\nKKK__…  0
  51  LegoZendo2    WE3                                       KKK___________YYY_______________\nKKK__…  0
  52  LegoZendo2    JK7                                       KKK___________YYY_______________\nKKK__…  0
  53  LegoZendo2    SB4                                       KKK___________YYY_______________\nKKK__…  0
  54  LegoZendo2    SP9                                       KKK___________YYY_______________\nKKK__…  0
  55  LegoZendo2    ZL8                                       KKK___________YYY_______________\nKKK__…  0
  56  LegoZendo2    FB2                                       KKK___________YYY_______________\nKKK__…  0
  57  LegoZendo2    IR3                                       KKK___________YYY_______________\nKKK__…  0
  58  LegoZendo2    VH1                                       KKK___________YYY_______________\nKKK__…  0
  59  LegoZendo2    RG9                                       KKK___________YYY_______________\nKKK__…  0
  60  LegoZendo2    AG10                                      KKK___________YYY_______________\nKKK__…  0
  61  LegoZendo2    SG6                                       KKK___________YYY_______________\nKKK__…  0
  62  LegoZendo2    IF1                                       KKK___________YYY_______________\nKKK__…  0
  63  LegoZendo2    KI2                                       KKK___________YYY_______________\nKKK__…  0
  64  LegoZendo2    YX12                                      KKK___________YYY_______________\nKKK__…  0
  65  LegoZendo2    PV2                                       KKK___________YYY_______________\nKKK__…  0
  66  LegoZendo2    WE11                                      KKK___________YYY_______________\nKKK__…  0
  67  LegoZendo2    YP12                                      KKK___________YYY_______________\nKKK__…  0
  68  LegoZendo2    CN7                                       KKK___________YYY_______________\nKKK__…  0
  69  LegoZendo2    HQ2                                       KKK___________YYY_______________\nKKK__…  0
  70  LegoZendo2    UA10                                      KKK___________YYY_______________\nKKK__…  0
  71  LegoZendo2    PZ1                                       KKK___________YYY_______________\nKKK__…  0
  72  LegoZendo2    OG11                                      KKK___________YYY_______________\nKKK__…  0
  73  LegoZendo2    XK11                                      KKK___________YYY_______________\nKKK__…  0
  74  LegoZendo2    VE1                                       KKK___________YYY_______________\nKKK__…  0
  75  LegoZendo2    WV4                                       KKK___________YYY_______________\nKKK__…  0
  76  LegoZendo2    ZD3                                       KKK___________YYY_______________\nKKK__…  0
  77  LegoZendo2    UM0                                       KKK___________YYY_______________\nKKK__…  1
  78  LegoZendo2    HD4                                       KKK___________YYY_______________\nKKK__…  0
  79  LegoZendo2    EI11                                      KKK___________YYY_______________\nKKK__…  0
  80  LegoZendo2    PE6                                       KKK___________YYY_______________\nKKK__…  0
  81  LegoZendo2    GT12                                      KKK___________YYY_______________\nKKK__…  0
  82  LegoZendo2    CE12                                      KKK___________YYY_______________\nKKK__…  0
  83  LegoZendo2    EA11                                      KKK___________YYY_______________\nKKK__…  0
  84  LegoZendo2    OY1                                       KKK___________YYY_______________\nKKK__…  0
  85  LegoZendo2    TU2                                       KKK___________YYY_______________\nKKK__…  0
  86  LegoZendo2    BJ12                                      KKK___________YYY_______________\nKKK__…  0
  87  LegoZendo2    DV5                                       KKK___________YYY_______________\nKKK__…  0
  88  LegoZendo2    CN3                                       KKK___________YYY_______________\nKKK__…  0
  89  LegoZendo2    FG4                                       KKK___________YYY_______________\nKKK__…  0
  90  LegoZendo2    KI12                                      KKK___________YYY_______________\nKKK__…  0
  91  LegoZendo2    DP4                                       KKK___________YYY_______________\nKKK__…  0
  92  LegoZendo2    NU5                                       KKK___________YYY_______________\nKKK__…  0
  93  LegoZendo2    VU9                                       KKK___________YYY_______________\nKKK__…  0
  94  LegoZendo2    GB10                                      KKK___________YYY_______________\nKKK__…  0
  95  LegoZendo2    GZ12                                      KKK___________YYY_______________\nKKK__…  0
  96  LegoZendo2    ID3                                       KKK___________YYY_______________\nKKK__…  0
  97  LegoZendo2    UI1                                       KKK___________YYY_______________\nKKK__…  0
  98  LegoZendo2    HG10                                      KKK___________YYY_______________\nKKK__…  0
  99  LegoZendo2    VU4                                       KKK___________YYY_______________\nKKK__…  0
 100  LegoZendo2    VM1                                       KKK___________YYY_______________\nKKK__…  0
 101  LegoZendo2    ZK2                                       KKK___________YYY_______________\nKKK__…  0
 102  LegoZendo2    YO0                                       KKK___________YYY_______________\nKKK__…  1
 103  LegoZendo2    NX6                                       KKK___________YYY_______________\nKKK__…  0
 104  LegoZendo2    MB11                                      KKK___________YYY_______________\nKKK__…  0
 105  LegoZendo2    JV7                                       KKK___________YYY_______________\nKKK__…  0
 106  LegoZendo2    WS5                                       KKK___________YYY_______________\nKKK__…  0
 107  LegoZendo2    PK4                                       KKK___________YYY_______________\nKKK__…  0
 108  LegoZendo2    FD5                                       KKK___________YYY_______________\nKKK__…  0
 109  LegoZendo2    PG7                                       KKK___________YYY_______________\nKKK__…  0
 110  LegoZendo2    BO1                                       KKK___________YYY_______________\nKKK__…  0
 111  LegoZendo2    VJ6                                       KKK___________YYY_______________\nKKK__…  0
 112  LegoZendo2    HW1                                       KKK___________YYY_______________\nKKK__…  1
 113  LegoZendo2    KI0                                       KKK___________YYY_______________\nKKK__…  1
 114  LegoZendo2    DV6                                       KKK___________YYY_______________\nKKK__…  0
 115  LegoZendo2    GH4                                       KKK___________YYY_______________\nKKK__…  0
 116  LegoZendo2    BK5                                       KKK___________YYY_______________\nKKK__…  0
 117  LegoZendo2    RE9                                       KKK___________YYY_______________\nKKK__…  0
 118  LegoZendo2    GY3                                       KKK___________YYY_______________\nKKK__…  0
 119  LegoZendo2    IH8                                       KKK___________YYY_______________\nKKK__…  0
 120  LegoZendo2    OF5                                       KKK___________YYY_______________\nKKK__…  0
 121  LegoZendo2    FB8                                       KKK___________YYY_______________\nKKK__…  0
 122  LegoZendo2    EP9                                       KKK___________YYY_______________\nKKK__…  0
 123  LegoZendo2    JC4                                       KKK___________YYY_______________\nKKK__…  0
 124  LegoZendo2    MZ6                                       KKK___________YYY_______________\nKKK__…  0
 125  LegoZendo2    IA11                                      KKK___________YYY_______________\nKKK__…  0
 126  LegoZendo2    FR10                                      KKK___________YYY_______________\nKKK__…  0
 127  LegoZendo2    IT10                                      KKK___________YYY_______________\nKKK__…  0
 128  LegoZendo2    YM0                                       KKK___________YYY_______________\nKKK__…  1
 129  LegoZendo2    KI8                                       KKK___________YYY_______________\nKKK__…  0
 130  LegoZendo2    RC0                                       KKK___________YYY_______________\nKKK__…  1
 131  LegoZendo2    KM1                                       KKK___________YYY_______________\nKKK__…  0
 132  LegoZendo2    YL1                                       KKK___________YYY_______________\nKKK__…  0
 133  LegoZendo2    LQ10                                      KKK___________YYY_______________\nKKK__…  0
 134  LegoZendo2    PN4                                       KKK___________YYY_______________\nKKK__…  0
 135  LegoZendo2    RU11                                      KKK___________YYY_______________\nKKK__…  0
 136  LegoZendo2    BK7                                       KKK___________YYY_______________\nKKK__…  0
 137  LegoZendo2    QX1                                       KKK___________YYY_______________\nKKK__…  0
 138  LegoZendo2    YG4                                       KKK___________YYY_______________\nKKK__…  0
 139  LegoZendo2    MZ2                                       KKK___________YYY_______________\nKKK__…  0
 140  LegoZendo2    ZV7                                       KKK___________YYY_______________\nKKK__…  0
 141  LegoZendo2    DS7                                       KKK___________YYY_______________\nKKK__…  0
 142  LegoZendo2    RG1                                       KKK___________YYY_______________\nKKK__…  0
 143  LegoZendo2    JI5                                       KKK___________YYY_______________\nKKK__…  0
 144  LegoZendo2    IK2                                       KKK___________YYY_______________\nKKK__…  0
 145  LegoZendo2    TI3                                       KKK___________YYY_______________\nKKK__…  0
 146  LegoZendo2    NX9                                       KKK___________YYY_______________\nKKK__…  0
 147  LegoZendo2    EN2                                       KKK___________YYY_______________\nKKK__…  0
 148  LegoZendo2    LW1                                       KKK___________YYY_______________\nKKK__…  0
 149  LegoZendo2    LF7                                       KKK___________YYY_______________\nKKK__…  0
 150  LegoZendo2    FC7                                       KKK___________YYY_______________\nKKK__…  0
 151  LegoZendo2    IB12                                      KKK___________YYY_______________\nKKK__…  0
