Centaur Zendo round 2 (training)
round_id : ee61effb3fae44da8974a1f29f11ddc9
written  : 2026-09-02 13:54:23Z
presented=485  answered=485  correct=37  skipped=0
client answer latency: mean 0.120 ms  median 0.114 ms  max 1.554 ms  (n=485)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    MC11                                      MMCC_MMCC_MMCC_MMCC_MMCC_MMCC___\nMMCC_…  0
   1  LegoZendo2    NH10                                      NNNHHH_NNNHHH_NNNHHH_NNNHHH_____\nNNNHH…  0
   2  LegoZendo2    BJ6                                       BBJJ_BBJJ_BBJJ_BBJJ_BBJJ_BBJJ\nBBJJ_BBJ…  0
   3  LegoZendo2    XG9                                       XXGG_XXGG_XXGG_XXGG_XXGG_XXGG___\nXXGG_…  0
   4  LegoZendo2    YZ5                                       YYYZZZ_YYYZZZ_YYYZZZ_YYYZZZ_____\nYYYZZ…  0
   5  LegoZendo2    SR5                                       SSRR_SSRR_SSRR_SSRR_SSRR\nSSRR_SSRR_SSR…  0
   6  LegoZendo2    UB10                                      UUBB_UUBB_UUBB_UUBB_UUBB_UUBB___\nUUBB_…  0
   7  LegoZendo2    SJ3                                       SSSJJJ_SSSJJJ_SSSJJJ____________\nSSSJJ…  0
   8  LegoZendo2    YV11                                      YYVV_YYVV_YYVV_YYVV_YYVV_YYVV_YYVV_YYVV…  0
   9  LegoZendo2    RK9                                       RRKK_RRKK_RRKK_RRKK_RRKK_RRKK___\nRRKK_…  0
  10  LegoZendo2    BC4                                       BBBCCC_BBBCCC_BBBCCC_BBBCCC_____\nBBBCC…  0
  11  LegoZendo2    PN0                                       PP__NN\nPP__NN\nPP__NN                    1
  12  LegoZendo2    TJ6                                       TTJJ_TTJJ_TTJJ_TTJJ_TTJJ_TTJJ___\nTTJJ_…  0
  13  LegoZendo2    YF1                                       YYYFFF__________________________\nYYYFF…  0
  14  LegoZendo2    JE3                                       JJEE_JJEE_JJEE\nJJEE_JJEE_JJEE\nJJEE_JJ…  0
  15  LegoZendo2    GY2                                       GGYY_GGYY_______________________\nGGYY_…  0
  16  LegoZendo2    NR10                                      NNNRRR_NNNRRR_NNNRRR_NNNRRR_____\nNNNRR…  0
  17  LegoZendo2    NP10                                      NNPP_NNPP_NNPP_NNPP_NNPP_NNPP_NNPP_NNPP…  0
  18  LegoZendo2    ZR1                                       ZZRR____________________________\nZZRR_…  0
  19  LegoZendo2    MF4                                       MMMFFF_MMMFFF_MMMFFF_MMMFFF_____\nMMMFF…  0
  20  LegoZendo2    RC11                                      RRCC_RRCC_RRCC_RRCC_RRCC_RRCC_RRCC_RRCC…  0
  21  LegoZendo2    TQ12                                      TTQQ_TTQQ_TTQQ_TTQQ_TTQQ_TTQQ___\nTTQQ_…  0
  22  LegoZendo2    BZ1                                       BBBZZZ__________________________\nBBBZZ…  0
  23  LegoZendo2    ZI6                                       ZZII_ZZII_ZZII_ZZII_ZZII_ZZII\nZZII_ZZI…  0
  24  LegoZendo2    MV10                                      MMVV_MMVV_MMVV_MMVV_MMVV_MMVV___\nMMVV_…  0
  25  LegoZendo2    KM12                                      KKKMMM_KKKMMM_KKKMMM_KKKMMM_____\nKKKMM…  0
  26  LegoZendo2    MF12                                      MMFF_MMFF_MMFF_MMFF_MMFF_MMFF_MMFF_MMFF…  0
  27  LegoZendo2    FG7                                       FFGG_FFGG_FFGG_FFGG_FFGG_FFGG___\nFFGG_…  0
  28  LegoZendo2    OV6                                       OOOVVV_OOOVVV_OOOVVV_OOOVVV_____\nOOOVV…  0
  29  LegoZendo2    JB12                                      JJBB_JJBB_JJBB_JJBB_JJBB_JJBB_JJBB_JJBB…  0
  30  LegoZendo2    KG0                                       KK__GG__________________________\nKK__G…  1
  31  LegoZendo2    JI2                                       JJJIII_JJJIII___________________\nJJJII…  0
  32  LegoZendo2    JY11                                      JJYY_JJYY_JJYY_JJYY_JJYY_JJYY_JJYY_JJYY…  0
  33  LegoZendo2    TI4                                       TTII_TTII_TTII_TTII_____________\nTTII_…  0
  34  LegoZendo2    IS10                                      IIISSS_IIISSS_IIISSS_IIISSS_____\nIIISS…  0
  35  LegoZendo2    TB8                                       TTBB_TTBB_TTBB_TTBB_TTBB_TTBB_TTBB_TTBB…  0
  36  LegoZendo2    LV6                                       LLVV_LLVV_LLVV_LLVV_LLVV_LLVV___\nLLVV_…  0
