Centaur Zendo round 4 (training)
round_id : 69088a5ae35f402caf7d9ff5cce1e2ce
written  : 2026-09-02 14:02:06Z
presented=587  answered=587  correct=587  skipped=0
client answer latency: mean 0.088 ms  median 0.081 ms  max 1.268 ms  (n=588)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    UT9                                       UU___UU___UU___UU___UU___UU_____\nUUTT_…  1
   1  LegoZendo2    RS1                                       RR______________________________\nRRSS_…  1
   2  LegoZendo2    ND11                                      NN___NN___NN___NN___NN___NN_____\nNNDD_…  1
   3  LegoZendo2    JC1                                       JJ______________________________\nJJCC_…  1
   4  LegoZendo2    YE6                                       YY___YY___YY___YY___YY___YY_____\nYYEE_…  1
   5  LegoZendo2    PJ9                                       PP___PP___PP___PP___PP___PP_____\nPPJJ_…  1
   6  LegoZendo2    AH3                                       AA___AA___AA____________________\nAAHH_…  1
   7  LegoZendo2    PN7                                       PP___PP___PP___PP___PP___PP_____\nPPNN_…  1
   8  LegoZendo2    FZ6                                       FF___FF___FF___FF___FF___FF_____\nFFZZ_…  1
   9  LegoZendo2    VR7                                       VV___VV___VV___VV___VV___VV_____\nVVRR_…  1
  10  LegoZendo2    DT8                                       DD___DD___DD___DD___DD___DD_____\nDDTT_…  1
  11  LegoZendo2    KL9                                       KK___KK___KK___KK___KK___KK_____\nKKLL_…  1
  12  LegoZendo2    YJ11                                      YY___YY___YY___YY___YY___YY_____\nYYJJ_…  1
  13  LegoZendo2    XE10                                      XX___XX___XX___XX___XX___XX_____\nXXEE_…  1
  14  LegoZendo2    OL2                                       OO___OO_________________________\nOOLL_…  1
  15  LegoZendo2    VU0                                       VV__UU__________________________\nVV__U…  1
  16  LegoZendo2    EP3                                       EE___EE___EE____________________\nEEPP_…  1
  17  LegoZendo2    EX3                                       EE___EE___EE____________________\nEEXX_…  1
  18  LegoZendo2    ZP7                                       ZZ___ZZ___ZZ___ZZ___ZZ___ZZ_____\nZZPP_…  1
  19  LegoZendo2    HM6                                       HH___HH___HH___HH___HH___HH_____\nHHMM_…  1
  20  LegoZendo2    AJ7                                       AA___AA___AA___AA___AA___AA_____\nAAJJ_…  1
  21  LegoZendo2    BJ6                                       BB___BB___BB___BB___BB___BB_____\nBBJJ_…  1
  22  LegoZendo2    EH3                                       EE___EE___EE____________________\nEEHH_…  1
  23  LegoZendo2    IG6                                       II___II___II___II___II___II_____\nIIGG_…  1
  24  LegoZendo2    OJ3                                       OO___OO___OO____________________\nOOJJ_…  1
  25  LegoZendo2    FE1                                       FF______________________________\nFFEE_…  1
  26  LegoZendo2    YL10                                      YY___YY___YY___YY___YY___YY_____\nYYLL_…  1
  27  LegoZendo2    EB8                                       EE___EE___EE___EE___EE___EE_____\nEEBB_…  1
  28  LegoZendo2    CJ7                                       CC___CC___CC___CC___CC___CC_____\nCCJJ_…  1
  29  LegoZendo2    KZ5                                       KK___KK___KK___KK___KK__________\nKKZZ_…  1
  30  LegoZendo2    OQ5                                       OO___OO___OO___OO___OO__________\nOOQQ_…  1
  31  LegoZendo2    KB2                                       KK___KK_________________________\nKKBB_…  1
  32  LegoZendo2    PL6                                       PP___PP___PP___PP___PP___PP_____\nPPLL_…  1
  33  LegoZendo2    EF6                                       EE___EE___EE___EE___EE___EE_____\nEEFF_…  1
  34  LegoZendo2    GK1                                       GG______________________________\nGGKK_…  1
  35  LegoZendo2    XN12                                      XX___XX___XX___XX___XX___XX_____\nXXNN_…  1
  36  LegoZendo2    GT8                                       GG___GG___GG___GG___GG___GG_____\nGGTT_…  1
  37  LegoZendo2    JT7                                       JJ___JJ___JJ___JJ___JJ___JJ_____\nJJTT_…  1
  38  LegoZendo2    JD11                                      JJ___JJ___JJ___JJ___JJ___JJ_____\nJJDD_…  1
  39  LegoZendo2    KL4                                       KK___KK___KK___KK_______________\nKKLL_…  1
  40  LegoZendo2    CS10                                      CC___CC___CC___CC___CC___CC_____\nCCSS_…  1
  41  LegoZendo2    VB11                                      VV___VV___VV___VV___VV___VV_____\nVVBB_…  1
  42  LegoZendo2    QS5                                       QQ___QQ___QQ___QQ___QQ__________\nQQSS_…  1
  43  LegoZendo2    QW7                                       QQ___QQ___QQ___QQ___QQ___QQ_____\nQQWW_…  1
  44  LegoZendo2    LW8                                       LL___LL___LL___LL___LL___LL_____\nLLWW_…  1
  45  LegoZendo2    OY8                                       OO___OO___OO___OO___OO___OO_____\nOOYY_…  1
  46  LegoZendo2    PG2                                       PP___PP_________________________\nPPGG_…  1
  47  LegoZendo2    GP3                                       GG___GG___GG____________________\nGGPP_…  1
  48  LegoZendo2    US5                                       UU___UU___UU___UU___UU__________\nUUSS_…  1
  49  LegoZendo2    RU2                                       RR___RR_________________________\nRRUU_…  1
  50  LegoZendo2    NB11                                      NN___NN___NN___NN___NN___NN_____\nNNBB_…  1
  51  LegoZendo2    RW8                                       RR___RR___RR___RR___RR___RR_____\nRRWW_…  1
  52  LegoZendo2    HP9                                       HH___HH___HH___HH___HH___HH_____\nHHPP_…  1
  53  LegoZendo2    RG0                                       RR__GG__________________________\nRR__G…  1
  54  LegoZendo2    WK3                                       WW___WW___WW____________________\nWWKK_…  1
  55  LegoZendo2    ZY8                                       ZZ___ZZ___ZZ___ZZ___ZZ___ZZ_____\nZZYY_…  1
  56  LegoZendo2    IR12                                      II___II___II___II___II___II_____\nIIRR_…  1
  57  LegoZendo2    SF5                                       SS___SS___SS___SS___SS__________\nSSFF_…  1
