Centaur Zendo round 5 (training)
round_id : 870d3539368f4e9cbb869ed908533cd8
written  : 2026-09-02 14:02:40Z
presented=598  answered=598  correct=598  skipped=0
client answer latency: mean 0.108 ms  median 0.054 ms  max 4.526 ms  (n=598)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    QN9                                       QQ___QQ___QQ___QQ___QQ___QQ___QQ___QQ__…  1
   1  LegoZendo2    JL3                                       JJ___JJ___JJ__\nJJLL_JJLL_JJLL\nJJLL_JJ…  1
   2  LegoZendo2    RJ7                                       RR___RR___RR___RR___RR___RR___RR__\nRRJ…  1
   3  LegoZendo2    YK0                                       YY__KK\nYY__KK\nYY__KK                    1
   4  LegoZendo2    RU12                                      RR___RR___RR___RR___RR___RR___RR___RR__…  1
   5  LegoZendo2    GU3                                       GG___GG___GG__\nGGUU_GGUU_GGUU\nGGUU_GG…  1
   6  LegoZendo2    CZ0                                       CC__ZZ\nCC__ZZ\nCC__ZZ                    1
   7  LegoZendo2    ZV1                                       ZZ__\nZZVV\nZZVV\n__VV                    1
   8  LegoZendo2    MO1                                       MM__\nMMOO\nMMOO\n__OO                    1
   9  LegoZendo2    AE5                                       AA___AA___AA___AA___AA__\nAAEE_AAEE_AAE…  1
  10  LegoZendo2    VM4                                       VV___VV___VV___VV__\nVVMM_VVMM_VVMM_VVM…  1
  11  LegoZendo2    FB12                                      FF___FF___FF___FF___FF___FF___FF___FF__…  1
  12  LegoZendo2    QM0                                       QQ__MM\nQQ__MM\nQQ__MM                    1
  13  LegoZendo2    DV2                                       DD___DD__\nDDVV_DDVV\nDDVV_DDVV\n__VV__…  1
  14  LegoZendo2    RS12                                      RR___RR___RR___RR___RR___RR___RR___RR__…  1
  15  LegoZendo2    ZH0                                       ZZ__HH\nZZ__HH\nZZ__HH                    1
  16  LegoZendo2    GQ9                                       GG___GG___GG___GG___GG___GG___GG___GG__…  1
  17  LegoZendo2    FP3                                       FF___FF___FF__\nFFPP_FFPP_FFPP\nFFPP_FF…  1
  18  LegoZendo2    WR7                                       WW___WW___WW___WW___WW___WW___WW__\nWWR…  1
  19  LegoZendo2    TN12                                      TT___TT___TT___TT___TT___TT___TT___TT__…  1
  20  LegoZendo2    ZO10                                      ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ__…  1
  21  LegoZendo2    OY10                                      OO___OO___OO___OO___OO___OO___OO___OO__…  1
  22  LegoZendo2    JD2                                       JJ___JJ__\nJJDD_JJDD\nJJDD_JJDD\n__DD__…  1
  23  LegoZendo2    BY2                                       BB___BB__\nBBYY_BBYY\nBBYY_BBYY\n__YY__…  1
  24  LegoZendo2    YE3                                       YY___YY___YY__\nYYEE_YYEE_YYEE\nYYEE_YY…  1
  25  LegoZendo2    RE8                                       RR___RR___RR___RR___RR___RR___RR___RR__…  1
  26  LegoZendo2    AG12                                      AA___AA___AA___AA___AA___AA___AA___AA__…  1
  27  LegoZendo2    FH11                                      FF___FF___FF___FF___FF___FF___FF___FF__…  1
  28  LegoZendo2    XL7                                       XX___XX___XX___XX___XX___XX___XX__\nXXL…  1
  29  LegoZendo2    GB8                                       GG___GG___GG___GG___GG___GG___GG___GG__…  1
  30  LegoZendo2    ZJ1                                       ZZ__\nZZJJ\nZZJJ\n__JJ                    1
  31  LegoZendo2    KT10                                      KK___KK___KK___KK___KK___KK___KK___KK__…  1
  32  LegoZendo2    MU8                                       MM___MM___MM___MM___MM___MM___MM___MM__…  1
  33  LegoZendo2    SW8                                       SS___SS___SS___SS___SS___SS___SS___SS__…  1
