Centaur Zendo round 6 (training)
round_id : f50865d75149481cb37d7cda1d3fed2d
written  : 2026-09-02 14:02:51Z
presented=594  answered=594  correct=594  skipped=0
client answer latency: mean 0.086 ms  median 0.078 ms  max 1.498 ms  (n=594)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    UC0                                       UU__CC\nUU__CC\nUU__CC                    1
   1  LegoZendo2    AS2                                       AA___AA__\nAASS_AASS\nAASS_AASS\n__SS__…  1
   2  LegoZendo2    ZP8                                       ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ__…  1
   3  LegoZendo2    DL11                                      DD___DD___DD___DD___DD___DD___DD___DD__…  1
   4  LegoZendo2    US0                                       UU__SS\nUU__SS\nUU__SS                    1
   5  LegoZendo2    OE1                                       OO__\nOOEE\nOOEE\n__EE                    1
   6  LegoZendo2    LE1                                       LL__\nLLEE\nLLEE\n__EE                    1
   7  LegoZendo2    EH7                                       EE___EE___EE___EE___EE___EE___EE__\nEEH…  1
   8  LegoZendo2    WL7                                       WW___WW___WW___WW___WW___WW___WW__\nWWL…  1
   9  LegoZendo2    TC5                                       TT___TT___TT___TT___TT__\nTTCC_TTCC_TTC…  1
  10  LegoZendo2    JD11                                      JJ___JJ___JJ___JJ___JJ___JJ___JJ___JJ__…  1
  11  LegoZendo2    YV2                                       YY___YY__\nYYVV_YYVV\nYYVV_YYVV\n__VV__…  1
  12  LegoZendo2    OG11                                      OO___OO___OO___OO___OO___OO___OO___OO__…  1
  13  LegoZendo2    GC4                                       GG___GG___GG___GG__\nGGCC_GGCC_GGCC_GGC…  1
  14  LegoZendo2    WV1                                       WW__\nWWVV\nWWVV\n__VV                    1
  15  LegoZendo2    MC6                                       MM___MM___MM___MM___MM___MM__\nMMCC_MMC…  1
  16  LegoZendo2    JO0                                       JJ__OO\nJJ__OO\nJJ__OO                    1
  17  LegoZendo2    ER7                                       EE___EE___EE___EE___EE___EE___EE__\nEER…  1
  18  LegoZendo2    NG6                                       NN___NN___NN___NN___NN___NN__\nNNGG_NNG…  1
  19  LegoZendo2    RL10                                      RR___RR___RR___RR___RR___RR___RR___RR__…  1
  20  LegoZendo2    WN3                                       WW___WW___WW__\nWWNN_WWNN_WWNN\nWWNN_WW…  1
  21  LegoZendo2    DE0                                       DD__EE\nDD__EE\nDD__EE                    1
  22  LegoZendo2    HE5                                       HH___HH___HH___HH___HH__\nHHEE_HHEE_HHE…  1
  23  LegoZendo2    EB4                                       EE___EE___EE___EE__\nEEBB_EEBB_EEBB_EEB…  1
  24  LegoZendo2    IU10                                      II___II___II___II___II___II___II___II__…  1
  25  LegoZendo2    XN7                                       XX___XX___XX___XX___XX___XX___XX__\nXXN…  1
  26  LegoZendo2    FI10                                      FF___FF___FF___FF___FF___FF___FF___FF__…  1
  27  LegoZendo2    TW3                                       TT___TT___TT__\nTTWW_TTWW_TTWW\nTTWW_TT…  1
  28  LegoZendo2    OP0                                       OO__PP\nOO__PP\nOO__PP                    1
  29  LegoZendo2    JH8                                       JJ___JJ___JJ___JJ___JJ___JJ___JJ___JJ__…  1
  30  LegoZendo2    DC1                                       DD__\nDDCC\nDDCC\n__CC                    1
  31  LegoZendo2    XO8                                       XX___XX___XX___XX___XX___XX___XX___XX__…  1
  32  LegoZendo2    ZX1                                       ZZ__\nZZXX\nZZXX\n__XX                    1
  33  LegoZendo2    CV1                                       CC__\nCCVV\nCCVV\n__VV                    1
  34  LegoZendo2    AV10                                      AA___AA___AA___AA___AA___AA___AA___AA__…  1
  35  LegoZendo2    NK1                                       NN__\nNNKK\nNNKK\n__KK                    1
  36  LegoZendo2    ST3                                       SS___SS___SS__\nSSTT_SSTT_SSTT\nSSTT_SS…  1
  37  LegoZendo2    CK6                                       CC___CC___CC___CC___CC___CC__\nCCKK_CCK…  1
  38  LegoZendo2    UB12                                      UU___UU___UU___UU___UU___UU___UU___UU__…  1
  39  LegoZendo2    GH0                                       GG__HH\nGG__HH\nGG__HH                    1
  40  LegoZendo2    AG1                                       AA__\nAAGG\nAAGG\n__GG                    1
  41  LegoZendo2    GU0                                       GG__UU\nGG__UU\nGG__UU                    1
  42  LegoZendo2    MR11                                      MM___MM___MM___MM___MM___MM___MM___MM__…  1
  43  LegoZendo2    XB7                                       XX___XX___XX___XX___XX___XX___XX__\nXXB…  1
  44  LegoZendo2    VG3                                       VV___VV___VV__\nVVGG_VVGG_VVGG\nVVGG_VV…  1
