Centaur Zendo round final (final)
round_id : 270ed65084be492fa22cfacb7659bf04
written  : 2026-09-02 14:03:00Z
presented=3280  answered=3280  correct=3280  skipped=0
client answer latency: mean 0.090 ms  median 0.074 ms  max 5.234 ms  (n=3280)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    QJ0                                       QQ__JJ\nQQ__JJ\nQQ__JJ                    1
   1  LegoZendo2    HV0                                       HH__VV\nHH__VV\nHH__VV                    1
   2  LegoZendo2    PD8                                       PP___PP___PP___PP___PP___PP___PP___PP__…  1
   3  LegoZendo2    LE4                                       LL___LL___LL___LL__\nLLEE_LLEE_LLEE_LLE…  1
   4  LegoZendo2    HG7                                       HH___HH___HH___HH___HH___HH___HH__\nHHG…  1
   5  LegoZendo2    YP10                                      YY___YY___YY___YY___YY___YY___YY___YY__…  1
   6  LegoZendo2    ZL12                                      ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ__…  1
   7  LegoZendo2    SK6                                       SS___SS___SS___SS___SS___SS__\nSSKK_SSK…  1
   8  LegoZendo2    NM2                                       NN___NN__\nNNMM_NNMM\nNNMM_NNMM\n__MM__…  1
   9  LegoZendo2    WY9                                       WW___WW___WW___WW___WW___WW___WW___WW__…  1
  10  LegoZendo2    IO10                                      II___II___II___II___II___II___II___II__…  1
  11  LegoZendo2    KW4                                       KK___KK___KK___KK__\nKKWW_KKWW_KKWW_KKW…  1
  12  LegoZendo2    IZ10                                      II___II___II___II___II___II___II___II__…  1
  13  LegoZendo2    JZ11                                      JJ___JJ___JJ___JJ___JJ___JJ___JJ___JJ__…  1
  14  LegoZendo2    HX8                                       HH___HH___HH___HH___HH___HH___HH___HH__…  1
  15  LegoZendo2    LK12                                      LL___LL___LL___LL___LL___LL___LL___LL__…  1
  16  LegoZendo2    OK8                                       OO___OO___OO___OO___OO___OO___OO___OO__…  1
  17  LegoZendo2    JU11                                      JJ___JJ___JJ___JJ___JJ___JJ___JJ___JJ__…  1
  18  LegoZendo2    TL1                                       TT__\nTTLL\nTTLL\n__LL                    1
  19  LegoZendo2    LD7                                       LL___LL___LL___LL___LL___LL___LL__\nLLD…  1
  20  LegoZendo2    BR5                                       BB___BB___BB___BB___BB__\nBBRR_BBRR_BBR…  1
  21  LegoZendo2    OV0                                       OO__VV\nOO__VV\nOO__VV                    1
  22  LegoZendo2    QI9                                       QQ___QQ___QQ___QQ___QQ___QQ___QQ___QQ__…  1
  23  LegoZendo2    RM7                                       RR___RR___RR___RR___RR___RR___RR__\nRRM…  1
  24  LegoZendo2    SU0                                       SS__UU\nSS__UU\nSS__UU                    1
  25  LegoZendo2    IN5                                       II___II___II___II___II__\nIINN_IINN_IIN…  1
  26  LegoZendo2    ST8                                       SS___SS___SS___SS___SS___SS___SS___SS__…  1
  27  LegoZendo2    YL11                                      YY___YY___YY___YY___YY___YY___YY___YY__…  1
  28  LegoZendo2    DV1                                       DD__\nDDVV\nDDVV\n__VV                    1
  29  LegoZendo2    EZ2                                       EE___EE__\nEEZZ_EEZZ\nEEZZ_EEZZ\n__ZZ__…  1
  30  LegoZendo2    YL11                                      YY___YY___YY___YY___YY___YY___YY___YY__…  1
  31  LegoZendo2    SH8                                       SS___SS___SS___SS___SS___SS___SS___SS__…  1
  32  LegoZendo2    ZE5                                       ZZ___ZZ___ZZ___ZZ___ZZ__\nZZEE_ZZEE_ZZE…  1
  33  LegoZendo2    YQ10                                      YY___YY___YY___YY___YY___YY___YY___YY__…  1
  34  LegoZendo2    DL9                                       DD___DD___DD___DD___DD___DD___DD___DD__…  1
  35  LegoZendo2    SM3                                       SS___SS___SS__\nSSMM_SSMM_SSMM\nSSMM_SS…  1
  36  LegoZendo2    QH7                                       QQ___QQ___QQ___QQ___QQ___QQ___QQ__\nQQH…  1
  37  LegoZendo2    EC7                                       EE___EE___EE___EE___EE___EE___EE__\nEEC…  1
  38  LegoZendo2    EV10                                      EE___EE___EE___EE___EE___EE___EE___EE__…  1
  39  LegoZendo2    VX1                                       VV__\nVVXX\nVVXX\n__XX                    1
  40  LegoZendo2    BZ2                                       BB___BB__\nBBZZ_BBZZ\nBBZZ_BBZZ\n__ZZ__…  1
  41  LegoZendo2    DP1                                       DD__\nDDPP\nDDPP\n__PP                    1
  42  LegoZendo2    YK3                                       YY___YY___YY__\nYYKK_YYKK_YYKK\nYYKK_YY…  1
  43  LegoZendo2    HW9                                       HH___HH___HH___HH___HH___HH___HH___HH__…  1
  44  LegoZendo2    LR2                                       LL___LL__\nLLRR_LLRR\nLLRR_LLRR\n__RR__…  1
  45  LegoZendo2    PE11                                      PP___PP___PP___PP___PP___PP___PP___PP__…  1
  46  LegoZendo2    HX12                                      HH___HH___HH___HH___HH___HH___HH___HH__…  1
  47  LegoZendo2    NO8                                       NN___NN___NN___NN___NN___NN___NN___NN__…  1
  48  LegoZendo2    RV1                                       RR__\nRRVV\nRRVV\n__VV                    1
  49  LegoZendo2    OW2                                       OO___OO__\nOOWW_OOWW\nOOWW_OOWW\n__WW__…  1
  50  LegoZendo2    ZB6                                       ZZ___ZZ___ZZ___ZZ___ZZ___ZZ__\nZZBB_ZZB…  1
  51  LegoZendo2    IQ12                                      II___II___II___II___II___II___II___II__…  1
  52  LegoZendo2    GI3                                       GG___GG___GG__\nGGII_GGII_GGII\nGGII_GG…  1
  53  LegoZendo2    XN6                                       XX___XX___XX___XX___XX___XX__\nXXNN_XXN…  1
  54  LegoZendo2    QU3                                       QQ___QQ___QQ__\nQQUU_QQUU_QQUU\nQQUU_QQ…  1
  55  LegoZendo2    XZ2                                       XX___XX__\nXXZZ_XXZZ\nXXZZ_XXZZ\n__ZZ__…  1
  56  LegoZendo2    JK7                                       JJ___JJ___JJ___JJ___JJ___JJ___JJ__\nJJK…  1
  57  LegoZendo2    SM10                                      SS___SS___SS___SS___SS___SS___SS___SS__…  1
  58  LegoZendo2    OG2                                       OO___OO__\nOOGG_OOGG\nOOGG_OOGG\n__GG__…  1
  59  LegoZendo2    PE5                                       PP___PP___PP___PP___PP__\nPPEE_PPEE_PPE…  1
  60  LegoZendo2    UC9                                       UU___UU___UU___UU___UU___UU___UU___UU__…  1
  61  LegoZendo2    OP10                                      OO___OO___OO___OO___OO___OO___OO___OO__…  1
  62  LegoZendo2    KM5                                       KK___KK___KK___KK___KK__\nKKMM_KKMM_KKM…  1
  63  LegoZendo2    LT5                                       LL___LL___LL___LL___LL__\nLLTT_LLTT_LLT…  1
  64  LegoZendo2    XA3                                       XX___XX___XX__\nXXAA_XXAA_XXAA\nXXAA_XX…  1
  65  LegoZendo2    FE5                                       FF___FF___FF___FF___FF__\nFFEE_FFEE_FFE…  1
  66  LegoZendo2    VK8                                       VV___VV___VV___VV___VV___VV___VV___VV__…  1
  67  LegoZendo2    AO5                                       AA___AA___AA___AA___AA__\nAAOO_AAOO_AAO…  1
  68  LegoZendo2    DU7                                       DD___DD___DD___DD___DD___DD___DD__\nDDU…  1
  69  LegoZendo2    VZ12                                      VV___VV___VV___VV___VV___VV___VV___VV__…  1
  70  LegoZendo2    RY6                                       RR___RR___RR___RR___RR___RR__\nRRYY_RRY…  1
  71  LegoZendo2    NG4                                       NN___NN___NN___NN__\nNNGG_NNGG_NNGG_NNG…  1
  72  LegoZendo2    GS4                                       GG___GG___GG___GG__\nGGSS_GGSS_GGSS_GGS…  1
  73  LegoZendo2    WD9                                       WW___WW___WW___WW___WW___WW___WW___WW__…  1
  74  LegoZendo2    IG8                                       II___II___II___II___II___II___II___II__…  1
  75  LegoZendo2    ZD12                                      ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ___ZZ__…  1
  76  LegoZendo2    OE3                                       OO___OO___OO__\nOOEE_OOEE_OOEE\nOOEE_OO…  1
  77  LegoZendo2    RW4                                       RR___RR___RR___RR__\nRRWW_RRWW_RRWW_RRW…  1
