Centaur Zendo round 1 (training)
round_id : c77d90a35adf47d793c1e78077add140
written  : 2026-09-02 13:50:20Z
presented=424  answered=424  correct=27  skipped=0
client answer latency: mean 0.091 ms  median 0.084 ms  max 1.136 ms  (n=424)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    OW0                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
   1  LegoZendo2    JZ10                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
   2  LegoZendo2    SA1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   3  LegoZendo2    BS12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
   4  LegoZendo2    YR8                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   5  LegoZendo2    RA6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   6  LegoZendo2    JL4                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   7  LegoZendo2    VN8                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   8  LegoZendo2    HD5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
   9  LegoZendo2    JO12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  10  LegoZendo2    DK7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  11  LegoZendo2    MX0                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
  12  LegoZendo2    ZG0                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
  13  LegoZendo2    BO3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  14  LegoZendo2    OR6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  15  LegoZendo2    RO9                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  16  LegoZendo2    KP11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  17  LegoZendo2    CN10                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  18  LegoZendo2    BZ6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  19  LegoZendo2    ND6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  20  LegoZendo2    KU3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  21  LegoZendo2    CK4                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  22  LegoZendo2    EH4                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  23  LegoZendo2    LO2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  24  LegoZendo2    UK7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  25  LegoZendo2    TP0                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
  26  LegoZendo2    TY10                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  27  LegoZendo2    WR5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  28  LegoZendo2    PR11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  29  LegoZendo2    BG11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  30  LegoZendo2    ER5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  31  LegoZendo2    XT2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  32  LegoZendo2    MJ2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  33  LegoZendo2    UY3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  34  LegoZendo2    JD6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  35  LegoZendo2    RB11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  36  LegoZendo2    PM11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  37  LegoZendo2    SK5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  38  LegoZendo2    JZ7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  39  LegoZendo2    BK3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  40  LegoZendo2    YE1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  41  LegoZendo2    IA10                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  42  LegoZendo2    GD12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  43  LegoZendo2    EP5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  44  LegoZendo2    RV8                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  45  LegoZendo2    JY1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  46  LegoZendo2    IN5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  47  LegoZendo2    DK1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  48  LegoZendo2    PM8                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  49  LegoZendo2    EL7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  50  LegoZendo2    UG7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  51  LegoZendo2    EQ12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  52  LegoZendo2    TR12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  53  LegoZendo2    PT2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  54  LegoZendo2    NX9                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  55  LegoZendo2    WB5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  56  LegoZendo2    FZ11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  57  LegoZendo2    LX11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  58  LegoZendo2    DK2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  59  LegoZendo2    XG0                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
  60  LegoZendo2    ZH10                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  61  LegoZendo2    AK1                                       OOOPPP____OOO____________OOO____\nOOOPP…  1
  62  LegoZendo2    FH6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  63  LegoZendo2    BO3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  64  LegoZendo2    UT11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  65  LegoZendo2    NJ5                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  66  LegoZendo2    IZ6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  67  LegoZendo2    YG1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  68  LegoZendo2    BJ3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  69  LegoZendo2    OV7                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  70  LegoZendo2    UE1                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  71  LegoZendo2    KX12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  72  LegoZendo2    LD6                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  73  LegoZendo2    WM11                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  74  LegoZendo2    AB12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  75  LegoZendo2    CG12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
  76  LegoZendo2    ZP2                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  77  LegoZendo2    YU3                                       OOOPPP____OOO____________OOO____\nOOOPP…  0
  78  LegoZendo2    GI12                                      OOOPPP____OOO____________OOO____\nOOOPP…  0
