Centaur Zendo round 2 (training)
round_id : bc900f4db45c45dbad79418de1fe3cdb
written  : 2026-09-02 13:59:23Z
presented=436  answered=436  correct=13  skipped=0
client answer latency: mean 0.116 ms  median 0.107 ms  max 1.096 ms  (n=436)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo2    WU6                                       WWW_WWW_WWW_WWW_WWW_WWW_________\nWWW_W…  0
   1  LegoZendo2    BW0                                       AAA_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nAAA_A…  1
   2  LegoZendo2    WF2                                       WWW_WWW_________________________\nWWW_W…  0
   3  LegoZendo2    MT10                                      MMM_MMM_MMM_MMM_MMM_MMM_MMM_MMM_\nMMM_M…  0
   4  LegoZendo2    HD5                                       HHH_HHH_HHH_HHH_HHH_____________\nHHH_H…  0
   5  LegoZendo2    GZ0                                       AAA_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nAAA_A…  1
   6  LegoZendo2    FM3                                       FFF_FFF_FFF_____________________\nFFF_F…  0
   7  LegoZendo2    OJ10                                      OOO_OOO_OOO_OOO_OOO_OOO_OOO_OOO_\nOOO_O…  0
   8  LegoZendo2    AB12                                      AAA_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nAAA_A…  0
   9  LegoZendo2    UT8                                       UUU_UUU_UUU_UUU_UUU_UUU_UUU_UUU_\nUUU_U…  0
  10  LegoZendo2    OU8                                       OOO_OOO_OOO_OOO_OOO_OOO_OOO_OOO_\nOOO_O…  0
  11  LegoZendo2    NL5                                       NNN_NNN_NNN_NNN_NNN_AAA_AAA_AAA_\nNNN_N…  0
  12  LegoZendo2    QC12                                      QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_\nQQQ_Q…  0
  13  LegoZendo2    YU2                                       YYY_YYY_AAA_AAA_AAA_AAA_AAA_AAA_\nYYY_Y…  0
  14  LegoZendo2    SM11                                      SSS_SSS_SSS_SSS_SSS_SSS_SSS_SSS_\nSSS_S…  0
  15  LegoZendo2    BU7                                       BBB_BBB_BBB_BBB_BBB_BBB_BBB_AAA_\nBBB_B…  0
  16  LegoZendo2    MJ11                                      MMM_MMM_MMM_MMM_MMM_MMM_MMM_MMM_\nMMM_M…  0
  17  LegoZendo2    UI1                                       UUU_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nUUU_A…  0
  18  LegoZendo2    OB11                                      OOO_OOO_OOO_OOO_OOO_OOO_OOO_OOO_\nOOO_O…  0
  19  LegoZendo2    ZC9                                       ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_\nZZZ_Z…  0
  20  LegoZendo2    SL10                                      SSS_SSS_SSS_SSS_SSS_SSS_SSS_SSS_\nSSS_S…  0
  21  LegoZendo2    CM10                                      CCC_CCC_CCC_CCC_CCC_CCC_CCC_CCC_\nCCC_C…  0
  22  LegoZendo2    HN5                                       HHH_HHH_HHH_HHH_HHH_____________\nHHH_H…  0
  23  LegoZendo2    QP3                                       QQQ_QQQ_QQQ_AAA_AAA_AAA_AAA_AAA_\nQQQ_Q…  0
  24  LegoZendo2    ZR3                                       ZZZ_ZZZ_ZZZ_____________________\nZZZ_Z…  0
  25  LegoZendo2    DE1                                       DDD_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nDDD_A…  0
  26  LegoZendo2    PN1                                       PPP_____________________________\nPPP__…  0
  27  LegoZendo2    NP2                                       NNN_NNN_AAA_AAA_AAA_AAA_AAA_AAA_\nNNN_N…  0
  28  LegoZendo2    IM0                                       ________________________________\n_____…  0
  29  LegoZendo2    RH11                                      RRR_RRR_RRR_RRR_RRR_RRR_RRR_RRR_\nRRR_R…  0
  30  LegoZendo2    PT1                                       PPP_____________________________\nPPP__…  0
  31  LegoZendo2    KG4                                       KKK_KKK_KKK_KKK_AAA_AAA_AAA_AAA_\nKKK_K…  0
  32  LegoZendo2    ND9                                       NNN_NNN_NNN_NNN_NNN_NNN_NNN_NNN_\nNNN_N…  0
  33  LegoZendo2    WY6                                       WWW_WWW_WWW_WWW_WWW_WWW_AAA_AAA_\nWWW_W…  0
  34  LegoZendo2    CY6                                       CCC_CCC_CCC_CCC_CCC_CCC_________\nCCC_C…  0
  35  LegoZendo2    YD2                                       YYY_YYY_AAA_AAA_AAA_AAA_AAA_AAA_\nYYY_Y…  0
  36  LegoZendo2    RV1                                       RRR_____________________________\nRRR__…  0
  37  LegoZendo2    UJ8                                       UUU_UUU_UUU_UUU_UUU_UUU_UUU_UUU_\nUUU_U…  0
  38  LegoZendo2    KZ11                                      KKK_KKK_KKK_KKK_KKK_KKK_KKK_KKK_\nKKK_K…  0
  39  LegoZendo2    YQ8                                       YYY_YYY_YYY_YYY_YYY_YYY_YYY_YYY_\nYYY_Y…  0
  40  LegoZendo2    CM4                                       CCC_CCC_CCC_CCC_________________\nCCC_C…  0
  41  LegoZendo2    KB1                                       KKK_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nKKK_A…  0
  42  LegoZendo2    PN12                                      PPP_PPP_PPP_PPP_PPP_PPP_PPP_PPP_\nPPP_P…  0
  43  LegoZendo2    YN11                                      YYY_YYY_YYY_YYY_YYY_YYY_YYY_YYY_\nYYY_Y…  0
  44  LegoZendo2    YZ10                                      YYY_YYY_YYY_YYY_YYY_YYY_YYY_YYY_\nYYY_Y…  0
  45  LegoZendo2    JM12                                      JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_\nJJJ_J…  0
  46  LegoZendo2    XP11                                      XXX_XXX_XXX_XXX_XXX_XXX_XXX_XXX_\nXXX_X…  0
  47  LegoZendo2    UZ3                                       UUU_UUU_UUU_AAA_AAA_AAA_AAA_AAA_\nUUU_U…  0
  48  LegoZendo2    ND10                                      NNN_NNN_NNN_NNN_NNN_NNN_NNN_NNN_\nNNN_N…  0
  49  LegoZendo2    OG5                                       OOO_OOO_OOO_OOO_OOO_AAA_AAA_AAA_\nOOO_O…  0
  50  LegoZendo2    CR8                                       CCC_CCC_CCC_CCC_CCC_CCC_CCC_CCC_\nCCC_C…  0
  51  LegoZendo2    JW9                                       JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_\nJJJ_J…  0
  52  LegoZendo2    ZD9                                       ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_\nZZZ_Z…  0
  53  LegoZendo2    OX9                                       OOO_OOO_OOO_OOO_OOO_OOO_OOO_OOO_\nOOO_O…  0
  54  LegoZendo2    IN5                                       III_III_III_III_III_____________\nIII_I…  0
  55  LegoZendo2    RB12                                      RRR_RRR_RRR_RRR_RRR_RRR_RRR_RRR_\nRRR_R…  0
  56  LegoZendo2    BS9                                       BBB_BBB_BBB_BBB_BBB_BBB_BBB_BBB_\nBBB_B…  0
  57  LegoZendo2    EK11                                      EEE_EEE_EEE_EEE_EEE_EEE_EEE_EEE_\nEEE_E…  0
  58  LegoZendo2    ZK8                                       ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_ZZZ_\nZZZ_Z…  0
  59  LegoZendo2    DE5                                       DDD_DDD_DDD_DDD_DDD_AAA_AAA_AAA_\nDDD_D…  0
  60  LegoZendo2    VT1                                       VVV_____________________________\nVVV__…  0
  61  LegoZendo2    LT2                                       LLL_LLL_AAA_AAA_AAA_AAA_AAA_AAA_\nLLL_L…  0
  62  LegoZendo2    EU4                                       EEE_EEE_EEE_EEE_________________\nEEE_E…  0
  63  LegoZendo2    RA4                                       RRR_RRR_RRR_RRR_BBB_BBB_BBB_BBB_\nRRR_R…  0
  64  LegoZendo2    RQ8                                       RRR_RRR_RRR_RRR_RRR_RRR_RRR_RRR_\nRRR_R…  0
  65  LegoZendo2    GI12                                      GGG_GGG_GGG_GGG_GGG_GGG_GGG_GGG_\nGGG_G…  0
  66  LegoZendo2    AF4                                       AAA_AAA_AAA_AAA_________________\nAAA_A…  0
  67  LegoZendo2    BH5                                       BBB_BBB_BBB_BBB_BBB_AAA_AAA_AAA_\nBBB_B…  0
  68  LegoZendo2    EM0                                       ________________________________\n_____…  0
  69  LegoZendo2    JG7                                       JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_JJJ_AAA_\nJJJ_J…  0
  70  LegoZendo2    BK8                                       BBB_BBB_BBB_BBB_BBB_BBB_BBB_BBB_\nBBB_B…  0
  71  LegoZendo2    BT5                                       BBB_BBB_BBB_BBB_BBB_AAA_AAA_AAA_\nBBB_B…  0
  72  LegoZendo2    LM2                                       LLL_LLL_________________________\nLLL_L…  0
  73  LegoZendo2    SV9                                       SSS_SSS_SSS_SSS_SSS_SSS_SSS_SSS_\nSSS_S…  0
  74  LegoZendo2    SI3                                       SSS_SSS_SSS_____________________\nSSS_S…  0
  75  LegoZendo2    SQ3                                       SSS_SSS_SSS_AAA_AAA_AAA_AAA_AAA_\nSSS_S…  0
  76  LegoZendo2    UZ1                                       UUU_____________________________\nUUU__…  0
  77  LegoZendo2    SY7                                       SSS_SSS_SSS_SSS_SSS_SSS_SSS_AAA_\nSSS_S…  0
  78  LegoZendo2    ID6                                       III_III_III_III_III_III_________\nIII_I…  0
  79  LegoZendo2    QF11                                      QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_QQQ_\nQQQ_Q…  0
  80  LegoZendo2    HZ9                                       HHH_HHH_HHH_HHH_HHH_HHH_HHH_HHH_\nHHH_H…  0
  81  LegoZendo2    ML3                                       MMM_MMM_MMM_AAA_AAA_AAA_AAA_AAA_\nMMM_M…  0
  82  LegoZendo2    VI6                                       VVV_VVV_VVV_VVV_VVV_VVV_________\nVVV_V…  0
  83  LegoZendo2    EY1                                       EEE_AAA_AAA_AAA_AAA_AAA_AAA_AAA_\nEEE_A…  0
  84  LegoZendo2    XV11                                      XXX_XXX_XXX_XXX_XXX_XXX_XXX_XXX_\nXXX_X…  0
  85  LegoZendo2    YU4                                       YYY_YYY_YYY_YYY_AAA_AAA_AAA_AAA_\nYYY_Y…  0
  86  LegoZendo2    IE11                                      III_III_III_III_III_III_III_III_\nIII_I…  0
  87  LegoZendo2    XE8                                       XXX_XXX_XXX_XXX_XXX_XXX_XXX_XXX_\nXXX_X…  0
  88  LegoZendo2    BP1                                       BBB_____________________________\nBBB__…  0
  89  LegoZendo2    CO12                                      CCC_CCC_CCC_CCC_CCC_CCC_CCC_CCC_\nCCC_C…  0
  90  LegoZendo2    IN2                                       III_III_________________________\nIII_I…  0
  91  LegoZendo2    PY7                                       PPP_PPP_PPP_PPP_PPP_PPP_PPP_AAA_\nPPP_P…  0
  92  LegoZendo2    IN10                                      III_III_III_III_III_III_III_III_\nIII_I…  0
  93  LegoZendo2    AG5                                       AAA_AAA_AAA_AAA_AAA_BBB_BBB_BBB_\nAAA_A…  0
  94  LegoZendo2    MS7                                       MMM_MMM_MMM_MMM_MMM_MMM_MMM_____\nMMM_M…  0
  95  LegoZendo2    UN4                                       UUU_UUU_UUU_UUU_AAA_AAA_AAA_AAA_\nUUU_U…  0
  96  LegoZendo2    IQ9                                       III_III_III_III_III_III_III_III_\nIII_I…  0
  97  LegoZendo2    EA5                                       EEE_EEE_EEE_EEE_EEE_BBB_BBB_BBB_\nEEE_E…  0
  98  LegoZendo2    CJ6                                       CCC_CCC_CCC_CCC_CCC_CCC_________\nCCC_C…  0
  99  LegoZendo2    PQ6                                       PPP_PPP_PPP_PPP_PPP_PPP_AAA_AAA_\nPPP_P…  0
 100  LegoZendo2    IT1                                       III_____________________________\nIII__…  0
 101  LegoZendo2    KQ9                                       KKK_KKK_KKK_KKK_KKK_KKK_KKK_KKK_\nKKK_K…  0
 102  LegoZendo2    DU4                                       DDD_DDD_DDD_DDD_________________\nDDD_D…  0
 103  LegoZendo2    EF7                                       EEE_EEE_EEE_EEE_EEE_EEE_EEE_AAA_\nEEE_E…  0
 104  LegoZendo2    NO4                                       NNN_NNN_NNN_NNN_________________\nNNN_N…  0
