Centaur Zendo round 1 (training)
round_id : eb2dd4dd80bb49ab9b89e9c8ce147a88
written  : 2026-09-02 13:49:29Z
presented=589  answered=0  correct=0  skipped=589
client answer latency: mean 0.114 ms  median 0.108 ms  max 1.569 ms  (n=589)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         24322                                     None                                      0
   1  Wordz         483                                       None                                      0
   2  Wordz         4444                                      None                                      0
   3  Wordz         263434                                    None                                      0
   4  Wordz         321                                       None                                      0
   5  Wordz         5216                                      None                                      0
   6  Wordz         22332                                     None                                      0
   7  Wordz         432                                       None                                      0
   8  Wordz         432                                       None                                      0
   9  Wordz         34322                                     None                                      0
  10  Wordz         273425                                    None                                      0
  11  Wordz         4437                                      None                                      0
  12  Wordz         312345                                    None                                      0
  13  Wordz         34242                                     None                                      0
  14  Wordz         353644                                    None                                      0
  15  Wordz         145434                                    None                                      0
  16  Wordz         2617                                      None                                      0
  17  Wordz         34153                                     None                                      0
  18  Wordz         45232                                     None                                      0
  19  Wordz         252                                       None                                      0
  20  Wordz         234725                                    None                                      0
  21  Wordz         424337                                    None                                      0
  22  Wordz         252546                                    None                                      0
  23  Wordz         342                                       None                                      0
  24  Wordz         362                                       None                                      0
  25  Wordz         133                                       None                                      0
  26  Wordz         333225                                    None                                      0
  27  Wordz         333424                                    None                                      0
  28  Wordz         23141                                     None                                      0
  29  Wordz         351                                       None                                      0
  30  Wordz         25352                                     None                                      0
  31  Wordz         543516                                    None                                      0
  32  Wordz         3216                                      None                                      0
  33  Wordz         16143                                     None                                      0
  34  Wordz         34362                                     None                                      0
  35  Wordz         344                                       None                                      0
  36  Wordz         1433                                      None                                      0
  37  Wordz         262                                       None                                      0
  38  Wordz         6314                                      None                                      0
  39  Wordz         234                                       None                                      0
  40  Wordz         234545                                    None                                      0
  41  Wordz         362336                                    None                                      0
  42  Wordz         23223                                     None                                      0
  43  Wordz         35462                                     None                                      0
  44  Wordz         322                                       None                                      0
  45  Wordz         351422                                    None                                      0
  46  Wordz         22363                                     None                                      0
  47  Wordz         452434                                    None                                      0
  48  Wordz         2512                                      None                                      0
  49  Wordz         15151                                     None                                      0
  50  Wordz         25554                                     None                                      0
  51  Wordz         142                                       None                                      0
  52  Wordz         141223                                    None                                      0
  53  Wordz         3646                                      None                                      0
  54  Wordz         272124                                    None                                      0
  55  Wordz         343                                       None                                      0
  56  Wordz         36364                                     None                                      0
  57  Wordz         5443                                      None                                      0
  58  Wordz         1824                                      None                                      0
  59  Wordz         345                                       None                                      0
  60  Wordz         332535                                    None                                      0
  61  Wordz         234                                       None                                      0
  62  Wordz         13634                                     None                                      0
  63  Wordz         223                                       None                                      0
  64  Wordz         341                                       None                                      0
  65  Wordz         352235                                    None                                      0
  66  Wordz         3427                                      None                                      0
  67  Wordz         273545                                    None                                      0
  68  Wordz         234324                                    None                                      0
  69  Wordz         332636                                    None                                      0
  70  Wordz         263336                                    None                                      0
  71  Wordz         253322                                    None                                      0
  72  Wordz         342                                       None                                      0
  73  Wordz         325314                                    None                                      0
  74  Wordz         142424                                    None                                      0
  75  Wordz         343                                       None                                      0
  76  Wordz         2542                                      None                                      0
  77  Wordz         35121                                     None                                      0
  78  Wordz         13362                                     None                                      0
  79  Wordz         26253                                     None                                      0
  80  Wordz         354                                       None                                      0
  81  Wordz         352435                                    None                                      0
  82  Wordz         43232                                     None                                      0
  83  Wordz         32142                                     None                                      0
  84  Wordz         343346                                    None                                      0
  85  Wordz         2434                                      None                                      0
  86  Wordz         332                                       None                                      0
  87  Wordz         244                                       None                                      0
  88  Wordz         42233                                     None                                      0
  89  Wordz         3443                                      None                                      0
  90  Wordz         23244                                     None                                      0
  91  Wordz         425                                       None                                      0
  92  Wordz         53336                                     None                                      0
  93  Wordz         545                                       None                                      0
  94  Wordz         4315                                      None                                      0
  95  Wordz         291213                                    None                                      0
  96  Wordz         22374                                     None                                      0
  97  Wordz         133                                       None                                      0
  98  Wordz         53142                                     None                                      0
  99  Wordz         24533                                     None                                      0
 100  Wordz         333224                                    None                                      0
 101  Wordz         243532                                    None                                      0
 102  Wordz         3435                                      None                                      0
 103  Wordz         442                                       None                                      0
 104  Wordz         14263                                     None                                      0
 105  Wordz         3324                                      None                                      0
 106  Wordz         443415                                    None                                      0
 107  Wordz         252413                                    None                                      0
 108  Wordz         234                                       None                                      0
 109  Wordz         26223                                     None                                      0
 110  Wordz         261                                       None                                      0
 111  Wordz         33132                                     None                                      0
 112  Wordz         542223                                    None                                      0
 113  Wordz         251                                       None                                      0
 114  Wordz         263417                                    None                                      0
 115  Wordz         32332                                     None                                      0
 116  Wordz         23234                                     None                                      0
 117  Wordz         24264                                     None                                      0
 118  Wordz         36255                                     None                                      0
 119  Wordz         253                                       None                                      0
 120  Wordz         1415                                      None                                      0
 121  Wordz         14552                                     None                                      0
 122  Wordz         1323                                      None                                      0
 123  Wordz         24145                                     None                                      0
 124  Wordz         241                                       None                                      0
 125  Wordz         443241                                    None                                      0
 126  Wordz         143542                                    None                                      0
 127  Wordz         341                                       None                                      0
 128  Wordz         261735                                    None                                      0
 129  Wordz         35231                                     None                                      0
 130  Wordz         463                                       None                                      0
 131  Wordz         25412                                     None                                      0
 132  Wordz         3624                                      None                                      0
 133  Wordz         442645                                    None                                      0
 134  Wordz         352225                                    None                                      0
 135  Wordz         234642                                    None                                      0
 136  Wordz         375532                                    None                                      0
 137  Wordz         343                                       None                                      0
 138  Wordz         46231                                     None                                      0
 139  Wordz         132                                       None                                      0
 140  Wordz         4543                                      None                                      0
 141  Wordz         4414                                      None                                      0
 142  Wordz         2537                                      None                                      0
 143  Wordz         2634                                      None                                      0
 144  Wordz         254                                       None                                      0
 145  Wordz         36333                                     None                                      0
 146  Wordz         332444                                    None                                      0
 147  Wordz         125                                       None                                      0
 148  Wordz         3443                                      None                                      0
 149  Wordz         3326                                      None                                      0
 150  Wordz         35222                                     None                                      0
 151  Wordz         374                                       None                                      0
 152  Wordz         22484                                     None                                      0
 153  Wordz         36342                                     None                                      0
 154  Wordz         46222                                     None                                      0
 155  Wordz         372                                       None                                      0
 156  Wordz         15532                                     None                                      0
 157  Wordz         3523                                      None                                      0
 158  Wordz         3333                                      None                                      0
 159  Wordz         313                                       None                                      0
 160  Wordz         2445                                      None                                      0
 161  Wordz         342726                                    None                                      0
 162  Wordz         261436                                    None                                      0
 163  Wordz         251                                       None                                      0
 164  Wordz         553746                                    None                                      0
 165  Wordz         33464                                     None                                      0
 166  Wordz         27242                                     None                                      0
 167  Wordz         4627                                      None                                      0
 168  Wordz         243433                                    None                                      0
 169  Wordz         2622                                      None                                      0
 170  Wordz         231                                       None                                      0
 171  Wordz         38354                                     None                                      0
 172  Wordz         252                                       None                                      0
 173  Wordz         114                                       None                                      0
 174  Wordz         562422                                    None                                      0
 175  Wordz         2535                                      None                                      0
 176  Wordz         14353                                     None                                      0
 177  Wordz         452426                                    None                                      0
 178  Wordz         253335                                    None                                      0
 179  Wordz         6415                                      None                                      0
 180  Wordz         1455                                      None                                      0
 181  Wordz         24461                                     None                                      0
 182  Wordz         334                                       None                                      0
 183  Wordz         1322                                      None                                      0
 184  Wordz         223                                       None                                      0
 185  Wordz         352                                       None                                      0
 186  Wordz         352                                       None                                      0
 187  Wordz         25352                                     None                                      0
 188  Wordz         254323                                    None                                      0
 189  Wordz         3425                                      None                                      0
 190  Wordz         3247                                      None                                      0
 191  Wordz         331                                       None                                      0
