Centaur Zendo round 2 (training)
round_id : c974e746151a4d688332add34d935a3b
written  : 2026-09-02 13:57:52Z
presented=694  answered=665  correct=24  skipped=29
client answer latency: mean 0.087 ms  median 0.064 ms  max 5.996 ms  (n=695)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         3325                                      are like for important                    0
   1  Wordz         54122                                     after other is that you                   0
   2  Wordz         162646                                    the association have organization ameri…  0
   3  Wordz         351                                       because administration and                0
   4  Wordz         262                                       to should in                              0
   5  Wordz         275633                                    to company would around you was           0
   6  Wordz         273                                       the development from                      0
   7  Wordz         233                                       the with this                             0
   8  Wordz         23253                                     are your they available really            0
   9  Wordz         245527                                    about american absolutely immediately a…  0
  10  Wordz         3224                                      are to for really                         0
  11  Wordz         123425                                    and to have over you government           0
  12  Wordz         244223                                    you someone believe your one between      0
  13  Wordz         33442                                     because before information university a…  0
  14  Wordz         463                                       that should for                           0
  15  Wordz         33534                                     the and would that your                   0
  16  Wordz         232326                                    the this for they was department          0
  17  Wordz         45233                                     which things for from they                0
  18  Wordz         335343                                    you your university people believe year   0
  19  Wordz         364                                       something approximately information       0
  20  Wordz         4526                                      their national for certainly              0
  21  Wordz         162653                                    and information of yourself different t…  0
  22  Wordz         332                                       about people have                         1
  23  Wordz         14243                                     the everyone one university someone       0
  24  Wordz         462                                       that should in                            0
  25  Wordz         543434                                    about this for from you they              0
  26  Wordz         342423                                    with think for right was what             0
  27  Wordz         262                                       the different for                         0
  28  Wordz         282                                       are disproportionately they               0
  29  Wordz         4644                                      everything approximately information co…  0
  30  Wordz         524627                                    another to after certainly it approxima…  0
  31  Wordz         322459                                    for to of over different extraordinarily  0
  32  Wordz         224326                                    you are believe something one communica…  0
  33  Wordz         2423                                      are everyone one another                  0
  34  Wordz         22332                                     to of for you it                          0
  35  Wordz         321322                                    the of mm that it on                      0
  36  Wordz         452643                                    first company for president world what    0
  37  Wordz         34351                                     that first this thought you               0
  38  Wordz         37452                                     you identification already available li…  0
  39  Wordz         36321                                     something approximately another only in   0
  40  Wordz         22434                                     the to after more great                   0
