Centaur Zendo round 3 (training)
round_id : 37235c40b9104d559e1833fc25a0d7bb
written  : 2026-09-02 14:11:15Z
presented=615  answered=575  correct=135  skipped=40
client answer latency: mean 0.103 ms  median 0.077 ms  max 6.766 ms  (n=615)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         3123                                      about and have before                     0
   1  Wordz         33442                                     between another believe everyone one      0
   2  Wordz         342735                                    None                                      0
   3  Wordz         132                                       the house have                            0
   4  Wordz         21532                                     also and education before one             0
   5  Wordz         532                                       beautiful another your                    0
   6  Wordz         341533                                    about because in experience every people  0
   7  Wordz         224642                                    also are believe administration first o…  0
   8  Wordz         2335                                      also another around experience            0
   9  Wordz         233435                                    also another around everyone again repu…  0
  10  Wordz         36271                                     None                                      0
  11  Wordz         34573                                     without because education identificatio…  0
  12  Wordz         271                                       None                                      0
  13  Wordz         242                                       out because have                          0
  14  Wordz         162                                       the organization have                     1
  15  Wordz         24265                                     also because more organization informat…  0
  16  Wordz         36122                                     about organization in like one            1
  17  Wordz         244335                                    also because question before every repu…  0
  18  Wordz         1536                                      the company around organization           1
  19  Wordz         452236                                    american company have were every organi…  0
  20  Wordz         37161                                     None                                      0
  21  Wordz         132454                                    the another have everyone situation nat…  0
  22  Wordz         442346                                    american because have before first orga…  0
  23  Wordz         554633                                    beautiful company believe organization …  0
  24  Wordz         1556                                      the company education organization        1
  25  Wordz         5224                                      european are have everyone                0
  26  Wordz         172623                                    None                                      0
  27  Wordz         325                                       about their education                     0
  28  Wordz         242321                                    also because have before one and          0
  29  Wordz         231                                       also another of                           0
  30  Wordz         263                                       also organization around                  1
  31  Wordz         2346                                      also another believe investigation        0
  32  Wordz         134136                                    the another believe to every organizati…  0
  33  Wordz         1717                                      is rehabilitation in qualification        0
  34  Wordz         4623                                      american organization have before         1
  35  Wordz         263                                       also organization please                  1
  36  Wordz         1336                                      the another around organization           0
  37  Wordz         452334                                    political company have before every nat…  0
  38  Wordz         241                                       also because in                           0
