Centaur Zendo round 1 (training)
round_id : a01ee7ff27ba47bdad8f20db7512a305
written  : 2026-09-02 13:49:36Z
presented=767  answered=0  correct=0  skipped=767
client answer latency: mean 0.087 ms  median 0.082 ms  max 1.122 ms  (n=767)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         3525                                      None                                      0
   1  Wordz         26264                                     None                                      0
   2  Wordz         232633                                    None                                      0
   3  Wordz         256                                       None                                      0
   4  Wordz         13441                                     None                                      0
   5  Wordz         25312                                     None                                      0
   6  Wordz         23432                                     None                                      0
   7  Wordz         3734                                      None                                      0
   8  Wordz         222                                       None                                      0
   9  Wordz         524826                                    None                                      0
  10  Wordz         3544                                      None                                      0
  11  Wordz         332324                                    None                                      0
  12  Wordz         44151                                     None                                      0
  13  Wordz         22334                                     None                                      0
  14  Wordz         251                                       None                                      0
  15  Wordz         264                                       None                                      0
  16  Wordz         25255                                     None                                      0
  17  Wordz         252323                                    None                                      0
  18  Wordz         233                                       None                                      0
  19  Wordz         35233                                     None                                      0
  20  Wordz         233523                                    None                                      0
  21  Wordz         2542                                      None                                      0
  22  Wordz         14241                                     None                                      0
  23  Wordz         13372                                     None                                      0
  24  Wordz         2265                                      None                                      0
  25  Wordz         24233                                     None                                      0
  26  Wordz         3634                                      None                                      0
  27  Wordz         23422                                     None                                      0
  28  Wordz         4642                                      None                                      0
  29  Wordz         24122                                     None                                      0
  30  Wordz         3532                                      None                                      0
  31  Wordz         32542                                     None                                      0
  32  Wordz         252423                                    None                                      0
  33  Wordz         36553                                     None                                      0
  34  Wordz         335325                                    None                                      0
  35  Wordz         333426                                    None                                      0
  36  Wordz         152514                                    None                                      0
  37  Wordz         345445                                    None                                      0
  38  Wordz         233423                                    None                                      0
  39  Wordz         161                                       None                                      0
  40  Wordz         131                                       None                                      0
  41  Wordz         1335                                      None                                      0
  42  Wordz         244                                       None                                      0
  43  Wordz         354                                       None                                      0
  44  Wordz         242422                                    None                                      0
  45  Wordz         3124                                      None                                      0
  46  Wordz         442                                       None                                      0
  47  Wordz         242                                       None                                      0
  48  Wordz         13171                                     None                                      0
  49  Wordz         162                                       None                                      0
  50  Wordz         242                                       None                                      0
  51  Wordz         154525                                    None                                      0
  52  Wordz         562                                       None                                      0
  53  Wordz         254525                                    None                                      0
  54  Wordz         153                                       None                                      0
  55  Wordz         554                                       None                                      0
  56  Wordz         341                                       None                                      0
  57  Wordz         2733                                      None                                      0
  58  Wordz         1316                                      None                                      0
  59  Wordz         241433                                    None                                      0
  60  Wordz         263                                       None                                      0
  61  Wordz         222                                       None                                      0
  62  Wordz         3432                                      None                                      0
  63  Wordz         1213                                      None                                      0
  64  Wordz         351                                       None                                      0
  65  Wordz         3523                                      None                                      0
  66  Wordz         464324                                    None                                      0
  67  Wordz         3334                                      None                                      0
  68  Wordz         232344                                    None                                      0
  69  Wordz         1422                                      None                                      0
  70  Wordz         24264                                     None                                      0
  71  Wordz         323                                       None                                      0
  72  Wordz         263516                                    None                                      0
  73  Wordz         33235                                     None                                      0
  74  Wordz         141                                       None                                      0
  75  Wordz         3622                                      None                                      0
  76  Wordz         451616                                    None                                      0
  77  Wordz         3545                                      None                                      0
  78  Wordz         32253                                     None                                      0
  79  Wordz         455423                                    None                                      0
  80  Wordz         27152                                     None                                      0
  81  Wordz         262                                       None                                      0
  82  Wordz         2435                                      None                                      0
  83  Wordz         12233                                     None                                      0
  84  Wordz         34354                                     None                                      0
  85  Wordz         182465                                    None                                      0
  86  Wordz         384423                                    None                                      0
  87  Wordz         234                                       None                                      0
  88  Wordz         353                                       None                                      0
  89  Wordz         231                                       None                                      0
  90  Wordz         33252                                     None                                      0
  91  Wordz         461                                       None                                      0
  92  Wordz         36544                                     None                                      0
  93  Wordz         362                                       None                                      0
  94  Wordz         5627                                      None                                      0
  95  Wordz         343                                       None                                      0
  96  Wordz         332425                                    None                                      0
  97  Wordz         365522                                    None                                      0
  98  Wordz         223                                       None                                      0
  99  Wordz         341314                                    None                                      0
 100  Wordz         3515                                      None                                      0
 101  Wordz         36433                                     None                                      0
 102  Wordz         123                                       None                                      0
 103  Wordz         352515                                    None                                      0
 104  Wordz         233644                                    None                                      0
 105  Wordz         3235                                      None                                      0
 106  Wordz         14133                                     None                                      0
 107  Wordz         48143                                     None                                      0
 108  Wordz         225743                                    None                                      0
 109  Wordz         2244                                      None                                      0
 110  Wordz         54262                                     None                                      0
 111  Wordz         22133                                     None                                      0
 112  Wordz         5223                                      None                                      0
 113  Wordz         473657                                    None                                      0
 114  Wordz         53242                                     None                                      0
 115  Wordz         5334                                      None                                      0
 116  Wordz         463327                                    None                                      0
 117  Wordz         563                                       None                                      0
 118  Wordz         4445                                      None                                      0
 119  Wordz         27253                                     None                                      0
 120  Wordz         36462                                     None                                      0
 121  Wordz         122                                       None                                      0
 122  Wordz         263441                                    None                                      0
 123  Wordz         42321                                     None                                      0
 124  Wordz         3242                                      None                                      0
 125  Wordz         153                                       None                                      0
 126  Wordz         462622                                    None                                      0
 127  Wordz         24261                                     None                                      0
 128  Wordz         17342                                     None                                      0
 129  Wordz         6235                                      None                                      0
 130  Wordz         342326                                    None                                      0
 131  Wordz         2325                                      None                                      0
 132  Wordz         244                                       None                                      0
 133  Wordz         374                                       None                                      0
 134  Wordz         265                                       None                                      0
 135  Wordz         372                                       None                                      0
 136  Wordz         5453                                      None                                      0
 137  Wordz         233525                                    None                                      0
 138  Wordz         422624                                    None                                      0
 139  Wordz         351                                       None                                      0
 140  Wordz         14331                                     None                                      0
 141  Wordz         3444                                      None                                      0
 142  Wordz         122                                       None                                      0
 143  Wordz         34421                                     None                                      0
 144  Wordz         343224                                    None                                      0
 145  Wordz         133345                                    None                                      0
 146  Wordz         2423                                      None                                      0
 147  Wordz         24254                                     None                                      0
 148  Wordz         361                                       None                                      0
 149  Wordz         24222                                     None                                      0
 150  Wordz         542                                       None                                      0
 151  Wordz         3313                                      None                                      0
 152  Wordz         223333                                    None                                      0
 153  Wordz         43342                                     None                                      0
 154  Wordz         352                                       None                                      0
 155  Wordz         35453                                     None                                      0
 156  Wordz         26321                                     None                                      0
 157  Wordz         252355                                    None                                      0
 158  Wordz         273224                                    None                                      0
 159  Wordz         3433                                      None                                      0
 160  Wordz         554426                                    None                                      0
 161  Wordz         3425                                      None                                      0
 162  Wordz         333212                                    None                                      0
 163  Wordz         362526                                    None                                      0
 164  Wordz         36243                                     None                                      0
 165  Wordz         422                                       None                                      0
 166  Wordz         123                                       None                                      0
 167  Wordz         2524                                      None                                      0
 168  Wordz         124447                                    None                                      0
 169  Wordz         2533                                      None                                      0
 170  Wordz         44353                                     None                                      0
 171  Wordz         361233                                    None                                      0
 172  Wordz         1536                                      None                                      0
 173  Wordz         16152                                     None                                      0
 174  Wordz         25331                                     None                                      0
 175  Wordz         3627                                      None                                      0
 176  Wordz         4624                                      None                                      0
 177  Wordz         45262                                     None                                      0
 178  Wordz         152                                       None                                      0
 179  Wordz         4636                                      None                                      0
 180  Wordz         17443                                     None                                      0
 181  Wordz         2223                                      None                                      0
 182  Wordz         233                                       None                                      0
 183  Wordz         33142                                     None                                      0
 184  Wordz         3424                                      None                                      0
 185  Wordz         572344                                    None                                      0
 186  Wordz         343                                       None                                      0
 187  Wordz         42423                                     None                                      0
 188  Wordz         3314                                      None                                      0
 189  Wordz         362513                                    None                                      0
 190  Wordz         3434                                      None                                      0
 191  Wordz         23542                                     None                                      0
 192  Wordz         33133                                     None                                      0
 193  Wordz         251432                                    None                                      0
 194  Wordz         533                                       None                                      0
 195  Wordz         12364                                     None                                      0
 196  Wordz         471421                                    None                                      0
 197  Wordz         1533                                      None                                      0
 198  Wordz         163                                       None                                      0
 199  Wordz         251637                                    None                                      0
 200  Wordz         1342                                      None                                      0
 201  Wordz         352737                                    None                                      0
 202  Wordz         252327                                    None                                      0
 203  Wordz         43143                                     None                                      0
 204  Wordz         27222                                     None                                      0
 205  Wordz         25354                                     None                                      0
 206  Wordz         353                                       None                                      0
 207  Wordz         434                                       None                                      0
 208  Wordz         372                                       None                                      0
 209  Wordz         443                                       None                                      0
 210  Wordz         4538                                      None                                      0
 211  Wordz         46152                                     None                                      0
 212  Wordz         3435                                      None                                      0
 213  Wordz         343                                       None                                      0
 214  Wordz         153123                                    None                                      0
 215  Wordz         254                                       None                                      0
 216  Wordz         4434                                      None                                      0
 217  Wordz         5526                                      None                                      0
 218  Wordz         342226                                    None                                      0
 219  Wordz         46233                                     None                                      0
 220  Wordz         44234                                     None                                      0
 221  Wordz         331432                                    None                                      0
 222  Wordz         253636                                    None                                      0
 223  Wordz         2445                                      None                                      0
 224  Wordz         352545                                    None                                      0
 225  Wordz         1335                                      None                                      0
 226  Wordz         32233                                     None                                      0
 227  Wordz         374                                       None                                      0
 228  Wordz         25423                                     None                                      0
 229  Wordz         13423                                     None                                      0
 230  Wordz         221                                       None                                      0
 231  Wordz         2747                                      None                                      0
 232  Wordz         232834                                    None                                      0
 233  Wordz         143324                                    None                                      0
 234  Wordz         271                                       None                                      0
 235  Wordz         1734                                      None                                      0
 236  Wordz         17241                                     None                                      0
 237  Wordz         552                                       None                                      0
 238  Wordz         233                                       None                                      0
 239  Wordz         134524                                    None                                      0
 240  Wordz         14121                                     None                                      0
 241  Wordz         353524                                    None                                      0
 242  Wordz         14251                                     None                                      0
 243  Wordz         34343                                     None                                      0
 244  Wordz         244743                                    None                                      0
 245  Wordz         244                                       None                                      0
 246  Wordz         4422                                      None                                      0
 247  Wordz         365424                                    None                                      0
 248  Wordz         2435                                      None                                      0
 249  Wordz         343423                                    None                                      0
 250  Wordz         2442                                      None                                      0
 251  Wordz         23333                                     None                                      0
 252  Wordz         63532                                     None                                      0
 253  Wordz         2636                                      None                                      0
 254  Wordz         464                                       None                                      0
 255  Wordz         4426                                      None                                      0
 256  Wordz         2532                                      None                                      0
 257  Wordz         122522                                    None                                      0
 258  Wordz         24342                                     None                                      0
 259  Wordz         2346                                      None                                      0
 260  Wordz         33212                                     None                                      0
 261  Wordz         36273                                     None                                      0
 262  Wordz         451426                                    None                                      0
 263  Wordz         322435                                    None                                      0
 264  Wordz         3252                                      None                                      0
 265  Wordz         663323                                    None                                      0
 266  Wordz         24454                                     None                                      0
 267  Wordz         23174                                     None                                      0
 268  Wordz         461                                       None                                      0
 269  Wordz         4523                                      None                                      0
 270  Wordz         4423                                      None                                      0
 271  Wordz         37322                                     None                                      0
 272  Wordz         3442                                      None                                      0
 273  Wordz         24252                                     None                                      0
 274  Wordz         543                                       None                                      0
 275  Wordz         53133                                     None                                      0
 276  Wordz         3527                                      None                                      0
 277  Wordz         243636                                    None                                      0
 278  Wordz         2625                                      None                                      0
 279  Wordz         2623                                      None                                      0
 280  Wordz         253733                                    None                                      0
 281  Wordz         1425                                      None                                      0
 282  Wordz         432323                                    None                                      0
 283  Wordz         1425                                      None                                      0
 284  Wordz         141                                       None                                      0
 285  Wordz         163523                                    None                                      0
 286  Wordz         28342                                     None                                      0
 287  Wordz         33242                                     None                                      0
 288  Wordz         2424                                      None                                      0
 289  Wordz         4235                                      None                                      0
 290  Wordz         33461                                     None                                      0
 291  Wordz         452                                       None                                      0
 292  Wordz         252                                       None                                      0
 293  Wordz         254                                       None                                      0
 294  Wordz         3234                                      None                                      0
 295  Wordz         362525                                    None                                      0
 296  Wordz         441                                       None                                      0
 297  Wordz         2643                                      None                                      0
 298  Wordz         341343                                    None                                      0
 299  Wordz         22262                                     None                                      0
 300  Wordz         421534                                    None                                      0
 301  Wordz         32354                                     None                                      0
 302  Wordz         3534                                      None                                      0
 303  Wordz         1314                                      None                                      0
 304  Wordz         2515                                      None                                      0
 305  Wordz         3424                                      None                                      0
 306  Wordz         23242                                     None                                      0
 307  Wordz         242                                       None                                      0
 308  Wordz         334232                                    None                                      0
 309  Wordz         133                                       None                                      0
 310  Wordz         53341                                     None                                      0
 311  Wordz         235                                       None                                      0
 312  Wordz         443                                       None                                      0
 313  Wordz         24242                                     None                                      0
 314  Wordz         13243                                     None                                      0
 315  Wordz         244                                       None                                      0
 316  Wordz         163633                                    None                                      0
 317  Wordz         284                                       None                                      0
 318  Wordz         44372                                     None                                      0
 319  Wordz         343                                       None                                      0
 320  Wordz         1326                                      None                                      0
 321  Wordz         152524                                    None                                      0
 322  Wordz         543                                       None                                      0
 323  Wordz         231                                       None                                      0
 324  Wordz         223226                                    None                                      0
 325  Wordz         282                                       None                                      0
 326  Wordz         2432                                      None                                      0
 327  Wordz         24643                                     None                                      0
 328  Wordz         234435                                    None                                      0
 329  Wordz         26123                                     None                                      0
 330  Wordz         36221                                     None                                      0
 331  Wordz         12342                                     None                                      0
 332  Wordz         524                                       None                                      0
 333  Wordz         44432                                     None                                      0
 334  Wordz         336                                       None                                      0
 335  Wordz         452325                                    None                                      0
 336  Wordz         344614                                    None                                      0
 337  Wordz         3633                                      None                                      0
 338  Wordz         16242                                     None                                      0
 339  Wordz         12233                                     None                                      0
 340  Wordz         233                                       None                                      0
 341  Wordz         34242                                     None                                      0
 342  Wordz         342                                       None                                      0
 343  Wordz         152427                                    None                                      0
 344  Wordz         1322                                      None                                      0
 345  Wordz         241                                       None                                      0
 346  Wordz         321                                       None                                      0
 347  Wordz         234726                                    None                                      0
 348  Wordz         13441                                     None                                      0
 349  Wordz         143                                       None                                      0
 350  Wordz         3724                                      None                                      0
 351  Wordz         4232                                      None                                      0
 352  Wordz         333                                       None                                      0
 353  Wordz         341                                       None                                      0
 354  Wordz         322                                       None                                      0
 355  Wordz         432422                                    None                                      0
 356  Wordz         33431                                     None                                      0
 357  Wordz         3413                                      None                                      0
 358  Wordz         22243                                     None                                      0
 359  Wordz         242                                       None                                      0
 360  Wordz         3747                                      None                                      0
 361  Wordz         372442                                    None                                      0
 362  Wordz         1333                                      None                                      0
 363  Wordz         121413                                    None                                      0
 364  Wordz         26242                                     None                                      0
 365  Wordz         35552                                     None                                      0
 366  Wordz         342236                                    None                                      0
 367  Wordz         246724                                    None                                      0
 368  Wordz         241                                       None                                      0
 369  Wordz         1331                                      None                                      0
 370  Wordz         16431                                     None                                      0
 371  Wordz         34344                                     None                                      0
 372  Wordz         1346                                      None                                      0
 373  Wordz         245                                       None                                      0
 374  Wordz         252533                                    None                                      0
 375  Wordz         16343                                     None                                      0
 376  Wordz         443523                                    None                                      0
 377  Wordz         232                                       None                                      0
