Centaur Zendo round 2 (training)
round_id : d556c260d7c74a96a2a69fa616e261b5
written  : 2026-09-02 13:55:07Z
presented=511  answered=487  correct=14  skipped=24
client answer latency: mean 0.113 ms  median 0.086 ms  max 6.402 ms  (n=511)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         352626                                    tenure necessities sec dependence wishi…  0
   1  Wordz         3526                                      tenure unwarranted sec dependence         0
   2  Wordz         434                                       rapper petitioner satisfied               0
   3  Wordz         1336                                      chow consolation consolation dependence   0
   4  Wordz         2334                                      sec retrofit retrofit rapper              0
   5  Wordz         153                                       chow buffoon tenure                       0
   6  Wordz         354                                       tenure weighs rapper                      0
   7  Wordz         443212                                    rapper satisfied tenure server chow ser…  0
   8  Wordz         252                                       sec richard wishing                       0
   9  Wordz         3433                                      tenure manger detriment tenure            1
  10  Wordz         3223                                      tenure sec wishing detriment              0
  11  Wordz         3622                                      tenure dependence biotech biotech         0
  12  Wordz         2324                                      sec tenure wishing seashore               0
  13  Wordz         252                                       sec commotion wishing                     0
  14  Wordz         33272                                     tenure detriment sec remnant wishing      0
  15  Wordz         53343                                     outlets tenure detriment rapper tenure    0
  16  Wordz         15262                                     chow mcc sec dependence wishing           0
  17  Wordz         45143                                     rapper rework chow satisfied tenure       0
  18  Wordz         242526                                    sec rapper wishing cleaning sec depende…  0
  19  Wordz         3423                                      owe rapper sec owe                        0
  20  Wordz         4422                                      rapper satisfied sec wishing              0
  21  Wordz         332323                                    eng eng sec eng wishing eng               0
  22  Wordz         352                                       tenure mormons sec                        0
  23  Wordz         1235                                      chow sec tenure tribunals                 0
  24  Wordz         561232                                    pritchard dependence chow sec tenure wi…  0
  25  Wordz         262                                       sec dependence wishing                    0
  26  Wordz         252                                       sec indicated wishing                     0
  27  Wordz         32243                                     measured sec wishing rapper measured      0
  28  Wordz         37442                                     tenure unidentified rapper satisfied sec  0
  29  Wordz         33462                                     prioritized prioritized rapper dependen…  0
  30  Wordz         263246                                    sec dependence tenure wishing rapper de…  0
  31  Wordz         241                                       bolted rapper chow                        0
  32  Wordz         24232                                     mainz rapper mainz tenure mainz           0
  33  Wordz         1437                                      chow rapper tenure hibernation            0
  34  Wordz         521                                       invested sec chow                         0
  35  Wordz         1625                                      chow dependence sec horned                0
  36  Wordz         441833                                    rapper satisfied chow revamped tenure d…  0
  37  Wordz         2325                                      sec tenure wishing reloaded               0
  38  Wordz         23334                                     sec tenure detriment tenure unspeakable   0
  39  Wordz         24364                                     sec lian tenure dependence lian           0
  40  Wordz         25232                                     sec grids wishing tenure sec              0
  41  Wordz         2417                                      sec rapper chow sprinkled                 0
  42  Wordz         4334                                      rapper leafs leafs satisfied              0
  43  Wordz         33372                                     tenure detriment tenure honoured sec      0
  44  Wordz         243                                       sec rapper alerting                       0
  45  Wordz         15233                                     chow bloke sec tenure detriment           0
  46  Wordz         354558                                    None                                      0
  47  Wordz         3617                                      tenure dependence chow walker             0
  48  Wordz         242                                       min rapper min                            0
  49  Wordz         425623                                    rapper sec scopes dependence wishing te…  0
  50  Wordz         124324                                    chow sec rapper tenure wishing satisfied  0
  51  Wordz         443                                       rapper satisfied pamphlet                 0
  52  Wordz         3435                                      tenure rapper detriment siding            0
  53  Wordz         323                                       knit sec knit                             0
  54  Wordz         242                                       peirce rapper peirce                      0
  55  Wordz         13342                                     chow tenure detriment rapper sec          0
  56  Wordz         36243                                     tenure dependence kandahar rapper detri…  0
  57  Wordz         2544                                      sec riveted rapper satisfied              0
  58  Wordz         542526                                    introduce rapper sec introduce wishing …  0
  59  Wordz         14443                                     chow rapper satisfied freeing boca        0
  60  Wordz         46361                                     rapper dependence tenure dependence chow  0
  61  Wordz         3824                                      tenure functionally sec rapper            0
  62  Wordz         243                                       sec tailgating tenure                     0
  63  Wordz         24133                                     sec holm chow tenure detriment            0
  64  Wordz         4542                                      rapper fly satisfied sec                  0
  65  Wordz         4323                                      rapper tenure sec detriment               0
  66  Wordz         24363                                     sec hollis tenure dependence detriment    0
  67  Wordz         1323                                      blockade tenure sec detriment             0
  68  Wordz         151                                       chow ditto bulky                          0
  69  Wordz         335414                                    tenure detriment adore rapper chow sati…  0
  70  Wordz         523515                                    awful sec tenure awful chow awful         0
  71  Wordz         146                                       chow rapper lattice                       0
  72  Wordz         46432                                     rapper maneuvering satisfied tenure sec   0
  73  Wordz         264414                                    sec exponential rapper satisfied chow f…  0
  74  Wordz         223535                                    sec wishing tenure tenuous detriment te…  0
  75  Wordz         24253                                     sec rapper wishing montenegro tenure      0
  76  Wordz         442                                       puppets puppets sec                       0
  77  Wordz         3515                                      tenure taught chow taught                 0
  78  Wordz         444                                       fingered fingered fingered                0
  79  Wordz         352                                       tenure confirming sec                     0
  80  Wordz         47231                                     rapper haitian sec tenure chow            0
  81  Wordz         332744                                    tenure detriment sec nuke rapper satisf…  0
  82  Wordz         442325                                    rapper satisfied sec tenure wishing obj…  0
  83  Wordz         513315                                    cloves chow tenure detriment bulky clov…  0
  84  Wordz         4334                                      lohan tenure detriment lohan              0
  85  Wordz         2311                                      sec tenure chow bulky                     0
  86  Wordz         13234                                     chow tenure sec detriment protestors      0
  87  Wordz         233                                       manipulated tenure detriment              0
  88  Wordz         361                                       tenure sermons chow                       0
  89  Wordz         16422                                     chow dependence garda sec wishing         0
  90  Wordz         352                                       tenure cellulose sec                      0
  91  Wordz         431                                       rapper tenure petroleum                   0
  92  Wordz         24162                                     sec rapper electrical dependence wishing  0
  93  Wordz         2615                                      sec dependence chow extras                0
  94  Wordz         34353                                     tenure rapper detriment matteo tenure     0
  95  Wordz         364636                                    tenure dependence rapper dependence det…  0
  96  Wordz         4413                                      hustler hustler chow tenure               0
  97  Wordz         453                                       rapper valor tenure                       0
  98  Wordz         4526                                      rapper llc sec dependence                 0
  99  Wordz         36243                                     tenure octagon sec rapper detriment       0
 100  Wordz         312424                                    tenure chow sec rapper wishing satisfied  0
 101  Wordz         272415                                    None                                      0
 102  Wordz         15342                                     chow mlb tenure rapper sec                0
 103  Wordz         3736                                      tenure urinal detriment dependence        0
 104  Wordz         242334                                    sec rapper wishing scant scant satisfied  0
 105  Wordz         445                                       rapper satisfied dwindling                0
 106  Wordz         1623                                      chow dependence helene tenure             0
 107  Wordz         233                                       unwell tenure detriment                   1
 108  Wordz         4534                                      rapper pewdiepie tenure satisfied         0
 109  Wordz         57351                                     None                                      0
 110  Wordz         255725                                    None                                      0
 111  Wordz         231422                                    sec tenure chow gnostic wishing sec       0
 112  Wordz         132                                       chow necessarily sec                      0
 113  Wordz         54354                                     innovative rapper tenure innovative sat…  1
 114  Wordz         47532                                     None                                      0
 115  Wordz         232                                       sec tenure wishing                        0
 116  Wordz         233214                                    sec tenure detriment wishing otherworld…  0
 117  Wordz         363722                                    tenure dependence detriment bras sec wi…  0
 118  Wordz         34144                                     tenure rapper prestige satisfied freeing  0
 119  Wordz         264                                       sec dependence knot                       0
 120  Wordz         141623                                    chow rapper bulky dependence sec tenure   0
 121  Wordz         26212                                     sec otis wishing chow sec                 0
 122  Wordz         5344                                      dragged tenure rapper satisfied           0
 123  Wordz         35372                                     None                                      0
 124  Wordz         252523                                    sec carrot wishing carrot sec tenure      0
 125  Wordz         154448                                    None                                      0
 126  Wordz         43141                                     rapper towel chow satisfied bulky         0
 127  Wordz         2353                                      sec tenure flair detriment                0
 128  Wordz         253625                                    sec dunfermline tenure dependence wishi…  0
 129  Wordz         221                                       adjust adjust chow                        0
 130  Wordz         1734                                      chow logs tenure rapper                   0
 131  Wordz         224                                       minimal minimal rapper                    0
 132  Wordz         352423                                    tenure lump sec rapper wishing detriment  0
 133  Wordz         3435                                      tenure rapper detriment kayla             0
 134  Wordz         353                                       tenure santiago detriment                 0
 135  Wordz         34221                                     tenure rapper sec wishing chow            0
 136  Wordz         2443                                      sec keg keg tenure                        0
 137  Wordz         1124                                      chow bulky sec objectivity                0
 138  Wordz         44262                                     vestiges vestiges sec dependence wishing  0
 139  Wordz         144713                                    chow rapper satisfied disco bulky tenure  0
 140  Wordz         541                                       frog rapper chow                          0
 141  Wordz         283                                       sec iec tenure                            0
 142  Wordz         232                                       sec kink wishing                          0
 143  Wordz         441                                       rapper satisfied walsh                    0
 144  Wordz         342                                       val rapper sec                            0
 145  Wordz         362                                       tenure dependence sec                     0
 146  Wordz         255                                       sec sociedad sociedad                     0
 147  Wordz         5325                                      outcrop tenure sec outcrop                0
 148  Wordz         245646                                    sec rapper afterthought dependence sati…  0
 149  Wordz         353                                       tenure dhs detriment                      0
 150  Wordz         541525                                    vishnu rapper chow vishnu sec vishnu      0
 151  Wordz         112                                       maps maps sec                             0
 152  Wordz         34242                                     tentacles rapper sec satisfied wishing    0
 153  Wordz         383                                       tenure restarting detriment               0
 154  Wordz         244533                                    sec rapper satisfied orson tenure detri…  0
 155  Wordz         443                                       rapper satisfied tenure                   0
 156  Wordz         242227                                    sec rapper wishing sec wishing noonan     0
 157  Wordz         24141                                     monde rapper chow satisfied bulky         0
