Centaur Zendo round 3 (training)
round_id : 20156e52034b44e28ca5ae529fb3ea82
written  : 2026-09-02 13:59:25Z
presented=632  answered=588  correct=61  skipped=44
client answer latency: mean 0.116 ms  median 0.090 ms  max 3.790 ms  (n=633)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         3432                                      tenure incubators detriment sec           0
   1  Wordz         13244                                     chow kigali sec rapper satisfied          0
   2  Wordz         423                                       rapper sec punishing                      0
   3  Wordz         3422                                      tenure bankruptcies sec wishing           0
   4  Wordz         431322                                    rapper tenure chow detriment protons sec  0
   5  Wordz         372                                       None                                      0
   6  Wordz         1345                                      chow tenure renounced innovative          0
   7  Wordz         2642                                      coals dependence rapper sec               0
   8  Wordz         241                                       reese rapper chow                         0
   9  Wordz         42674                                     rapper sec dependence conversing satisf…  0
  10  Wordz         345524                                    sahara rapper innovative amongst sec sa…  0
  11  Wordz         32232                                     recife sec wishing tenure unwell          0
  12  Wordz         362734                                    tenure dependence sec chancellor detrim…  0
  13  Wordz         143535                                    chow rapper paces innovative tenure amo…  0
  14  Wordz         43344                                     satirical tenure detriment rapper satis…  1
  15  Wordz         5433                                      barracuda rapper tenure detriment         0
  16  Wordz         15162                                     chow innovative bulky dependence warcra…  1
  17  Wordz         36442                                     tenure dependence venture rapper sec      0
  18  Wordz         4424                                      professorship rapper sec satisfied        0
  19  Wordz         34271                                     None                                      0
  20  Wordz         5445                                      innovative reliant rapper amongst         0
  21  Wordz         223                                       sec wishing sick                          0
  22  Wordz         4544                                      baddies innovative rapper satisfied       0
  23  Wordz         442555                                    locket rapper sec innovative amongst un…  0
  24  Wordz         124                                       kyrgyzstan sec rapper                     0
  25  Wordz         14335                                     chow rapper pgs tenure innovative         0
  26  Wordz         353                                       heartedly innovative tenure               1
  27  Wordz         351                                       tenure innovative ron                     1
  28  Wordz         334                                       tenure detriment originals                0
  29  Wordz         3527                                      tenure innovative sec mythology           0
  30  Wordz         243643                                    nye rapper tenure dependence satisfied …  0
  31  Wordz         3516                                      cottage innovative chow dependence        1
  32  Wordz         442                                       rapper satisfied stiffer                  0
  33  Wordz         463433                                    vassal dependence tenure rapper detrime…  0
  34  Wordz         262322                                    motif dependence sec tenure wishing unw…  0
  35  Wordz         343523                                    tenure rapper detriment deflation sec e…  0
  36  Wordz         243222                                    sec rapper nowadays wishing unwell phra…  0
  37  Wordz         1633                                      chow dependence acreage tenure            0
  38  Wordz         441                                       improv rapper chow                        0
  39  Wordz         242253                                    landlord rapper sec wishing innovative …  0
  40  Wordz         2526                                      gliders innovative sec dependence         0
  41  Wordz         235434                                    sec tenure innovative resign detriment …  0
  42  Wordz         123315                                    chow messes tenure detriment bulky inno…  0
  43  Wordz         55142                                     innovative amongst chow ballad sec        0
  44  Wordz         2426                                      sec rapper wishing committed              0
  45  Wordz         17241                                     None                                      0
  46  Wordz         1424                                      chow rapper wetting satisfied             0
  47  Wordz         14252                                     chow rapper bes innovative sec            0
  48  Wordz         233                                       boards tenure detriment                   0
  49  Wordz         25354                                     sec thermal tenure innovative rapper      0
  50  Wordz         353                                       tenure kinship detriment                  1
  51  Wordz         24354                                     sec rapper distillery innovative satisf…  0
  52  Wordz         232                                       sec schooner wishing                      0
  53  Wordz         454                                       duster innovative rapper                  0
  54  Wordz         2425                                      sec rapper wishing dietitian              0
  55  Wordz         373533                                    tenure carcinogens detriment innovative…  0
  56  Wordz         22233                                     sec wishing unwell pics tenure            0
  57  Wordz         422                                       rapper xii sec                            0
  58  Wordz         354                                       tenure innovative mobilize                1
  59  Wordz         163646                                    chow dependence tenure inventory hints …  0
  60  Wordz         25261                                     sec extortion wishing dependence chow     0
  61  Wordz         453                                       rapper popping tenure                     0
  62  Wordz         44242                                     rapper satisfied subset freeing sec       0
  63  Wordz         2823                                      sec categorically wishing tenure          0
  64  Wordz         341824                                    None                                      0
  65  Wordz         464416                                    smooth dependence rapper satisfied chow…  0
  66  Wordz         132444                                    chow toothbrush sec rapper satisfied fr…  0
  67  Wordz         26282                                     None                                      0
  68  Wordz         23223                                     iman tenure sec wishing detriment         0
  69  Wordz         242                                       sec maureen wishing                       0
  70  Wordz         372                                       None                                      0
  71  Wordz         141422                                    chow rapper bulky satisfied walcott sec   0
  72  Wordz         352526                                    tenure innovative tam amongst sec depen…  0
  73  Wordz         16134                                     chow dependence bulky lily rapper         0
  74  Wordz         4524                                      rapper prefabricated sec satisfied        0
  75  Wordz         2443                                      sec panics rapper tenure                  0
  76  Wordz         543554                                    unverified rapper tenure innovative amo…  0
  77  Wordz         363543                                    tenure dependence detriment wilshere ra…  0
  78  Wordz         24253                                     sec rapper wishing innovative fainted     0
  79  Wordz         365425                                    tenure dependence innovative empower se…  0
  80  Wordz         142512                                    chow arduino sec innovative bulky wishi…  0
  81  Wordz         252                                       sec unbeatable wishing                    0
  82  Wordz         354                                       balloon innovative rapper                 0
  83  Wordz         251434                                    sec innovative chow rapper indira satis…  0
  84  Wordz         2343                                      sec engraving rapper tenure               0
  85  Wordz         231425                                    sec tenure chow tajikistan wishing inno…  0
  86  Wordz         3417                                      tenure rapper chow chongqing              0
  87  Wordz         342                                       milk rapper sec                           0
  88  Wordz         142416                                    chow rapper antlers satisfied bulky dep…  0
  89  Wordz         3625                                      oatmeal dependence sec innovative         0
  90  Wordz         355242                                    tenure experienced innovative sec rappe…  0
  91  Wordz         35462                                     tenure innovative quietly dependence sec  0
  92  Wordz         3315                                      cardboard tenure chow innovative          1
  93  Wordz         34232                                     tenure altruistic sec detriment wishing   0
  94  Wordz         343524                                    tenure agreement detriment innovative s…  0
  95  Wordz         343743                                    tenure rapper detriment linebackers sat…  0
  96  Wordz         383436                                    None                                      0
  97  Wordz         3334                                      tenure detriment edible dredd             0
  98  Wordz         584545                                    None                                      0
  99  Wordz         463554                                    rapper dependence tenure fledged innova…  0
 100  Wordz         24244                                     blessings rapper sec satisfied freeing    0
 101  Wordz         342643                                    tenure garter sec dependence rapper det…  0
 102  Wordz         2516                                      sec innovative wan dependence             0
 103  Wordz         2517                                      None                                      0
 104  Wordz         121                                       chow vassals bulky                        0
 105  Wordz         183345                                    None                                      0
 106  Wordz         23163                                     toon tenure chow dependence detriment     1
 107  Wordz         662                                       dependence inventory mattel               0
 108  Wordz         142                                       chow underwear sec                        0
 109  Wordz         223233                                    sec wishing bonus unwell tenure detrime…  0
 110  Wordz         2325                                      punting tenure sec innovative             0
 111  Wordz         453                                       verify innovative tenure                  0
 112  Wordz         541625                                    irreversible rapper chow dependence sec…  0
 113  Wordz         4423                                      rapper satisfied ahem tenure              0
 114  Wordz         14521                                     snark rapper innovative sec chow          1
 115  Wordz         333545                                    edited tenure detriment innovative rapp…  0
 116  Wordz         25253                                     sec innovative wishing amongst romania    0
 117  Wordz         322                                       anguish sec wishing                       1
 118  Wordz         23153                                     largely tenure chow innovative detriment  1
 119  Wordz         22453                                     cine sec rapper innovative tenure         0
 120  Wordz         232                                       sec respected wishing                     0
 121  Wordz         242                                       sec soundcloud wishing                    0
 122  Wordz         153                                       chow innovative resumed                   0
 123  Wordz         254                                       forge innovative rapper                   0
 124  Wordz         253                                       lighting innovative tenure                1
 125  Wordz         15132                                     chow rodgers bulky tenure sec             0
 126  Wordz         344                                       involving rapper satisfied                0
 127  Wordz         2446                                      sec othello rapper dependence             0
 128  Wordz         2414                                      sec perseus chow rapper                   0
 129  Wordz         3336                                      organic tenure detriment dependence       1
 130  Wordz         3243                                      airing sec rapper tenure                  0
 131  Wordz         3432                                      tenure rapper detriment otago             0
 132  Wordz         523                                       innovative sec napier                     0
 133  Wordz         242534                                    sec radish wishing innovative tenure ra…  0
 134  Wordz         263335                                    javi dependence tenure detriment edible…  0
 135  Wordz         453                                       tardy innovative tenure                   0
 136  Wordz         485543                                    None                                      0
 137  Wordz         132                                       chews tenure sec                          0
 138  Wordz         453                                       rapper innovative designers               0
 139  Wordz         2244                                      distant sec rapper satisfied              0
 140  Wordz         356633                                    tenure innovative blizzard dependence d…  0
 141  Wordz         155                                       jie innovative amongst                    0
 142  Wordz         4345                                      impersonal tenure rapper innovative       0
 143  Wordz         435                                       rapper siena innovative                   0
 144  Wordz         37242                                     None                                      0
 145  Wordz         242519                                    None                                      0
 146  Wordz         35354                                     tenure tangled detriment innovative rap…  0
 147  Wordz         553414                                    innovative amongst eases rapper chow sa…  0
 148  Wordz         446424                                    rapper satisfied dependence freeing fer…  0
 149  Wordz         354                                       tenure innovative tusks                   0
 150  Wordz         141                                       bim rapper chow                           1
 151  Wordz         242                                       sec squires wishing                       0
 152  Wordz         1615                                      chow musically bulky innovative           1
 153  Wordz         3553                                      tenure strange innovative detriment       0
 154  Wordz         344                                       valhalla rapper satisfied                 1
 155  Wordz         232                                       pippin tenure sec                         0
 156  Wordz         353                                       tenure obsolescence detriment             0
 157  Wordz         22155                                     naught sec chow innovative amongst        0
 158  Wordz         453                                       rapper innovative conformity              0
 159  Wordz         13245                                     chow tenure sec marinade innovative       0
 160  Wordz         3314                                      messenger tenure chow rapper              1
 161  Wordz         34254                                     greatness rapper sec innovative satisfi…  0
 162  Wordz         3435                                      pearson rapper tenure innovative          0
 163  Wordz         23623                                     sec tenure freelancer wishing detriment   0
 164  Wordz         4335                                      vulcan tenure detriment innovative        0
 165  Wordz         4335                                      rapper tenure detriment rationality       0
 166  Wordz         162                                       chow dependence diego                     0
 167  Wordz         3532                                      reminding innovative tenure sec           0
 168  Wordz         455                                       rapper bolster innovative                 0
