Centaur Zendo round 4 (training)
round_id : 35bcf0682b874993bb99731b214332b8
written  : 2026-09-02 14:11:04Z
presented=516  answered=516  correct=196  skipped=0
client answer latency: mean 0.104 ms  median 0.081 ms  max 6.400 ms  (n=516)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         443423                                    satisfied satisfied tenure satisfied wi…  0
   1  Wordz         45262                                     rapper amongst sec inventory sec          0
   2  Wordz         3625                                      cottage preschool unwell unilateral       1
   3  Wordz         43443                                     manger organic manger manger organic      0
   4  Wordz         241                                       toon coercive chow                        1
   5  Wordz         261356                                    wishing dependence chow tenure innovati…  1
   6  Wordz         4435                                      rapper rapper detriment amongst           0
   7  Wordz         1444                                      ron coercive coercive coercive            1
   8  Wordz         145                                       snark manger belgrade                     0
   9  Wordz         32323                                     tenure toon tenure toon tenure            1
  10  Wordz         424                                       satisfied wishing satisfied               0
  11  Wordz         1632                                      bulky inventory detriment sec             1
  12  Wordz         33332                                     cottage cottage cottage cottage unwell    0
  13  Wordz         33253                                     organic organic largely belgrade organic  0
  14  Wordz         342                                       tenure coercive toon                      1
  15  Wordz         422324                                    satisfied wishing wishing tenure wishin…  0
  16  Wordz         324726                                    detriment sec rapper triggering sec inv…  0
  17  Wordz         533                                       unilateral cottage cottage                0
  18  Wordz         132615                                    snark organic largely musically snark b…  0
  19  Wordz         255434                                    toon innovative innovative coercive ten…  1
  20  Wordz         24334                                     wishing satisfied tenure tenure satisfi…  0
  21  Wordz         233525                                    sec detriment detriment amongst sec amo…  0
  22  Wordz         143544                                    ron coercive cottage unilateral coerciv…  1
  23  Wordz         652426                                    musically belgrade largely manger large…  0
  24  Wordz         36233                                     tenure dependence toon tenure tenure      1
  25  Wordz         32331                                     tenure wishing tenure tenure chow         0
  26  Wordz         352646                                    detriment amongst sec inventory rapper …  0
  27  Wordz         5433                                      unilateral coercive cottage cottage       0
  28  Wordz         25252                                     largely belgrade largely belgrade large…  1
  29  Wordz         654                                       dependence innovative coercive            0
  30  Wordz         264524                                    wishing dependence satisfied innovative…  0
  31  Wordz         3333                                      detriment detriment detriment detriment   0
  32  Wordz         24243                                     unwell coercive unwell coercive cottage   1
  33  Wordz         25244                                     largely belgrade largely manger manger    0
  34  Wordz         2245                                      toon toon coercive innovative             1
  35  Wordz         241                                       wishing satisfied chow                    0
  36  Wordz         14342                                     bulky rapper detriment rapper sec         0
  37  Wordz         23552                                     unwell cottage unilateral unilateral un…  0
  38  Wordz         4654                                      manger musically belgrade manger          0
  39  Wordz         57254                                     innovative recognizable toon innovative…  1
  40  Wordz         36141                                     tenure dependence chow satisfied chow     0
  41  Wordz         4336                                      rapper detriment detriment inventory      0
  42  Wordz         3523                                      cottage unilateral unwell cottage         0
  43  Wordz         25142                                     largely belgrade snark manger largely     1
  44  Wordz         224                                       toon toon coercive                        1
  45  Wordz         373422                                    tenure confessional tenure satisfied wi…  0
  46  Wordz         4235                                      rapper sec detriment amongst              0
  47  Wordz         541755                                    unilateral coercive ron confessional un…  1
  48  Wordz         432                                       manger organic largely                    0
  49  Wordz         35261                                     tenure innovative toon dependence chow    1
  50  Wordz         14263                                     chow satisfied wishing dependence tenure  0
  51  Wordz         323523                                    detriment sec detriment amongst sec det…  0
  52  Wordz         47131                                     coercive scriptures ron cottage ron       0
  53  Wordz         242525                                    largely manger largely belgrade largely…  1
  54  Wordz         42262                                     coercive toon toon dependence toon        1
  55  Wordz         2423                                      wishing satisfied wishing tenure          0
  56  Wordz         425                                       rapper sec amongst                        0
  57  Wordz         23324                                     unwell cottage cottage unwell coercive    0
  58  Wordz         243                                       largely manger organic                    1
  59  Wordz         25321                                     toon innovative tenure toon chow          1
  60  Wordz         442                                       satisfied satisfied wishing               0
  61  Wordz         14351                                     bulky rapper detriment amongst bulky      1
  62  Wordz         351634                                    cottage unilateral ron preschool cottag…  1
  63  Wordz         37553                                     organic correlating belgrade belgrade o…  0
  64  Wordz         17523                                     chow correlating innovative toon tenure   0
  65  Wordz         244512                                    wishing satisfied satisfied innovative …  0
  66  Wordz         241633                                    sec rapper bulky inventory detriment de…  0
  67  Wordz         3524                                      cottage unilateral unwell coercive        1
  68  Wordz         36462                                     organic musically manger musically larg…  0
  69  Wordz         362546                                    tenure dependence toon innovative coerc…  1
  70  Wordz         35362                                     tenure innovative tenure dependence wis…  1
  71  Wordz         223332                                    sec sec detriment detriment detriment s…  0
  72  Wordz         33321                                     cottage cottage cottage unwell ron        0
  73  Wordz         443214                                    manger manger organic largely snark man…  0
  74  Wordz         653                                       dependence innovative tenure              0
  75  Wordz         252                                       wishing innovative wishing                1
  76  Wordz         3533                                      detriment amongst detriment detriment     0
  77  Wordz         472                                       coercive transsexual unwell               0
  78  Wordz         233444                                    largely organic organic manger manger m…  0
  79  Wordz         3646                                      tenure dependence coercive dependence     1
  80  Wordz         454435                                    satisfied innovative satisfied satisfie…  0
  81  Wordz         13442                                     bulky detriment rapper rapper sec         0
  82  Wordz         3335                                      cottage cottage cottage unilateral        0
  83  Wordz         232                                       largely organic largely                   0
  84  Wordz         16451                                     chow dependence coercive innovative chow  1
  85  Wordz         33142                                     tenure tenure chow satisfied wishing      0
  86  Wordz         24143                                     sec rapper bulky rapper detriment         0
  87  Wordz         2233                                      unwell unwell cottage cottage             0
  88  Wordz         562434                                    belgrade musically largely manger organ…  0
  89  Wordz         152524                                    chow innovative toon innovative toon co…  1
  90  Wordz         26131                                     wishing dependence chow tenure chow       1
  91  Wordz         321                                       detriment sec bulky                       1
  92  Wordz         452                                       coercive unilateral unwell                1
  93  Wordz         332434                                    organic organic largely manger organic …  0
  94  Wordz         2343                                      toon tenure coercive tenure               1
  95  Wordz         34264                                     tenure satisfied wishing dependence sat…  0
  96  Wordz         25233                                     sec amongst sec detriment detriment       0
  97  Wordz         142435                                    ron coercive unwell coercive cottage un…  1
  98  Wordz         1424                                      snark manger largely manger               1
  99  Wordz         333                                       tenure tenure tenure                      1
 100  Wordz         1433                                      chow satisfied tenure tenure              0
 101  Wordz         352635                                    detriment amongst sec inventory detrime…  0
 102  Wordz         362                                       cottage preschool unwell                  1
 103  Wordz         153545                                    snark belgrade organic belgrade manger …  0
 104  Wordz         423                                       coercive toon tenure                      1
 105  Wordz         341                                       tenure satisfied chow                     0
 106  Wordz         253                                       sec amongst detriment                     0
 107  Wordz         365                                       cottage preschool unilateral              1
 108  Wordz         252                                       largely belgrade largely                  1
 109  Wordz         2423                                      toon coercive toon tenure                 1
 110  Wordz         2431                                      wishing satisfied tenure chow             0
 111  Wordz         4225                                      rapper sec sec amongst                    0
 112  Wordz         461527                                    coercive preschool ron unilateral unwel…  1
 113  Wordz         4223                                      manger largely largely organic            0
 114  Wordz         432414                                    coercive tenure toon coercive chow coer…  1
 115  Wordz         1542                                      chow innovative satisfied wishing         0
 116  Wordz         134325                                    bulky detriment rapper detriment sec am…  0
 117  Wordz         1234                                      ron unwell cottage coercive               0
 118  Wordz         172                                       snark surrendered largely                 0
 119  Wordz         54262                                     innovative coercive toon dependence toon  1
 120  Wordz         144423                                    chow satisfied satisfied satisfied wish…  0
 121  Wordz         34524                                     detriment rapper amongst sec rapper       0
 122  Wordz         242                                       unwell coercive unwell                    1
 123  Wordz         265534                                    largely musically belgrade belgrade org…  0
 124  Wordz         242                                       toon coercive toon                        1
 125  Wordz         24351                                     wishing satisfied tenure innovative chow  0
 126  Wordz         252524                                    sec amongst sec amongst sec rapper        0
 127  Wordz         433646                                    coercive cottage cottage preschool coer…  0
 128  Wordz         351                                       organic belgrade snark                    1
 129  Wordz         4636                                      coercive dependence tenure dependence     1
 130  Wordz         553                                       innovative innovative tenure              1
 131  Wordz         15473                                     bulky amongst rapper virtualization det…  0
 132  Wordz         452434                                    coercive unilateral unwell coercive cot…  1
 133  Wordz         3621                                      organic musically largely snark           0
 134  Wordz         444412                                    coercive coercive coercive coercive cho…  1
 135  Wordz         23333                                     wishing tenure tenure tenure tenure       1
 136  Wordz         333                                       detriment detriment detriment             0
 137  Wordz         66134                                     preschool preschool ron cottage coercive  0
 138  Wordz         342                                       organic manger largely                    1
 139  Wordz         473                                       coercive fortresses tenure                0
 140  Wordz         372                                       tenure snuggling wishing                  0
 141  Wordz         2533                                      sec amongst detriment detriment           0
 142  Wordz         25333                                     unwell unilateral cottage cottage cotta…  0
 143  Wordz         142434                                    snark manger largely manger organic man…  1
 144  Wordz         343421                                    tenure coercive tenure coercive toon ch…  0
 145  Wordz         3426                                      tenure satisfied wishing dependence       0
 146  Wordz         455                                       rapper amongst amongst                    0
 147  Wordz         452255                                    coercive unilateral unwell unwell unila…  0
 148  Wordz         362535                                    organic musically largely belgrade orga…  1
 149  Wordz         244462                                    toon coercive coercive coercive depende…  0
 150  Wordz         34352                                     tenure satisfied tenure innovative wish…  0
 151  Wordz         2614                                      sec inventory bulky rapper                0
 152  Wordz         4443                                      coercive coercive coercive cottage        0
 153  Wordz         233                                       largely organic organic                   0
 154  Wordz         142423                                    chow coercive toon coercive toon tenure   1
 155  Wordz         14262                                     chow satisfied wishing dependence wishi…  0
 156  Wordz         2538                                      sec amongst detriment norepinephrine      0
 157  Wordz         47242                                     coercive oscillating unwell coercive un…  1
 158  Wordz         352324                                    organic belgrade largely organic largel…  0
 159  Wordz         3523                                      tenure innovative toon tenure             1
 160  Wordz         4225                                      satisfied wishing wishing innovative      0
 161  Wordz         245342                                    sec rapper amongst detriment rapper sec   0
 162  Wordz         352514                                    cottage unilateral unwell unilateral ro…  1
 163  Wordz         436322                                    manger organic musically organic largel…  0
 164  Wordz         342                                       tenure coercive toon                      1
 165  Wordz         4536                                      satisfied innovative tenure dependence    1
 166  Wordz         222533                                    sec sec sec amongst detriment detriment   0
 167  Wordz         252336                                    unwell unilateral unwell cottage cottag…  0
 168  Wordz         33262                                     organic organic largely musically large…  0
 169  Wordz         2532                                      toon innovative tenure toon               1
 170  Wordz         252614                                    wishing innovative wishing dependence c…  0
 171  Wordz         2332                                      sec detriment detriment sec               0
 172  Wordz         463522                                    coercive preschool cottage unilateral u…  0
 173  Wordz         342326                                    organic manger largely organic largely …  0
 174  Wordz         3524                                      tenure innovative toon coercive           1
 175  Wordz         253813                                    wishing innovative tenure unflattering …  1
 176  Wordz         452                                       rapper amongst sec                        0
 177  Wordz         352553                                    cottage unilateral unwell unilateral un…  0
 178  Wordz         46461                                     manger musically manger musically snark   0
