Centaur Zendo round 3 (training)
round_id : 76000cfca4bc4049abc0b4cdd58218d8
written  : 2026-09-02 10:58:35Z
presented=619  answered=597  correct=10  skipped=22
client answer latency: mean 0.105 ms  median 0.100 ms  max 1.108 ms  (n=620)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         BSIGO                                     BSIGO.B.S.S.S.S.S.I.I.I.G.G.O.O.O.O       0
   1  OKRIN         BPLXM                                     BPLXM~B~P~P~P~P~L~L~X~X~X~X~X~M~M~M       0
   2  OKRIN         RMZSU                                     RMZSU\nR\nR\nM\nZ\nZ\nZ\nZ\nZ\nS\nS\nS\…  0
   3  OKRIN         QNC                                       QNC\n.Q\n....Q\nQ\n...N\n......N\n..C     0
   4  OKRIN         HPQ                                       HPQ\nHPQ\nPQ\nQ                           0
   5  OKRIN         WOHTR                                     WOHTR\n...WOHTR\n.TRWO\n....TRW\n..W\nW…  0
   6  OKRIN         FTXHI                                     FTXHI.FTXHI.TXHI.TX.TX.X.I                0
   7  OKRIN         YTW                                       Y\nY\nY\nY\nT\nT\nW\nW\nW                 0
   8  OKRIN         QBJ                                       Q\n...Q\n......Q\n..Q\n.....B\n.B\n....…  0
   9  OKRIN         VNWF                                      VNWF\n.VNWF\n..VNW\n...V.W\n......W       0
  10  OKRIN         AEVS                                      AEVS\n.AEVS\n...EVS\n.....VS\n......V     1
  11  OKRIN         MLH                                       MLH~~~~~SX\nP~~~M~~~X~\n~~G~HMN~~~\n~~L…  0
  12  OKRIN         GOR                                       RGO~~~~~SX\nP~~~R~~~X~\n~~G~ORN~~~\n~~L…  0
  13  OKRIN         IDPSC                                     BPAQE:PAQ:::\n::P:QEBP:::\n:::::QEBP\n:…  0
  14  OKRIN         MWJG                                      MWJG~~\n~~MWJG~~\nMWJ~~\n~~MW~~\nW~~      0
  15  OKRIN         AQK                                       AQK\nA\nQ\nQ\nQ\nK\nK                     0
  16  OKRIN         WQEJ                                      WQEJ WQEJ JWQ WQ W                        0
  17  OKRIN         HSANZ                                     HSANZ\n.HSANZ\n..HS.NZ\n....S.NZ\n.....…  0
  18  OKRIN         QVEWA                                     QVEWA\nQVEWA\nQVEW.\nQV.W.\n.V.W.\n...W.  0
  19  OKRIN         MTLD                                      MTLD:MTLD:MTL:MT:T                        0
  20  OKRIN         ROYX                                      ROYX\nROYX\nR YX\n  YX\n  Y               0
  21  OKRIN         BKY                                       234                                       0
  22  OKRIN         BFVID                                     B2F4V6I5D3                                0
  23  OKRIN         VTKI                                      V\nVT\nVTK\nVTKI\nVTKI                    0
  24  OKRIN         GEXUK                                     G.G.G.E.E.X.X.X.X.X.X.U.U.U.U.U.K.K.K.K   0
  25  OKRIN         CXH                                       CXH\nCXH\nXH\nX                           0
  26  OKRIN         VSAU                                      VSAUV..\n.VSAU..\n..VS.U.\n...V..U        0
  27  OKRIN         MAVR                                      None                                      0
  28  OKRIN         BYCKM                                     BYCKM.B.Y.Y.Y.Y.Y.C.C.K.K.K.M.M.M.M       0
  29  OKRIN         OXRJ                                      OXRJ~O~O~X~X~X~X~R~R~R~J                  0
  30  OKRIN         TVJPR                                     TVJPR\nT\nT\nT\nT\nV\nV\nV\nV\nV\nJ\nP\…  0
  31  OKRIN         LQTA                                      LQTA\n.L\n....L\nQ\n...Q\n......Q\n..T\…  0
  32  OKRIN         LFKOS                                     LFKOS\nLFKOS\nKOSL\nOSL\nOS\nS            0
  33  OKRIN         WTOY                                      WTOY\n...WTOY\n.YWT\n....YW\n..Y          0
  34  OKRIN         FJTZX                                     FJTZX.FJTZX.JTZX.TZX.ZX.Z                 0
  35  OKRIN         JUGKD                                     J\nJ\nJ\nJ\nU\nU\nU\nU\nU\nU\nG\nG\nG\n…  0
  36  OKRIN         HAL                                       H\n...H\n......H\n..A\n.....A\n.L\n....…  0
  37  OKRIN         BZMH                                      BZMH\n.BZMH\n...ZMH\n....ZM\n.....Z       1
  38  OKRIN         BKMV                                      BKMV\n.BKMV\n...KMV\n.....MV\n.......V    0
  39  OKRIN         YMXRB                                     YMXRB:MXR:::\n::M:RBYM:::\n:::::RBYM\n:…  0
  40  OKRIN         CAPDM                                     CMAPD:MAP:::\n::M:PDCM:::\n:::::PDCM\n:…  0
  41  OKRIN         ZHBV                                      CXHU*\nU*XH\n*Y*X*\n*U*\nXHU*\nCX**       0
  42  OKRIN         RLIB                                      RLIB~~\n~~RLIB~~\nRLI~~\n~~RL~~\nR~~      0
  43  OKRIN         TLE                                       TLE\nT\nT\nT\nL\nL\nE                     0
  44  OKRIN         TZSWG                                     TZSWG TZSWG TZSW TZ Z Z W W               0
  45  OKRIN         FIEJ                                      FIEJ\n.FIEJ\n..FI.J\n....I.J\n.......J    0
  46  OKRIN         HTRPO                                     HTRPO\nHTRPO\n.TRPO\n.TRP.\n.TR..\n.T...  0
  47  OKRIN         VFPUB                                     VFPUB:VFPUB:VFPU:PU:V:V:V:U               0
  48  OKRIN         PSA                                       PSA\nPSA\nPS \n S                         0
  49  OKRIN         CAFK                                      3245                                      0
  50  OKRIN         VHFP                                      V5H3F2P4                                  0
  51  OKRIN         NTSYU                                     Y\nT\nYU\nYU\nTSYU\nNTSYU\nNTSYU          0
  52  OKRIN         QAZ                                       Q.Q.Q.A.A.Z.Z.Z.Z                         0
  53  OKRIN         RBQKA                                     RBQKA\nRBQKA\nRBQK\nQK\nR\nR\nR\nQ        0
  54  OKRIN         WHXK                                      WHXK..X\n.WHXK..\n..W.XK.\n...W.X.        0
  55  OKRIN         ZOGMR                                     None                                      0
  56  OKRIN         YVQTH                                     YVQTH.Y.Y.Y.Y.Y.V.V.V.V.Q.Q.T.T.T.H       0
  57  OKRIN         FBN                                       FBN~F~F~B~N~N~N                           0
  58  OKRIN         ZFEMY                                     ZFEMY\nZ\nZ\nZ\nZ\nZ\nF\nF\nE\nM\nM\nM\…  0
  59  OKRIN         CANZY                                     CANZY\n.C\n....C\nA\n...N\n......N\n..N…  0
  60  OKRIN         RGIWV                                     RGIWV\nRGIWV\nIWVR\nWVR\nWV\nW            0
  61  OKRIN         LOR                                       LOR\n...LOR\n.OR\n....R                   0
  62  OKRIN         ROBE                                      ROBE.ROBE.ERO.RO.R                        0
  63  OKRIN         LGT                                       L\nL\nL\nG\nG\nT\nT\nT\nT                 0
  64  OKRIN         JXLIQ                                     J\n...J\n......J\n..X\n.....X\n.X\n....…  0
  65  OKRIN         LNHJD                                     LNHJD\n.LNHJD\n..LNHJ\n...LN.J\n....LN\…  0
  66  OKRIN         IQU                                       IQU\n.IQU\n...QU\n.....U                  0
  67  OKRIN         BSF                                       BSF~~~~~SX\nP~~~B~~~X~\n~~G~FBN~~~\n~~L…  0
  68  OKRIN         XZFV                                      FZVX*\nX*ZV\n*Y*Z*\n*X*\nZVX*\nFZ**       0
  69  OKRIN         NYL                                       ZEK~~~~~SX\nP~~~Z~~~X~\n~~G~KZN~~~\n~~L…  0
  70  OKRIN         EMIVK                                     EMIVK~~\n~~EMIVK~~\nMIVK~~\n~~VK~~\nM~~…  0
  71  OKRIN         QOPWF                                     QOPWF\nQ\nQ\nQ\nQ\nO\nO\nP\nP\nP\nW\nW\…  0
  72  OKRIN         OEYMU                                     OEYMU OEYMU YMUO UO Y Y Y U               0
  73  OKRIN         XLQO                                      XLQO\n.XLQO\n..X.QO\n...X.Q.\n....X...    0
  74  OKRIN         IJABV                                     IJABV\nIJABV\nIJ.BV\nIJ..V\n.J..V\n....V  0
  75  OKRIN         JAVT                                      JAVT:JAVT:VTJ:VT:V                        0
  76  OKRIN         VTEMJ                                     VTEMJ\nVTEMJ\nVT MJ\nVT M \nVT   \nV      0
  77  OKRIN         YGNZW                                     52364                                     0
  78  OKRIN         YCT                                       Y4C2T3                                    0
  79  OKRIN         TAICW                                     W\nI\nWT\nWT\nICWT\nTAICW\nTAICW          0
  80  OKRIN         IWOKM                                     I.I.W.W.W.W.W.W.O.O.O.O.O.K.K.K.M.M.M.M   0
  81  OKRIN         WNQBD                                     WNQBD\nWNQBD\nDWNQ\nWNQ\nW\nW\nQ          0
  82  OKRIN         CKPQL                                     CKPQL...Q\n.CKPQL...\n...KPQL..\n.....P…  0
  83  OKRIN         ORIQ                                      None                                      0
  84  OKRIN         XZVDJ                                     XZVDJ.X.X.X.X.Z.Z.Z.Z.Z.V.V.V.D.J.J       0
  85  OKRIN         VNBDW                                     VNBDW~V~V~V~V~N~N~N~B~D~D~W~W~W~W~W       0
  86  OKRIN         RCXY                                      RCXY\nR\nR\nC\nX\nX\nX\nY\nY\nY\nY        0
  87  OKRIN         OWQG                                      OWQG\n.O\n....O\nW\n...W\n......W\n..W\…  0
  88  OKRIN         HRO                                       HRO\nHRO\nRO\nR                           0
  89  OKRIN         XKJIS                                     XKJIS\n...XKJIS\n.SXKJ\n....SXK\n..SX\nX  0
  90  OKRIN         FZLA                                      FZLA.FZLA.FZL.ZL.Z                        0
  91  OKRIN         NQSTZ                                     N\nN\nQ\nQ\nQ\nS\nS\nS\nS\nT\nT\nT\nT\n…  0
  92  OKRIN         NOTRA                                     N\n...N\n......N\n..O\n.....O\n.O\n....…  0
  93  OKRIN         TEHJF                                     TEHJF\n.TEHJF\n..T.HJF\n...T.HJ\n....T.…  0
  94  OKRIN         CFXTZ                                     CFXTZ\n.CFXTZ\n...FXTZ\n.....XTZ\n.....…  0
  95  OKRIN         LVPE                                      LVPE*\nE*VP\n*Y*V*\n*E*\nVPE*\nLV**       0
  96  OKRIN         JLWTB                                     JTBWL:TBW:::\n::T:WLJT:::\n:::::WLJT\n:…  0
  97  OKRIN         WPTMB                                     BPAQE:PAQ:::\n::P:QEBP:::\n:::::QEBP\n:…  0
  98  OKRIN         EZRYK                                     EZRYK~~\n~~EZRYK~~\nZRYK~~\n~~ZRY~~\nZ~…  0
  99  OKRIN         NCLG                                      NCLG\nN\nN\nN\nN\nC\nL\nL\nL\nG\nG        0
 100  OKRIN         IRWV                                      IRWV IRWV RWV WV W                        0
 101  OKRIN         LFTO                                      LFTO\n.LFTO\n..L.TO\n.....TO\n......T.    1
 102  OKRIN         GSRUF                                     GSRUF\nGSRUF\nGSRU.\n.SRU.\n.S.U.\n...U.  0
 103  OKRIN         XNZ                                       XNZ:XNZ:ZX:Z                              0
 104  OKRIN         CYHNG                                     CYHNG\nCYHNG\n YHNG\n YHN \n Y N \n Y     0
 105  OKRIN         YTCA                                      5432                                      0
 106  OKRIN         LOPM                                      L2O4P5M3                                  0
 107  OKRIN         WHCX                                      X\nXW\nXWH\nWHCX\nWHCX                    0
 108  OKRIN         NHMCI                                     N.N.N.N.N.N.H.H.H.M.M.M.M.M.C.C.I.I.I.I   0
 109  OKRIN         SPKLB                                     SPKLB\nSPKLB\nSPKL\nSP\nSP\nS\nL          0
 110  OKRIN         IXAHO                                     IXAHO.X..\n.IXAHO...\n..IX.HO..\n...IX.…  0
 111  OKRIN         IGDH                                      None                                      0
 112  OKRIN         OFZJ                                      OFZJ.O.O.O.F.Z.Z.Z.Z.J.J                  0
 113  OKRIN         TAOMF                                     TAOMF~T~T~T~T~T~A~O~O~O~O~M~M~M~F~F       0
 114  OKRIN         NDKE                                      NDKE\nN\nN\nN\nN\nD\nK\nK\nK\nE\nE        0
 115  OKRIN         OZXUQ                                     OZXUQ\n.O\n....Z\nZ\n...Z\n......Z\n..Z…  0
 116  OKRIN         YVM                                       YVM\nYVM\nYV\nY                           0
 117  OKRIN         CTAJ                                      CTAJ\n...CTAJ\n.JCT\n....T\n..T\nJ        0
 118  OKRIN         TKMGV                                     TKMGV.TKMGV.VTKM.VT.VT.M.V                0
 119  OKRIN         NWLUT                                     N\nN\nN\nW\nW\nW\nW\nW\nW\nL\nL\nU\nU\n…  0
 120  OKRIN         WUSLJ                                     W\n...W\n......W\n..W\n.....W\n.W\n....…  0
 121  OKRIN         FCDQR                                     FCDQR\n.FCDQR\n..F.DQR\n...F..QR\n.....…  0
 122  OKRIN         VZJT                                      VZJT\n.VZJT\n..VZ.T\n...VZ\n.....Z        0
 123  OKRIN         QNIKT                                     QNIKT:NIK:::\n::N:KTQN:::\n:::::KTQN\n:…  0
 124  OKRIN         RIO                                       RIO~~~~~SX\nP~~~R~~~X~\n~~G~ORN~~~\n~~L…  0
 125  OKRIN         RIFP                                      CXHU*\nU*XH\n*Y*X*\n*U*\nXHU*\nCX**       0
 126  OKRIN         ZTGWX                                     ZTGWX~~\n~~ZTGWX~~\nWXZT~~\n~~WXZ~~\nXZ…  0
 127  OKRIN         JBKL                                      JBKL\nJ\nJ\nB\nK\nK\nK\nL\nL\nL\nL        0
 128  OKRIN         HTZPV                                     HTZPV HTZPV TZPV TZ Z Z V V               0
 129  OKRIN         IWZF                                      IWZF\n.IWZF\n..IWZ.\n....WZ.\n......Z.    0
 130  OKRIN         XKHVL                                     XKHVL\nXKHVL\nXK.VL\nX..VL\nX..V.\nX....  0
 131  OKRIN         XFASO                                     XFASO:XFASO:SOXF:SOX:X:X:S                0
 132  OKRIN         PKBUZ                                     PKBUZ\nPKBUZ\nPK UZ\nP  UZ\n   UZ\n    Z  0
 133  OKRIN         KARFT                                     42536                                     0
 134  OKRIN         EUJPM                                     E2U6J3P5M4                                0
 135  OKRIN         CNLOA                                     O\nO\nN\nNLO\nCNLO\nCNLOA\nCNLOA          0
 136  OKRIN         USPT                                      U.U.U.U.U.S.S.S.P.P.T.T.T.T               0
 137  OKRIN         ACGV                                      ACGV\nACGV\nCGV\nGV\nV                    0
 138  OKRIN         HWKAJ                                     HWKAJ.W..\n.HWKAJ...\n..HWK.J..\n....WK…  0
 139  OKRIN         MCY                                       None                                      0
 140  OKRIN         ZTBIJ                                     ZTBIJ.Z.Z.Z.Z.Z.T.T.T.T.B.I.I.J.J.J       0
 141  OKRIN         LDFTM                                     LDFTM~L~L~L~D~F~F~T~T~T~T~T~M~M~M~M       0
 142  OKRIN         YJOE                                      YJOE\nY\nY\nY\nY\nJ\nJ\nO\nO\nO\nE        0
 143  OKRIN         RWDA                                      RWDA\n.R\n....R\nR\n...W\n......W\n..W\…  0
 144  OKRIN         PSVY                                      PSVY\nPSVY\nSVY\nVY\nY                    0
 145  OKRIN         JXMN                                      JXMN\n...JXMN\n.XMN\n....X\n..X\nN        0
 146  OKRIN         IKLS                                      IKLS.IKLS.KLS.LS.S                        0
 147  OKRIN         DQMHX                                     D\nD\nQ\nQ\nQ\nQ\nQ\nM\nM\nM\nM\nH\nH\n…  0
 148  OKRIN         GERN                                      G\n...G\n......G\n..E\n.....E\n.R\n....…  0
 149  OKRIN         JPEH                                      JPEH\n.JPEH\n..JP.H\n...JP\n.....P        0
 150  OKRIN         LUJ                                       LUJ\n.LUJ\n..LU\n....U                    0
 151  OKRIN         EMYXB                                     EMYXB:MYX:::\n::M:XBEM:::\n:::::XBEM\n:…  0
 152  OKRIN         GFAS                                      ASFG*\nG*SF\n*Y*S*\n*G*\nSFG*\nAS**       0
 153  OKRIN         PKXWY                                     BPAQE:PAQ:::\n::P:QEBP:::\n:::::QEBP\n:…  0
 154  OKRIN         CGZIV                                     CGZIV~~\n~~CGZIV~~\nGZIV~~\n~~ZIV~~\nZ~…  0
 155  OKRIN         HXO                                       HXO\nH\nX\nX\nX\nO\nO                     0
 156  OKRIN         LUZIH                                     LUZIH LUZIH LUZI LUZ UZ Z                 0
 157  OKRIN         CFKLX                                     CFKLX\n.CFKLX\n...FKLX\n.....KLX\n.....…  0
 158  OKRIN         FAIX                                      FAIX\nFAIX\nF.IX\n..IX\n...X              0
 159  OKRIN         PQT                                       PQT:PQT:QT:T                              0
 160  OKRIN         AQI                                       AQI\nAQI\n QI\n Q                         0
 161  OKRIN         MPIUA                                     45362                                     0
 162  OKRIN         NKSA                                      N4K3S5A2                                  0
 163  OKRIN         DKAZ                                      Z\nZ\nK\nZDK\nDKAZ\nDKAZ                  0
 164  OKRIN         ZYE                                       Z.Z.Z.Z.Y.Y.Y.E.E                         0
 165  OKRIN         ZKRCN                                     ZKRCN\nZKRCN\nNZKR\nNZ\nZ\nZ\nR\nR        0
 166  OKRIN         XLRA                                      XLRAX..\n.XLRA..\n..XLR..\n...X.R.        0
 167  OKRIN         WKLB                                      None                                      0
 168  OKRIN         RPSEY                                     RPSEY.R.R.R.P.P.S.S.S.S.E.Y.Y.Y.Y.Y       0
 169  OKRIN         TBN                                       TBN~T~T~T~B~N~N                           0
 170  OKRIN         HQTK                                      HQTK\nH\nQ\nQ\nQ\nT\nT\nT\nT\nK\nK        0
 171  OKRIN         RIPV                                      RIPV\n.R\n....R\nR\n...I\n......P\n..P\…  0
 172  OKRIN         THKW                                      THKW\nTHKW\nKWT\nWT\nW                    0
 173  OKRIN         TXO                                       TXO\n...TXO\n.TX\n....X                   0
 174  OKRIN         JZXN                                      JZXN.JZXN.ZXN.ZX.Z                        0
 175  OKRIN         KUDGZ                                     K\nK\nK\nK\nU\nU\nU\nU\nU\nD\nD\nG\nG\n…  0
 176  OKRIN         FTOLJ                                     F\n...F\n......T\n..T\n.....T\n.T\n....…  0
 177  OKRIN         TVGY                                      TVGY\n.TVGY\n..TV.Y\n....V.Y\n.......Y    0
 178  OKRIN         VWM                                       VWM\n.VWM\n..VW\n....W                    0
 179  OKRIN         KQTE                                      KQTE*\nE*QT\n*Y*Q*\n*E*\nQTE*\nKQ**       0
 180  OKRIN         WYOID                                     IWDYO:WDY:::\n::W:YOIW:::\n:::::YOIW\n:…  0
 181  OKRIN         QWAHR                                     BPAQE:PAQ:::\n::P:QEBP:::\n:::::QEBP\n:…  0
 182  OKRIN         VPFUI                                     VPFUI~~\n~~VPFUI~~\nUIVP~~\n~~VP~~\nV~~…  0
 183  OKRIN         BHY                                       BHY\nB\nH\nH\nY\nY\nY                     0
 184  OKRIN         LXV                                       LXV LXV XV X                              0
 185  OKRIN         ZSTEQ                                     ZSTEQ\n.ZSTEQ\n..ZST.Q\n...ZST..\n....Z…  0
 186  OKRIN         XGPWE                                     XGPWE\nXGPWE\nXGPW.\nX.PW.\nX..W.\nX....  0
 187  OKRIN         ZDAR                                      ZDAR:ZDAR:RZD:RZ:Z                        0
 188  OKRIN         BNQM                                      BNQM\nBNQM\n NQM\n NQ \n  Q               0
 189  OKRIN         WGS                                       423                                       0
 190  OKRIN         NRS                                       N2R3S4                                    0
 191  OKRIN         WCZDO                                     Z\nZ\nZ\nW\nOW\nZDOW\nWCZDO\nWCZDO        0
 192  OKRIN         EQB                                       E.E.E.Q.Q.Q.Q.B.B                         0
 193  OKRIN         XHSBQ                                     XHSBQ\nXHSBQ\nQXHS\nQX\nX\nX\nS\nS        0
 194  OKRIN         XNSL                                      XNSLX..\n.XNSL..\n..XNS..\n...X.S.        0
 195  OKRIN         OTPVQ                                     None                                      0
 196  OKRIN         ZVSH                                      ZVSH.Z.Z.Z.Z.V.V.V.S.S.H                  0
 197  OKRIN         ABC                                       ABC~A~B~B~C~C~C                           0
 198  OKRIN         TNMPC                                     TNMPC\nT\nT\nT\nT\nT\nN\nN\nN\nM\nM\nP\…  0
 199  OKRIN         ZSQ                                       ZSQ\n.Z\n....Z\nZ\n...S\n......S\n..Q     0
 200  OKRIN         OAK                                       OAK\nOAK\nKO\nO                           0
 201  OKRIN         HDLW                                      HDLW\n...HDLW\n.LWH\n....LW\n..W          0
 202  OKRIN         CSUE                                      CSUE.CSUE.SUE.SU.U                        0
 203  OKRIN         ZHWCG                                     Z\nZ\nZ\nZ\nZ\nZ\nH\nH\nH\nH\nW\nW\nW\n…  0
 204  OKRIN         CKYX                                      C\n...C\n......K\n..K\n.....K\n.Y\n....…  0
 205  OKRIN         GKXBM                                     GKXBM\n.GKXBM\n..GKX.M\n....KX.M\n.....…  0
 206  OKRIN         HBLXD                                     HBLXD\n.HBLXD\n..H.LXD\n...H.LX\n......…  0
 207  OKRIN         IRJ                                       IRJ~~~~~SX\nP~~~I~~~X~\n~~G~JIN~~~\n~~L…  0
 208  OKRIN         KIFV                                      FVIK*\nK*VI\n*Y*V*\n*K*\nVIK*\nFV**       0
 209  OKRIN         IZGEU                                     BPAQE:PAQ:::\n::P:QEBP:::\n:::::QEBP\n:…  0
 210  OKRIN         FXWAP                                     FXWAP~~\n~~FXWAP~~\nPFXW~~\n~~XW~~\nXW~…  0
