Centaur Zendo round 4 (training)
round_id : 44a22763a5dd4396b76d3df3335c7042
written  : 2026-09-02 11:20:29Z
presented=449  answered=449  correct=447  skipped=0
client answer latency: mean 0.116 ms  median 0.108 ms  max 1.582 ms  (n=449)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         GDQCK                                     GDQCKGDQ.KG.QCK\n...Q.K.DQ.KG.Q           1
   1  OKRIN         MTNS                                      MTNSMTNS\n..T.S.TNS\n.......T             1
   2  OKRIN         DYCK                                      DYCKDYCKDY\n..Y.K.Y.K                     1
   3  OKRIN         UFRA                                      UFRAUFR\n.UFRAU\n..U.R                    1
   4  OKRIN         GLYA                                      GLYAGLY\n..LYAGLY\n....Y                  1
   5  OKRIN         KTMGX                                     KTMGX.TM.XKTM.XK\n....GX.T..X.TM.X        1
   6  OKRIN         LUXWY                                     LUXWY.UX.YL.XWY\n..UXWY....Y\n....XWY     1
   7  OKRIN         QFIK                                      QFIKQ.IK\n.QF.KQ.IK\n..Q                  1
   8  OKRIN         CEUQP                                     CEUQPCEUQP\n...UQP.EUQ\n....UQP..U        1
   9  OKRIN         LJDAF                                     LJDAFLJDAF\n.LJD.FLJ\n..LJ..FL            1
  10  OKRIN         IVQ                                       IVQIVQ\n..VQ.V                            1
  11  OKRIN         SFJDT                                     SFJDTS.JDT\n..FJ.TS\n...FJ.TS\n.......T…  1
  12  OKRIN         QSIG                                      QSIGQSI\n.QSIGQS\n...S                    1
  13  OKRIN         AQJW                                      AQJW...WAQJW\n..QJW...W.Q                 1
  14  OKRIN         RLNH                                      RLNHRLN\n.RLNHR\n..R.N                    1
  15  OKRIN         ZLPK                                      ZLPKZLP\n.ZLPKZ\n..Z.P                    1
  16  OKRIN         HSDRN                                     HSDRNHS.RN.SDRN\n..S.RNHS....S.R          1
  17  OKRIN         UKDAY                                     UKDAYUKDAY\n..KD.YU\n...K..YU\n.......Y…  1
  18  OKRIN         SDWH                                      SDWHSDWH\n.S.WHS.W\n....W                 1
  19  OKRIN         BUR                                       BURBUR\n..UR.U                            1
  20  OKRIN         DIJ                                       DIJDIJ\n...J.IJ                           1
  21  OKRIN         OPTY                                      OPTYOPTY\n....Y.PTY\n........TY           1
  22  OKRIN         TQHBU                                     TQHBUTQHBU\n..QH.UT\n...Q..UT\n.......U…  1
  23  OKRIN         NDWF                                      NDWFNDWF\n.N.WFN.W\n....W                 1
  24  OKRIN         PTKV                                      PTKVPT.VPTKV\n..T.V...V                   1
  25  OKRIN         BFYQ                                      BFYQBFYQ\n...YQ.FYQ\n....Y                1
  26  OKRIN         NVHWA                                     NVHWAN..WA.VHW\n.NV.W....W..VHW\n..NV     1
  27  OKRIN         RJMKG                                     RJMKGR.MK\n.RJMKGR.MK\n..RJM\n...R        1
  28  OKRIN         YUKZ                                      YUKZYUKZ\n..U.ZY\n.....ZY\n......Z        1
  29  OKRIN         IETLY                                     IETLYIETLY\n...T.YI.TLY\n......Y..TLY     1
  30  OKRIN         XDL                                       XDLXDL\n.X.LX                             1
  31  OKRIN         BOI                                       BOIBOI\n..OI.O                            1
  32  OKRIN         OQS                                       OQSOQS\n...S.QS                           1
