Centaur Zendo round 6 (training)
round_id : 1aef05545fd04ca18150d5d099a51b06
written  : 2026-09-02 11:27:06Z
presented=449  answered=449  correct=444  skipped=0
client answer latency: mean 0.111 ms  median 0.105 ms  max 1.307 ms  (n=450)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         NTWR                                      NTWR.TWRNTW\n...WR.TW                     1
   1  OKRIN         KED                                       KEDKE\n.KEDK                              1
   2  OKRIN         SMQDB                                     SMQDBSMQDBSMQ\n.S.Q..SMQD.S               1
   3  OKRIN         WZNYP                                     WZNYPWZ.YPWZNY\n..Z.Y.WZ.YP.Z             1
   4  OKRIN         HRXFN                                     HRXFN.RX.NHRX\n...XFN.RX.NHRX             1
   5  OKRIN         OWU                                       OWUOWU\n..WU.W                            1
   6  OKRIN         CIBRT                                     CIBRT.IBRTCI.RT\n....RT....TCI.RT         1
   7  OKRIN         TDNX                                      TDNXT.NXTDNX\n....XT..X                   1
   8  OKRIN         JKH                                       JKHJK\n..KHJK                             1
   9  OKRIN         EXZJ                                      EXZJ.XZJEXZ\n...ZJ.XZ                     1
  10  OKRIN         AVET                                      AVET.VETAV\n..VET.V.T                     1
  11  OKRIN         KCMXQ                                     KCMXQ..MXQKCMXQ\n....XQ...XQK.MX          1
  12  OKRIN         KVW                                       KVWKVW\n...W.VW                           1
  13  OKRIN         VQLG                                      VQLGVQLGVQ\n.VQL.V                        1
  14  OKRIN         KJLN                                      KJLNK.LNKJLN\n....N..LN                   1
  15  OKRIN         TGLDX                                     TGLDXTGL.XTGLDX\n.T.L.XT...X\n......X     1
  16  OKRIN         IMZJU                                     IMZJU.MZ.UIMZJU\n...ZJU.MZ.U..Z           1
  17  OKRIN         KHNDT                                     KHNDTKHN.TK.NDT\n...N.TKHN.T\n......T     1
  18  OKRIN         OPU                                       OPUOPU\n...U.PU                           1
  19  OKRIN         PTYS                                      PTYS.TYSPTY\n...YS.TY                     1
  20  OKRIN         YTJI                                      YTJIYTJIYT\n.YTJ.Y                        1
  21  OKRIN         ZJR                                       ZJRZJR\n.Z.RZ                             1
  22  OKRIN         OBMRX                                     OBMRXO..RXOBMRX\n.....X...RXO.MRX         1
  23  OKRIN         ZLIA                                      ZLIAZLIAZL\n.ZLI.Z                        1
  24  OKRIN         HNKY                                      HNKY...YHNKY\n..NKY...Y.N                 1
  25  OKRIN         AVGP                                      AVGP.VGPAV\n..VGP.V.P                     1
  26  OKRIN         MPVQ                                      MPVQ.PVQMPVQ\n...VQ..V                    1
  27  OKRIN         CVHOA                                     CVHOA.VHOACVHO\n..V.O..VHO.CV             1
  28  OKRIN         TUBDC                                     TUBDCTUBDCTU\n..U.D.TU.DCTU               1
  29  OKRIN         MLDOX                                     MLDOXM..OXMLDOX\n.....X...OXML.OX         1
  30  OKRIN         WVBLS                                     WVBLSWVBLSWV\n.WV..SWV.LSW                1
  31  OKRIN         WGJR                                      WGJRW.JRWGJR\n.W..RW                      1
  32  OKRIN         KVHIS                                     KVHISKVHISKV.IS\n..V..S.V..SKV            1
  33  OKRIN         XMIZH                                     XMIZHXM.ZHXMIZ\n....Z.X..Z.XMIZ           1
  34  OKRIN         UMS                                       UMSUMS\n.U.SU                             1
  35  OKRIN         YTPW                                      YTPWYT.WYTPW\n.Y..WY                      1
  36  OKRIN         HIG                                       HIGHI\n..IGHI                             1
  37  OKRIN         SPNLV                                     SPNLVSPN.VSPNLV\n.S...VSP..V\n......V     1
  38  OKRIN         LZC                                       LZCLZ\n..ZCLZ                             1
  39  OKRIN         ZOCP                                      ZOCPZO.PZOCP\n.Z..PZ                      1
  40  OKRIN         BFPNQ                                     BFPNQ.FP.QBFPNQ\n...PNQ....Q..PNQ         1
  41  OKRIN         PMYO                                      PMYOP.YOPMY\n...YOP.Y                     1
  42  OKRIN         WCRJ                                      WCRJW.RJWCR\n.W.RJW                       1
