Centaur Zendo round final (final)
round_id : 3c978725eea348469b794bc8d0581c00
written  : 2026-09-02 11:29:02Z
presented=2685  answered=2685  correct=2685  skipped=0
client answer latency: mean 0.114 ms  median 0.109 ms  max 1.266 ms  (n=2685)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         JAIYS                                     JAIYSJ..YSJAIYS\n....YS...YSJ.IY          1
   1  OKRIN         VAFQ                                      VAFQV.FQVAFQ\n.V..QV                      1
   2  OKRIN         DQAFR                                     DQAFR.QA.RDQ.FR\n....FR.Q..RDQ.FR         1
   3  OKRIN         EIHJ                                      EIHJ...JEIHJ\n..IHJ...J.I                 1
   4  OKRIN         GODI                                      GODIGODIGO\n..O.I.O.I                     1
   5  OKRIN         UXPMC                                     UXPMCUXPMCUX\n..XP..UXPM.UX               1
   6  OKRIN         YLVE                                      YLVEYLVEYLV\n.Y.V.Y                       1
   7  OKRIN         KNHPD                                     KNHPDKN.PDKNHP\n..N.P....P.KNHP           1
   8  OKRIN         MFVUK                                     MFVUKM.VUKMFVU\n...VU...VUKM.V            1
   9  OKRIN         JPGSV                                     JPGSV.PGSVJP.SV\n....SV....VJP.SV         1
  10  OKRIN         OVUM                                      OVUMOVUMOVU\n..VU..V                      1
  11  OKRIN         WIOM                                      WIOMW.OMWIO\n.W.OMW                       1
  12  OKRIN         ZVFK                                      ZVFKZVFKZV\n.ZV.KZ                        1
  13  OKRIN         ZWTR                                      ZWTRZWTRZW\n.ZWT.Z                        1
  14  OKRIN         XQOM                                      XQOMXQOMXQ\n.XQO.X                        1
  15  OKRIN         KZTV                                      KZTV.ZTVKZ\n..ZTV.Z.V                     1
  16  OKRIN         KQCIB                                     KQCIBKQCIBKQ\n..Q.I.KQCI.KQ               1
  17  OKRIN         UXLJ                                      UXLJUXLJUX\n..XL.UX                       1
  18  OKRIN         LDSGR                                     LDSGRL.SGRLDSGR\n...S.R..S.RL.S           1
  19  OKRIN         DPLI                                      DPLI.PLIDPL\n..PLI.P                      1
  20  OKRIN         BRL                                       BRLBRL\n..RL.R                            1
  21  OKRIN         VBHXT                                     VBHXTV..XTVBHX\n....XTV..XTV.HX           1
  22  OKRIN         ITCJE                                     ITCJEIT.JEITCJ\n..T.J.IT.JE.T             1
  23  OKRIN         MONFG                                     MONFGMONFGMON\n..ON...ON.GMO              1
  24  OKRIN         UAFDJ                                     UAFDJU.FDJUAFDJ\n.U...JU.F.JU             1
  25  OKRIN         INKR                                      INKR...RINKR\n..NKR...R.N                 1
  26  OKRIN         TQAZG                                     TQAZGTQ.ZGTQAZG\n....Z.T..Z.TQ.Z          1
  27  OKRIN         XYVL                                      XYVLXYVLXY\n..YV.XY                       1
  28  OKRIN         VCM                                       VCMVCM\n.V.MV                             1
  29  OKRIN         ZEDL                                      ZEDLZE.LZEDL\n.Z..LZ                      1
