Centaur Zendo round 1 (training)
round_id : f212b0b55d6c4274b74c8ea1b4ae9985
written  : 2026-09-02 10:45:13Z
presented=783  answered=0  correct=0  skipped=784
client answer latency: mean 0.087 ms  median 0.081 ms  max 1.227 ms  (n=784)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         MXUFN                                     None                                      0
   1  OKRIN         VCNUJ                                     None                                      0
   2  OKRIN         EFVKS                                     None                                      0
   3  OKRIN         LYFB                                      None                                      0
   4  OKRIN         WTQG                                      None                                      0
   5  OKRIN         OKHF                                      None                                      0
   6  OKRIN         UCXO                                      None                                      0
   7  OKRIN         IGU                                       None                                      0
   8  OKRIN         CDROQ                                     None                                      0
   9  OKRIN         UCDP                                      None                                      0
  10  OKRIN         WGTI                                      None                                      0
  11  OKRIN         CWYZM                                     None                                      0
  12  OKRIN         BOIK                                      None                                      0
  13  OKRIN         DUQGF                                     None                                      0
  14  OKRIN         YZGFR                                     None                                      0
  15  OKRIN         RAIZ                                      None                                      0
  16  OKRIN         BJG                                       None                                      0
  17  OKRIN         ZEWCU                                     None                                      0
  18  OKRIN         XROC                                      None                                      0
  19  OKRIN         XZRIN                                     None                                      0
  20  OKRIN         XKPEW                                     None                                      0
  21  OKRIN         ZEJPH                                     None                                      0
  22  OKRIN         NFA                                       None                                      0
  23  OKRIN         EHZA                                      None                                      0
  24  OKRIN         QIAZ                                      None                                      0
  25  OKRIN         UMLPE                                     None                                      0
  26  OKRIN         CSBG                                      None                                      0
  27  OKRIN         JPTCQ                                     None                                      0
  28  OKRIN         BHS                                       None                                      0
  29  OKRIN         ISGYM                                     None                                      0
  30  OKRIN         QZRYC                                     None                                      0
  31  OKRIN         HQBJC                                     None                                      0
  32  OKRIN         HYQPT                                     None                                      0
  33  OKRIN         XVKBL                                     None                                      0
  34  OKRIN         GXFW                                      None                                      0
  35  OKRIN         JKZEU                                     None                                      0
  36  OKRIN         YEGWZ                                     None                                      0
  37  OKRIN         WEXG                                      None                                      0
  38  OKRIN         YTC                                       None                                      0
  39  OKRIN         EAVB                                      None                                      0
  40  OKRIN         XHGO                                      None                                      0
  41  OKRIN         WCO                                       None                                      0
  42  OKRIN         SAVYD                                     None                                      0
  43  OKRIN         SADR                                      None                                      0
  44  OKRIN         TLP                                       None                                      0
  45  OKRIN         LXWYM                                     None                                      0
  46  OKRIN         DSLCR                                     None                                      0
  47  OKRIN         XKA                                       None                                      0
  48  OKRIN         ABDQM                                     None                                      0
  49  OKRIN         JUZV                                      None                                      0
  50  OKRIN         MBDPS                                     None                                      0
  51  OKRIN         ZLG                                       None                                      0
  52  OKRIN         OQBL                                      None                                      0
  53  OKRIN         OZSNQ                                     None                                      0
  54  OKRIN         JOF                                       None                                      0
  55  OKRIN         FSQMG                                     None                                      0
  56  OKRIN         CISXR                                     None                                      0
  57  OKRIN         QMSKX                                     None                                      0
  58  OKRIN         ZDGV                                      None                                      0
  59  OKRIN         EIYND                                     None                                      0
  60  OKRIN         BUSE                                      None                                      0
  61  OKRIN         YIM                                       None                                      0
  62  OKRIN         IBOWA                                     None                                      0
  63  OKRIN         ITGSJ                                     None                                      0
  64  OKRIN         WLKHT                                     None                                      0
  65  OKRIN         XDG                                       None                                      0
  66  OKRIN         HEKYP                                     None                                      0
  67  OKRIN         IVQTC                                     None                                      0
  68  OKRIN         HIRV                                      None                                      0
  69  OKRIN         OMVY                                      None                                      0
  70  OKRIN         OGMNC                                     None                                      0
  71  OKRIN         KLIH                                      None                                      0
  72  OKRIN         JLIN                                      None                                      0
  73  OKRIN         SOJEZ                                     None                                      0
  74  OKRIN         JLUEK                                     None                                      0
  75  OKRIN         BQNWM                                     None                                      0
  76  OKRIN         PWBV                                      None                                      0
  77  OKRIN         TEVZN                                     None                                      0
  78  OKRIN         IPFRJ                                     None                                      0
  79  OKRIN         YOK                                       None                                      0
  80  OKRIN         NROG                                      None                                      0
  81  OKRIN         FNSH                                      None                                      0
  82  OKRIN         CRH                                       None                                      0
  83  OKRIN         LXA                                       None                                      0
  84  OKRIN         QBGF                                      None                                      0
  85  OKRIN         NDBJ                                      None                                      0
  86  OKRIN         CBHY                                      None                                      0
  87  OKRIN         NCZJ                                      None                                      0
  88  OKRIN         CFUM                                      None                                      0
  89  OKRIN         BKAPT                                     None                                      0
  90  OKRIN         WUH                                       None                                      0
  91  OKRIN         CJRZL                                     None                                      0
  92  OKRIN         CESVO                                     None                                      0
  93  OKRIN         APSV                                      None                                      0
  94  OKRIN         QZU                                       None                                      0
  95  OKRIN         UWGP                                      None                                      0
  96  OKRIN         ZFTD                                      None                                      0
  97  OKRIN         KAC                                       None                                      0
  98  OKRIN         RFPE                                      None                                      0
  99  OKRIN         MDBV                                      None                                      0
 100  OKRIN         PRA                                       None                                      0
 101  OKRIN         HRQ                                       None                                      0
 102  OKRIN         BKGRU                                     None                                      0
 103  OKRIN         VZSH                                      None                                      0
 104  OKRIN         PBXZR                                     None                                      0
 105  OKRIN         HGDV                                      None                                      0
 106  OKRIN         UGTAO                                     None                                      0
 107  OKRIN         PJKY                                      None                                      0
 108  OKRIN         ZNL                                       None                                      0
 109  OKRIN         LHOWN                                     None                                      0
 110  OKRIN         CAHTW                                     None                                      0
 111  OKRIN         RXUV                                      None                                      0
 112  OKRIN         UAQB                                      None                                      0
 113  OKRIN         OVLD                                      None                                      0
 114  OKRIN         LGMK                                      None                                      0
 115  OKRIN         JEYD                                      None                                      0
 116  OKRIN         UPRZ                                      None                                      0
 117  OKRIN         OPEF                                      None                                      0
 118  OKRIN         ZBTLK                                     None                                      0
 119  OKRIN         NJSMW                                     None                                      0
 120  OKRIN         ONTJ                                      None                                      0
 121  OKRIN         RKX                                       None                                      0
 122  OKRIN         MCZJK                                     None                                      0
 123  OKRIN         SFYVN                                     None                                      0
 124  OKRIN         PEI                                       None                                      0
 125  OKRIN         GYVZ                                      None                                      0
 126  OKRIN         BFTY                                      None                                      0
 127  OKRIN         ZNJT                                      None                                      0
 128  OKRIN         NFQR                                      None                                      0
 129  OKRIN         FLQO                                      None                                      0
 130  OKRIN         MHAV                                      None                                      0
 131  OKRIN         VRPQU                                     None                                      0
 132  OKRIN         HYAEM                                     None                                      0
 133  OKRIN         VRE                                       None                                      0
 134  OKRIN         OIG                                       None                                      0
 135  OKRIN         JNCA                                      None                                      0
 136  OKRIN         RLVN                                      None                                      0
 137  OKRIN         LRJO                                      None                                      0
 138  OKRIN         RKMC                                      None                                      0
 139  OKRIN         UDY                                       None                                      0
 140  OKRIN         RDJPS                                     None                                      0
 141  OKRIN         XADPE                                     None                                      0
 142  OKRIN         OPBDI                                     None                                      0
 143  OKRIN         HSA                                       None                                      0
 144  OKRIN         HYX                                       None                                      0
 145  OKRIN         GLHIU                                     None                                      0
 146  OKRIN         KLHQT                                     None                                      0
 147  OKRIN         HWTPM                                     None                                      0
 148  OKRIN         ECJT                                      None                                      0
 149  OKRIN         IFEQU                                     None                                      0
 150  OKRIN         TPS                                       None                                      0
 151  OKRIN         QKRDO                                     None                                      0
 152  OKRIN         XNUI                                      None                                      0
 153  OKRIN         XECLT                                     None                                      0
 154  OKRIN         MZTWI                                     None                                      0
 155  OKRIN         NZBF                                      None                                      0
 156  OKRIN         WOVG                                      None                                      0
 157  OKRIN         SFX                                       None                                      0
 158  OKRIN         WOTD                                      None                                      0
 159  OKRIN         KPJO                                      None                                      0
 160  OKRIN         QVA                                       None                                      0
 161  OKRIN         CQKOF                                     None                                      0
 162  OKRIN         WFL                                       None                                      0
 163  OKRIN         YFZ                                       None                                      0
 164  OKRIN         HMRJ                                      None                                      0
 165  OKRIN         CXT                                       None                                      0
 166  OKRIN         LTIQW                                     None                                      0
 167  OKRIN         CWVH                                      None                                      0
 168  OKRIN         ZHNP                                      None                                      0
 169  OKRIN         LSWT                                      None                                      0
 170  OKRIN         IHE                                       None                                      0
 171  OKRIN         VAJ                                       None                                      0
 172  OKRIN         DXIN                                      None                                      0
 173  OKRIN         BXT                                       None                                      0
 174  OKRIN         OMBHX                                     None                                      0
 175  OKRIN         EJSY                                      None                                      0
 176  OKRIN         NXUTZ                                     None                                      0
 177  OKRIN         ZHCMX                                     None                                      0
