Centaur Zendo round 3 (training)
round_id : 85d59ffa3fe1460b9498970712954807
written  : 2026-09-02 10:50:55Z
presented=474  answered=474  correct=0  skipped=0
client answer latency: mean 0.114 ms  median 0.105 ms  max 1.417 ms  (n=475)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         WDYAP                                     WDYAPWDYA\nPWDYAPWDY\nAPWDYAPWD\nYAPWDY…  0
   1  OKRIN         JQYSE                                     JQYSEJQYS\nEJQYSEJQY\nSEJQYSEJQ           0
   2  OKRIN         JOTDH                                     JOTDH\nHJOTD\nDHJOT\nTDHJO\nOTDHJ         0
   3  OKRIN         CGKER                                     CGKERCGKE\nRCGKERCGK\nERCGKERCG\nKERCGK…  0
   4  OKRIN         UVWY                                      UVWY\nVWYU\nWYUV\nYUVW                    0
   5  OKRIN         NAT                                       NATNA                                     0
   6  OKRIN         FPOGV                                     FPOGVFPOGVFPOGVFPOGVFPOGV                 0
   7  OKRIN         KLIY                                      KLIY\nKLIY\nKLIY\nKLIY                    0
   8  OKRIN         EFBH                                      EFBHEFB\nHEFBHEF\nBHEFBHE\nFBHEFBH\nEFB…  0
   9  OKRIN         ZGC                                       ZGC*CGZ\n*G***G*\n**C*C**\n*******\n**C…  0
  10  OKRIN         HLO                                       HLOHL\nOHLOH\n                            0
  11  OKRIN         QWO                                       QWO\nOQW                                  0
  12  OKRIN         MLPZ                                      MLPZ\nZPLM                                0
  13  OKRIN         YRE                                       ERY                                       0
  14  OKRIN         FGMUD                                     FGMUDFGMU\nDFGMUDFGM\nUDFGMUDFG\nMUDFGM…  0
  15  OKRIN         WORS                                      WORSWOR\nSWORSWO\nRSWORSW                 0
  16  OKRIN         LQPH                                      LQPH\nHLQP\nPHLQ\nQPHL                    0
  17  OKRIN         DGMF                                      DGMFDGM\nFDGMFDG\nMFDGMFD\nGMFDGMF        0
  18  OKRIN         OMZ                                       OMZ\nMZO\nZOM                             0
  19  OKRIN         ZIC                                       ZICZI                                     0
  20  OKRIN         KIUW                                      KIUWKIUWKIUWKIUW                          0
  21  OKRIN         JYZD                                      JYZD\nJYZD\nJYZD\nJYZD                    0
  22  OKRIN         LBNW                                      LBNWLBN\nWLBNWLB\nNWLBNWL\nBNWLBNW\nLBN…  0
  23  OKRIN         GYQN                                      GYQN*NQYG\n*Y*****Y*\n**Q***Q**\n***N*N…  0
  24  OKRIN         XTBS                                      XTBSXTB\nSXTBSXT\nBSXTBSX\n               0
  25  OKRIN         LIX                                       LIX\nXLI                                  0
  26  OKRIN         QOPVS                                     QOPVS\nSVPOQ                              0
  27  OKRIN         PBMT                                      TMBP                                      0
  28  OKRIN         PNUX                                      PNUXPNU\nXPNUXPN\nUXPNUXP                 0
  29  OKRIN         GIEAJ                                     GIEAJGIEA\nJGIEAJGIE\nAJGIEAJGI           0
  30  OKRIN         XSOF                                      XSOF\nFXSO\nOFXS\nSOFX                    0
  31  OKRIN         SNHR                                      SNHRSNH\nRSNHRSN\nHRSNHRS\nNHRSNHR        0
  32  OKRIN         OWCF                                      OWCF\nWCFO\nCFOW\nFOWC                    0
  33  OKRIN         PDALR                                     PDALRPDAL                                 0
  34  OKRIN         AOBYI                                     AOBYIAOBYIAOBYIAOBYIAOBYI                 0
  35  OKRIN         JDOZX                                     JDOZX\nJDOZX\nJDOZX\nJDOZX\nJDOZX         0
  36  OKRIN         ZAFGB                                     ZAFGBZAFG\nBZAFGBZAF\nGBZAFGBZA\nFGBZAF…  0
  37  OKRIN         LQT                                       LQT*TQL\n*Q***Q*\n**T*T**\n*******\n**T…  0
  38  OKRIN         OMX                                       OMXOM\nXOMXO\n                            0
  39  OKRIN         TPBZ                                      TPBZ\nZTPB                                0
  40  OKRIN         MNQ                                       MNQ\nQNM                                  0
  41  OKRIN         IPF                                       FPI                                       0
  42  OKRIN         WGSE                                      WGSEWGS\nEWGSEWG\nSEWGSEW                 0
  43  OKRIN         TMDPW                                     TMDPWTMDP\nWTMDPWTMD\nPWTMDPWTM           0
  44  OKRIN         NPF                                       NPF\nFNP\nPFN                             0
  45  OKRIN         IZGQN                                     IZGQNIZGQ\nNIZGQNIZG\nQNIZGQNIZ\nGQNIZG…  0
  46  OKRIN         DJTVF                                     DJTVF\nJTVFD\nTVFDJ\nVFDJT\nFDJTV         0
  47  OKRIN         YGJX                                      YGJXYGJ                                   0
  48  OKRIN         IGLSB                                     IGLSBIGLSBIGLSBIGLSBIGLSB                 0
  49  OKRIN         QLE                                       QLE\nQLE\nQLE                             0
  50  OKRIN         VOXQ                                      VOXQVOX\nQVOXQVO\nXQVOXQV\nOXQVOXQ\nVOX…  0
  51  OKRIN         HCWQ                                      HCWQ*QWCH\n*C*****C*\n**W***W**\n***Q*Q…  0
  52  OKRIN         JOH                                       JOHJO\nHJOHJ\n                            0
  53  OKRIN         YQTA                                      YQTA\nAYQT                                0
  54  OKRIN         YSJN                                      YSJN\nNJSY                                0
  55  OKRIN         IBRHL                                     LHRBI                                     0
  56  OKRIN         ZXGH                                      ZXGHZXG\nHZXGHZX\nGHZXGHZ                 0
