Centaur Zendo round 4 (training)
round_id : 98b8c7dc3072430fa3c8f771cfc35f79
written  : 2026-09-02 10:53:46Z
presented=454  answered=454  correct=0  skipped=0
client answer latency: mean 0.111 ms  median 0.106 ms  max 0.214 ms  (n=454)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         WSK                                       WSK                                       0
   1  OKRIN         UNTEH                                     UNTEHU                                    0
   2  OKRIN         SUQC                                      SUQCSUQ                                   0
   3  OKRIN         VHIQ                                      VHIQVHIQ                                  0
   4  OKRIN         MZXG                                      MZXGMZXGM                                 0
   5  OKRIN         QBNT                                      QBNTQBNTQBN                               0
   6  OKRIN         OYK                                       OYKOYKOYK                                 0
   7  OKRIN         DWMX                                      DWMXDWMXDWMXDWMX                          0
   8  OKRIN         BKX                                       BKX\nXBK                                  0
   9  OKRIN         GQLH                                      GQLHG\nHGQLH                              0
  10  OKRIN         STQ                                       STQST\nQSTQS                              0
  11  OKRIN         CBT                                       CBTCBT\nTCBTCB                            0
  12  OKRIN         YGFX                                      YGFXYGFXY\nXYGFXYGFX                      0
  13  OKRIN         JBCU                                      JBCUJBCUJBC\nUJBCUJBCUJB                  0
  14  OKRIN         YVDO                                      YVDOYVDOYVDO\nOYVDOYVDOYVD                0
  15  OKRIN         VBMD                                      VBMDVBMDVBMDVBMD\nDVBMDVBMDVBMDVBM        0
  16  OKRIN         WRT                                       WRT\nTWR\nRTW                             0
  17  OKRIN         NGLYE                                     NGLYEN\nENGLYE\nYENGLY                    0
  18  OKRIN         VTYZX                                     VTYZXVTYZ\nXVTYZXVTY\nZXVTYZXVT           0
  19  OKRIN         XTQ                                       XTQXTQ\nQXTQXT\nTQXTQX                    0
  20  OKRIN         TMXOI                                     TMXOITMXOIT\nITMXOITMXOI\nOITMXOITMXO     0
  21  OKRIN         DJFCS                                     DJFCSDJFCSDJFC\nSDJFCSDJFCSDJF\nCSDJFCS…  0
  22  OKRIN         IOJUK                                     IOJUKIOJUKIOJUK\nKIOJUKIOJUKIOJU\nUKIOJ…  0
  23  OKRIN         AWKGT                                     AWKGTAWKGTAWKGTAWKGT\nTAWKGTAWKGTAWKGTA…  0
  24  OKRIN         BWNX                                      BWNX\nXBWN\nNXBW\nWNXB                    0
  25  OKRIN         ETFGY                                     ETFGYE\nYETFGY\nGYETFG\nFGYETF            0
  26  OKRIN         VANE                                      VANEVAN\nEVANEVA\nNEVANEV\nANEVANE        0
  27  OKRIN         XGSKM                                     XGSKMXGSKM\nMXGSKMXGSK\nKMXGSKMXGS\nSKM…  0
  28  OKRIN         JUX                                       JUXJUXJ\nXJUXJUX\nUXJUXJU\nJUXJUXJ        0
  29  OKRIN         EFRKL                                     EFRKLEFRKLEFRK\nLEFRKLEFRKLEFR\nKLEFRKL…  0
  30  OKRIN         DTK                                       DTKDTKDTK\nKDTKDTKDT\nTKDTKDTKD\nDTKDTK…  0
  31  OKRIN         EMWCR                                     EMWCREMWCREMWCREMWCR\nREMWCREMWCREMWCRE…  0
  32  OKRIN         OEMI                                      OEMI\nIOEM\nMIOE\nEMIO\nOEMI              0
  33  OKRIN         YUO                                       YUOY\nOYUO\nUOYU\nYUOY\nOYUO              0
  34  OKRIN         MHUY                                      MHUYMHU\nYMHUYMH\nUYMHUYM\nHUYMHUY\nMHU…  0
  35  OKRIN         ZAX                                       ZAXZAX\nXZAXZA\nAXZAXZ\nZAXZAX\nXZAXZA    0
