Centaur Zendo round 5 (training)
round_id : 2b4a5bec2ef144da8fecbed1df8f86ae
written  : 2026-09-02 10:55:59Z
presented=453  answered=442  correct=0  skipped=11
client answer latency: mean 0.119 ms  median 0.115 ms  max 1.495 ms  (n=453)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         HVYIS                                     HHIIISSSSVVVVVYYYYYY                      0
   1  OKRIN         DKXJ                                      DD\nJJJ\nKKKK\nXXXXX                      0
   2  OKRIN         JPSC                                      CC JJJ PPPP SSSSS                         0
   3  OKRIN         FQOBP                                     QQQQQQPPPPPOOOOFFFBB                      0
   4  OKRIN         UPN                                       UUUU\nPPP\nNN                             0
   5  OKRIN         KHB                                       KKKKHHHBB                                 0
   6  OKRIN         JOYQ                                      JJ\nOOO\nYYYYY\nQQQQ                      0
   7  OKRIN         HPLOM                                     HLLMMMOOOOPPPPP                           0
   8  OKRIN         SMU                                       MMMSSSSUUUUU                              0
   9  OKRIN         PSWJ                                      JJJJJPPPPSSSWW                            0
  10  OKRIN         SNWK                                      WWSSSNNNNKKKKK                            0
  11  OKRIN         EJPRG                                     EGJPREGJPRGJPRJPRPRR                      0
  12  OKRIN         EJCI                                      JIECJIECJIEJIJ                            0
  13  OKRIN         NMYAL                                     NMYALNMYALNMYLNMYNYY                      0
  14  OKRIN         PUTC                                      CCPPP\nTTTTU\nUUUU*                       0
  15  OKRIN         STJIH                                     HHIII\nJJJJS\nSSSST\nTTTTT                0
  16  OKRIN         KCXZ                                      CCKK\nKXXX\nXZZZ\nZZ__                    0
  17  OKRIN         GIWK                                      GGIIIKK\nKKWWWWW                          0
  18  OKRIN         EVK                                       eekkkvvvv                                 0
  19  OKRIN         ISW                                       II,SSS,WWWW                               0
  20  OKRIN         QVKOJ                                     J2K3O4Q5V6                                0
  21  OKRIN         OYM                                       M2 O3 Y4                                  0
  22  OKRIN         TKZHW                                     43625                                     0
  23  OKRIN         NFGY                                      4 2 3 5                                   0
  24  OKRIN         KWNH                                      {"H": 2, "K": 3, "N": 4, "W": 5}          0
  25  OKRIN         NAVS                                      ["AA", "NNN", "SSSS", "VVVVV"]            0
  26  OKRIN         LKSB                                      BBKKKLLLLSSSSS\n                          0
  27  OKRIN         FCV                                       CCFFFVVVV*                                0
  28  OKRIN         LXOP                                      LL\nOOO\nPPPP\nXXXXX                      0
  29  OKRIN         ZAW                                       ZZZZ\nWWW\nAA                             0
  30  OKRIN         IWG                                         GG\n III\nWWWW                          0
  31  OKRIN         ERQO                                      OQQRRR                                    0
  32  OKRIN         LAZU                                      AA*LLL*UUUU*ZZZZZ                         0
