Centaur Zendo round 6 (training)
round_id : 69328e45a44447978cc39e33ffb17089
written  : 2026-09-02 10:58:57Z
presented=511  answered=379  correct=149  skipped=132
client answer latency: mean 0.111 ms  median 0.105 ms  max 1.292 ms  (n=511)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         IMRO                                      None                                      0
   1  OKRIN         UVRI                                      UVRIUVR\nIUVR.UV\n...V...                 1
   2  OKRIN         LNUYZ                                     LNUYZLNUYZ.\nZ.NUYZ..UYZ\nYZ.........\n…  1
   3  OKRIN         OVB                                       OVBOV\nBOV..\nV....                       1
   4  OKRIN         IVHYP                                     IVHYPIV\nPIVHYP.\nYP.V.Y.\n.Y..V.Y\n...…  0
   5  OKRIN         DPJT                                      None                                      0
   6  OKRIN         WZP                                       WZPWZPW\n**Z**Z*                          1
   7  OKRIN         CXJ                                       None                                      0
   8  OKRIN         SOJRB                                     SOJRBSOJRBS\n*SOJR*SO*R*\nR*S********\n…  0
   9  OKRIN         NISCK                                     NISCKNISC\nKNIS*KN*S\n*KN*S****\nS*****…  0
  10  OKRIN         QXT                                       QXTQX\nT*XT*\nX****\n*****                1
  11  OKRIN         FWC                                       None                                      0
  12  OKRIN         WIT                                       WITWITW\nTW_____                          1
  13  OKRIN         KZH                                       None                                      0
  14  OKRIN         CRSZY                                     CRSZYCRSZY_\nY_RSZY__SZY\nZ____Z_____\n…  1
  15  OKRIN         ZDOB                                      ZDOBZDO\nBZDO_Z_\nO_Z____\n_______        1
  16  OKRIN         QMFT                                      QMFTQM\nTQMFTQ\n_T___T\n______\n______    1
  17  OKRIN         TGXYO                                     None                                      0
  18  OKRIN         GXLI                                      None                                      0
  19  OKRIN         MFBE                                      MFBEMFB\nEMF~EMF\n~~M~~~~                 1
  20  OKRIN         DQVXA                                     DQVXADQVXAD\n~~QVX~~QVX~\nX~~~VX~~~~~\n…  0
  21  OKRIN         TWV                                       TWVTW\nV~WV~\nW~~~~                       1
  22  OKRIN         NWP                                       NWPNW\nP~WP~\nW~~~~\n~~~~~                1
  23  OKRIN         FMYTP                                     None                                      0
  24  OKRIN         ODTBL                                     ODTBLBDDLLLOOOOTTTTT                      0
  25  OKRIN         YVX                                       YVXYYYXXV                                 0
  26  OKRIN         MWILH                                     HIILLLMMMMWWWWWMWILH                      0
  27  OKRIN         SKZWQ                                     ZZZZZWWWWSSSQQKSKZWQ                      0
  28  OKRIN         SYRFH                                     None                                      0
  29  OKRIN         AKU                                       AKUAKU.KU..U                              0
  30  OKRIN         GILZX                                     None                                      0
  31  OKRIN         AUHPR                                     AUHPRAUHPRAHHPPPRRRRUUUUU                 0
  32  OKRIN         OKH                                       OKH\nHKK\nOOO                             0
  33  OKRIN         YFMX                                      YFMXFMM\nXXXYYYY                          0
  34  OKRIN         AFEJR                                     AFEJRAEEFFF\nJJJJRRRRR..                  0
  35  OKRIN         ZVCI                                      ZVCI\nCIIV\nVVZZ\nZZ**                    0
  36  OKRIN         SHU                                       SHUHS\nSUUU*                              0
  37  OKRIN         YWD                                       YWDDWWY\nYY*****                          0
  38  OKRIN         FON                                       FONFON.\nN.O..O.                          1
  39  OKRIN         JDR                                       None                                      0
  40  OKRIN         HKU                                       HKUHKU.\nU.KU...                          1
  41  OKRIN         CGLXF                                     CGLXFCGLX\nF.GLXF.GL\nX...LX...\n.X....…  0
  42  OKRIN         ERJP                                      ERJPERJP.\nP.RJP.R..\n...R.....\n......…  1
  43  OKRIN         DIY                                       DIYDI\nY.IY.\n.Y...                       0
  44  OKRIN         CSQ                                       CSQCS\nQ.SQ.\nS....\n.....                1
  45  OKRIN         TAM                                       None                                      0
  46  OKRIN         RMNA                                      RMNARMNAR\n*RMN*R*N*                      1
  47  OKRIN         KIWMJ                                     KIWMJKIWM\nJK*WMJK*W\nM***WM***\nW*****…  1
  48  OKRIN         EQZFC                                     EQZFCEQZFCE\n**QZF**QZF*\n***QZ****Z*\n…  1
  49  OKRIN         ACKL                                      ACKLACK\nL*CKL**\nKL***L*\n*******        0
