Centaur Zendo round final (final)
round_id : 82d8002e2e2a4742a8eb85b141d508b3
written  : 2026-09-02 11:22:48Z
presented=3804  answered=3804  correct=2767  skipped=0
client answer latency: mean 0.106 ms  median 0.101 ms  max 1.155 ms  (n=3804)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         JAIYS                                     JAIYSJAIY\nSJ.IYSJ..\nYS...YS..\n.Y....…  1
   1  OKRIN         VAFQ                                      VAFQVAFQV\nQV.FQV...                      1
   2  OKRIN         DQAFR                                     DQAFRDQAFRD\nR.Q.FR.Q.FR\n.R.Q.......     0
   3  OKRIN         EIHJ                                      EIHJEIH\nJ.IHJ.I\n.J...J.                 0
   4  OKRIN         GODI                                      GODIGODIG\nI.O.I.O..\n...O.....           0
   5  OKRIN         UXPMC                                     UXPMCUXPMCU\n.UXPM.UXP..\n...X....X..     1
   6  OKRIN         YLVE                                      YLVEYLVEY\n.YLV.Y.V.                      1
   7  OKRIN         KNHPD                                     KNHPDKNHPDKNH\n.KN.P..N.P...\nP....P...…  0
   8  OKRIN         MFVUK                                     MFVUKMFVUKM.\nKM.VU...VU..\nU...V....V..  1
   9  OKRIN         JPGSV                                     JPGSVJPGSVJ\nV.P.SV.P.SV\nSV.........     1
  10  OKRIN         OVUM                                      OVUMOVU\nMOVU..V\nU..V...                 1
  11  OKRIN         WIOM                                      WIOMWIOMW\nMW.O.W.O.                      1
  12  OKRIN         ZVFK                                      ZVFKZVFKZ\nKZV..ZV..                      1
  13  OKRIN         ZWTR                                      ZWTRZWTRZ\n.ZWT.ZW..                      1
  14  OKRIN         XQOM                                      XQOMXQOMX\n.XQO.XQ..                      1
  15  OKRIN         KZTV                                      KZTVKZTV.\nV.ZTV.Z..\n...Z.....           1
  16  OKRIN         KQCIB                                     KQCIBKQCIBK\n.KQCI.KQ.I.\n...Q....Q..     0
  17  OKRIN         UXLJ                                      UXLJUXLJUX\n.UXL..X...                    1
  18  OKRIN         LDSGR                                     LDSGRLDSGRL.\nRL.SGR..S.R.\n....S....S..  0
  19  OKRIN         DPLI                                      DPLIDPLI.\nI.PL..PL.\n...P.....           1
  20  OKRIN         BRL                                       BRLBRL.\nL.R..R.                          1
  21  OKRIN         VBHXT                                     VBHXTVBHXTV\nTV.HXTV..X.\nX....X.....     1
  22  OKRIN         ITCJE                                     ITCJEITCJEI\nEIT.J..T.J.\nJ..T....T..     0
  23  OKRIN         MONFG                                     MONFGMONFGM\nGMON...ON..\n...ON...O..     1
  24  OKRIN         UAFDJ                                     UAFDJUAFD\nJU.FDJU.F\n.JU...JU.           1
  25  OKRIN         INKR                                      INKRINK\nR.NKR.N\n.R...R.                 0
  26  OKRIN         TQAZG                                     TQAZGTQAZGT\nGTQ.Z.TQ.Z.\nZ....Z.....     0
  27  OKRIN         XYVL                                      XYVLXYVLXY\n.XYV..Y...                    1
  28  OKRIN         VCM                                       VCMVCMV\nMV.....                          1
  29  OKRIN         ZEDL                                      ZEDLZEDLZ\nLZE.LZ...                      1
  30  OKRIN         WLIR                                      WLIRWLIRW\nRWL.RW...                      1
  31  OKRIN         HRMZQ                                     HRMZQHRMZQ.\nQ.RMZQ.R.Z.\nZ..R.Z.....     1
  32  OKRIN         KXUR                                      KXURKXUR.\nR.XU..XU.\n...X.....           1
  33  OKRIN         VFYXJ                                     VFYXJVFYXJV.\nJV.YX...YX..\nX...Y....Y..  1
  34  OKRIN         LSK                                       LSKLSKL\n..S..S.                          1
  35  OKRIN         MGVKP                                     MGVKPMGVKPM.\nPM.VKP..V.P.\n....V....V..  0
  36  OKRIN         HOZAR                                     HOZARHOZARH\nR.OZ.R.OZ.R\n....Z....Z.     0
  37  OKRIN         COUW                                      COUWCOUW.\nW.OUW..UW                      1
  38  OKRIN         VUGQ                                      VUGQVUGQV\nQVU..VU..                      1
  39  OKRIN         PGB                                       PGBPGBP\n.PG....                          1
  40  OKRIN         ZER                                       ZERZERZ\nRZ.....                          1
  41  OKRIN         PDO                                       PDOPDOP\nOP.....                          1
  42  OKRIN         GBWE                                      GBWEGBWEG\nEG.W...W.\nW........           1
  43  OKRIN         WSEN                                      WSENWSENW\nNWS..WS..                      1
  44  OKRIN         REOH                                      REOHREOHR\nHR.O.R.O.                      1
  45  OKRIN         EWKYT                                     EWKYTEWKYT.\nT.WKYT.W.Y.\nY..W.Y.....     1
  46  OKRIN         XZLD                                      XZLDXZLDXZ\n.XZL..Z...                    1
  47  OKRIN         ORVKU                                     ORVKUORVKUO\nU.RV.U.RV.U\n....V....V.     0
  48  OKRIN         VDZQC                                     VDZQCVDZQCV\n.VDZQ.V.ZQ.\n....Z....Z.     1
