Centaur Zendo round 1 (training)
round_id : a150c22876ef461286c7a9073dd294a3
written  : 2026-09-02 10:41:32Z
presented=270  answered=270  correct=270  skipped=0
client answer latency: mean 0.854 ms  median 0.346 ms  max 29.951 ms  (n=270)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         AXZT                                      AXZT...\nT.XZ...\nZ..XZTA\nXZ.....        1
   1  OKRIN         GIHN                                      GIHN\nN.I.\nHN..\nI...\nGI..\nN...\nHN..  1
   2  OKRIN         OPSYC                                     OPSYC....\n.OPSY....\n..OPSY...\n.....S…  1
   3  OKRIN         LWK                                       LWKLW\nK.W.L\nW....                       1
   4  OKRIN         GHJDO                                     GHJDO..\nOGHJ.O.\n.OGHJDO\n..O..J.\n...…  1
   5  OKRIN         HTLV                                      HTLVH\nV.T.V\nLV...\nTLV..\n.T...         1
   6  OKRIN         IVWR                                      IVWR..\nRIVWR.\nW..VW.\n....VW            1
   7  OKRIN         GCNFQ                                     GCNFQG.N.\nQ..N.Q.C.\n....NFQG.\n.....N…  1
   8  OKRIN         XOC                                       XOCX\n.XO.\n..XO\n..C.                    1
   9  OKRIN         HGNEF                                     HGNEFHGN.\n.H.N.FHGN\nEFHGN....\nN.....…  1
  10  OKRIN         EGFXM                                     EGFXM...\nMEG.XM..\nX..GFXM.\n....G.XM\…  1
  11  OKRIN         QNET                                      QNETQN\nT.NETQ\n.TQ..T                    1
  12  OKRIN         GQDT                                      GQDTGQ.\nT.Q.TGQ\n.....T.\n.....DT        1
  13  OKRIN         JTHUP                                     JTHUPJT\n..T.UP.\nUPJT.U.\nHUP....\nT.U…  1
  14  OKRIN         LNX                                       LNX.\nX.NX\n..LN\n..X.                    1
  15  OKRIN         KZRJ                                      KZRJ..\n.KZRJ.\n...ZR.\n...KZR\n.....Z    1
  16  OKRIN         VIUO                                      VIUOVIU\n.V.U.V.\nUOV..O.                 1
  17  OKRIN         XNCO                                      XNCOXN\nOX.COX\n.OXN..                    1
  18  OKRIN         SKVI                                      SKVI.\n.SKV.\nVISKV\n.V.S.                1
  19  OKRIN         CYRO                                      CYRO..\n..YRO.\n...YR.\n....YR\n....CY\…  1
  20  OKRIN         BKCGQ                                     BKCGQ..\nQ.KCGQ.\n.QBK.GQ\n.GQ....\nKC.…  1
  21  OKRIN         HUR                                       HURH\nR.UR\nU..U                          1
  22  OKRIN         AIKG                                      AIKG.\nGAIK.\nKG.IK\n.K..I                1
  23  OKRIN         WHMOK                                     WHMOKW\n.W.MO.\nOKW.MO\n.OKW.M\n.....H\…  1
  24  OKRIN         MJWGQ                                     MJWGQMJW\nQ..W.Q..\n.QMJW...\nWGQM....\…  1
  25  OKRIN         JGT                                       JGTJ\nT..T\n.TJG                          1
  26  OKRIN         JNS                                       JNSJ.\nS.NS.\n...NS                       1
  27  OKRIN         QWKOH                                     QWKOHQW.\n.QWKO.QW\n...W....\nKOHQW...\…  1
  28  OKRIN         XYTDZ                                     XYTDZ.\nZXYT..\nDZXYT.\n..Z.Y.\n...ZXY\…  1
  29  OKRIN         XMBVG                                     XMBVGXM..\n.X..V.XM.\nVG.....XM\n.V....…  1
  30  OKRIN         TVCGM                                     TVCGMTVCG\nMTV....V.\n..TV.....\n...TV.…  1
  31  OKRIN         IRNT                                      IRNT...\nT.RNT.R\n...RNTI\n......T        1
  32  OKRIN         RPWKM                                     RPWKM.\n.RPW..\n.MRPW.\n...RPW\n.WKMR.\…  1
  33  OKRIN         GXZL                                      GXZL..\nLG.Z..\nZ..XZL\n....XZ\n.....X    1
