Centaur Zendo round 1 (training)
round_id : f39e0d26e4244b3d84c60124414c8891
written  : 2026-09-02 10:41:33Z
presented=406  answered=406  correct=24  skipped=0
client answer latency: mean 0.350 ms  median 0.338 ms  max 2.073 ms  (n=406)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         VYI                                       VYI\nI..\nYI.\nVY.\nI..                   0
   1  OKRIN         SAHU                                      SAHU..\nU.AHUS\nHU...U\nAH....            0
   2  OKRIN         VRX                                       VRXVR\nX..X.\nRX...                       0
   3  OKRIN         SCWUY                                     SCWUY..\nY.CWUY.\nUY...UY\nWU...W.\n...…  0
   4  OKRIN         UXYVZ                                     UXYVZ..\nZ.XYVZU\nVZ.XY.Z\n.VZ....\n.YV…  0
   5  OKRIN         OVABD                                     OVABDO.\nD..ABD.\nBD..ABD\n.BD.VA.\n...…  0
   6  OKRIN         XNUB                                      XNUB..\nBXNUB.\nUB.NUB                    0
   7  OKRIN         LTNE                                      LTNE...\nE..NE.T\nNE..NEL\n....T..        0
   8  OKRIN         GRALW                                     GRALW.\nW..ALW\nLW..A.\nALW.R.\n..L.GR\…  0
   9  OKRIN         ZHAF                                      ZHAF...\nF..AFZH\nAF..AF.\n....H..        0
  10  OKRIN         FQOI                                      FQOI..\nIF.OI.\nOI..OI\nQ...Q.            0
  11  OKRIN         UFSVG                                     UFSVG...\nG..SVGU.\nVG...VG.\n....FSVG\…  0
  12  OKRIN         XZEQJ                                     XZEQJ....\nJ..EQJ...\n...Z.QJX.\n....ZE…  0
  13  OKRIN         MWT                                       MWT\nT..\nWT.\nMWT                        0
  14  OKRIN         OTI                                       OTI..\nI.TIO\n...TI                       0
  15  OKRIN         AXBSU                                     AXBSU....\nU.XBSU...\n.....SU..\n...AXB…  0
  16  OKRIN         UVB                                       UVB..B\nB.VBUV                            0
  17  OKRIN         FVDAH                                     FVDAH\nHF.D.\nAH.V.\nDAH..\nVDAH.\n...AH  0
  18  OKRIN         LVN                                       LVN\nNL.\nVN.\n.VN                        0
  19  OKRIN         CYIA                                      CYIA.\nA..IA\nIA...\nYIA..\nCY...         0
  20  OKRIN         YNQLD                                     YNQLD.\nD.NQLD\nLDY.Q.\n.LD.NQ\n..LD..    0
  21  OKRIN         PWE                                       PWEP\nE.WE\nWE..                          0
  22  OKRIN         OALSX                                     OALSX..\nX.ALSX.\nSXOALSX\nLSX....        0
  23  OKRIN         IWJT                                      IWJT..\nT.WJTI\nJT.W.T\n.J....            0
  24  OKRIN         LAG                                       LAG..\nG.AG.\n...AG\n...L.                0
  25  OKRIN         UVRT                                      UVRT.\nT..RT\nRTUV.\nVRT..                0
  26  OKRIN         WQHI                                      WQHIW\nI..HI\nHI...\nQHI..\n.Q...         0
  27  OKRIN         EQWLD                                     EQWLD.\nD..WLD\nLDEQW.\nWLD...\nQ.LD..    0
  28  OKRIN         KSAZM                                     KSAZM.\nM...ZM\nZM..AZ\nAZM..A\nS....S\…  0
  29  OKRIN         PZEJH                                     PZEJH..\nHPZEJH.\nJH..EJH\nEJH.Z..        0
  30  OKRIN         DEIH                                      DEIH..\nH.EIH.\nIHD.IH\nE.....            0
  31  OKRIN         CLFKN                                     CLFKN..\nNCLFKN.\nKN...KN\nFKN....\nLF.…  0
  32  OKRIN         CVZO                                      CVZO.\nO.VZO\nZO..Z\n....V\n....C\n....O  0
  33  OKRIN         UHSC                                      UHSC..\nCU.SC.\nSC.HSC\nH.....            0
  34  OKRIN         MNEH                                      MNEH..\nH.NEH.\nEHMNEH                    0
  35  OKRIN         JGQ                                       JGQ.\nQJGQ\n.Q.G                          0
  36  OKRIN         IAND                                      IAND.\nD..ND\nND...\nAND..\nIA...         0
  37  OKRIN         NBSFZ                                     NBSFZ.\nZ...FZ\nFZ.BS.\nSFZ.BS\n..FZN.    0
  38  OKRIN         ROA                                       ROA\nA..\nOAR\n.OA                        0
  39  OKRIN         NESH                                      NESH.E\nH..SHN\nSH.ESH                    0
