Centaur Zendo round 1 (training)
round_id : 9f7082024cf140a8a3e60d45ef0bb0f1
written  : 2026-09-02 10:41:34Z
presented=74  answered=74  correct=0  skipped=0
client answer latency: mean 8.018 ms  median 0.274 ms  max 307.114 ms  (n=75)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  OKRIN         IZX                                       IZX\nZ..\nX..\nIZ.\nZX.                   0
   1  OKRIN         PIJD                                      PIJDP\nIJ.P.\nJDP..\n.PI..\n..J..         0
   2  OKRIN         CZIJX                                                                               0
   3  OKRIN         RNF                                       RNFRN\nN.R..\nFR...                       0
   4  OKRIN         CLUO                                      CLUO.\nLUOC.\nUO.LU\nO..U.                0
   5  OKRIN         NMLR                                      NMLRNM\nM.R..L\n.RN..R\nRN....            0
   6  OKRIN         AXQZ                                      AXQZ\nX.Z.\nQZ..\nZAX.\n.X..\n.QZ.        0
   7  OKRIN         PIGN                                      PIGNP\nI.NP.\nGNPI.\nN....\nP....         0
   8  OKRIN         PHTBM                                     PHTBMP..\n.T.MP...\n..MPHT..\n....TBM.\…  0
   9  OKRIN         AQEW                                      AQEW\nQEW.\n.W..\nWAQ.\n.Q..\n.E..\n.W..  0
  10  OKRIN         FKNY                                      FKNYF.\nKNY.K.\nNY..NY\nY.....            0
  11  OKRIN         PKU                                       PKUPKU\n.UP.U.                            0
  12  OKRIN         UEIYQ                                     UEIYQU\n.IYQU.\n.YQUE.\nYQU.IY\n....Y.    0
  13  OKRIN         DPTL                                      DPTL.P\nPT.DPT\nTL..T.\nL.....            0
  14  OKRIN         EBX                                       EBX\n.XE\nXEB\n..X                        0
  15  OKRIN         CEHZG                                     CEHZG.\nEHZGCE\nHZ...H\nZG..HZ\nG...Z.    0
  16  OKRIN         MFBLC                                     MFBLCMFB\nF.L.M..L\n.LCM....\nLCMF....\…  0
  17  OKRIN         CVK                                       CVK.\nVKCV\nK.V.                          0
  18  OKRIN         JQKI                                      JQKI..\nQK.JQK\nK..Q..\nI.....\nJQ....    0
  19  OKRIN         SFL                                       SFLS\n.LS.\n.SFL                          0
  20  OKRIN         XKN                                       XKNX\n.NXK\nNX..                          0
  21  OKRIN         HBUIS                                     HBUIS..\n.UISHBU\nUIS..U.\n.SH.UIS        0
  22  OKRIN         QRZM                                      QRZMQ\nRZ.QR\nZM.RZ\n...Z.                0
  23  OKRIN         LTK                                       LTK.\nT.LT\nK.T.\nL...                    0
  24  OKRIN         DJGZC                                     DJGZCDJGZ\nJGZCDJ.Z.\nGZ..J....\nZ.....…  0
  25  OKRIN         XNQEY                                     XNQEYX.\nNQ.YX..\nQ.YX...\n...NQEY\n...…  0
  26  OKRIN         KRHF                                      KRHFKR\nRHFKR.\nH.KR..                    0
  27  OKRIN         SFAV                                      SFAVS\nF.V..\n.VS..\n.SFAV\n...V.         0
  28  OKRIN         FBSHJ                                     FBSHJ..S\n.SHJFBSH\nSHJ..S..\n.J......\…  0
  29  OKRIN         USRVQ                                     USRVQUS\nSRV.U..\n.V.USRV\n.....V.\n...…  0
  30  OKRIN         QLFI                                      QLFIQLFIQ\n..IQL....\n..QL.....           0
  31  OKRIN         FAN                                       FANF\n.NF.\n..AN\n..N.                    0
  32  OKRIN         NIUVE                                     NIUVE..\nIUV.N..\nUV.NIU.\nV...UVE\n...…  0
  33  OKRIN         PZQA                                      PZQAPZ\nZQ.PZ.\n...ZQ.\n...Q..\n...A..    0
  34  OKRIN         AED                                       AEDA\nE..E\nD.ED                          0
  35  OKRIN         QGNLB                                     QGNLBQGN\n.NL.Q...\nNL.Q....\n.BQGNL..\…  0
  36  OKRIN         RXMS                                      RXMS.\nXMSRX\n.S.X.\nSRX..                0
  37  OKRIN         MYCFQ                                     MYCFQ...\nY.FQMY..\n..QMYCFQ\n...Y..Q.\…  0
  38  OKRIN         DLYBA                                     DLYBA..\nLYBADLY\nYB.DLY.\n..DLY..        0
  39  OKRIN         YNZ                                       YNZ\n.Z.\nZY.\nYNZ                        0
  40  OKRIN         DKNPZ                                     DKNPZ.\nKNPZ..\nNPZDK.\nPZ..N.\nZ...PZ    0
  41  OKRIN         FNZU                                      FNZU.\nNZUF.\nZU.NZ\nU..Z.                0
  42  OKRIN         VEAGS                                     VEAGSV\n..GSV.\n.GSV..\n.SVE..\n..E...\…  0
  43  OKRIN         JHLZ                                      JHLZJH\n.LZ..L\nLZ...Z\nZJ....            0
  44  OKRIN         IKDX                                      IKDXIK.\nK.X.KDX\n.XI..X.                 0
  45  OKRIN         FUEYO                                     FUEYOFU.Y..\nU.YO.UEYOFU\n.YO...Y....     0
  46  OKRIN         NLHR                                      NLHRN\n..R.L\n.RNL.\n...HR\n...RN         0
  47  OKRIN         HVZ                                       HVZ\nVZ.\nZ..\nHV.\n.Z.                   0
  48  OKRIN         MJABI                                     MJABIMJA\n..BIMJ..\n.BIM....\n.IMJ....\…  0
  49  OKRIN         VGYRT                                     VGYRTVGY\n.Y.TV.Y.\nYRTV.YR.\n.TV.....    0
  50  OKRIN         ZXOP                                      ZXOPZX\nX.PZ.O\n..Z..P\n.ZX...            0
  51  OKRIN         GKO                                       GKO\nKO.\nO..\nGKO                        0
  52  OKRIN         GCHUP                                     GCHUP..\n.HUPG..\nHUPGCHU\nUP...U.\nP..…  0
  53  OKRIN         LWZH                                      LWZHLWZ\nWZ..WZ.\nZH.....\n.L.....        0
  54  OKRIN         NEU                                       NEU..\n.UNEU\n...UN                       0
  55  OKRIN         LMRF                                      LMRF..\nMR.LMR\nRF....\n.L....\n.MR...    0
  56  OKRIN         OMLZ                                      OMLZO\nM.ZO.\n.ZO..\n..M..\n..LZ.\n..Z..  0
  57  OKRIN         IET                                       IET.\n.TIE\nTI.T                          0
  58  OKRIN         LCPD                                      LCPDLCP\n.P.L.PD\nPD.....\n.L.....        0
  59  OKRIN         JER                                       JERJER\n.RJ.R.                            0
  60  OKRIN         XSAPI                                     XSAPIXS\nS.P.X..\n.PIXSA.\nPIXS...\n.X.…  0
  61  OKRIN         RPAE                                      RPAER\nP.ER.\nAERP.\n.RP..                0
  62  OKRIN         BOJM                                      BOJM.\nOJMBO\n.M.O.\n..OJM                0
  63  OKRIN         ZWXO                                      ZWXOZ\n.X.Z.\n..ZW.\n..WX.\n..XO.\n...Z.  0
  64  OKRIN         YDWL                                      YDWLY..\n.WLY...\n..YDWLY\n...W...        0
  65  OKRIN         JWG                                       JWGJW\nW.JWG                              0
  66  OKRIN         UVDJS                                     UVDJSUV\nV.JSUV.\n..SUV..\n.SUVDJ.        0
  67  OKRIN         XBGS                                      XBGSX\n..S.B\nGSX.G\n.X..S\n....X         0
  68  OKRIN         PXQEY                                     PXQEY.\nXQ.Y..\n..YP..\n...XQ.\n..XQEY\…  0
  69  OKRIN         QNLX                                      QNLXQ.\nN.X.N.\n.XQ.LX\nXQ....            0
  70  OKRIN         EAHOM                                     EAHOM..\n.HOM...\nHOMEA..\nOM..HOM\n.E.…  0
  71  OKRIN         YNX                                       YNXY\n.XY.\nXY..\n.N..                    0
  72  OKRIN         SGJUQ                                     SGJUQS\n.JUQS.\n.UQS..\nUQS...\n..GJU.\…  0
  73  OKRIN         OMNTG                                     OMNTGOM.\n.NT.O.NT\nNT.O..T.\nTGOM....    0

per-name tally this round
name             presented correct  hit-rate
OKRIN                   74       0      0.0%
