Centaur Zendo round 6 (training)
round_id : 22ddfd3d5a7845109ace2b9c8c7914fe
written  : 2026-09-02 11:59:51Z
presented=483  answered=483  correct=0  skipped=0
client answer latency: mean 0.116 ms  median 0.107 ms  max 1.167 ms  (n=484)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  murn          oo....#.#..|7                             ["##o..oo#oo.", "oo....#.#.."]            0
   1  murn          #.##...##.o..#o|5                         o###o.o###ooo##|#.##...##.o..#o           0
   2  murn          oo.ooo.o##.ooo#|10                        ####.###.###..#;oo.ooo.o##.ooo#           0
   3  murn          o.o...oo##.o#o#|12                        o#oo.o#..###..# o.o...oo##.o#o#           0
   4  murn          ...#oo.##o#o#|3                           ...#oo.##o#o#\n..o#.###....#              0
   5  murn          o#oo.#o.#o.|8                             o#oo.#o.#o.\n#..#######o\nooo#......#\n…  0
   6  murn          .##o.##oo###..|5                          o#.###.....#o.\n.##o.##oo###..\n          0
   7  murn          o#.ooo...|16                              \n####.#o..\no#.ooo...                    0
   8  murn          #o##.#o.oo..#|14                          ##\n.o\n.#\n##\n#.\n##\n#o\n#.\n#o\n#o\…  0
   9  murn          .oo.#....#o#..|11                         o###oo..o#.#o.\n.oo.#....#o#..            0
  10  murn          o#..#.##o|12                              .#ooo##..\no#..#.##o                      0
  11  murn          o#o##.o..oo.#..o|9                        #####o....o#####\noo.o#......#o.oo\n#..…  0
  12  murn          .oo#.#..oo...|5                           ooo##o..o#..#\n#..#o....o##o\n####.....…  0
  13  murn          .o.o.o..#o.#o#|15                         #.#oo##oo##ooo                            0
  14  murn          #.....oo#.o.o|5                           oo...o#.##o#o                             0
  15  murn          #...o.o...o#.o|6                          ##.##o##.#ooo#\n#...o.o...o#.o            0
  16  murn          ##o.o#.o...|3                             ##o.o#.o...\n...o.#o.o##                  0
  17  murn          #o...o.#o.#..o.|5                         #o...o.#o.#..o.\n##o.oo####ooooo\n#.###…  0
  18  murn          ##..#.o.#o#..|3                           ["##ooo#o##.#o.", "##..#.o.#o#.."]        0
  19  murn          ...o.o#....#o#o|3                         ..oo###o..o#..#|...o.o#....#o#o           0
  20  murn          ..o.#.o#.o##|9                            .oo#o#####.#;..o.#.o#.o##                 0
  21  murn          #..o..o.....#|13                          oooooooo...oo #..o..o.....#               0
  22  murn          .oo.oo#oo#o|7                             .oo.oo#oo#o\no####.....#                  0
  23  murn          oo.##o##o#.#o#..|4                        oo.##o##o#.#o#..\n####.....###.#o.\n#..…  0
  24  murn          ###.#..ooo#.|9                            #.##ooo#..#o\n###.#..ooo#.\n              0
  25  murn          ..o..#o#o..#.o|11                         \n.oooo#..#ooo#o\n..o..#o#o..#.o          0
  26  murn          #..o.#...#oo.o|8                          o#\no.\no.\noo\n#.\no#\no.\n..\no.\n##\…  0
  27  murn          ##o#.#...##o.|6                           #..##oo.o#.##\n##o#.#...##o.              0
  28  murn          #.#oo#o.#.....|5                          ###...##oo...o\n#.#oo#o.#.....            0
  29  murn          ##.o...##..o.o..|3                        oo.o#.#o.....o##\n#...###.......#o\n###…  0
  30  murn          o...#o..ooo#|7                            oo........oo\n#..........#\nooo##oo##oo…  0
  31  murn          oo.oo.#o..#|13                            #.#o...o#.#                               0
  32  murn          .#..####..#ooo##|8                        oooo#..#oo#....#                          0
  33  murn          o.###.o.o###|11                           #oo.oo#oo..o\no.###.o.o###                0
  34  murn          .#.##.oooo|7                              .#.##.oooo\noooo.##.#.                    0
  35  murn          o#..o##.oo#.#o..|9                        o#..o##.oo#.#o..\n##oo#.###.####o.\n#..…  0
  36  murn          #o#.o.oo#.oo#.o|15                        ["#.##o##.###.##o", "#o#.o.oo#.oo#.o"]    0
  37  murn          #oo#...oo.#|11                            #..#o.o###o|#oo#...oo.#                   0
  38  murn          o.o..o#..#|7                              o#ooo##ooo;o.o..o#..#                     0
  39  murn          .o#....oooo|10                            o##o..o#..# .o#....oooo                   0
  40  murn          ..#.o..o#.#.o|9                           ..#.o..o#.#.o\n.oo#ooo###o#o              0
  41  murn          ..#..o.###.o#|3                           ..#..o.###.o#\n.ooooo##.####\no#.....##…  0
  42  murn          #.....#..#o##.#|12                        oo...oooo#..##o\n#.....#..#o##.#\n        0
  43  murn          .##.o.oo#|5                               \no###o##.#\n.##.o.oo#                    0
  44  murn          .#.##o#o.|3                               o.\no#\n#.\n##\n.#\n.o\n.#\n#o\no.        0
  45  murn          #.....oo.#o#.#|15                         #o...o####.###\n#.....oo.#o#.#            0
  46  murn          .o#...o..#.o.|10                          ###o.ooooo#o#\n.o#...o..#.o.              0
  47  murn          ###o.#.#o#|4                              ooo######o\n#..#o.o#.#\nooo#...##o\n#..…  0
  48  murn          o..o.....#o|11                            #.......##o\n##oo##oo#.#\noo..o#..##o\n…  0
  49  murn          ....##o..#...#..|6                        ooo#.#o....o#..#                          0
  50  murn          oo..o..oo..#o.#.|10                       ##ooooo##oo###oo                          0
  51  murn          .###o..#o#o|5                             #o..o##o..o\n.###o..#o#o                  0
  52  murn          .o..oo#o#.#.#.|7                          .o..oo#o#.#.#.\n.#.#.#o#oo..o.            0
  53  murn          o.#oo..#o.|9                              o.#oo..#o.\no##.#oo##o\n#.###....#        0
  54  murn          oo.#.oo.#|8                               ["###o####o", "oo.#.oo.#"]                0
  55  murn          .o#.#..##.#.##|11                         o###ooo###o###|.o#.#..##.#.##             0
  56  murn          o#.o#o#.o.o.o.o|16                        ####..##o#o#o#o;o#.o#o#.o.o.o.o           0
  57  murn          o..###o..|12                              ooo#..#o. o..###o..                       0
  58  murn          o#o.#.#....|3                             o#o.#.#....\n#.##o#oo...                  0
  59  murn          #.o#o.....|4                              #.o#o.....\no##.#o....\n#.####o...\no##…  0
  60  murn          ##.o..##ooo#..#|7                         ###ooo#....#ooo\n##.o..##ooo#..#\n        0
  61  murn          ooo#.o#.o..o|9                            \n#..#####oooo\nooo#.o#.o..o              0
  62  murn          oo#.#....o|4                              #o\n.o\n##\n#.\no#\no.\n..\n..\no.\noo    0
  63  murn          o.o##..oo|6                               ###.#oo#.\no.o##..oo                      0
  64  murn          ..#oo...oo##.o.#|5                        oo#.#o.o#..##o##\n..#oo...oo##.o.#        0
  65  murn          ##oo.#o...|3                              #..#o.o##o\nooo#...#o.\n#..####o..\n##o…  0
  66  murn          ..#.o.#ooo#|4                             ##o..o#####\no#....#o.oo\n.oo#o##...#\n…  0
  67  murn          o#.###o#.o##ooo#|7                        #.#o....o#...##o                          0
  68  murn          .#o##o#.o.....|8                          o#....##oo....                            0
  69  murn          .ooo#oo..##.oo|5                          #o....o##ooooo\n.ooo#oo..##.oo            0
  70  murn          .oo##..oo|5                               .oo##..oo\noo..##oo.                      0
  71  murn          #.#o.#.#.##.##o|9                         #.#o.#.#.##.##o\no####o#o#####.#\n#....…  0
  72  murn          .#..#o.ooo.|15                            ["oooo####.#o", ".#..#o.ooo."]            0
  73  murn          ooo#..o.#.oo...o|16                       #..#ooo#o###o.oo|ooo#..o.#.oo...o         0
  74  murn          #o.#.o.o..o.#o|9                          ###o#o#oooo###;#o.#.o.o..o.#o             0
  75  murn          oo.##.#o#.|8                              #######.#o oo.##.#o#.                     0
  76  murn          ..o#ooo.#oo.|4                            ..o#ooo.#oo.\n.o#...###.#o                0
  77  murn          .#..o#o#.#....|15                         .#..o#o#.#....\noooo#..##oo...\n#...#oo…  0
  78  murn          o.#o.#o###..#o.#|12                       o#####...#oo###o\no.#o.#o###..#o.#\n      0
  79  murn          o##ooo.o.#|4                              \n#....##o#o\no##ooo.o.#                  0
  80  murn          .o.#oo....o#.|14                          o.\noo\n#.\n##\n.o\n#o\no.\n..\n..\no.\…  0
  81  murn          ..o#.oo#o.o..|9                           .o####..##oo.\n..o#.oo#o.o..              0
  82  murn          ooo.....##..o.|8                          ..#o...o##ooo#\nooo.....##..o.            0
  83  murn          o#.o..o#.o|6                              o###oo###o\n#.#o..o#.#\n##o....o##\noo.…  0
  84  murn          ##o...#.o#|3                              o#####...#\n#.#o.oo###\n##o...#.o#        0
  85  murn          o.#oo.##.o#o#|5                           o##.........#                             0
  86  murn          ..o#.##oo.#ooo|15                         .o####..###..#                            0
  87  murn          #o..o#o#..o..###|7                        oo##o..o#####o.o\n#o..o#o#..o..###        0
  88  murn          .o.#o..o.##..#|9                          .o.#o..o.##..#\n#..##.o..o#.o.            0
  89  murn          ooo..oooo|14                              ooo..oooo\n#.#oo#..#\no##..#ooo           0
  90  murn          .o.#.#o#oo..|10                           ["oo#o##...#o.", ".o.#.#o#oo.."]          0
  91  murn          .###.#.o.#.o..|6                          o#.##o#o#o#oo.|.###.#.o.#.o..             0
  92  murn          ooo#.#o...|3                              #..####o..;ooo#.#o...                     0
  93  murn          .#..o#...#...o#|3                         oooo##o.ooo.o## .#..o#...#...o#           0
  94  murn          .o.o...##oo.#.|5                          .o.o...##oo.#.\noo#oo.o#..##oo            0
  95  murn          o##o#o.##o..#|3                           o##o#o.##o..#\n#....###.#ooo\noo..o#.##…  0
  96  murn          .#.#.#o...|6                              oo#o###o..\n.#.#.#o...\n                  0
  97  murn          .oo.o#..o.o#o.|15                         \no#####ooo##.#o\n.oo.o#..o.o#o.          0
  98  murn          .o.o##o.o.#.#|4                           o.\noo\n#.\n#o\n.#\n.#\n#o\n#.\noo\n#.\…  0
  99  murn          ...ooo..##|8                              o.o#.#oo##\n...ooo..##                    0
 100  murn          #.o..o##.#.|3                             ##ooo#.##o#\n#.o..o##.#.                  0
 101  murn          .#o.....o...o#.|15                        oo.........o#.#\n#...........##o\no####…  0
 102  murn          #ooo.o#..##..#..|6                        #....#o....o###o\nooo##o......o#.#\n#..…  0
 103  murn          ##.#ooo.o|12                              #..#oo#.#                                 0
 104  murn          o#o.ooo..#.oo.#|12                        #.###.#ooo####o                           0
 105  murn          ##o.oooo#..oo.|5                          o.ooo...o##oo#\n##o.oooo#..oo.            0
 106  murn          #..o##..#o.#o.|12                         #..o##..#o.#o.\n.o#.o#..##o..#            0
 107  murn          ##.##oo.#|10                              ##.##oo.#\n####..##o\n#..#oo#.#           0
 108  murn          .o.#o#.#o#|12                             ["oo##.###.#", ".o.#o#.#o#"]              0
 109  murn          ..##...oo#o..|3                           .o##o.o#..#o.|..##...oo#o..               0
 110  murn          ..##.####|4                               .o####..#;..##.####                       0
 111  murn          .#.#####oo..o..|4                         oo##.....#oooo. .#.#####oo..o..           0
 112  murn          ...o.#o..o#..##|9                         ...o.#o..o#..##\n..oo###oo##oo##          0
 113  murn          o.o#.o.#o.o|14                            o.o#.o.#o.o\no####o####o\n#.........#\n…  0
 114  murn          #oo.#.##o..o.o|16                         #.##o##.#ooo#o\n#oo.#.##o..o.o\n          0
 115  murn          #o##o.#..#..|4                            \n#...##ooooo.\n#o##o.#..#..              0
 116  murn          #o#.#..o.ooo.o..|12                       ##\n.o\n##\n#.\no#\no.\no.\noo\n#.\n#o\…  0
 117  murn          #oo..###o..#.o|16                         ..#oo#..#ooo##\n#oo..###o..#.o            0
 118  murn          o#o#....oo#....|9                         ...#o..o#.#o..o\no#o#....oo#....          0
 119  murn          ..#o.#o###.oo..o|8                        #.#o.o#...#####o\no##...####o.o#.#\n#.#…  0
 120  murn          .#.o.#o..#..|9                            oo.o#...####\n#...####o.oo\no###o.o#...…  0
