Centaur Zendo round 1 (training)
round_id : ec6e734a4bc3424d883995f510e867a9
written  : 2026-09-02 10:28:56Z
presented=445  answered=445  correct=0  skipped=0
client answer latency: mean 0.125 ms  median 0.115 ms  max 1.283 ms  (n=445)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  murn          o.#o.o#o.oo...|7                          o.#o.o#o.oo...|7                          0
   1  murn          #o.o#o#o.#.##|10                          no                                        0
   2  murn          o.oo..o..#o|12                            r                                         0
   3  murn          .o#.#o..#|9                               two                                       0
   4  murn          oo.o#o.#.|5                               5|.#.o#o.oo                               0
   5  murn          ..#..#.#oo.|9                             ..#..#.#oo.|9                             0
   6  murn          ###.o#.oo.o....|15                        0                                         0
   7  murn          #o.#.#..##o##..|19                        35                                        0
   8  murn          .##o#.#.#|9                               1                                         0
   9  murn          o.o..#o..#...o|7                          1                                         0
  10  murn          #o#o.##..oooo#.|18                        81|.#oooo..##.o#o#                        0
  11  murn          ..o#####o.#oo|16                          61|oo#.o#####o..                          0
  12  murn          o###oo.oo..#..|7                          ymt                                       0
  13  murn          ....o.#oo#.oo###|15                       1                                         0
  14  murn          #.o##.oo..#|15                            cat                                       0
  15  murn          ###..oo#.o|13                             0                                         0
  16  murn          ...o..ooo|3                               ...o..ooo|3                               0
  17  murn          .#..o#...#.o#|14                          0                                         0
  18  murn          o.#o##.oo..#oo|11                         cve                                       0
  19  murn          oooo....o|8                               8|o....oooo                               0
  20  murn          #.oo..#...#|9                             0                                         0
  21  murn          oo.o#......|5                             onci                                      0
  22  murn          o###..o.#|7                               1                                         0
  23  murn          ..o##...#o.#....|10                       lrlw                                      0
  24  murn          .o.o.o#.o|13                              red                                       0
  25  murn          .#.ooo.o....#|5                           1                                         0
  26  murn          #.oooo.#.##..##.|14                       0                                         0
  27  murn          .##oo#..o|8                               .##oo#..o|8                               0
  28  murn          ##o....o#..#|13                           0                                         0
  29  murn          #..o..ooooo.|6                            6|.ooooo..o..#                            0
  30  murn          #.o.##o..#....|8                          8|....#..o##.o.#                          0
  31  murn          ..#..oo###|7                              1                                         0
  32  murn          #oo...#.##.o|10                           31                                        0
  33  murn          .oo....##.#..|13                          1                                         0
  34  murn          #..oo..o#..|5                             53                                        0
  35  murn          ####.#....#o..o.|14                       the                                       0
  36  murn          o.#.#.oo..#|9                             1                                         0
  37  murn          ....#.o#.#.#o|13                          the                                       0
  38  murn          ....#.oo.##o|10                           red                                       0
  39  murn          .o....##o#o.o.|8                          1                                         0
  40  murn          o#..oo#.o#....|7                          cat                                       0
  41  murn          .o#oo..o.#.o..o|7                         yes                                       0
