Centaur Zendo round 1 (training)
round_id : d2623605fd4541d5ab7f07095f76dec7
written  : 2026-09-02 10:41:55Z
presented=228  answered=168  correct=4  skipped=60
client answer latency: mean 0.133 ms  median 0.126 ms  max 0.285 ms  (n=228)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         .x##..\n..#..o\n.#x.#.\no..o.#\n..o...    1,5>0,5                                   0
   1  orlan         ..#.x#\n......\n..#.#.\n.....o\n##xo..\…  0,4>1,4                                   0
   2  orlan         #..x..\nxo.##.\nx.x.oo\n...#..\n#.....\…  1,1>0,1                                   0
   3  orlan         #.x.#.\n..o#..\n..##.o\n..#...\n.oxo#.\…  4,3>5,3                                   0
   4  orlan         ..#..o\no..#o#\n.#.xx#\n.#ox.x\n......    0,5>0,3                                   0
   5  orlan         .o...\n.o.#.\no...#\n#.ox.\n#.#.x         3,3>2,3                                   0
   6  orlan         #.#xo.\n....o.\nx.oo.#\n...#..\nx.##.x    0,4>2,4                                   0
   7  orlan         o...o.\n.....#\n..o#..\n.#.#..\n.x.x.#    None                                      0
   8  orlan         .##x#x\n#.....\no..o..\n.#.#.#\n..o...    None                                      0
   9  orlan         o.....\nx.##.x\n#....#\n.#o.o#\n...x..\…  1,0>0,0                                   0
  10  orlan         ....o#\n....##\n..o#..\n..o.#x\n.#.x.#    None                                      0
  11  orlan         x..#.#\nx.#...\no..#..\n#.#.#x\n...oo#\…  None                                      0
  12  orlan         ..#..#\n##.#..\n.....o\nxo.o..\n#.ox..    3,1>4,1                                   0
  13  orlan         .#x..#\n.x.o#.\noo....\n#.#...\n.#....\…  3,1>3,0                                   0
  14  orlan         .o....\n.o#...\n.....#\n#.x##o\n.o#...\…  0,1>0,0                                   0
  15  orlan         ......\n#...o#\n..ox..\nxoo.#.\nx..##.    2,3>1,3                                   0
  16  orlan         ......\n......\n#.#o#.\n..#..o\n#ox.#.\…  2,3>1,3                                   0
  17  orlan         xo#...\n.....o\n#o...o\nx..#..\nx.#...\…  2,5>2,4                                   0
  18  orlan         .....o\n#.....\n#.oo..\nx..##.\n.#.x.#    0,5>3,5                                   0
  19  orlan         .....#\n.o#o..\n..x##x\n..o...\n.o...#\…  2,2>2,0                                   0
  20  orlan         ....#.\n......\n.#.x..\n...o..\n.x.#.o\…  3,3>1,3                                   0
  21  orlan         ..#.o.\n#.....\n#.xoo.\n.#.o.#\n..#...\…  None                                      0
  22  orlan         ...o..\n.#..o.\n#x#.xx\no...#.\n....#o\…  1,4>2,4                                   0
  23  orlan         .##x.o\n......\n..o##.\n...o.o\n#.x.x.    None                                      0
  24  orlan         ...xo\nxo##.\n.o.o.\nx.#.#\n#....\n#.#.x  None                                      0
  25  orlan         .#.o..\n.x.o..\n..#...\n.#o.#.\n......\…  None                                      0
