Centaur Zendo round 1 (training)
round_id : 7fc6d99265d14506b8c5b97bf6eb68a2
written  : 2026-09-02 10:41:47Z
presented=209  answered=201  correct=1  skipped=8
client answer latency: mean 0.129 ms  median 0.127 ms  max 0.253 ms  (n=209)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         .x.xo\n.o...\no..#o\n.x##.\n..#.x         2,0>2,1                                   1
   1  orlan         .o....\n...##x\nox.#.o\n.....#\n.#.#..\…  2,0>2,1                                   0
   2  orlan         ...o..\n...#.#\n.x....\n....o.\n..o.#.\…  2,1>2,0                                   0
   3  orlan         ..##.x\nox.x##\n.#....\n.###.o\n.x..o.    3,3>3,4                                   0
   4  orlan         #xx.#\n.....\n#.xo.\no#x.o\no.#..         3,4>3,5                                   0
   5  orlan         ...#.\n...#.\no.ox.\n..#..\n..#o.\no.x.#  3,3>3,4                                   0
   6  orlan         ...o.\n..#.#\n#...o\n.o...\n###xx         5,5>4,5                                   0
   7  orlan         .##.x\n.....\no....\n..x.o\n.o...         1,3>1,4                                   0
   8  orlan         ....#\nx##..\n.oo.x\n##...\n..oo#\n.....  2,3>3,3                                   0
   9  orlan         .#....\no..o..\n.x##.#\n.#.x.#\n...xo#    1,2>2,2                                   0
  10  orlan         #...#.\n...o#.\n.o#.x.\n.x....\n..o.#.\…  1,1>2,1                                   0
  11  orlan         #.#ox.\n.....o\no#.##.\n...o..\n.x.x.#    3,3>4,2                                   0
  12  orlan         .xo#x\n.....\n.#.ox\n....o\n.....\n##o..  5,2>4,2                                   0
  13  orlan         .##o.\nx..o.\no.x.#\n#.#.o\n#.x.#         2,0>1,0                                   0
  14  orlan         ....o.\n##....\n.o.x..\nx.#.#o\n.xo.#.    4,1>4,0                                   0
  15  orlan         ....o.\no...o.\n.#o...\nx.....\n#..x..\…  5,5>4,5                                   0
  16  orlan         #..o.\n#xx#.\n...o.\n.#o.o\nxx.##         3,4>4,4                                   0
  17  orlan         xx###.\n.o#...\n..##o.\n#.x.#.\n.....o\…  2,2>1,2                                   0
  18  orlan         xxx###\n.#o...\n.o....\n#x.#..\n..#...\…  4,2>5,2                                   0
  19  orlan         .#....\n....##\n.#...o\n#..##x\n....o.\…  1,2>1,3                                   0
  20  orlan         x#.#.\n..xo.\n.....\n#...o\n.#.o.\n.#.o.  1,4>2,4                                   0
  21  orlan         #.xxo#\nx.#...\n...oo.\n#.#...\n......\…  5,3>5,2                                   0
  22  orlan         o#...\n....#\no....\n.x...\nx.x..\n.o.#o  5,2>4,2                                   0
  23  orlan         ....#o\n..xox.\no#....\no#..#.\n.x.#.#    1,3>2,3                                   0
  24  orlan         .#...#\n....#.\n.#..xo\n..#.o.\n..oo..\…  3,4>4,4                                   0
  25  orlan         ..#..\no..ox\n#.x.#\n..o.o\n#.x.#         1,3>1,4                                   0
  26  orlan         #o..o\n.....\n.x.#.\n.#o.o\n.x.#.         2,1>1,1                                   0
  27  orlan         ...o#.\n.x.o..\n....#.\n......\no.....\…  2,4>3,4                                   0
  28  orlan         #.#x#\n#ox.x\n..o..\n...##\noo...         5,1>4,1                                   0
  29  orlan         ...#o\nx..#.\n#.o.#\nx.#o.\n.ox..         5,2>5,3                                   0
  30  orlan         ......\n.#.#.x\n#o.o..\n..o#.x\n.o....\…  2,6>1,6                                   0
  31  orlan         .....\n..#ox\n#o.o#\n.#o.#\n..#.x\nxx.#.  4,5>4,4                                   0
  32  orlan         .#o..\n#x.#.\n..o.o\n#o.#.\n...#.\nx.#.x  4,1>4,2                                   0
  33  orlan         #x.#.x\nx.#o..\n.#x.o.\n###.o.\n......    4,2>4,3                                   0
  34  orlan         .....\n.o...\n.o##.\n.#.#.\no....\noxxx.  4,4>3,4                                   0
  35  orlan         ..o..\n...#.\no..oo\n.#.x.\n#.#xx\n...#.  2,3>3,2                                   0
  36  orlan         .o...\n.x...\no...#\no.#..\no.#.x         4,0>4,1                                   0
  37  orlan         ....o\n#x##x\n.o.o.\n.....\n....o         2,1>1,1                                   0
  38  orlan         .o..x.\n..##ox\n.o#.#.\n..#..#\n..#...\…  0,4>0,3                                   0
  39  orlan         ....o.\nox...#\n..#...\n..o##x\n.#....\…  1,5>0,5                                   0
  40  orlan         o.o..\n....#\n...#.\noo..x\n.#..x         1,3>2,3                                   0
  41  orlan         ...#.\n.#.x.\no.#o.\n.....\nx.#o.\no#...  3,4>2,4                                   0
  42  orlan         ##.o.\n.....\n.x#.o\n.o.#.\n.#o.#\n.##x.  6,4>5,4                                   0
  43  orlan         ##.x#o\n...#.x\n...#..\n....o#\n.x....\…  1,2>2,2                                   0
  44  orlan         ..#x.#\n#o..x.\n#..#..\nx.#...\n.o....\…  2,1>2,2                                   0
  45  orlan         .x.o.x\nx.#...\nx#o.##\n#....#\n.o....    4,1>3,1                                   0
  46  orlan         ....#.\no#.x.o\n..o#..\n#.o#..\n.##x.#\…  2,2>3,2                                   0
  47  orlan         ..o#x.\n#o.#..\n....#.\n.#oxxo\n...##.    3,2>2,3                                   0
  48  orlan         ....#.\no..#.o\n..o..#\n##ox#.\n...#.x\…  2,2>2,1                                   0
  49  orlan         ......\n.o#o#.\n......\n.#.#x.\no.o.#.\…  None                                      0
  50  orlan         ...o.\nx.#o.\n.o...\n#x#o.\n.....         1,0>2,0                                   0
  51  orlan         x.o..\n.....\n#o.#.\nx.#o.\no.x.#         3,2>3,1                                   0
  52  orlan         ...oo.\n.#....\noo.#.x\n.....#\n...#.x\…  1,4>2,4                                   0
  53  orlan         .....\n.....\no.#..\n..#..\n.ox##\nx..o.  5,2>5,3                                   0
  54  orlan         ......\n.#.#.x\noo....\n.x.#o#\n.o...#\…  2,6>1,6                                   0
  55  orlan         o.o.#.\n#.xox.\n.#..o.\n..#.##\n#.#x..    5,1>4,1                                   0
  56  orlan         ......\n....x.\n#..oo.\n......\n#...o#\…  5,6>5,5                                   0
  57  orlan         ...#..\n......\n.o.x..\n.oo.#.\n.#..o.\…  5,5>6,5                                   0
  58  orlan         .x.#.\n.#o..\n.#o..\n.....\nox#..         4,1>5,1                                   0
  59  orlan         ....o\n....o\n..x..\n....o\n#.xo.\n..#..  1,4>0,3                                   0
  60  orlan         #..#o#\n..o#.x\nx.#...\n...oo#\n##....    3,4>2,4                                   0
  61  orlan         o#xx.\no...o\n.x.#.\n.o#..\n..#..         3,1>2,1                                   0
  62  orlan         #.x#x#\n...o.o\n.o#...\n..##x.\n....#o    0,2>1,2                                   0
  63  orlan         #.o..\n...#.\nx.xo#\n#o..#\n#.x.x\n..o..  1,3>0,3                                   0
  64  orlan         .o..x\n..##.\n..o.o\noxxx#\n##...         3,3>3,4                                   0
  65  orlan         #....#\n#o....\nx...o.\n.#....\n#....o\…  6,3>6,2                                   0
  66  orlan         ....o\no.o.x\n#.o.x\n...x.\nx.#.#\n#....  3,5>3,4                                   0
  67  orlan         #...o.\n.#o...\nx#.#..\n....o.\n##.xo#    2,2>2,1                                   0
  68  orlan         ..#...\n......\n.ox#o.\n..x#o#\n.##.o.\…  4,4>4,5                                   0
  69  orlan         ##..x\n##xo.\n..o..\nx.#.#\no#...\n#.#..  3,3>4,3                                   0
  70  orlan         ..#.x\no.#..\n.#o..\n.o...\n.x.#o         2,3>1,3                                   0
  71  orlan         ..o..\nx#x..\n....#\n#...o\n..#oo         0,2>1,3                                   0
  72  orlan         ...ox.\nx.#..o\n##o.#.\n#.....\n...o#.    2,2>2,3                                   0
  73  orlan         ......\no.....\n.#.#..\n.....o\n....o.\…  4,4>5,4                                   0
  74  orlan         o.o..\n..o.#\n...#.\n#o...\n...xx         4,3>3,3                                   0
  75  orlan         x..#.\n#.x##\n.##x.\no....\n#.o#.\n.o.o.  0,3>0,2                                   0
  76  orlan         #.##..\n....oo\n##xx.#\n......\n..##o.\…  2,5>1,5                                   0
  77  orlan         .o.#.x\n..xx#.\no.o###\n..#.x#\n.o.#..    3,3>2,3                                   0
  78  orlan         x..#.\n#o.o.\n#..o.\n#...#\n#x.#o         1,1>1,2                                   0
  79  orlan         o....x\n..o#o.\n..#o.#\n......\n#.x##.    5,1>4,1                                   0
  80  orlan         ...o..\n...o..\n.#.#.x\n.#.x##\n.o...#\…  3,4>2,4                                   0
