Centaur Zendo round 2 (training)
round_id : 1726ffce255c40a5a42a09cfeee498aa
written  : 2026-09-02 10:51:27Z
presented=252  answered=247  correct=10  skipped=5
client answer latency: mean 0.126 ms  median 0.121 ms  max 0.519 ms  (n=252)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         #..xo\n..o#x\n#....\n...#.\n..o.o\n.##x.  1,2>0,2                                   0
   1  orlan         ..#..\n#.#..\n.o...\nxox..\n..o..         4,2>4,3                                   0
   2  orlan         xo.o.x\n.#....\n....o#\n#.#..x\n...#..    0,3>0,4                                   0
   3  orlan         ###..\n...o.\nxxx.o\n...o.\n#o##.         1,3>1,2                                   0
   4  orlan         .oo...\n#.....\n....x.\nx.#.o.\no.#...\…  4,0>4,1                                   0
   5  orlan         ....#.\n.#ox..\n##..oo\n.x.#..\n.x.#..\…  2,5>1,5                                   0
   6  orlan         o..o.\n....#\n...x.\nox..o\n.....         3,4>4,4                                   0
   7  orlan         #.....\n...#.x\n#o#.x.\nx.##.#\n#.#.oo\…  2,1>1,1                                   0
   8  orlan         #o##.\n.#...\n#oxx.\n#...o\n..o#.\nx.#..  4,2>4,1                                   0
   9  orlan         ..#xoo\n..o...\n###x.#\n...#..\n.#o#..\…  0,5>1,5                                   0
  10  orlan         .#xo#x\no.....\nx.#o.#\n.#...#\n##....\…  1,0>1,1                                   0
  11  orlan         ..o..o\n.#.x..\n#...x.\n#o....\n..#..o\…  0,5>0,4                                   0
  12  orlan         ...o..\no..##x\n#o....\n...##x\nx.#...\…  0,3>0,4                                   0
  13  orlan         .#.xo#\n...o#.\n...#..\n.#...#\n.oo..x    4,2>4,3                                   0
  14  orlan         #..#xo\n......\n..#.x#\no.o.#.\nxo..#.    3,2>3,1                                   0
  15  orlan         o#....\n.o.#.x\n..#...\n....o#\n##x.x.\…  1,1>1,0                                   0
  16  orlan         #.x##.\n.o..o.\no##x##\n.o....\n.#....\…  3,1>3,2                                   0
  17  orlan         ...#..\n...#.x\n...#o.\n...#.x\no.o...\…  4,2>3,2                                   0
  18  orlan         .x##x.\n.#o...\n....#.\n.#....\n.x#ox.\…  5,3>5,2                                   0
  19  orlan         ..o...\n.o##xx\n#.#x..\n..o.##\n......\…  3,2>3,1                                   0
  20  orlan         .x##..\n......\n.#.oo.\n#..#..\n......\…  2,3>1,3                                   0
  21  orlan         ..o.xx\n#....#\n.x.o#.\nxoo...\n#...##    2,3>2,2                                   0
  22  orlan         x.##..\n.#.x.#\n#o....\n...#..\n...o..\…  5,4>4,4                                   0
  23  orlan         ..o.#\n....#\n#.#.x\n...x.\no..o.\n.....  4,0>3,0                                   0
  24  orlan         #.x.#.\n.##...\n.o#...\nox....\n..oo..\…  3,0>2,0                                   0
  25  orlan         o#.x.\nxx.o#\n.xo#.\n...o.\n.#..#         3,3>3,2                                   0
  26  orlan         ...o.\n..oxo\n.#.#.\n#..x.\n.o.#.         1,2>0,2                                   0
  27  orlan         .#.x.\n.....\n..o#o\n..#.#\n.oox.\n..##.  4,1>5,1                                   0
  28  orlan         ....#.\n......\n....##\n..oo..\n.o#ox.\…  4,1>5,1                                   0
  29  orlan         ...##.\n...o..\n#.o#..\n#o.x##\n.#.x.#\…  5,4>5,5                                   0
  30  orlan         ...#..\n.#...o\n...#..\n#.ox..\no#.x.#\…  3,2>4,2                                   0
  31  orlan         ..o.#.\n..#o.x\no...x#\n....o#\n#...#.    2,0>1,0                                   0
  32  orlan         .....\no.##.\n..o..\n.#.x.\no..#.\n#..x#  1,0>1,1                                   0
  33  orlan         o.....\n#...#.\n......\n..xox.\n.o..#o\…  4,5>3,5                                   0
