Centaur Zendo round 1 (training)
round_id : 85f66d2d2cc64cbcaface54bac9783c3
written  : 2026-09-02 11:33:36Z
presented=99  answered=0  correct=0  skipped=100
client answer latency: mean 0.115 ms  median 0.109 ms  max 0.384 ms  (n=100)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         .....o\n#o..x.\no#..o#\nx##...\n..#..x\…  None                                      0
   1  orlan         ..#..#\n.#.x.#\n..#o..\n...#o.\n#ox.x.\…  None                                      0
   2  orlan         ..o#.\n.##..\n.o...\noxox.\n#..o.\n.#.#.  None                                      0
   3  orlan         .#o#..\n..#o#x\no.....\n.x...o\n.....o    None                                      0
   4  orlan         ....o.\n#xx.#x\noo...#\n####o#\n.#oo#.\…  None                                      0
   5  orlan         #o#...\n.##x.#\nooo#x.\n...##.\n...o#.\…  None                                      0
   6  orlan         x..#ox\no##..#\n.#.#.#\n.o.oo.\n#x.#o#    None                                      0
   7  orlan         .oo#.\n.x.o#\n.x.##\n#..#o\n.#oo#         None                                      0
   8  orlan         .o#o#.\n#.##..\n..#o#o\n##x.o#\nx##...\…  None                                      0
   9  orlan         .##...\n.#oo..\n..o...\n.xx#o#\n...#o#    None                                      0
  10  orlan         ox.##\n#ooxo\n.#o.#\nx..#.\no..o.\n#...x  None                                      0
  11  orlan         #.#o..\n..oo##\n...#o#\n..x...\n.o.oxx\…  None                                      0
  12  orlan         .##o#x\n..xo#x\n...#o#\n#.x..#\no#...o\…  None                                      0
  13  orlan         ..#o#.\n...#ox\n##oo..\n#o.o..\nxx#x##\…  None                                      0
  14  orlan         #...oo\no...#.\nx.#o.#\n..#.xo\n#ox.#.\…  None                                      0
  15  orlan         ##o...\n..oo..\n...#.o\n.x....\n......\…  None                                      0
  16  orlan         ......\n....#.\n#.o...\n#.##x.\n..xoo#\…  None                                      0
  17  orlan         #xo#x.\n#.o##.\n.o.o#.\n.#.#xo\n...o#o    None                                      0
  18  orlan         #.#..x\n..ooo.\nx###o.\n......\n#.....\…  None                                      0
  19  orlan         .#..x.\n.#....\n..o#o.\n.x##..\n#..o..\…  None                                      0
  20  orlan         .....x\n.....o\noo#..o\n..#o..\n#.xx#x\…  None                                      0
  21  orlan         o#.x#\n.o.#o\n..o#.\no#o#.\nx.#xo\n.#.x#  None                                      0
  22  orlan         ##x.o\nx##..\n..oo.\n#..ox\no....\n#x##.  None                                      0
  23  orlan         ..#.o\n..#o#\noo#ox\no.#.x\n#x#.o\n....#  None                                      0
  24  orlan         o.o..#\n#oo..#\n.x###x\n...o..\n...#.#    None                                      0
  25  orlan         ..#...\n.#.x..\noox.o.\n###o##\n....#o\…  None                                      0
  26  orlan         ......\n.....#\n.o#.xo\n.o#..#\n#ox.#.\…  None                                      0
  27  orlan         x....x\n.x#.o.\n.oo...\n##.o#.\noo.#..\…  None                                      0
  28  orlan         .o#x.#\n#x#x#.\n#.o#o.\n#o..oo\nxo....\…  None                                      0
  29  orlan         ..##x.\no..oo#\n.#..#.\n...oo.\n..x..x\…  None                                      0
