Centaur Zendo round 2 (training)
round_id : f528ea445c704555925d73bab05487f8
written  : 2026-09-02 11:35:52Z
presented=92  answered=72  correct=5  skipped=20
client answer latency: mean 0.143 ms  median 0.133 ms  max 0.336 ms  (n=92)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         .#.xx#\n..o#o#\n..o#..\n..o..#\n..o...    1,4>3,4                                   0
   1  orlan         #o..#\n.o#.x\n..o..\n..o.x\noo#.#         4,0>2,0                                   0
   2  orlan         ...o#\n..#oo\n#.#.x\no#..x\n#.x.#         1,4>2,3                                   0
   3  orlan         ....#o\n....o#\n....o#\n..#ox#\nx..#.#\…  None                                      0
   4  orlan         ..#o#\n#..#.\n.x...\n.....\nooo..\n.#ox#  0,3>3,3                                   1
   5  orlan         .#o..\n..#.x\n.x..#\n....o\noooo#         0,2>0,4                                   1
   6  orlan         #o....\nx#x...\n.o#o..\no.ooo#\n#.....    3,4>4,4                                   0
   7  orlan         x###.\nx.o..\n#o..#\n###oo\n..o..\nxxo#.  3,3>1,1                                   0
   8  orlan         .....#\nxxo.#o\n#o....\n#o....\n.#.#o.\…  None                                      0
   9  orlan         .x...\n..#..\n..o.o\noooo.\nx.##.\n#....  3,3>5,3                                   0
  10  orlan         #o#..#\no#..#.\n...x..\n..#.x#\n..o...\…  1,0>3,0                                   0
  11  orlan         #..#.o\n...#.x\n...x##\n..o.##\no#o#..\…  4,2>1,2                                   0
  12  orlan         .#...#\n#o.#.x\n#o....\n.oo.o#\n...x..\…  1,1>0,0                                   0
  13  orlan         ..#...\n.xo#.#\n.#..#o\n...oo#\n......\…  None                                      0
  14  orlan         #ox..\no...#\n#....\n..#ox\n.x###\n#oo.#  3,3>5,3                                   0
  15  orlan         ##xo.\no#...\n##x.#\n..##o\n..#o#\n.....  None                                      0
  16  orlan         xooo..\n#.o#.#\n#.#...\no..x..\nx#....    3,0>3,2                                   0
  17  orlan         .....\nx###.\n..oo.\no#.xo\n#o..#         3,4>4,3                                   0
