Centaur Zendo round 1 (training)
round_id : 90d12da97fac429b9d99fc3b30108a44
written  : 2026-09-02 12:14:35Z
presented=231  answered=0  correct=0  skipped=232
client answer latency: mean 0.108 ms  median 0.106 ms  max 0.351 ms  (n=232)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         ...oo\nx..o.\n....o\n##xo#\n#....         None                                      0
   1  orlan         .#ox.#\n#x..o.\n..o##.\n.#....\n##x.o.\…  None                                      0
   2  orlan         ..#.x#\n.oo.#.\n#o##.x\n.....#\no..o.#    None                                      0
   3  orlan         ..o...\n.#....\n..#..x\n#...#o\n#.....\…  None                                      0
   4  orlan         ..#oo#\n.#.xo#\n#..#.x\n....o#\n..o..#    None                                      0
   5  orlan         ....o.\n#x#o#.\n##.#..\nxo#.o.\n.#....\…  None                                      0
   6  orlan         ##o...\no...#.\nx.o.#.\n...#o#\nx##.#.\…  None                                      0
   7  orlan         .o....\n..o..#\n..o...\n##.#ox\n.#.x#o\…  None                                      0
   8  orlan         ..o#.\n.....\no....\n..ox.\n.x..o         None                                      0
   9  orlan         ..#.#\n.o#..\nx.x.o\n.#x.#\n.#oo.\n.x#.o  None                                      0
  10  orlan         #.oo.\n.o.ox\n....#\n...##\nx...o\n.....  None                                      0
  11  orlan         xo....\n.#.##x\nx....#\n.#.o.#\n.o....\…  None                                      0
  12  orlan         ...o#.\no...o.\n..#.xo\n#.#...\no...#.\…  None                                      0
  13  orlan         #.....\n#.....\nxo.#o.\nx..#.#\n##o...    None                                      0
  14  orlan         ..x.oo\n.o.#o#\n....o.\n.#.x#x\n..o#..    None                                      0
  15  orlan         ......\n.#.x.#\n..ooo.\n...#..\no.#.x#\…  None                                      0
  16  orlan         #...#\n....#\n..xox\n....o\n..ooo\n..##x  None                                      0
  17  orlan         o.....\no##x#o\n...#o#\n.#o#..\n.x##..    None                                      0
  18  orlan         o...#.\n...oo#\nx##.x.\n#.#...\n#.....\…  None                                      0
  19  orlan         .x.o..\n.o#o..\n#x.#..\n.o#...\n.#....\…  None                                      0
  20  orlan         ......\n#.#o##\no.....\n.ox##x\n.....#\…  None                                      0
  21  orlan         .#o.x#\n.xo.o.\n....#.\n.#.o#.\n...#.#\…  None                                      0
  22  orlan         #x.#o\no##o.\n.#xx.\no#x.#\n....o         None                                      0
  23  orlan         ..o#.\nx#x##\n#..xo\n#.#..\n.o##o\no.x##  None                                      0
  24  orlan         ....#\n.##x.\n.o.ox\n...o#\n..###         None                                      0
  25  orlan         ..#.x.\n..o#..\no.....\n.#.xo#\n#.....    None                                      0
  26  orlan         #ox#.\n.x#o.\noo.o#\n##xx#\n.#...         None                                      0
  27  orlan         .o.##\n#o#..\n.o.x.\n.##.o\n.x.o.\n#.xo#  None                                      0
  28  orlan         .#...\nox..x\n.xo#.\n..#.#\n.#.o#\n..#.x  None                                      0
  29  orlan         #...#.\nx###x.\noo...o\n#...o.\nx.#...\…  None                                      0
  30  orlan         ..#...\n.##...\n#.x.#.\n..o...\nx.##o.\…  None                                      0
  31  orlan         ...o..\n.#xx.#\n..#.#.\n...#..\n...o..\…  None                                      0
  32  orlan         #....\n#x.##\nx.##o\n.#.o#\nox###         None                                      0
  33  orlan         ...x..\n##o...\n#o#.#.\n.#...#\n#oo#xx\…  None                                      0
  34  orlan         xo#..x\n##o.x.\n...#oo\n....##\n......    None                                      0
  35  orlan         .....\n...o#\noo.#.\n.x###\n....#\n.#o#x  None                                      0
  36  orlan         ....x.\n..x..#\n.....#\n..o##x\n.x...o\…  None                                      0
  37  orlan         o...x.\nx.o.o.\n#....#\n#..o.o\n..##xx    None                                      0
  38  orlan         .o....\n.o#...\n#o.#..\n##x.#.\nxoo...\…  None                                      0
  39  orlan         ..#.#o\n.....x\n..o..#\n.#...o\n.o#o#.\…  None                                      0
  40  orlan         #....x\no..#..\nox....\n..#..o\n.....o    None                                      0
  41  orlan         ox#oo\n#..#.\n.#oo.\nx###.\n.....\nx...#  None                                      0
  42  orlan         #x##.\n...o.\nx##..\n#o.o.\noox..         None                                      0
  43  orlan         ..#.o.\n..o.#.\n#.x.x.\no...x.\n#.##o.\…  None                                      0
  44  orlan         .##.x#\n#x..#.\n#x..#.\no..o..\n.#.#oo\…  None                                      0
  45  orlan         ..##x.\n..x#.#\n.o#.xo\n.#..#o\n.##o##\…  None                                      0
  46  orlan         #oxo.\n..#..\n..o#x\n..o.o\n....#\n#.##x  None                                      0
  47  orlan         x##..\no#oxo\n##oo.\n##.#.\n#x..o\nx#...  None                                      0
  48  orlan         ...#ox\n....##\n.x.#o#\n..#...\n.o#.o.\…  None                                      0
  49  orlan         ..x..\no#...\n#.oo.\nx.#..\n#x..#\n##...  None                                      0
  50  orlan         .x....\n..##.#\n.oo.#.\n.x....\n#.#xx.\…  None                                      0
  51  orlan         .....x\no.....\n#.##..\n.x##.#\n.#...o\…  None                                      0
  52  orlan         ..#.x#\n..o.o.\n.#..o.\n.x.#o.\n.#...#\…  None                                      0
  53  orlan         ...x.\n..#o#\no..#o\n..x.o\n.#.xo\n..#..  None                                      0
  54  orlan         ##xoxo\n.#.o..\n..#o#.\no#....\n#.....\…  None                                      0
  55  orlan         #ox.#.\n.x.o.o\n.##o..\n.#....\n....#o    None                                      0
  56  orlan         ...o.\n...oo\n#....\n.#.x.\n...ox         None                                      0
  57  orlan         ...##x\noo..o.\n.##..#\n.#....\n.xo#..    None                                      0
  58  orlan         .ooo#\n.#.o#\n.###x\nox...\n..x.o         None                                      0
  59  orlan         .o#.#\noo##x\n.....\n.#o.x\n.xo#.         None                                      0
  60  orlan         o....#\nx##.xx\n.#o.##\n..o.##\no.#o#x    None                                      0
  61  orlan         .o.xo\n.x##.\n.o.#o\n#.#..\n....o         None                                      0
  62  orlan         #x#.o\n..o.o\nx##ox\no#..#\n#...#\n.....  None                                      0
  63  orlan         #ox###\n##.o.x\n#oo...\n.##..#\n......    None                                      0
  64  orlan         .o..x\n.....\n##oo.\n#x..o\nx#.#.         None                                      0
  65  orlan         .....\n.x..o\n....#\no##xo\no...o         None                                      0
  66  orlan         #....\n....#\noo#o#\no...x\n##x.#         None                                      0
  67  orlan         #o#x.\no.##.\n##.x.\n.xo##\n..o#.         None                                      0
  68  orlan         .....o\no...#.\no.#...\n.o#...\nx.x.#.\…  None                                      0
  69  orlan         .#xox\n.oo##\n..#ox\n..#.#\n#...#         None                                      0
  70  orlan         ...#.o\n......\n..###x\n..o..#\n#.xox.\…  None                                      0
  71  orlan         #ox.#.\no.x.##\n.o#...\n#o#ox.\n.#.#..    None                                      0
  72  orlan         ox#..#\n......\n###o..\n#..#.o\nx.#...\…  None                                      0
  73  orlan         ..x...\nx....#\no##..o\n..o#.#\n.....#\…  None                                      0
  74  orlan         ...#..\nx..o..\n.##x.#\n......\n.oxo#.\…  None                                      0
  75  orlan         ##.x.#\nxoo...\n##....\n##..o.\nxo#...    None                                      0
  76  orlan         #.#.#\n.o.x.\nx#o#x\n#.x##\n#.oo#\n...o.  None                                      0
  77  orlan         .#..x.\n.o#o..\n.##o..\n...#.o\n...x#o    None                                      0
  78  orlan         #..x..\n.....#\n......\n.#oo#x\n..oo..    None                                      0
  79  orlan         x.....\n......\n.o....\n...o#.\n##.#oo\…  None                                      0
  80  orlan         x.#ox#\n..o...\n..o...\n..##..\n.o..#.\…  None                                      0
  81  orlan         o#..o\noox.#\n#...#\nxx#.#\n..#ox         None                                      0
  82  orlan         .#..#.\n.#...o\n.x#.xo\no..##.\n.o..#.\…  None                                      0
  83  orlan         ...#.o\n#...#o\n..#..o\n#.x##.\nxo.#..\…  None                                      0
  84  orlan         ..o..#\no..#o#\n.x..oo\n..#.#x\n..#o.x    None                                      0
  85  orlan         .xo#..\noxxo##\n.#....\n#o....\nx##.o.    None                                      0
  86  orlan         .....\n#o.##\n..oo.\n.o.x.\n..x##\no###.  None                                      0
  87  orlan         .o....\n..##..\no...ox\n##x.#.\n..o..x    None                                      0
  88  orlan         .#ox##\n.o..#.\n..##ox\n#...o.\no#xo#.    None                                      0
  89  orlan         .o#.xo\nooo...\n..#.x.\n....#.\n##..#.    None                                      0
  90  orlan         x.....\nox##..\n#o#...\n.o#.#.\n.ox.o#\…  None                                      0
  91  orlan         o#.o.\n.x.#.\n..o#.\n.o##.\n##.xo         None                                      0
  92  orlan         ......\n#.....\n...#..\no.o...\nx#o#..\…  None                                      0
  93  orlan         o#o..\n....o\n#.xo#\nx##.x\n..#.#         None                                      0
  94  orlan         .o.#.\n..o..\no##x.\n...#o\n##x#.         None                                      0
  95  orlan         ...o.#\n....oo\n.#.#ox\n#.x###\n#xoo.#    None                                      0
  96  orlan         .xo#..\n......\n.#.x.x\n.#.#..\n.xo#o#\…  None                                      0
  97  orlan         #.x##\nxo...\n#.#..\n#.o..\n.o...         None                                      0
  98  orlan         ox.#..\n.#o...\n.##.#.\n.o#.x.\n....##\…  None                                      0
