Centaur Zendo round 2 (training)
round_id : 2fecc08a70b84a018d5a07796db2d6a1
written  : 2026-09-02 12:17:45Z
presented=216  answered=169  correct=8  skipped=47
client answer latency: mean 0.121 ms  median 0.115 ms  max 0.305 ms  (n=216)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         #.x...\n....#.\n..#o#.\n....o.\n.#..xo    2,3>4,3                                   1
   1  orlan         ##x##\n..#.#\n#xo#.\no..o.\n##.oo         None                                      0
   2  orlan         o....x\n...x..\n#....o\n#..o..\nx#.o..    0,0>1,0                                   0
   3  orlan         x#..x\nx.#..\n#oo..\n#...#\nx##o.         2,2>2,3                                   0
   4  orlan         ......\n......\n......\n#o...#\no.o...\…  4,0>1,2                                   0
   5  orlan         o..#..\n.o..#o\n..#..x\n##.x..\n.o....\…  None                                      0
   6  orlan         ##x.#\n..#.x\n..#.x\n...o#\n.o.oo\n..xo#  4,3>2,3                                   0
   7  orlan         o.o.x\n#xx.o\n.....\n.#.##\no.##.\n.##x.  4,0>1,2                                   0
   8  orlan         ....o.\n.x.#o.\noox.#.\n##..#.\n..#.x.\…  4,4>5,3                                   0
   9  orlan         ..o..#\n...o..\n...##x\n...x.#\n.#.oo#\…  1,3>0,3                                   0
  10  orlan         .#.x..\n.o..o.\n.x.#o#\n..o.##\n.#..#.\…  3,2>5,2                                   0
  11  orlan         ...#oo\n...#.#\n##xx..\n..#...\n...#..\…  0,5>5,5                                   0
  12  orlan         #..oo.\nxx#x.#\n......\n#..#.o\n#...x.\…  0,3>5,3                                   0
  13  orlan         xox##\n##..#\n..ooo\nx.###\no....         None                                      0
  14  orlan         ......\n....#.\n......\no#..xo\n#.o#o.\…  3,5>5,5                                   0
  15  orlan         ..#oo#\n.#..x#\n.o##xx\nxoo...\n....##    2,1>2,0                                   0
  16  orlan         .#o..\n.#..#\n.#...\no#x#x\nox..#\nx##.#  4,0>4,3                                   0
  17  orlan         .o..o.\n#oxx#.\n#.....\nx.#...\nx.##.o\…  4,5>5,5                                   0
  18  orlan         x#o#o.\no.x##x\n#..x##\n.o#.o#\n...#..    None                                      0
  19  orlan         x..#o#\n..#.xo\n.o...#\nx.#..o\n......    0,4>0,0                                   0
  20  orlan         #.xx#\n.....\n#o##.\n..#o.\nx##..\n#o...  0,3>1,4                                   0
  21  orlan         #x.#.o\n......\n##o...\nx##xo.\nox.#.#    None                                      0
  22  orlan         ..o...\n.#ox.#\n#.....\n..#o..\n.o#o..\…  1,2>2,2                                   0
  23  orlan         ......\n#xx###\no...o.\no#..x.\nx##...\…  2,0>5,0                                   0
  24  orlan         ..xox\nox###\n.##.#\no#x#.\n..#..         0,3>4,3                                   0
  25  orlan         xo##.#\no.oo..\nx.##.x\n##xo.#\n#....#    1,3>4,3                                   0
  26  orlan         #xx.#o\nx#..#o\n..##.#\nox.#..\noo#...    None                                      0
