Centaur Zendo round 1 (training)
round_id : 2ff03b01422e4b088ac5dec14b1863a9
written  : 2026-09-02 12:15:49Z
presented=192  answered=176  correct=1  skipped=16
client answer latency: mean 0.121 ms  median 0.117 ms  max 0.240 ms  (n=192)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         o##x..\n...#..\n..####\n....oo\n##x###    None                                      0
   1  orlan         ......\n....##\n...#.o\n..#oxx\n.#oo..\…  5,2>5,3                                   0
   2  orlan         .#xx.\n.x##.\no.##o\no.#..\n.#...\n....#  None                                      0
   3  orlan         .#.x#\n...o.\n#.o#.\n..x..\n....o         3,1>3,0                                   0
   4  orlan         .#.x##\n.x...o\n.#.##o\n.#....\n..#ox.\…  5,1>1,1                                   0
   5  orlan         ..x...\n.#.x##\n..o...\n#.##.o\no..#..\…  0,4>0,5                                   0
   6  orlan         .....#\n.x...o\n...#.x\nox#o.#\n#....#\…  5,1>1,1                                   0
   7  orlan         ......\n......\n.oo#..\n.o##o#\n.o...#\…  4,3>4,5                                   0
   8  orlan         .#..#\n.....\n..o#x\n..ooo\n#.x.#         2,3>2,4                                   0
   9  orlan         ...#.\n##.x.\no#..#\n##.oo\n.o#.x\n....#  3,3>3,1                                   0
  10  orlan         .###xx\n.o#..o\n.x.###\n...o#.\n..#x.#\…  1,1>1,2                                   0
  11  orlan         o#.o.\nx.o#.\n..x##\n#.#.#\n.##xx         0,0>0,1                                   0
  12  orlan         .x.o.\no#...\n.#...\noxo.#\n.xo#.\nx....  3,0>1,0                                   0
  13  orlan         #ox.#.\n..#...\n..##..\nx.....\n...ox.\…  1,0>2,0                                   0
  14  orlan         .#x#o\n..o..\n.##x.\n.#.x#\n..oo.         2,1>2,0                                   0
  15  orlan         #...x.\n..#..o\n##....\nx#oo..\n#x....\…  None                                      0
  16  orlan         .o...\n.o#x#\n#.#.#\n..x##\noo#xx         None                                      0
  17  orlan         .xo#..\n.x###.\n.#.oox\n##.o#.\nx##...\…  2,0>1,0                                   0
  18  orlan         .xo..\n....#\n.o..#\no.#xx\no.o#.         1,2>1,0                                   0
  19  orlan         ##oxx\n.#o.#\n#.x##\nox...\n..#o.         2,0>3,0                                   0
  20  orlan         ....x.\n......\n##..o.\n...o##\nxx##..\…  0,5>0,4                                   0
  21  orlan         ..x...\no.....\no#####\n.....o\n.#xx#x\…  5,3>5,4                                   0
  22  orlan         #o.#x.\n..#.x.\n...o##\no#..#.\n...o..    None                                      0
  23  orlan         o.##x\n....x\n..#o#\n#.xx#\no.oo.\n..#.#  3,2>3,3                                   0
  24  orlan         ....o.\n...#ox\n#.....\no#....\nx##.#.\…  3,5>5,5                                   0
  25  orlan         .x..x\n#.x.o\n.o...\n.#..o\n.o...\nox.#.  4,1>4,0                                   0
  26  orlan         ...x..\n..o.ox\n.#....\n.o....\n.x###.\…  4,1>5,1                                   0
  27  orlan         ....#.\n...#.#\n.....#\n.#..oo\nxoo##x    5,3>5,4                                   0
  28  orlan         xox#o\n#..o.\n#.x.o\n.#...\nxo...         1,0>0,0                                   0
  29  orlan         .#o...\n......\n.xxo##\n.#....\no#o...\…  3,2>2,2                                   0
  30  orlan         #...#o\n.###o#\nx.o##.\no#x.#.\n#...o.\…  2,2>0,2                                   0
  31  orlan         x.....\n.##.#.\n..o..o\n.x.#x#\n.o....\…  1,4>1,3                                   0
  32  orlan         x##x#\n#..#o\n#.o#o\no#...\n#..o.         None                                      0
  33  orlan         o.x..\n##o#.\n..o..\n.##x.\n..oo.\n.o.#.  0,0>2,0                                   0
  34  orlan         o.....\no.ox.#\n...#..\n.x##..\n.o#...\…  2,1>3,1                                   0
  35  orlan         #oox#.\n.x##..\no.....\n###x..\n..x#.#\…  1,0>1,1                                   0
  36  orlan         ..#.x#\nx##.o.\no.#.#.\n#..#.o\n#ox.x.\…  4,1>4,0                                   0
  37  orlan         x.x...\n......\no#.o.x\n.oo.#.\n#o....\…  0,2>0,0                                   0
  38  orlan         ...o##\nxx.xoo\n#....#\n##....\n...x..\…  3,0>3,1                                   0
  39  orlan         o....\n#x...\n.#.oo\n.#...\n.o..x         1,4>4,4                                   0
  40  orlan         #..#..\n......\n..ox##\n..o...\nxo##..\…  2,2>3,2                                   0
  41  orlan         .o..#.\n....o.\n..#.x#\n.x.#..\n..o.#.\…  4,1>4,2                                   0
  42  orlan         .o#x.#\n.o.o..\n##.#..\no#x..#\noxo##.    3,1>3,0                                   0
