Centaur Zendo round 3 (training)
round_id : f1079d681aff40cea9b349b4f37836bf
written  : 2026-09-02 12:26:11Z
presented=193  answered=187  correct=7  skipped=6
client answer latency: mean 0.118 ms  median 0.111 ms  max 0.300 ms  (n=193)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  orlan         #...o.\n.##x.#\n.....o\n..#oo#\n.#.x.#\…  3,3>3,1                                   0
   1  orlan         .xo#x.\n.#..#.\n.x.##.\n#.....\noo....    4,1>4,5                                   0
   2  orlan         ox.##\n#o..o\n###.o\nxx.##\n.....\n##ox.  1,4>1,3                                   0
   3  orlan         .o####\n#o#...\n.##xxx\n.oo...\n.o.o##    3,2>3,3                                   0
   4  orlan         #.....\nxo#..#\n..o...\n##....\n.ox...\…  4,1>4,4                                   0
   5  orlan         #ox##.\n#.....\n#.#o..\n..#o..\nx#oo#.    4,3>4,5                                   0
   6  orlan         ..o.#\n.#..x\n.#..o\n..oo.\n#x##o         3,2>3,4                                   0
   7  orlan         xo#.#.\no.....\n#.....\n..o.ox\n##..o.    3,4>3,1                                   0
   8  orlan         ..o...\no.##xo\n......\n.o#.#x\n.#...#\…  1,0>1,1                                   0
   9  orlan         ##xx#\n.o..#\n#.#ox\nxo#..\n....#         2,3>2,1                                   0
  10  orlan         ..o...\n...x..\n..o...\n....#.\n#.x#o.\…  4,4>4,1                                   0
  11  orlan         .#...\n.##..\noo.#.\n#xx.#\nox#x#\n..ooo  5,4>5,0                                   0
  12  orlan         .o.x.\n.#oo.\nx#o#.\nox.o#\n##.x#         3,0>3,2                                   0
  13  orlan         ##x.#\noooo.\nx.#..\n...x.\n....#\n.o.x.  1,3>1,4                                   0
  14  orlan         ox.x##\n.xo#..\n.###..\n.#o.#.\n..o...    4,2>4,3                                   0
  15  orlan         o.##xx\n.#.ooo\n...###\n###xxo\n......    1,4>1,0                                   1
  16  orlan         xo##..\n...o..\n......\n##...#\n#o...#\…  0,1>0,5                                   0
  17  orlan         #x.o.#\n...##x\n.##...\n..#..#\n.#o##.\…  5,1>5,3                                   0
  18  orlan         #x#xo.\nooo#..\nox....\no###..\n.#.x.#\…  1,2>1,5                                   0
  19  orlan         o...o#\nx.....\n...#ox\n#.o..#\no....#    0,0>0,1                                   1
  20  orlan         ...o.\noo.o.\nx##..\n#.#..\n#o#..\nx#x#.  1,1>1,2                                   0
  21  orlan         #..o.x\no##...\n###x.o\n...o..\n.xxo#.    0,3>0,2                                   0
  22  orlan         ##x#xx\n.#..#o\noo#.#.\n.o#.#.\n..o..x    2,0>2,3                                   0
  23  orlan         .o#...\n......\nx##ox#\no..o##\n#.#o#x    3,3>3,1                                   0
  24  orlan         o#.o.\noo.x.\nox##.\n...#.\n.#o.#         1,0>1,2                                   0
  25  orlan         ...o#\n.##.#\n..#.x\nooxo.\n....#         3,3>3,4                                   1
  26  orlan         oo..ox\n......\n.##x##\n....##\n..##x.\…  0,1>0,2                                   0
  27  orlan         .o...o\n......\nox.###\n.#o..#\n.###xx\…  0,1>0,2                                   0
  28  orlan         .o.#..\n#.#.o.\no#o...\nx.o..#\n#x##.x\…  2,2>2,5                                   1
  29  orlan         .#...\n#....\no.x.#\n#..o#\n..#.x\no.o..  5,2>5,4                                   0
