Centaur Zendo round 1 (training)
round_id : a41160057ebb4528bd5218dd3126d60d
written  : 2026-09-02 10:35:35Z
presented=590  answered=590  correct=1  skipped=0
client answer latency: mean 0.094 ms  median 0.086 ms  max 1.118 ms  (n=591)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        ||--//---/-|                              ||--//---/-|                              0
   1  quaich        /|-||///|||---                            ---|||///||-|/                            0
   2  quaich        -|//||--//-/|||//-                        -----///////||||||                        0
   3  quaich        |--|/-||//|-                              |||||///----                              0
   4  quaich        //|---/|--/|///|-|                        ///////|||||------                        0
   5  quaich        //-|--/|-||-/-||--                        --------||||||////                        0
   6  quaich        |||/---|-||-/--/                          ||||||-------///                          0
   7  quaich        /||-|--//-/|/--|/|                        ||||||//////------                        0
   8  quaich        /--//-|-|--/-/-||-                        -||-/-/--|-|-//--/                        0
   9  quaich        -/-/|/---/-||||-/-                        ||||----/-/|//--/-                        0
  10  quaich        /-/|-||/|-/-                              /-/|-/|-/-||                              0
  11  quaich        /-|---//|/---||-|/                        /|-|||//-/|||--|-/                        0
  12  quaich        /-/-//-/|--///--|-                        -|-|--|-/||---||/|                        0
  13  quaich        /--||-||/-/-|-                            |//--/--|/|/-/                            0
  14  quaich        -//-|/-/-|--|/--/-                        //|-/-/-/|-|-/----                        0
  15  quaich        -|/-||-||-/|                              -||-/|-|/-||                              0
  16  quaich        -|-////|/-|--|//                          ////|/-|--|//-|-                          0
  17  quaich        -||-///-|---                              --/-|/--|/|-                              0
  18  quaich        --|-||-/|/|///|/                          -||-||/|--|/////                          0
  19  quaich        --|/|/--////                              ----//////||                              0
  20  quaich        /--|/|//-//--|///|                        ||||/////////-----                        0
  21  quaich        |--|||//|||///                            ////|||/|--|||                            0
  22  quaich        ///-/--//||-||                            ||-||/--/-////                            0
  23  quaich        -//---|//|//                              -//|---//|//                              0
  24  quaich        |-||-/-|-//|-/|/|-                        18                                        0
  25  quaich        /||//-||/|--                              5                                         0
  26  quaich        |/-|/--/|||/-||--/                        /--||-/|||/--/|-/|                        0
  27  quaich        /-||/|-/|//-                              ---/////||||                              0
  28  quaich        --/|-|/|-||/--|/                          --/|-|/|-||/--|/                          0
  29  quaich        --/-//-/|/|//---                          ---//|/|/-//-/--                          0
  30  quaich        -/-/|---/-|/                              ------////||                              0
  31  quaich        --//--|///|-                              ||/////-----                              0
  32  quaich        -|/-|/-/-|/|                              ////||||----                              0
  33  quaich        -/-||/||--/|//                            ----|||||/////                            0
  34  quaich        |/-||///-/-|                              ||||---/////                              0
  35  quaich        -//--/|--|/-                              ||////------                              0
  36  quaich        ||///-||-//-|||/|/                        /|/|||-//-||-///||                        0
  37  quaich        ||-//|-/|-/|//|/|/                        ||////-|-/|-/||/|/                        0
  38  quaich        -||///-/|--||-/-|/                        --/|-/-|/||--||///                        0
  39  quaich        /-|||/|-//|/                              /|---/-|//-/                              0
  40  quaich        /||-|||/--/-                              -//|///-||-|                              0
  41  quaich        -/--/|-/|-//||                            /|//|-/|-/||--                            0
  42  quaich        /-|--|-/|-/-//||//                        ||/|/--//|--/-/-|/                        0
  43  quaich        //|-///-|--|                              /-|--|//|-//                              0
  44  quaich        -/-||-|/-/-|/-                            /-||-|/-/-|/--                            0
  45  quaich        /-|-/|/-/|||                              /-/|-/-|||/|                              0
  46  quaich        //||||/-----                              /||/--/||---                              0
  47  quaich        ||/|/--|-/--////-/                        ------////////||||                        0
  48  quaich        ||-|--|/--/-|/                            |||||///------                            0
  49  quaich        |//||/--|--|                              /|/||/--|--|                              0
  50  quaich        /|-/|--///-|-//-|-                        |--/-|-/-|-/|-////                        0
  51  quaich        |---/-|--/--||/|/|                        ---|/--|-/||--/|/|                        0
  52  quaich        /|/--|/----|--|//-                        18                                        0
  53  quaich        ///-|--//|-|-||-/-                        5                                         0
  54  quaich        /////|-|-|-/|/--                          --/|/-|-|-|/////                          0
  55  quaich        /|//-|-/|---|//|                          -----//////|||||                          0
  56  quaich        |///||//|-|--|-|--                        |///||//|-|--|-|--                        0
  57  quaich        |||/-/|-//||                              ||//-|/-/|||                              0
