Centaur Zendo round 3 (training)
round_id : 67b5210dc1f54be2b60c8c8ffea902ca
written  : 2026-09-02 10:53:24Z
presented=469  answered=469  correct=248  skipped=0
client answer latency: mean 0.099 ms  median 0.094 ms  max 1.202 ms  (n=469)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        /-|-///-/---|-                            /////-------||                            0
   1  quaich        |-//|-|--|-/                              /|---|||//--                              1
   2  quaich        ----/||/-/-|                              ///---|||---                              0
   3  quaich        //--/-/|/||--/                            //||-|////----                            1
   4  quaich        /|/||/--|-/-                              //||--||//--                              1
   5  quaich        //||/--||--||/                            /-|||---///|||                            0
   6  quaich        |--|-/-//--|-|--||                        ||||||------///---                        0
   7  quaich        |||/--/-/|/|-///                          ---///|-||||////                          0
   8  quaich        /-/--/|/|/|//-                            ///|||////----                            1
   9  quaich        |//||-///-/---|/--                        //||--||/////-----                        1
  10  quaich        --///|-//||-                              //||-|///---                              1
  11  quaich        |||/--|/-/||-/                            ///|||/----|||                            0
  12  quaich        -|/|||-|//-|-/                            ---|||///|||/-                            0
  13  quaich        |||-|///-//--/|||-                        //--////||||---|||                        0
  14  quaich        |--/||---/|-|/                            /|----||||//--                            1
  15  quaich        ----|-|||/--|///                          /|----||||///---                          1
  16  quaich        |-//||//--|---/|                          //||---|||///---                          1
  17  quaich        //|/--|||-|---                            /|----||||//--                            1
  18  quaich        ||--/-||---|-/||/-                        /|------||||||//--                        1
  19  quaich        /-|-||/---|/|//-                          //||---|||///---                          1
  20  quaich        ||-/---||/--                              ----||||--//                              0
  21  quaich        |/----|/-|-||/|/                          //||----||||//--                          1
  22  quaich        ||//|-//|||-||/-//                        --||/-//////||||||                        0
  23  quaich        /||/--|-|--|-/--                          ---///-----|||||                          1
  24  quaich        /||---|/||-/                              /|/|-|-|-|/-                              1
  25  quaich        -//-/|-/--|--/|-//                        /|--||//////------                        1
  26  quaich        //||--//--/|-|-|-/                        //||---|||////----                        1
  27  quaich        |//||///-/--/--/|/                        ////||||/////-----                        1
  28  quaich        -/-|//|--/|-//                            //||-|////----                            1
  29  quaich        -/||/||-//-///                            ////||||///---                            0
  30  quaich        |/|-/||/---|--                            /|----||||//--                            1
  31  quaich        /|-////|-|-/---/||                        ///|||--||////----                        1
  32  quaich        -/|-//-|-|-/-|/--/                        /|---|||/////-----                        1
  33  quaich        ---/|-//-///||//||                        ////||||-|////----                        1
  34  quaich        //||-|//-|-/                              //--|-///|||                              0
  35  quaich        /-|//-|||-|/-|/|                          -/|||---||||////                          0
  36  quaich        -/-/|//---|--|/|                          /|---|||////----                          1
  37  quaich        -//--|//||-|                              //||--||//--                              1
  38  quaich        -/|-/|//|||-///-                          ////||||///----|                          0
  39  quaich        /|/|--|-|/-/||                            ---|||///|||/-                            0
  40  quaich        //--||/-||//|/                            //--////||||-|                            0
  41  quaich        |---/--/|/|/-/|/                          //||--||////----                          1
  42  quaich        -||//---|--|||-/                          /|-----|||||//--                          1
  43  quaich        /-----/|--/||/||                          /|----||||///---                          1
  44  quaich        -/-||||/-//|//                            -|//--////||||                            0
  45  quaich        /----/-//|-/|///                          //||//////------                          1
  46  quaich        ||||////|||-/--|                          ---|||/////|||||                          0
  47  quaich        //--|-|/|--/                              /|--||///---                              1
  48  quaich        /-|||-||/----/-||-                        /|------||||||//--                        1
  49  quaich        |||/-||//-//                              /|/|/|/|-|/-                              1
  50  quaich        -|//-/||/||-                              ///|||||--/-                              0
  51  quaich        -|-/-|-//|/-|/--                          /|---|||////----                          1
  52  quaich        -/|////||/|---/-||                        ///---||--////||||                        0
  53  quaich        /|/-|-|-/-|//||--|                        --//||||----|||///                        0
  54  quaich        /---/-/-/||/||//|-                        ///|||--||////----                        1
  55  quaich        --/|-////|/-|/-//|                        ////||||/////-----                        1
  56  quaich        |-/--|-|//-|                              /|---|||//--                              1
  57  quaich        /||--//||/|---/-                          //||---|||///---                          1
  58  quaich        |-///-|---/|//                            //||-|////----                            1
  59  quaich        -|-/-|/|/|-/                              //||--||//--                              1
  60  quaich        -/--|----||||/|--|                        /-/--|-|-|-|-|-|-|                        0
