Centaur Zendo round 4 (training)
round_id : 0ac9ae79c7db4ecfa4a669489f1e23c9
written  : 2026-09-02 10:56:10Z
presented=461  answered=461  correct=375  skipped=0
client answer latency: mean 0.100 ms  median 0.092 ms  max 1.258 ms  (n=462)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        |/-|--//-//-|/                            //||-|////----                            1
   1  quaich        |/|/|//|-|-/                              /|/|/|/|-|/-                              1
   2  quaich        //|///--/-||                              ///|||///---                              1
   3  quaich        ------//|//|-||-|-                        ----////-----|||||                        1
   4  quaich        --|---//-//|//                            /|-|/////-----                            1
   5  quaich        ///-|--|//|//||-//                        /|/|/|/|/|////----                        1
   6  quaich        /-/|/|-//-|-/|                            ///|||-|///---                            1
   7  quaich        |---|||/|--/                              /|----||||/-                              1
   8  quaich        |-/-///|||//||/|                          /|/|/|/|/|/|-|/-                          1
   9  quaich        --/-|-|////-|//|-|                        ///|||--||////----                        1
  10  quaich        ||/-|/|-||--/|                            /|/|/|----||||                            0
  11  quaich        /--/||/||--/|///-/                        ////||||-|////----                        1
  12  quaich        |///|//--|--||                            //||/|--||//--                            1
  13  quaich        |/-/|/-|/||/                              /|/|/|/|-|/-                              1
  14  quaich        -/-/-/-|-|/|                              /|--||///---                              1
  15  quaich        //|--//-|-||||                            /|/|/|---|||/-                            1
  16  quaich        /---//|//-/|-/                            //||/////-----                            1
  17  quaich        /|-|||///|///||-                          /|/|/|/|/|/|-|/-                          1
  18  quaich        -||-|//|//---|                            //||---|||//--                            1
  19  quaich        /||/||-////-||--                          //||//||--||//--                          1
  20  quaich        -/-|//|-//--|-|-//                        //||--||/////-----                        1
  21  quaich        |---//|||-/-|-                            /|----||||//--                            1
  22  quaich        -/-///-|-|//                              //||////----                              1
  23  quaich        -//|--/|///--/                            //||/////-----                            1
  24  quaich        -|-//|-|-|-||///                          ---|||/|/|/|//--                          0
  25  quaich        //|/|----/-//-/-/|                        //||-|//////------                        1
  26  quaich        -|/|||||/-//-/                            /|/|/|/|--||/-                            1
  27  quaich        -/-///-||-||-||-                          //||----||||//--                          1
  28  quaich        ///|/|/-|---                              //||-|///---                              1
  29  quaich        -//||/|-/-/-                              //||-|///---                              1
  30  quaich        /-||/--|/||-/---                          /|----||||///---                          1
  31  quaich        /--||/|--//||///-/                        ////||||-|////----                        1
  32  quaich        |//|/---|--/-|                            /|---|||///---                            1
  33  quaich        -|//-|/---//-|-|                          /|---|||////----                          1
  34  quaich        |--/---|||/|                              /|----||||/-                              1
  35  quaich        /--|-/|-|--/                              ---///---|||                              1
  36  quaich        -|-|/-|--/||                              /|----||||/-                              1
  37  quaich        |/-/|-/-|-||-|//-/                        ///|||---|||///---                        1
  38  quaich        ||-/-|//--///-|-                          //||--||////----                          1
  39  quaich        |/||||-|/-///|                            |||||/////||--                            0
  40  quaich        ---|||/-/-|/|-                            /|----||||//--                            1
  41  quaich        -/||///||-||-||-                          ||||----||||////                          1
  42  quaich        |------/-||/-||-/|                        ---///------||||||                        1
  43  quaich        ||---/-----||/||                          --//------||||||                          1
  44  quaich        -|-///--/-//|//-                          //||//////------                          1
  45  quaich        |/-/|||//||||---//                        /|/|/|/|/|---|||/-                        1
  46  quaich        ---|/|//-/-/                              /|-|////----                              1
  47  quaich        -|/--//|-|//                              //||-|///---                              1
  48  quaich        |-|/|-||//|//|                            --||/|/|/|/|/|                            0
  49  quaich        ---|/|//-|-/|/                            //||--||///---                            1
  50  quaich        -|/|-|-/||-/--|/                          //||----||||//--                          1
  51  quaich        |||-/|/---|-                              /|----||||/-                              1
  52  quaich        -||/-/|//|-||////-                        /|/|/|/|/|///----|                        0
  53  quaich        ||-|||/-////                              /|/|/|/|-|/-                              1
  54  quaich        |--//--//-//|-||                          //||--||////----                          1
  55  quaich        /|-/-/---||/|/|-                          //||---|||///---                          1
  56  quaich        |--/|/-//|/-|-//                          ///|||-|////----                          1
  57  quaich        -//|/|//|--|//                            ---///|/|/|/|/                            0
  58  quaich        /|--|/|//-///-                            ///|||////----                            1
  59  quaich        |/||/----/|-//                            //||--||///---                            1
  60  quaich        /-/||-|||/|-                              |/|/|/|-|-|-                              0
  61  quaich        -|--|/--|/-/-/                            ----////---|||                            0
  62  quaich        |-/-//-//-/||/                            ///|||////----                            1
  63  quaich        ---//|/|///|                              ///|||///---                              1
  64  quaich        //-|||//-//-/-/|                          ////||||////----                          1
  65  quaich        /|/--/-|||-||/-|                          /|/|/|----||||/-                          1
  66  quaich        ||/-||--|//|-|                            -|-|-|-|/|/|/|                            0
  67  quaich        -|/-|//-/-|||||/-|                        /|/|/|/|----||||/-                        1
  68  quaich        ||-/|-|/|/|||/|-//                        /|/|/|/|/|/|---|||                        0
  69  quaich        --|-|/-||/-|-|/-/-                        /|-----|||||///---                        1
  70  quaich        /-|-||/|/||||///                          ||||||//////||--                          0
  71  quaich        |---||/-/-/|-|||                          /|/|-----|||||/-                          1
  72  quaich        --//-|-/|/|-                              /|--||///---                              1
