Centaur Zendo round 5 (training)
round_id : 319dfcf6ae744ed2b676fba09211a858
written  : 2026-09-02 11:05:45Z
presented=322  answered=322  correct=64  skipped=0
client answer latency: mean 0.673 ms  median 0.592 ms  max 1.577 ms  (n=322)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        -/-/|/-|-/|-                              /|/---|/-|/-                              0
   1  quaich        -/|--|/||-//-///||                        /|//-|/-|/-||-|//-                        0
   2  quaich        |/|/|/|-|//||/||-/                        //|/|/|/|/|||-||/-                        0
   3  quaich        /|----///-/--|||                          //-|/--|/-|--|/-                          0
   4  quaich        //-|//-//-/-|-/|--                        ////--|/-|/---/|/-                        0
   5  quaich        /-/|//|-|||---                            /|/-||/-|--|/-                            0
   6  quaich        ///|---/---/||-|                          //-|-|/-|/|/----                          0
   7  quaich        |/||-|-|-/|/|-                            /|/|-|-|||-|/-                            0
   8  quaich        |/--/-//-//|/-/|-|                        ////-|/-|//--||/--                        0
   9  quaich        -/|-||/-/----|                            /|/-|-|/-|----                            0
  10  quaich        -/|/|--///-|                              //-|/-|/|/--                              0
  11  quaich        |//||/|//--|/|                            /|/|/|/|-|/|/-                            1
  12  quaich        |--|/-|-|/-||/                            /|-|/|-|-|-|/-                            1
  13  quaich        -|--//-|--|-|/                            /|/-|-|/-|----                            0
  14  quaich        --/|-/||-|-|/-|--|                        /|-|/|/-|-|-|-|---                        0
  15  quaich        |-||-|--/|--|--/                          /|/-|-|-|-|-|---                          0
  16  quaich        -/|/--/|//||-|//                          //|//|/|/-|-|/--                          1
  17  quaich        |--||//||//-                              /|/||/-|-|/-                              1
  18  quaich        --/|//-|-|/|                              //|/-|-|-|/-                              1
  19  quaich        //---//|/-|/|-//                          ////-|//-|/-|/--                          1
  20  quaich        |-|-///||/|/                              /||/|/-|/|/-                              1
  21  quaich        /-|//|-|----|-                            /|-|/---|--|/-                            0
  22  quaich        --///-/|//|/-|-|-/                        //-/-|/-|//-|/-|/-                        0
  23  quaich        //-|//-///|---|/|-                        //|/-|///---|/-|/-                        0
  24  quaich        |-|/||-////-/|                            //|-|/|/|//|--                            0
  25  quaich        /|/|/-/-/-/||/||                          /|/-|//-|/||/|/-                          0
  26  quaich        -/|-/|//|/|/|/                            //|/-|/|/|/|/-                            1
  27  quaich        ---/-/-|||/-/-|/                          //-|/-|/-|/-|---                          0
  28  quaich        --//|/-|||//                              //|/|-|/|/--                              1
  29  quaich        ///|///|--||-||--/                        //|/-|-|-|/|/|/-/-                        0
  30  quaich        |//-/--/-/|||-/-                          /|/-|//-|/|/----                          0
  31  quaich        |||---|-|--|-//|-|                        /|/|-||-|--|-|-|--                        0
  32  quaich        /-----/|//-||//|                          /|/-/-|/-|//-|--                          0
  33  quaich        ----//-///|/--/|-|                        //--|//--|/--|/-/-                        0
  34  quaich        |---/|//--/-/|                            //--|/|/-|/---                            0
  35  quaich        -|-/-/||--//                              //-|/--|-|/-                              0
  36  quaich        ||/|--//-|||-//-|-                        /|/|-|-||--|//-|/-                        0
  37  quaich        -|-||-|-/-|//|||                          /||/-||-|-|-||/-                          0
  38  quaich        |/|-||/|/-|//---                          /|//-|-|-|-|/|/-                          1
  39  quaich        -||-|-////|-                              /|/--|-|/|/-                              0
  40  quaich        /|/-||/|//-/                              /|/|/-|//|/-                              0
  41  quaich        -/||---|///|                              /|-|-|//-|/-                              1
  42  quaich        -///-|-||-|--/--||                        /|/-|/-|/-|-|-|---                        0
  43  quaich        |||/|-///-|-/-|--/                        //-|/|/|/-|-|/-|--                        0
  44  quaich        //-|/--||||/|//-                          /|-|/|//|/|-|/--                          1
  45  quaich        -///---//|--//-||-                        //-|/-|/--|///----                        0
  46  quaich        -|///|/---///-/|                          //-|/-|//--|///-                          0
  47  quaich        /|///-/-|/----|/                          //-|/|///-|/----                          0
  48  quaich        -/--|/-/-|--|||/                          /|/--|/-|/|-|---                          0
  49  quaich        -/||||-|//-/|/---/                        /|/-|//-|/|-|/-|--                        0
  50  quaich        -/--//-||-||                              /|/|-|/--|--                              0
  51  quaich        |///|-||---/-|                            /|/|/-|--|-|/-                            0
