Centaur Zendo round 6 (training)
round_id : 68ef7d42dd7d4ad7b8ea580f5fcba361
written  : 2026-09-02 11:07:04Z
presented=403  answered=403  correct=78  skipped=0
client answer latency: mean 0.359 ms  median 0.337 ms  max 1.542 ms  (n=403)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        |/-|-/|-//--                              /|/-|/-|/---                              0
   1  quaich        -/-||/|----///|-|/                        //|-|/-|/|/-|/----                        0
   2  quaich        //-///-||/|-/-|-                          //-|/|//-|/-|/--                          0
   3  quaich        /|/|-||-----                              /|-|/-|-|---                              0
   4  quaich        ||--/--/|-|--/                            /|/-|/--|-|---                            0
   5  quaich        //-/|||-|//-//||-/                        /|/|//-|-|/|/-|//-                        0
   6  quaich        -|||/|-/-|-|/-                            /|-||/-|-|-|/-                            1
   7  quaich        ///|//-|--|-||                            /|/|-|-|//-|/-                            1
   8  quaich        --|///|/-|--|//|||                        /|-|//|/-|/|-|-|/-                        1
   9  quaich        --////---/--/||-                          /////-|-|/------                          0
  10  quaich        /---/-||--//                              //|/---|/---                              0
  11  quaich        //--|-///-/|//|-                          /////|/-|/-|/---                          1
  12  quaich        /|-|/|/---/|/-                            //-|/-|/-|-|/-                            0
  13  quaich        /|--/|--///|                              //-|/-|/|/--                              0
  14  quaich        ||///||-|//-/---                          //-|/-|/|/|/-|--                          0
  15  quaich        |//|/|||-||/--/---                        /|//-|-|-|/|-|-|/-                        1
  16  quaich        -|/|//||-/-||--/|/                        /|/|/|/-|/-|-|-|/-                        0
  17  quaich        //-//-|/-|/--/|/                          //|///-|/-|/--/-                          0
  18  quaich        ||/-|||/|/|///--                          /|/-|/-|/||/||/-                          0
  19  quaich        |/-/-||-//||                              /|-|/-||/|/-                              0
  20  quaich        //|/|//|//---/-/-|                        //--|/-|//-|//|//-                        0
  21  quaich        /-|///--/|-//-                            /////-|/-|/---                            1
  22  quaich        /|/---/|/---||-/-|                        //|/-|/-|-|/---|--                        0
  23  quaich        /||/-/||/----|//                          /|//-|/-|-|/-|/-                          0
  24  quaich        |-///||/-|-//|||                          /|/-|/|/|-|/||/-                          0
  25  quaich        /||/-||/-||//-|/--                        /|-|/|/-|-|/|/-|/-                        0
  26  quaich        -/|/-|/-/|//-/                            //-|///-|/-|/-                            1
  27  quaich        /||/-/-|-/||//                            /|/|/-|/|-|//-                            0
  28  quaich        -|/--||-/|-/                              //-|-|-|-|/-                              1
  29  quaich        -|//|-/|||//                              /|/-|/|/||/-                              0
  30  quaich        --//|//|||/-/-/-                          //-|/-|//-|/-|/-                          0
  31  quaich        |||//|/||-/---                            /|/-|/|-||-|/-                            0
  32  quaich        -//-|||||-|/////                          //|/-|/|/|/-||/-                          0
  33  quaich        /|-/--|/-||-/-                            /|/--|/--|-|/-                            0
  34  quaich        ||//--/|--||-//---                        /|-|/-|/-|/--|--/-                        0
  35  quaich        -|--//|---/|//-|||                        /|-|/-|/-|-|-|//--                        0
  36  quaich        //--|//-|/-|-/                            ///|/---|/-|/-                            0
  37  quaich        --/||--///-/|/                            //-|/-|-|/-//-                            0
  38  quaich        |-////--|-|-                              /|/-|/|/----                              0
  39  quaich        /-/||-|-////|/                            /|/|/-|//-|//-                            0
  40  quaich        |/-|/--//-||||                            /|/-|/-|||-|/-                            0
  41  quaich        /||/--/---|-/|/|                          //-|/|/-|-|-|-/-                          0
  42  quaich        //|||-||///-/-                            /|/--|/|/|/|/-                            0
  43  quaich        -///|-|-/|-|/-//                          ///-|/-|/-|-|//-                          0
  44  quaich        ||-/-/-|/|/-|///-/                        ///|/-|/|/-|/-|/--                        0
  45  quaich        |//|/|/||/-/---/-/                        //|/-|//-|/|-|/-/-                        0
  46  quaich        |-/||-/|---//|///|                        /|/|//|/-|/--|/|--                        0
  47  quaich        /-----/--/||||/-                          /|/-|/--|-|/----                          0
  48  quaich        --|||--/||-/                              /|-|-|-|-|/-                              1
  49  quaich        -/|/|-//-/|/                              /|///-|/|/--                              1
  50  quaich        |/-|/-|--/|||/|/                          /|/|/||/-|-|-|/-                          1
