Centaur Zendo round final (final)
round_id : 6a127baa8a914dba8229fd87f6638310
written  : 2026-09-02 11:07:50Z
presented=3149  answered=3149  correct=728  skipped=0
client answer latency: mean 0.315 ms  median 0.287 ms  max 10.196 ms  (n=3150)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        |///---||||//-/|                          /|/-|/|/-|/|-|/-                          0
   1  quaich        /-//|//-/||-                              //|-|/-|///-                              0
   2  quaich        ---///-//-||                              //-|//-|/---                              0
   3  quaich        /|||--/|||/--/-/|-                        //|-|/|-|/-|-|-|/-                        1
   4  quaich        -|//|-|-|//|//--                          //|/-|/-|-|/|/--                          0
   5  quaich        /||/-/|/|/-|-|--/-                        ///|-|-|/-|/-|-|/-                        1
   6  quaich        -/|-/|//|-|-||-|                          /|/|-|/|-|-|-|/-                          1
   7  quaich        -//////-|||-||/|                          /|/|/-|/|/|-|//-                          0
   8  quaich        -|-||//-/---/--||-                        //-|-|/-|-|/--|---                        0
   9  quaich        |--/--//||/-|/-/                          //|--/-|/-|/-|/-                          1
  10  quaich        -|----/-|||-/-|||/                        /|/-|-|/-|-|-|-|--                        0
  11  quaich        -||//--|---/|--/                          //-|/-|-|-|---/-                          0
  12  quaich        /|----|-|/--|/                            //-|-|/-|-|---                            0
  13  quaich        |--/-/||/--|-/|-/-                        /|//-|/-|-|/-|----                        0
  14  quaich        -||/-|/-||-/|//-/|                        //-|/|-|/|/|-|-|/-                        1
  15  quaich        |---|/|-|--|/-/-                          //-|-|--|/-|-|--                          0
  16  quaich        |/||/--/-||-|-//                          //-|/|/|-|-|-|/-                          1
  17  quaich        |--|-/|/---/-/|-                          //-|//-|-|-|----                          0
  18  quaich        |---||/-|-|//-//                          //-|/-|-|-|/-|/-                          0
  19  quaich        -/-/-|//-|||                              /|//-|-|-|/-                              1
  20  quaich        ||/-/|||/-//|-|/|-                        /|//|/|-|/|-|-||/-                        0
  21  quaich        /|-/--|-|-||                              /|-|-|/|-|--                              0
  22  quaich        //----/|/||/|/|/                          //|//-|/-|/|-|/-                          1
  23  quaich        |-|/|-||//-/|-|/|-                        /|/-|-|/|/|-|-||/-                        0
  24  quaich        -/-|-||-|/-|                              /|-|-|-|-|/-                              1
  25  quaich        |-/|-|-|-/--/-|/                          /|-|-|/-|-|/--/-                          0
  26  quaich        |-||-/--/||-                              /|-|-|-|-|/-                              1
  27  quaich        --/|-/-|-|-/|-|-                          //-|/--|-|-|-|--                          0
  28  quaich        /--|-////|/-                              //-|//-|/-/-                              0
  29  quaich        ||/|/|/-//-/||                            /|//|/|/|-||/-                            0
  30  quaich        /|||-|/-/--/-|//                          /|/|-|//-|//-|--                          0
  31  quaich        ||/||//--/-|--                            /|-|/-|/-|-|/-                            0
  32  quaich        |/-/|-|-|///-//-                          //|-|//-|/-|/-/-                          0
  33  quaich        |||/||-///-/--                            //|/-|/|-|-|/-                            1
  34  quaich        -|-|/-///-|/---/                          //-|/-|-|//---/-                          0
  35  quaich        ||/||/|-/||||///-/                        /|/|-|/||/|/|/||/-                        0
  36  quaich        -|/|-/|--|/|-|                            /|/|-|/-||-|--                            0
  37  quaich        |/|/--/-/|--                              /|/-|/--|/--                              0
  38  quaich        ////-|/|--//--                            //-|////-|/---                            1
  39  quaich        |-||-/|-/-|/                              /|/-||-|-|/-                              0
  40  quaich        -|//-|-|/|-//|                            /|//-|-|-|/|/-                            1
  41  quaich        //-/||--////-/-|/|                        ///-|//-|/-|/-|//-                        0
  42  quaich        ||-||/--/-|///                            /|/|/|-|/-|-/-                            0
  43  quaich        -///-/-/||/-||                            //-|//-|/-||/-                            0
  44  quaich        |---/-/--|-///                            ///--|/-|/----                            0
  45  quaich        -||/-|/-//-|-/                            //-|/-|/-|-|/-                            0
  46  quaich        /|-//|--|-|--||-                          /|/-|-|--|-|-|/-                          0
  47  quaich        -//-|--|-|||---/-|                        //-|-|/-|-|-|-|---                        0
  48  quaich        |-|-|-/--/||                              /|-|-|-|-|/-                              1
  49  quaich        /|/-/|-|||----                            /|-|/-|-|/-|--                            0
