Centaur Zendo round 1 (training)
round_id : 8e15c3fa8bc44345b0477119babbaa36
written  : 2026-09-02 10:33:41Z
presented=516  answered=516  correct=2  skipped=0
client answer latency: mean 0.085 ms  median 0.079 ms  max 1.161 ms  (n=516)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         11 3                                      541 887                                   0
   1  quilm         7 5                                       0 0                                       0
   2  quilm         5 3                                       1 1                                       0
   3  quilm         9 3                                       2 3                                       0
   4  quilm         10 6                                      100 100                                   0
   5  quilm         17 5                                      541 887                                   0
   6  quilm         7 4                                       0 0                                       0
   7  quilm         5 3                                       1 1                                       0
   8  quilm         13 6                                      2 3                                       0
   9  quilm         11 6                                      100 100                                   0
  10  quilm         15 4                                      541 887                                   0
  11  quilm         6 3                                       0 0                                       0
  12  quilm         6 3                                       1 1                                       0
  13  quilm         13 5                                      2 3                                       0
  14  quilm         6 3                                       100 100                                   0
  15  quilm         11 4                                      541 887                                   0
  16  quilm         17 5                                      0 0                                       0
  17  quilm         11 3                                      1 1                                       0
  18  quilm         7 3                                       2 3                                       0
  19  quilm         23 6                                      100 100                                   0
  20  quilm         5 3                                       541 887                                   0
  21  quilm         16 5                                      0 0                                       0
  22  quilm         6 3                                       1 1                                       0
  23  quilm         8 4                                       2 3                                       0
  24  quilm         7 5                                       100 100                                   0
  25  quilm         16 5                                      541 887                                   0
  26  quilm         6 3                                       0 0                                       0
  27  quilm         7 5                                       1 1                                       0
  28  quilm         6 4                                       2 3                                       0
  29  quilm         6 3                                       100 100                                   0
  30  quilm         10 5                                      541 887                                   0
  31  quilm         19 6                                      0 0                                       0
  32  quilm         5 3                                       1 1                                       0
  33  quilm         16 4                                      2 3                                       0
  34  quilm         20 6                                      100 100                                   0
  35  quilm         11 4                                      541 887                                   0
  36  quilm         14 5                                      0 0                                       0
  37  quilm         11 6                                      1 1                                       0
  38  quilm         24 6                                      2 3                                       0
  39  quilm         16 5                                      100 100                                   0
  40  quilm         10 6                                      541 887                                   0
  41  quilm         18 5                                      0 0                                       0
  42  quilm         16 4                                      1 1                                       0
  43  quilm         7 3                                       2 3                                       0
  44  quilm         11 3                                      100 100                                   0
  45  quilm         19 6                                      541 887                                   0
  46  quilm         10 6                                      0 0                                       0
  47  quilm         13 4                                      1 1                                       0
  48  quilm         12 3                                      2 3                                       0
  49  quilm         12 3                                      100 100                                   0
  50  quilm         8 4                                       541 887                                   0
  51  quilm         6 4                                       0 0                                       0
  52  quilm         6 4                                       1 1                                       0
  53  quilm         10 3                                      2 3                                       0
  54  quilm         5 3                                       100 100                                   0
  55  quilm         12 4                                      541 887                                   0
  56  quilm         10 6                                      0 0                                       0
  57  quilm         14 5                                      1 1                                       0
  58  quilm         9 3                                       2 3                                       0
  59  quilm         13 4                                      100 100                                   0
  60  quilm         12 4                                      541 887                                   0
  61  quilm         8 4                                       0 0                                       0
  62  quilm         9 6                                       1 1                                       0
  63  quilm         6 3                                       2 3                                       0
  64  quilm         5 3                                       100 100                                   0
  65  quilm         12 5                                      541 887                                   0
  66  quilm         7 5                                       0 0                                       0
  67  quilm         8 5                                       1 1                                       0
  68  quilm         13 5                                      2 3                                       0
  69  quilm         11 5                                      100 100                                   0
  70  quilm         9 3                                       541 887                                   0
  71  quilm         19 5                                      0 0                                       0
  72  quilm         6 3                                       1 1                                       0
  73  quilm         9 5                                       2 3                                       0
  74  quilm         7 4                                       100 100                                   0
  75  quilm         18 5                                      541 887                                   0
  76  quilm         16 5                                      0 0                                       0
  77  quilm         20 5                                      1 1                                       0
  78  quilm         8 6                                       2 3                                       0
  79  quilm         7 4                                       100 100                                   0
  80  quilm         8 6                                       541 887                                   0
  81  quilm         5 3                                       0 0                                       0
  82  quilm         7 3                                       1 1                                       0
  83  quilm         18 5                                      2 3                                       0
  84  quilm         14 5                                      100 100                                   0
  85  quilm         5 3                                       541 887                                   0
  86  quilm         5 3                                       0 0                                       0
  87  quilm         19 6                                      1 1                                       0
  88  quilm         15 4                                      2 3                                       0
  89  quilm         8 6                                       100 100                                   0
  90  quilm         16 6                                      541 887                                   0
  91  quilm         10 5                                      0 0                                       0
  92  quilm         10 3                                      1 1                                       0
  93  quilm         10 6                                      2 3                                       0
  94  quilm         10 3                                      100 100                                   0
  95  quilm         11 3                                      541 887                                   0
  96  quilm         14 4                                      0 0                                       0
  97  quilm         11 3                                      1 1                                       0
  98  quilm         9 3                                       2 3                                       0
  99  quilm         20 5                                      100 100                                   0
 100  quilm         15 4                                      541 887                                   0
 101  quilm         10 4                                      0 0                                       0
 102  quilm         7 4                                       1 1                                       0
 103  quilm         12 3                                      2 3                                       0
 104  quilm         14 5                                      100 100                                   0
 105  quilm         11 4                                      541 887                                   0
 106  quilm         19 5                                      0 0                                       0
 107  quilm         8 3                                       1 1                                       0
 108  quilm         15 5                                      2 3                                       0
 109  quilm         14 6                                      100 100                                   0
 110  quilm         16 5                                      541 887                                   0
 111  quilm         22 6                                      0 0                                       0
 112  quilm         5 3                                       1 1                                       0
 113  quilm         16 4                                      2 3                                       0
 114  quilm         16 5                                      100 100                                   0
 115  quilm         15 5                                      541 887                                   0
 116  quilm         7 3                                       0 0                                       0
 117  quilm         8 5                                       1 1                                       0
 118  quilm         13 4                                      2 3                                       0
 119  quilm         9 5                                       100 100                                   0
 120  quilm         15 4                                      541 887                                   0
 121  quilm         11 3                                      0 0                                       0
 122  quilm         20 5                                      1 1                                       0
 123  quilm         12 5                                      2 3                                       0
 124  quilm         15 4                                      100 100                                   0
 125  quilm         18 5                                      541 887                                   0
 126  quilm         9 5                                       0 0                                       0
 127  quilm         18 6                                      1 1                                       0
 128  quilm         12 6                                      2 3                                       0
 129  quilm         10 3                                      100 100                                   0
 130  quilm         12 5                                      541 887                                   0
 131  quilm         9 5                                       0 0                                       0
 132  quilm         10 3                                      1 1                                       0
 133  quilm         6 4                                       2 3                                       0
 134  quilm         10 5                                      100 100                                   0
 135  quilm         16 6                                      541 887                                   0
 136  quilm         20 5                                      0 0                                       0
 137  quilm         14 4                                      1 1                                       0
 138  quilm         19 5                                      2 3                                       0
 139  quilm         8 4                                       100 100                                   0
 140  quilm         13 4                                      541 887                                   0
 141  quilm         8 3                                       0 0                                       0
 142  quilm         15 4                                      1 1                                       0
 143  quilm         11 4                                      2 3                                       0
 144  quilm         16 5                                      100 100                                   0
 145  quilm         7 3                                       541 887                                   0
 146  quilm         13 4                                      0 0                                       0
 147  quilm         10 4                                      1 1                                       0
 148  quilm         16 4                                      2 3                                       0
 149  quilm         11 3                                      100 100                                   0
 150  quilm         15 4                                      541 887                                   0
 151  quilm         9 3                                       0 0                                       0
 152  quilm         11 6                                      1 1                                       0
 153  quilm         6 3                                       2 3                                       0
 154  quilm         7 4                                       100 100                                   0
 155  quilm         22 6                                      541 887                                   0
 156  quilm         8 4                                       0 0                                       0
 157  quilm         9 4                                       1 1                                       0
 158  quilm         9 3                                       2 3                                       0
 159  quilm         12 4                                      100 100                                   0
 160  quilm         19 5                                      541 887                                   0
 161  quilm         20 5                                      0 0                                       0
 162  quilm         11 3                                      1 1                                       0
 163  quilm         14 6                                      2 3                                       0
 164  quilm         7 3                                       100 100                                   0
 165  quilm         8 4                                       541 887                                   0
 166  quilm         7 5                                       0 0                                       0
 167  quilm         7 3                                       1 1                                       0
 168  quilm         15 4                                      2 3                                       0
 169  quilm         9 4                                       100 100                                   0
 170  quilm         16 4                                      541 887                                   0
 171  quilm         8 4                                       0 0                                       0
 172  quilm         20 6                                      1 1                                       0
 173  quilm         5 3                                       2 3                                       0
 174  quilm         15 4                                      100 100                                   0
 175  quilm         12 3                                      541 887                                   0
 176  quilm         7 3                                       0 0                                       0
 177  quilm         6 3                                       1 1                                       0
 178  quilm         15 4                                      2 3                                       0
 179  quilm         10 5                                      100 100                                   0
 180  quilm         11 4                                      541 887                                   0
 181  quilm         13 4                                      0 0                                       0
 182  quilm         8 5                                       1 1                                       0
 183  quilm         12 3                                      2 3                                       0
 184  quilm         18 5                                      100 100                                   0
 185  quilm         14 5                                      541 887                                   0
 186  quilm         11 4                                      0 0                                       0
 187  quilm         9 4                                       1 1                                       0
 188  quilm         8 4                                       2 3                                       0
 189  quilm         18 6                                      100 100                                   0
 190  quilm         7 3                                       541 887                                   0
 191  quilm         11 5                                      0 0                                       0
 192  quilm         5 3                                       1 1                                       0
 193  quilm         14 5                                      2 3                                       0
 194  quilm         9 3                                       100 100                                   0
 195  quilm         11 6                                      541 887                                   0
 196  quilm         7 3                                       0 0                                       0
 197  quilm         15 5                                      1 1                                       0
 198  quilm         14 4                                      2 3                                       0
 199  quilm         9 3                                       100 100                                   0
 200  quilm         5 3                                       541 887                                   0
 201  quilm         16 6                                      0 0                                       0
 202  quilm         7 3                                       1 1                                       0
 203  quilm         10 4                                      2 3                                       0
 204  quilm         7 3                                       100 100                                   0
 205  quilm         16 4                                      541 887                                   0
 206  quilm         10 3                                      0 0                                       0
 207  quilm         15 5                                      1 1                                       0
 208  quilm         11 5                                      2 3                                       0
 209  quilm         8 4                                       100 100                                   0
 210  quilm         22 6                                      541 887                                   0
 211  quilm         13 5                                      0 0                                       0
 212  quilm         15 5                                      1 1                                       0
 213  quilm         18 5                                      2 3                                       0
 214  quilm         16 5                                      100 100                                   0
 215  quilm         11 6                                      541 887                                   0
 216  quilm         15 5                                      0 0                                       0
 217  quilm         11 3                                      1 1                                       0
 218  quilm         23 6                                      2 3                                       0
 219  quilm         16 6                                      100 100                                   0
 220  quilm         22 6                                      541 887                                   0
 221  quilm         11 3                                      0 0                                       0
 222  quilm         12 5                                      1 1                                       0
 223  quilm         15 5                                      2 3                                       0
 224  quilm         10 4                                      100 100                                   0
 225  quilm         12 5                                      541 887                                   0
 226  quilm         6 3                                       0 0                                       0
 227  quilm         7 4                                       1 1                                       0
 228  quilm         24 6                                      2 3                                       0
 229  quilm         8 4                                       100 100                                   0
 230  quilm         11 3                                      541 887                                   0
 231  quilm         12 3                                      0 0                                       0
 232  quilm         16 4                                      1 1                                       0
 233  quilm         9 3                                       2 3                                       0
 234  quilm         11 6                                      100 100                                   0
 235  quilm         5 3                                       541 887                                   0
 236  quilm         8 6                                       0 0                                       0
 237  quilm         6 3                                       1 1                                       0
 238  quilm         16 6                                      2 3                                       0
 239  quilm         13 5                                      100 100                                   0
 240  quilm         6 3                                       541 887                                   1
 241  quilm         10 4                                      0 0                                       0
 242  quilm         18 5                                      1 1                                       0
 243  quilm         20 5                                      2 3                                       0
 244  quilm         16 6                                      100 100                                   0
 245  quilm         14 4                                      541 887                                   0
 246  quilm         12 6                                      0 0                                       0
 247  quilm         7 4                                       1 1                                       0
 248  quilm         23 6                                      2 3                                       0
 249  quilm         9 4                                       100 100                                   0
 250  quilm         7 3                                       541 887                                   0
 251  quilm         14 4                                      0 0                                       0
 252  quilm         14 4                                      1 1                                       0
 253  quilm         10 5                                      2 3                                       0
 254  quilm         10 3                                      100 100                                   0
 255  quilm         12 3                                      541 887                                   0
 256  quilm         15 5                                      0 0                                       0
 257  quilm         11 4                                      1 1                                       0
 258  quilm         5 3                                       2 3                                       0
 259  quilm         15 5                                      100 100                                   0
 260  quilm         11 3                                      541 887                                   0
 261  quilm         7 5                                       0 0                                       0
 262  quilm         10 5                                      1 1                                       0
 263  quilm         6 3                                       2 3                                       0
 264  quilm         7 3                                       100 100                                   0
 265  quilm         16 6                                      541 887                                   0
 266  quilm         8 4                                       0 0                                       0
 267  quilm         19 5                                      1 1                                       0
 268  quilm         6 3                                       2 3                                       0
 269  quilm         20 5                                      100 100                                   0
 270  quilm         7 4                                       541 887                                   0
 271  quilm         9 4                                       0 0                                       0
 272  quilm         23 6                                      1 1                                       0
 273  quilm         8 4                                       2 3                                       0
 274  quilm         5 3                                       100 100                                   0
 275  quilm         16 6                                      541 887                                   0
 276  quilm         18 6                                      0 0                                       0
 277  quilm         6 4                                       1 1                                       0
 278  quilm         10 6                                      2 3                                       0
 279  quilm         16 5                                      100 100                                   0
 280  quilm         14 5                                      541 887                                   0
 281  quilm         9 5                                       0 0                                       0
 282  quilm         13 6                                      1 1                                       0
 283  quilm         9 6                                       2 3                                       0
 284  quilm         21 6                                      100 100                                   0
 285  quilm         8 3                                       541 887                                   0
 286  quilm         15 4                                      0 0                                       0
 287  quilm         7 3                                       1 1                                       0
 288  quilm         11 3                                      2 3                                       0
 289  quilm         8 3                                       100 100                                   0
 290  quilm         20 5                                      541 887                                   0
 291  quilm         16 4                                      0 0                                       0
 292  quilm         5 3                                       1 1                                       0
 293  quilm         11 4                                      2 3                                       0
 294  quilm         13 4                                      100 100                                   0
 295  quilm         14 5                                      541 887                                   0
 296  quilm         12 3                                      0 0                                       0
 297  quilm         5 3                                       1 1                                       0
 298  quilm         17 5                                      2 3                                       0
 299  quilm         13 4                                      100 100                                   0
 300  quilm         19 5                                      541 887                                   0
 301  quilm         7 3                                       0 0                                       0
 302  quilm         9 4                                       1 1                                       0
 303  quilm         15 6                                      2 3                                       0
 304  quilm         22 6                                      100 100                                   0
 305  quilm         5 3                                       541 887                                   0
 306  quilm         17 6                                      0 0                                       0
 307  quilm         11 3                                      1 1                                       0
 308  quilm         8 5                                       2 3                                       0
 309  quilm         20 6                                      100 100                                   0
 310  quilm         11 5                                      541 887                                   0
 311  quilm         6 3                                       0 0                                       0
 312  quilm         12 4                                      1 1                                       0
 313  quilm         9 5                                       2 3                                       0
 314  quilm         9 4                                       100 100                                   0
 315  quilm         7 5                                       541 887                                   0
 316  quilm         10 5                                      0 0                                       0
 317  quilm         16 4                                      1 1                                       0
 318  quilm         16 4                                      2 3                                       0
 319  quilm         7 3                                       100 100                                   0
 320  quilm         18 5                                      541 887                                   0
 321  quilm         11 3                                      0 0                                       0
 322  quilm         16 5                                      1 1                                       0
 323  quilm         6 3                                       2 3                                       0
 324  quilm         16 6                                      100 100                                   0
 325  quilm         16 5                                      541 887                                   0
 326  quilm         6 3                                       0 0                                       0
 327  quilm         11 4                                      1 1                                       0
 328  quilm         10 3                                      2 3                                       0
