Centaur Zendo round 5 (training)
round_id : 849d7eb7003945639499699b12b78540
written  : 2026-09-02 10:45:28Z
presented=493  answered=493  correct=493  skipped=0
client answer latency: mean 0.091 ms  median 0.085 ms  max 1.265 ms  (n=494)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         11 3                                      110 888                                   1
   1  quilm         10 5                                      15000 88888                               1
   2  quilm         8 4                                       1000 8888                                 1
   3  quilm         10 4                                      1700 8988                                 1
   4  quilm         16 6                                      117000 889888                             1
   5  quilm         6 4                                       7000 9888                                 1
   6  quilm         15 5                                      11700 88988                               1
   7  quilm         6 3                                       100 988                                   1
   8  quilm         11 3                                      110 888                                   1
   9  quilm         15 4                                      1110 8898                                 1
  10  quilm         17 5                                      11100 88888                               1
  11  quilm         16 4                                      1110 8888                                 1
  12  quilm         10 3                                      110 898                                   1
  13  quilm         10 4                                      1700 8988                                 1
  14  quilm         9 3                                       170 898                                   1
  15  quilm         18 6                                      111000 888888                             1
  16  quilm         8 6                                       700000 988888                             1
  17  quilm         7 5                                       70000 98888                               1
  18  quilm         17 5                                      11100 88888                               1
  19  quilm         10 5                                      15000 88888                               1
  20  quilm         7 3                                       100 888                                   1
  21  quilm         12 5                                      11000 89888                               1
  22  quilm         20 5                                      11110 88898                               1
  23  quilm         23 6                                      111150 888888                             1
  24  quilm         11 3                                      110 888                                   1
  25  quilm         16 6                                      117000 889888                             1
  26  quilm         10 3                                      110 898                                   1
  27  quilm         6 4                                       7000 9888                                 1
  28  quilm         8 3                                       150 888                                   1
  29  quilm         15 4                                      1110 8898                                 1
  30  quilm         9 4                                       1500 8888                                 1
  31  quilm         9 5                                       10000 88888                               1
  32  quilm         11 5                                      17000 89888                               1
  33  quilm         18 5                                      11150 88888                               1
  34  quilm         22 6                                      111100 888888                             1
  35  quilm         7 3                                       100 888                                   1
  36  quilm         10 3                                      110 898                                   1
  37  quilm         10 3                                      110 898                                   1
  38  quilm         7 4                                       1000 9888                                 1
  39  quilm         7 4                                       1000 9888                                 1
  40  quilm         14 4                                      1170 8898                                 1
  41  quilm         7 3                                       100 888                                   1
  42  quilm         12 6                                      170000 898888                             1
  43  quilm         14 4                                      1170 8898                                 1
  44  quilm         21 6                                      111100 888988                             1
  45  quilm         10 4                                      1700 8988                                 1
  46  quilm         11 3                                      110 888                                   1
  47  quilm         16 5                                      11100 88988                               1
  48  quilm         18 6                                      111000 888888                             1
  49  quilm         10 4                                      1700 8988                                 1
  50  quilm         18 6                                      111000 888888                             1
  51  quilm         9 4                                       1500 8888                                 1
  52  quilm         12 3                                      115 888                                   1
  53  quilm         18 5                                      11150 88888                               1
  54  quilm         11 5                                      17000 89888                               1
  55  quilm         18 5                                      11150 88888                               1
  56  quilm         12 6                                      170000 898888                             1
  57  quilm         11 5                                      17000 89888                               1
  58  quilm         7 3                                       100 888                                   1
  59  quilm         13 4                                      1150 8888                                 1
  60  quilm         7 4                                       1000 9888                                 1
  61  quilm         8 5                                       10000 98888                               1
  62  quilm         13 6                                      110000 898888                             1
  63  quilm         8 5                                       10000 98888                               1
  64  quilm         11 3                                      110 888                                   1
  65  quilm         11 3                                      110 888                                   1
  66  quilm         15 5                                      11700 88988                               1
  67  quilm         9 3                                       170 898                                   1
  68  quilm         11 3                                      110 888                                   1
  69  quilm         8 4                                       1000 8888                                 1
  70  quilm         23 6                                      111150 888888                             1
  71  quilm         13 4                                      1150 8888                                 1
  72  quilm         13 5                                      11000 88888                               1
  73  quilm         11 4                                      1100 8988                                 1
  74  quilm         12 5                                      11000 89888                               1
  75  quilm         7 5                                       70000 98888                               1
  76  quilm         14 6                                      110000 888888                             1
  77  quilm         6 4                                       7000 9888                                 1
  78  quilm         10 3                                      110 898                                   1
  79  quilm         15 4                                      1110 8898                                 1
  80  quilm         10 3                                      110 898                                   1
  81  quilm         11 3                                      110 888                                   1
  82  quilm         11 5                                      17000 89888                               1
  83  quilm         7 3                                       100 888                                   1
  84  quilm         7 3                                       100 888                                   1
  85  quilm         12 4                                      1100 8888                                 1
  86  quilm         13 5                                      11000 88888                               1
  87  quilm         8 4                                       1000 8888                                 1
  88  quilm         7 5                                       70000 98888                               1
  89  quilm         19 6                                      111500 888888                             1
  90  quilm         6 3                                       100 988                                   1
  91  quilm         6 4                                       7000 9888                                 1
  92  quilm         6 3                                       100 988                                   1
  93  quilm         7 3                                       100 888                                   1
  94  quilm         13 5                                      11000 88888                               1
  95  quilm         14 4                                      1170 8898                                 1
  96  quilm         6 3                                       100 988                                   1
  97  quilm         13 6                                      110000 898888                             1
  98  quilm         7 3                                       100 888                                   1
  99  quilm         19 5                                      11170 88898                               1
 100  quilm         6 4                                       7000 9888                                 1
 101  quilm         21 6                                      111100 888988                             1
 102  quilm         16 5                                      11100 88988                               1
 103  quilm         15 6                                      115000 888888                             1
 104  quilm         6 3                                       100 988                                   1
 105  quilm         8 5                                       10000 98888                               1
 106  quilm         6 4                                       7000 9888                                 1
 107  quilm         19 5                                      11170 88898                               1
 108  quilm         8 5                                       10000 98888                               1
 109  quilm         19 5                                      11170 88898                               1
 110  quilm         11 4                                      1100 8988                                 1
 111  quilm         20 5                                      11110 88898                               1
 112  quilm         9 4                                       1500 8888                                 1
 113  quilm         15 5                                      11700 88988                               1
 114  quilm         5 3                                       700 988                                   1
 115  quilm         6 4                                       7000 9888                                 1
 116  quilm         17 6                                      111000 889888                             1
 117  quilm         18 5                                      11150 88888                               1
 118  quilm         10 4                                      1700 8988                                 1
 119  quilm         6 3                                       100 988                                   1
 120  quilm         15 4                                      1110 8898                                 1
 121  quilm         9 5                                       10000 88888                               1
 122  quilm         8 5                                       10000 98888                               1
 123  quilm         16 4                                      1110 8888                                 1
 124  quilm         7 4                                       1000 9888                                 1
 125  quilm         15 4                                      1110 8898                                 1
 126  quilm         19 5                                      11170 88898                               1
 127  quilm         8 6                                       700000 988888                             1
 128  quilm         17 6                                      111000 889888                             1
 129  quilm         7 4                                       1000 9888                                 1
 130  quilm         20 6                                      111700 888988                             1
 131  quilm         6 3                                       100 988                                   1
 132  quilm         10 5                                      15000 88888                               1
 133  quilm         6 3                                       100 988                                   1
 134  quilm         24 6                                      111170 888898                             1
 135  quilm         8 5                                       10000 98888                               1
 136  quilm         11 6                                      150000 888888                             1
 137  quilm         13 5                                      11000 88888                               1
 138  quilm         12 3                                      115 888                                   1
 139  quilm         5 3                                       700 988                                   1
 140  quilm         11 6                                      150000 888888                             1
 141  quilm         7 4                                       1000 9888                                 1
 142  quilm         6 4                                       7000 9888                                 1
 143  quilm         16 5                                      11100 88988                               1
 144  quilm         11 3                                      110 888                                   1
 145  quilm         7 3                                       100 888                                   1
 146  quilm         19 5                                      11170 88898                               1
 147  quilm         9 5                                       10000 88888                               1
 148  quilm         10 4                                      1700 8988                                 1
 149  quilm         10 3                                      110 898                                   1
 150  quilm         12 4                                      1100 8888                                 1
 151  quilm         14 5                                      11500 88888                               1
 152  quilm         17 5                                      11100 88888                               1
 153  quilm         12 5                                      11000 89888                               1
 154  quilm         19 5                                      11170 88898                               1
 155  quilm         10 5                                      15000 88888                               1
 156  quilm         7 5                                       70000 98888                               1
 157  quilm         6 3                                       100 988                                   1
 158  quilm         11 3                                      110 888                                   1
 159  quilm         5 3                                       700 988                                   1
 160  quilm         7 5                                       70000 98888                               1
 161  quilm         10 4                                      1700 8988                                 1
 162  quilm         7 3                                       100 888                                   1
 163  quilm         16 5                                      11100 88988                               1
