Centaur Zendo round 6 (training)
round_id : af1362bc156a4af493ed82df3202dbc6
written  : 2026-09-02 10:45:33Z
presented=486  answered=486  correct=486  skipped=0
client answer latency: mean 0.092 ms  median 0.085 ms  max 1.408 ms  (n=487)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         7 5                                       70000 98888                               1
   1  quilm         14 4                                      1170 8898                                 1
   2  quilm         9 4                                       1500 8888                                 1
   3  quilm         18 6                                      111000 888888                             1
   4  quilm         20 5                                      11110 88898                               1
   5  quilm         8 4                                       1000 8888                                 1
   6  quilm         6 3                                       100 988                                   1
   7  quilm         9 5                                       10000 88888                               1
   8  quilm         10 4                                      1700 8988                                 1
   9  quilm         7 3                                       100 888                                   1
  10  quilm         11 4                                      1100 8988                                 1
  11  quilm         6 3                                       100 988                                   1
  12  quilm         14 4                                      1170 8898                                 1
  13  quilm         7 3                                       100 888                                   1
  14  quilm         16 4                                      1110 8888                                 1
  15  quilm         11 5                                      17000 89888                               1
  16  quilm         12 6                                      170000 898888                             1
  17  quilm         14 5                                      11500 88888                               1
  18  quilm         23 6                                      111150 888888                             1
  19  quilm         18 5                                      11150 88888                               1
  20  quilm         17 6                                      111000 889888                             1
  21  quilm         5 3                                       700 988                                   1
  22  quilm         5 3                                       700 988                                   1
  23  quilm         8 3                                       150 888                                   1
  24  quilm         13 4                                      1150 8888                                 1
  25  quilm         8 4                                       1000 8888                                 1
  26  quilm         5 3                                       700 988                                   1
  27  quilm         8 3                                       150 888                                   1
  28  quilm         13 5                                      11000 88888                               1
  29  quilm         13 4                                      1150 8888                                 1
  30  quilm         8 3                                       150 888                                   1
  31  quilm         7 3                                       100 888                                   1
  32  quilm         11 6                                      150000 888888                             1
  33  quilm         19 5                                      11170 88898                               1
  34  quilm         11 6                                      150000 888888                             1
  35  quilm         18 5                                      11150 88888                               1
  36  quilm         15 4                                      1110 8898                                 1
  37  quilm         16 6                                      117000 889888                             1
  38  quilm         18 5                                      11150 88888                               1
  39  quilm         14 4                                      1170 8898                                 1
  40  quilm         10 3                                      110 898                                   1
  41  quilm         5 3                                       700 988                                   1
