Centaur Zendo round final (final)
round_id : bec71d445ba14a82b6c54f755f8331c9
written  : 2026-09-02 10:45:41Z
presented=3030  answered=3030  correct=3030  skipped=0
client answer latency: mean 0.088 ms  median 0.083 ms  max 1.380 ms  (n=3030)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         11 5                                      17000 89888                               1
   1  quilm         5 3                                       700 988                                   1
   2  quilm         7 4                                       1000 9888                                 1
   3  quilm         8 4                                       1000 8888                                 1
   4  quilm         8 3                                       150 888                                   1
   5  quilm         23 6                                      111150 888888                             1
   6  quilm         19 6                                      111500 888888                             1
   7  quilm         20 5                                      11110 88898                               1
   8  quilm         21 6                                      111100 888988                             1
   9  quilm         19 5                                      11170 88898                               1
  10  quilm         13 4                                      1150 8888                                 1
  11  quilm         10 4                                      1700 8988                                 1
  12  quilm         16 4                                      1110 8888                                 1
  13  quilm         15 4                                      1110 8898                                 1
  14  quilm         12 3                                      115 888                                   1
  15  quilm         11 4                                      1100 8988                                 1
  16  quilm         11 4                                      1100 8988                                 1
  17  quilm         17 6                                      111000 889888                             1
  18  quilm         12 5                                      11000 89888                               1
  19  quilm         7 4                                       1000 9888                                 1
  20  quilm         5 3                                       700 988                                   1
  21  quilm         16 4                                      1110 8888                                 1
  22  quilm         11 5                                      17000 89888                               1
  23  quilm         13 5                                      11000 88888                               1
  24  quilm         17 5                                      11100 88888                               1
  25  quilm         10 4                                      1700 8988                                 1
  26  quilm         20 5                                      11110 88898                               1
  27  quilm         19 6                                      111500 888888                             1
  28  quilm         6 3                                       100 988                                   1
  29  quilm         7 3                                       100 888                                   1
  30  quilm         19 6                                      111500 888888                             1
  31  quilm         10 5                                      15000 88888                               1
  32  quilm         12 6                                      170000 898888                             1
  33  quilm         24 6                                      111170 888898                             1
  34  quilm         10 3                                      110 898                                   1
  35  quilm         13 5                                      11000 88888                               1
  36  quilm         10 5                                      15000 88888                               1
  37  quilm         12 6                                      170000 898888                             1
  38  quilm         8 3                                       150 888                                   1
  39  quilm         18 5                                      11150 88888                               1
  40  quilm         7 3                                       100 888                                   1
  41  quilm         12 3                                      115 888                                   1
  42  quilm         18 6                                      111000 888888                             1
  43  quilm         7 3                                       100 888                                   1
  44  quilm         14 4                                      1170 8898                                 1
  45  quilm         8 4                                       1000 8888                                 1
  46  quilm         10 3                                      110 898                                   1
  47  quilm         13 4                                      1150 8888                                 1
  48  quilm         17 5                                      11100 88888                               1
  49  quilm         8 4                                       1000 8888                                 1
  50  quilm         9 6                                       100000 988888                             1
  51  quilm         14 4                                      1170 8898                                 1
  52  quilm         9 3                                       170 898                                   1
  53  quilm         18 5                                      11150 88888                               1
  54  quilm         17 5                                      11100 88888                               1
  55  quilm         19 5                                      11170 88898                               1
  56  quilm         11 4                                      1100 8988                                 1
  57  quilm         20 6                                      111700 888988                             1
  58  quilm         9 4                                       1500 8888                                 1
  59  quilm         8 4                                       1000 8888                                 1
  60  quilm         8 5                                       10000 98888                               1
  61  quilm         13 4                                      1150 8888                                 1
  62  quilm         12 4                                      1100 8888                                 1
  63  quilm         15 4                                      1110 8898                                 1
  64  quilm         18 5                                      11150 88888                               1
  65  quilm         7 3                                       100 888                                   1
  66  quilm         12 5                                      11000 89888                               1
  67  quilm         12 3                                      115 888                                   1
  68  quilm         12 3                                      115 888                                   1
  69  quilm         19 5                                      11170 88898                               1
  70  quilm         19 5                                      11170 88898                               1
  71  quilm         9 4                                       1500 8888                                 1
  72  quilm         9 3                                       170 898                                   1
  73  quilm         8 5                                       10000 98888                               1
  74  quilm         10 4                                      1700 8988                                 1
  75  quilm         11 6                                      150000 888888                             1
  76  quilm         8 4                                       1000 8888                                 1
  77  quilm         15 5                                      11700 88988                               1
  78  quilm         23 6                                      111150 888888                             1
  79  quilm         15 5                                      11700 88988                               1
  80  quilm         9 3                                       170 898                                   1
  81  quilm         13 5                                      11000 88888                               1
  82  quilm         9 5                                       10000 88888                               1
  83  quilm         9 3                                       170 898                                   1
  84  quilm         13 5                                      11000 88888                               1
  85  quilm         22 6                                      111100 888888                             1
  86  quilm         16 5                                      11100 88988                               1
  87  quilm         22 6                                      111100 888888                             1
  88  quilm         12 5                                      11000 89888                               1
  89  quilm         17 5                                      11100 88888                               1
  90  quilm         15 5                                      11700 88988                               1
  91  quilm         20 5                                      11110 88898                               1
  92  quilm         13 5                                      11000 88888                               1
  93  quilm         6 3                                       100 988                                   1
  94  quilm         8 4                                       1000 8888                                 1
  95  quilm         15 6                                      115000 888888                             1
  96  quilm         14 5                                      11500 88888                               1
  97  quilm         8 3                                       150 888                                   1
  98  quilm         15 5                                      11700 88988                               1
  99  quilm         5 3                                       700 988                                   1
 100  quilm         17 6                                      111000 889888                             1
 101  quilm         14 4                                      1170 8898                                 1
 102  quilm         8 4                                       1000 8888                                 1
 103  quilm         11 3                                      110 888                                   1
 104  quilm         12 4                                      1100 8888                                 1
 105  quilm         7 3                                       100 888                                   1
 106  quilm         8 5                                       10000 98888                               1
 107  quilm         8 3                                       150 888                                   1
 108  quilm         8 3                                       150 888                                   1
 109  quilm         9 4                                       1500 8888                                 1
 110  quilm         9 4                                       1500 8888                                 1
