Centaur Zendo round 1 (training)
round_id : 73d0867ade5545bc9f04a9e515595f1c
written  : 2026-09-02 10:34:12Z
presented=806  answered=0  correct=0  skipped=806
client answer latency: mean 0.084 ms  median 0.077 ms  max 1.250 ms  (n=806)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         10 5                                      None                                      0
   1  quilm         16 4                                      None                                      0
   2  quilm         9 4                                       None                                      0
   3  quilm         11 5                                      None                                      0
   4  quilm         15 5                                      None                                      0
   5  quilm         14 4                                      None                                      0
   6  quilm         6 3                                       None                                      0
   7  quilm         7 3                                       None                                      0
   8  quilm         12 3                                      None                                      0
   9  quilm         12 3                                      None                                      0
  10  quilm         14 5                                      None                                      0
  11  quilm         14 5                                      None                                      0
  12  quilm         5 3                                       None                                      0
  13  quilm         10 5                                      None                                      0
  14  quilm         18 5                                      None                                      0
  15  quilm         12 3                                      None                                      0
  16  quilm         12 5                                      None                                      0
  17  quilm         7 3                                       None                                      0
  18  quilm         11 3                                      None                                      0
  19  quilm         6 3                                       None                                      0
  20  quilm         7 3                                       None                                      0
  21  quilm         9 5                                       None                                      0
  22  quilm         5 3                                       None                                      0
  23  quilm         10 4                                      None                                      0
  24  quilm         11 3                                      None                                      0
  25  quilm         8 4                                       None                                      0
  26  quilm         15 5                                      None                                      0
  27  quilm         20 6                                      None                                      0
  28  quilm         8 3                                       None                                      0
  29  quilm         12 4                                      None                                      0
  30  quilm         11 5                                      None                                      0
  31  quilm         16 4                                      None                                      0
  32  quilm         5 3                                       None                                      0
  33  quilm         6 4                                       None                                      0
  34  quilm         16 4                                      None                                      0
  35  quilm         19 5                                      None                                      0
  36  quilm         15 5                                      None                                      0
  37  quilm         12 5                                      None                                      0
  38  quilm         9 4                                       None                                      0
  39  quilm         17 6                                      None                                      0
  40  quilm         11 5                                      None                                      0
  41  quilm         6 3                                       None                                      0
  42  quilm         10 5                                      None                                      0
  43  quilm         5 3                                       None                                      0
  44  quilm         5 3                                       None                                      0
  45  quilm         7 4                                       None                                      0
  46  quilm         17 5                                      None                                      0
  47  quilm         13 5                                      None                                      0
  48  quilm         20 5                                      None                                      0
  49  quilm         8 4                                       None                                      0
  50  quilm         13 5                                      None                                      0
  51  quilm         5 3                                       None                                      0
  52  quilm         13 5                                      None                                      0
  53  quilm         10 3                                      None                                      0
  54  quilm         12 3                                      None                                      0
  55  quilm         8 5                                       None                                      0
  56  quilm         11 5                                      None                                      0
  57  quilm         22 6                                      None                                      0
  58  quilm         17 5                                      None                                      0
  59  quilm         10 4                                      None                                      0
  60  quilm         19 5                                      None                                      0
  61  quilm         19 5                                      None                                      0
  62  quilm         11 4                                      None                                      0
  63  quilm         7 4                                       None                                      0
  64  quilm         7 3                                       None                                      0
  65  quilm         11 3                                      None                                      0
  66  quilm         16 5                                      None                                      0
  67  quilm         10 3                                      None                                      0
  68  quilm         12 3                                      None                                      0
  69  quilm         9 3                                       None                                      0
  70  quilm         24 6                                      None                                      0
  71  quilm         12 3                                      None                                      0
  72  quilm         13 4                                      None                                      0
  73  quilm         6 4                                       None                                      0
  74  quilm         11 3                                      None                                      0
  75  quilm         12 5                                      None                                      0
  76  quilm         16 4                                      None                                      0
  77  quilm         11 3                                      None                                      0
  78  quilm         9 3                                       None                                      0
  79  quilm         13 4                                      None                                      0
  80  quilm         13 4                                      None                                      0
  81  quilm         13 4                                      None                                      0
