Centaur Zendo round 2 (training)
round_id : e53c2518469d415c9495946a08fed877
written  : 2026-09-02 10:37:07Z
presented=494  answered=494  correct=0  skipped=0
client answer latency: mean 0.092 ms  median 0.087 ms  max 1.124 ms  (n=495)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         14 4                                      1024 8191                                 0
   1  quilm         10 5                                      16352 16384                               0
   2  quilm         16 4                                      1792 8191                                 0
   3  quilm         10 4                                      1022 1024                                 0
   4  quilm         15 4                                      1536 8191                                 0
   5  quilm         13 4                                      1024 4095                                 0
   6  quilm         7 3                                       126 128                                   0
   7  quilm         15 5                                      16383 16384                               0
   8  quilm         15 5                                      16383 16384                               0
   9  quilm         14 5                                      16382 16384                               0
  10  quilm         14 5                                      16382 16384                               0
  11  quilm         8 3                                       128 127                                   0
  12  quilm         10 5                                      16352 16384                               0
  13  quilm         8 3                                       127 128                                   0
  14  quilm         6 3                                       124 128                                   0
  15  quilm         12 3                                      112 511                                   0
  16  quilm         9 4                                       1020 1024                                 0
  17  quilm         7 4                                       1008 1024                                 0
  18  quilm         16 4                                      1792 8191                                 0
  19  quilm         6 3                                       124 128                                   0
  20  quilm         14 6                                      131056 131072                             0
  21  quilm         9 5                                       16320 16384                               0
  22  quilm         11 3                                      192 511                                   0
  23  quilm         15 5                                      32767                                     0
  24  quilm         20 6                                      131072 524287                             0
  25  quilm         10 3                                      128 511                                   0
  26  quilm         8 4                                       1016 1024                                 0
  27  quilm         6 3                                       124 128                                   0
  28  quilm         12 3                                      112 511                                   0
  29  quilm         6 4                                       1024 1984                                 0
  30  quilm         12 3                                      112 511                                   0
  31  quilm         11 6                                      130944 131072                             0
  32  quilm         5 3                                       120 128                                   0
  33  quilm         17 6                                      131070 131072                             0
  34  quilm         19 5                                      14336 65535                               0
  35  quilm         20 5                                      15360,65535                               0
  36  quilm         16 6                                      131068 131072                             0
  37  quilm         16 6                                      131068 131072                             0
  38  quilm         5 3                                       120 128                                   0
  39  quilm         11 6                                      130944 131072                             0
  40  quilm         9 3                                       128 255                                   0
  41  quilm         6 3                                       124 128                                   0
  42  quilm         7 3                                       126 128                                   0
  43  quilm         14 4                                      1024 8191                                 0
  44  quilm         15 4                                      1536 8191                                 0
  45  quilm         9 5                                       16320 16384                               0
  46  quilm         12 4                                      1024 2047                                 0
  47  quilm         14 4                                      [1024, 8191]                              0
  48  quilm         10 5                                      16352 16384                               0
  49  quilm         8 5                                       16256 16384                               0
  50  quilm         10 5                                      16352 16384                               0
  51  quilm         22 6                                      114688 524287                             0
  52  quilm         9 4                                       1020 1024                                 0
  53  quilm         16 4                                      1792 8191                                 0
  54  quilm         6 4                                       1024 1984                                 0
  55  quilm         6 3                                       124 128                                   0
  56  quilm         16 4                                      1792 8191                                 0
  57  quilm         7 5                                       16128 16384                               0
  58  quilm         11 4                                      1023 1024                                 0
  59  quilm         8 3                                       128 127                                   0
  60  quilm         7 3                                       126 128                                   0
  61  quilm         9 3                                       128 255                                   0
  62  quilm         13 5                                      16380 16384                               0
  63  quilm         16 4                                      1792 8191                                 0
  64  quilm         7 4                                       1008 1024                                 0
  65  quilm         10 5                                      16352 16384                               0
  66  quilm         9 5                                       16320 16384                               0
  67  quilm         8 4                                       1016 1024                                 0
  68  quilm         18 5                                      12288 65535                               0
