Centaur Zendo round 3 (training)
round_id : e709de3b20e34c9b8731bc50e439076f
written  : 2026-09-02 10:45:01Z
presented=502  answered=502  correct=1  skipped=0
client answer latency: mean 0.103 ms  median 0.099 ms  max 1.141 ms  (n=502)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         10 4                                      1166 7825                                 0
   1  quilm         15 5                                      23945 87077                               0
   2  quilm         11 4                                      9256 3729                                 0
   3  quilm         17 5                                      48888 70305                               0
   4  quilm         15 6                                      493218 872362                             0
   5  quilm         6 4                                       1710 9494                                 0
   6  quilm         11 3                                      985 952                                   0
   7  quilm         15 4                                      9959 2673                                 0
   8  quilm         20 5                                      38226 98959                               0
   9  quilm         16 5                                      29969 53450                               0
  10  quilm         7 3                                       336 308                                   0
  11  quilm         19 5                                      80630 97991                               0
  12  quilm         6 3                                       349 999                                   0
  13  quilm         15 4                                      1092 3784                                 0
  14  quilm         9 3                                       684 306                                   0
  15  quilm         7 3                                       175 888                                   0
  16  quilm         14 4                                      2113 2762                                 0
  17  quilm         13 6                                      311667 888829                             0
  18  quilm         7 5                                       62028 74294                               0
  19  quilm         13 6                                      836686 191597                             0
  20  quilm         12 5                                      24898 29647                               0
  21  quilm         5 3                                       476 552                                   0
  22  quilm         23 6                                      266079 877248                             0
  23  quilm         11 3                                      226 144                                   0
  24  quilm         7 4                                       3682 8495                                 0
  25  quilm         7 4                                       2025 3391                                 0
  26  quilm         18 5                                      59770 84104                               0
  27  quilm         5 3                                       267 115                                   0
  28  quilm         5 3                                       325 533                                   0
  29  quilm         10 5                                      70067 88489                               0
  30  quilm         16 4                                      7064 8319                                 0
  31  quilm         12 4                                      9001 3345                                 0
  32  quilm         12 3                                      355 554                                   0
  33  quilm         11 4                                      1878 2020                                 0
  34  quilm         16 4                                      2511 4342                                 0
  35  quilm         5 3                                       336 977                                   0
  36  quilm         21 6                                      709269 815344                             0
  37  quilm         11 5                                      10333 44777                               0
  38  quilm         16 4                                      2518 7385                                 0
  39  quilm         20 5                                      52595 44164                               0
  40  quilm         13 5                                      15139 66348                               0
  41  quilm         5 3                                       144 587                                   0
  42  quilm         6 3                                       873 476                                   0
  43  quilm         9 5                                       99000 72366                               0
  44  quilm         13 5                                      26114 60723                               0
  45  quilm         8 4                                       4333 7165                                 0
  46  quilm         9 5                                       25867 87163                               0
  47  quilm         18 6                                      444343 586028                             0
  48  quilm         7 4                                       1322 3283                                 0
  49  quilm         6 3                                       292 818                                   0
  50  quilm         6 3                                       259 122                                   0
  51  quilm         10 5                                      30408 17175                               0
  52  quilm         12 5                                      13225 68240                               0
  53  quilm         11 4                                      7008 9451                                 0
  54  quilm         9 4                                       2786 2766                                 0
  55  quilm         12 5                                      11414 29375                               0
  56  quilm         10 6                                      355771 942928                             0
  57  quilm         10 5                                      22232 54186                               0
  58  quilm         9 3                                       278 619                                   0
  59  quilm         7 4                                       8828 3143                                 0
  60  quilm         7 5                                       11700 73115                               0
  61  quilm         6 3                                       118 436                                   0
  62  quilm         6 3                                       562 435                                   0
  63  quilm         6 4                                       8088 5297                                 0
  64  quilm         14 6                                      225611 485831                             0
  65  quilm         11 4                                      2256 7878                                 0
  66  quilm         6 4                                       7249 4826                                 0
  67  quilm         13 4                                      8487 5063                                 0
  68  quilm         10 5                                      11524 50310                               0
  69  quilm         10 6                                      711706 882282                             0
  70  quilm         10 3                                      750 430                                   0
  71  quilm         9 3                                       774 919                                   0
  72  quilm         7 3                                       807 976                                   0
  73  quilm         6 3                                       772 963                                   0
  74  quilm         9 6                                       581640 435165                             0
  75  quilm         9 4                                       7477 5892                                 0
  76  quilm         7 3                                       305 806                                   0
  77  quilm         19 5                                      38918 40244                               0
  78  quilm         17 6                                      338270 437806                             0
  79  quilm         11 3                                      367 529                                   0
  80  quilm         8 6                                       317309 566163                             0
  81  quilm         7 3                                       181 935                                   0
  82  quilm         10 6                                      601294 888174                             0
  83  quilm         20 5                                      71177 30388                               0
  84  quilm         11 3                                      132 137                                   0
  85  quilm         13 4                                      1289 5055                                 0
  86  quilm         11 3                                      268 529                                   0
  87  quilm         20 6                                      600608 929493                             0
  88  quilm         10 5                                      46042 73542                               0
  89  quilm         12 3                                      848 992                                   0
  90  quilm         15 4                                      7596 9327                                 0
  91  quilm         7 5                                       84868 71970                               0
  92  quilm         8 4                                       2807 7555                                 0
  93  quilm         8 3                                       313 866                                   0
  94  quilm         7 3                                       867 953                                   0
  95  quilm         6 4                                       6661 7854                                 0
  96  quilm         7 3                                       195 692                                   0
  97  quilm         8 4                                       6246 9997                                 0
  98  quilm         5 3                                       991 395                                   0
  99  quilm         19 5                                      66600 99974                               0
 100  quilm         17 5                                      10234 42416                               0
 101  quilm         9 6                                       508552 619419                             0
 102  quilm         7 4                                       6093 8602                                 0
 103  quilm         21 6                                      707770 954462                             0
 104  quilm         20 6                                      470696 926402                             0
 105  quilm         12 3                                      323 686                                   0
 106  quilm         7 4                                       3069 9826                                 0
 107  quilm         9 3                                       334 196                                   0
 108  quilm         12 4                                      2292 5843                                 0
 109  quilm         13 4                                      4101 8382                                 0
 110  quilm         10 3                                      496 156                                   0
 111  quilm         18 6                                      557676 202118                             0
 112  quilm         14 6                                      379679 934770                             0
 113  quilm         18 5                                      17127 63538                               0
 114  quilm         16 6                                      686297 221079                             0
 115  quilm         10 3                                      162 378                                   0
 116  quilm         9 3                                       439 624                                   0
 117  quilm         13 5                                      22777 99085                               0
 118  quilm         12 6                                      319356 341795                             0
 119  quilm         17 5                                      77733 61269                               0
 120  quilm         15 5                                      85131 87989                               0
 121  quilm         6 4                                       3255 6669                                 0
 122  quilm         6 3                                       704 673                                   0
 123  quilm         17 5                                      51313 77779                               0
 124  quilm         11 3                                      325 779                                   0
 125  quilm         11 3                                      700 993                                   0
 126  quilm         10 3                                      183 347                                   0
 127  quilm         7 5                                       88633 52499                               0
 128  quilm         15 5                                      24130 66636                               0
 129  quilm         11 4                                      6255 8733                                 0
 130  quilm         11 3                                      781 797                                   0
 131  quilm         14 5                                      56166 49493                               0
 132  quilm         8 4                                       1629 7902                                 0
 133  quilm         16 5                                      12125 88899                               0
 134  quilm         17 6                                      853913 435129                             0
 135  quilm         6 3                                       959 114                                   0
 136  quilm         7 3                                       144 390                                   0
 137  quilm         12 3                                      526 889                                   0
 138  quilm         16 6                                      610759 952169                             0
 139  quilm         10 3                                      135 277                                   0
 140  quilm         20 5                                      69654 81331                               0
 141  quilm         19 5                                      21942 57303                               0
 142  quilm         17 6                                      761874 708413                             0
 143  quilm         9 6                                       303183 555769                             0
 144  quilm         11 3                                      160 209                                   0
 145  quilm         16 5                                      41441 99633                               0
 146  quilm         12 3                                      695 992                                   0
 147  quilm         18 5                                      11393 85682                               0
 148  quilm         9 3                                       139 436                                   0
 149  quilm         9 6                                       422881 599739                             0
 150  quilm         21 6                                      842342 340548                             0
 151  quilm         20 5                                      18005 66326                               0
 152  quilm         8 5                                       25267 47794                               0
 153  quilm         9 4                                       1157 2448                                 0
 154  quilm         10 3                                      883 547                                   0
 155  quilm         17 5                                      42224 60066                               0
 156  quilm         13 4                                      1717 5905                                 0
 157  quilm         8 3                                       680 742                                   0
 158  quilm         10 4                                      8345 4933                                 0
 159  quilm         15 5                                      57566 32101                               0
