Centaur Zendo round 4 (training)
round_id : 0b17c9eddc8744d9a8654baa0c251b02
written  : 2026-09-02 10:49:38Z
presented=418  answered=418  correct=14  skipped=0
client answer latency: mean 0.118 ms  median 0.109 ms  max 1.695 ms  (n=418)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         18 6                                      488852 132086                             0
   1  quilm         9 3                                       719 799                                   0
   2  quilm         14 4                                      3758 9052                                 0
   3  quilm         14 4                                      4182 5110                                 0
   4  quilm         7 3                                       115 946                                   1
   5  quilm         18 5                                      13177 88008                               1
   6  quilm         6 3                                       393 915                                   0
   7  quilm         6 3                                       947 854                                   0
   8  quilm         11 4                                      2933 3142                                 0
   9  quilm         10 5                                      93845 94998                               0
  10  quilm         7 5                                       24745 21350                               0
  11  quilm         10 3                                      517 889                                   1
  12  quilm         20 5                                      11363 49811                               0
  13  quilm         8 3                                       931 872                                   0
  14  quilm         24 6                                      693281 166188                             0
  15  quilm         18 5                                      88008 13177                               0
  16  quilm         15 5                                      92889 92329                               0
  17  quilm         8 5                                       46950 36816                               0
  18  quilm         16 5                                      33974 21131                               0
  19  quilm         10 4                                      2314 8989                                 1
  20  quilm         18 5                                      13178 88008                               0
  21  quilm         9 3                                       510 490                                   0
  22  quilm         8 4                                       9916 9647                                 0
  23  quilm         11 3                                      160 661                                   0
  24  quilm         9 4                                       5866 7980                                 0
  25  quilm         12 3                                      188 965                                   0
  26  quilm         7 4                                       1929 2212                                 0
  27  quilm         16 4                                      7587 6722                                 0
  28  quilm         21 6                                      307894 718820                             0
  29  quilm         12 3                                      886 324                                   0
  30  quilm         10 3                                      889 517                                   0
  31  quilm         6 3                                       892 437                                   0
  32  quilm         12 4                                      9989 2172                                 0
  33  quilm         11 3                                      851 933                                   0
  34  quilm         12 3                                      190 925                                   0
  35  quilm         7 5                                       10384 62149                               0
  36  quilm         18 6                                      575351 229426                             0
  37  quilm         5 3                                       946 685                                   0
  38  quilm         20 5                                      80096 43430                               0
  39  quilm         20 6                                      903255 791445                             0
  40  quilm         16 4                                      1589 9506                                 0
  41  quilm         18 5                                      13177 88009                               0
  42  quilm         12 3                                      616 947                                   0
  43  quilm         11 3                                      559 209                                   0
  44  quilm         14 5                                      16726 96530                               0
  45  quilm         12 3                                      574 257                                   0
  46  quilm         9 3                                       851 940                                   0
  47  quilm         15 4                                      1321 4408                                 0
  48  quilm         6 3                                       921 650                                   0
  49  quilm         16 4                                      6064 8173                                 0
  50  quilm         9 3                                       661 779                                   0
  51  quilm         11 4                                      8861 4406                                 0
  52  quilm         15 5                                      50345 21761                               0
  53  quilm         13 5                                      46139 55925                               0
  54  quilm         16 4                                      9992 2448                                 0
  55  quilm         16 5                                      62748 54252                               0
  56  quilm         17 6                                      199984 152404                             0
  57  quilm         16 6                                      500320 864249                             0
  58  quilm         8 3                                       248 218                                   0
  59  quilm         11 3                                      979 372                                   0
  60  quilm         23 6                                      889566 952932                             0
  61  quilm         11 3                                      148 529                                   0
  62  quilm         6 4                                       6455 8998                                 1
  63  quilm         15 5                                      14509 46096                               0
  64  quilm         22 6                                      659037 683587                             0
  65  quilm         17 6                                      124317 406448                             0
