Centaur Zendo round 2 (training)
round_id : fa8720ed752c45d4aa19d282b720cee6
written  : 2026-09-02 11:17:12Z
presented=604  answered=604  correct=5  skipped=0
client answer latency: mean 0.090 ms  median 0.082 ms  max 1.232 ms  (n=604)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         319/2                                     526                                       0
   1  quilm         18314/3                                   11332                                     0
   2  quilm         7726/4                                    5892                                      0
   3  quilm         896/1                                     975                                       0
   4  quilm         7098/2                                    7101                                      0
   5  quilm         6402/2                                    6399                                      0
   6  quilm         00132/2                                   131                                       0
   7  quilm         501/2                                     506                                       0
   8  quilm         6109/2                                    6109                                      0
   9  quilm         70723/4                                   32707                                     0
  10  quilm         5611/3                                    16833                                     0
  11  quilm         583/2                                     291                                       0
  12  quilm         739/2                                     246                                       0
  13  quilm         6372/4                                    7632                                      0
  14  quilm         2675/4                                    2567                                      0
  15  quilm         3371/3                                    1998                                      0
  16  quilm         0609/1                                    9669                                      0
  17  quilm         4357/2                                    5643                                      0
  18  quilm         270/3                                     729                                       0
  19  quilm         66019/3                                   88037                                     0
  20  quilm         4128/2                                    3649                                      0
  21  quilm         5731/2                                    7112                                      0
  22  quilm         60135/2                                   26287                                     0
  23  quilm         48989/1                                   66745                                     0
  24  quilm         277/2                                     276                                       0
  25  quilm         21536/2                                   21545                                     0
  26  quilm         2094/2                                    2090                                      0
  27  quilm         9123/4                                    9132                                      0
  28  quilm         600/1                                     600                                       0
  29  quilm         870036/2                                  630078                                    0
  30  quilm         0681/2                                    1362                                      0
  31  quilm         6981/4                                    1745                                      0
  32  quilm         4735/2                                    1578                                      0
  33  quilm         22691/3                                   96221                                     0
  34  quilm         749/3                                     479                                       0
  35  quilm         03998/4                                   62964                                     0
  36  quilm         7652/2                                    10219                                     0
  37  quilm         71010/2                                   28990                                     0
  38  quilm         077116/3                                  922883                                    0
  39  quilm         651/1                                     651                                       0
  40  quilm         33921/1                                   34485                                     0
  41  quilm         7350/1                                    6814                                      0
  42  quilm         0346/2                                    2495                                      0
  43  quilm         906992/3                                  656838                                    0
  44  quilm         823/4                                     828                                       0
  45  quilm         3438/2                                    3446                                      0
  46  quilm         255622/2                                  255618                                    0
  47  quilm         96753/2                                   96748                                     0
  48  quilm         2712/4                                    2712                                      0
  49  quilm         150/2                                     51                                        0
  50  quilm         498/2                                     996                                       0
  51  quilm         6116/2                                    3058                                      0
  52  quilm         4083/3                                    2041                                      0
  53  quilm         76959/3                                   99765                                     0
  54  quilm         251/1                                     125                                       0
  55  quilm         470/2                                     594                                       0
  56  quilm         9884/4                                    14773                                     0
  57  quilm         73866/2                                   26134                                     0
  58  quilm         475/1                                     524                                       0
  59  quilm         53088/2                                   6066                                      0
  60  quilm         148501/3                                  315706                                    0
  61  quilm         462/4                                     836                                       0
  62  quilm         339/1                                     179                                       0
  63  quilm         340/2                                     294                                       0
  64  quilm         15695/3                                   15697                                     0
  65  quilm         4485/2                                    4487                                      0
  66  quilm         483/1                                     474                                       0
  67  quilm         75126/3                                   75132                                     0
  68  quilm         716713/4                                  716713                                    0
  69  quilm         7497/1                                    7947                                      0
  70  quilm         501244/2                                  1002488                                   0
  71  quilm         725/3                                     241                                       0
  72  quilm         022/2                                     7                                         0
  73  quilm         326/1                                     632                                       0
  74  quilm         869/2                                     689                                       0
