Centaur Zendo round 3 (training)
round_id : ef273b5699754a12ae79a5ece7a84144
written  : 2026-09-02 11:23:28Z
presented=471  answered=452  correct=14  skipped=19
client answer latency: mean 0.109 ms  median 0.104 ms  max 1.159 ms  (n=471)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         517/2                                     997                                       0
   1  quilm         93317/3                                   93772                                     0
   2  quilm         87620/1                                   87120                                     0
   3  quilm         89829/1                                   82829                                     0
   4  quilm         0266/2                                    0904                                      0
   5  quilm         33898/2                                   33838                                     0
   6  quilm         3307/2                                    3307                                      0
   7  quilm         245349/2                                  245344                                    0
   8  quilm         1287/3                                    1038                                      0
   9  quilm         173/1                                     273                                       0
  10  quilm         408647/2                                  402147                                    0
  11  quilm         59568/2                                   59552                                     0
  12  quilm         425/3                                     None                                      0
  13  quilm         7239/3                                    7237                                      0
  14  quilm         220/2                                     220                                       0
  15  quilm         5276/4                                    5274                                      0
  16  quilm         499/2                                     369                                       0
  17  quilm         38659/2                                   38859                                     0
  18  quilm         126/4                                     None                                      0
  19  quilm         47574/3                                   27174                                     0
  20  quilm         5478/3                                    9823                                      0
  21  quilm         5194/3                                    5194                                      0
  22  quilm         835582/4                                  558382                                    0
  23  quilm         3044/2                                    3041                                      0
  24  quilm         657768/4                                  795768                                    0
  25  quilm         958/2                                     068                                       0
  26  quilm         982/2                                     692                                       0
  27  quilm         4927/2                                    0427                                      0
  28  quilm         85668/2                                   88478                                     0
  29  quilm         575/2                                     975                                       0
  30  quilm         8915/4                                    1958                                      0
  31  quilm         125/3                                     120                                       0
  32  quilm         668617/4                                  661411                                    0
  33  quilm         75560/1                                   75567                                     0
  34  quilm         3849/2                                    3269                                      0
  35  quilm         9500/2                                    9270                                      0
  36  quilm         00697/2                                   00084                                     0
  37  quilm         0017/1                                    4017                                      0
  38  quilm         4403/2                                    4043                                      0
  39  quilm         65325/2                                   65322                                     1
  40  quilm         39934/2                                   39994                                     0
  41  quilm         8354/3                                    5094                                      1
  42  quilm         9558/2                                    9808                                      0
  43  quilm         754/2                                     767                                       1
  44  quilm         2741/2                                    2925                                      0
  45  quilm         9345/3                                    3345                                      0
  46  quilm         03498/3                                   03948                                     0
  47  quilm         308/3                                     306                                       0
  48  quilm         687/1                                     887                                       0
  49  quilm         326280/2                                  327080                                    0
  50  quilm         2195/4                                    4469                                      0
  51  quilm         49071/1                                   59071                                     0
  52  quilm         067229/3                                  006649                                    0
  53  quilm         56482/3                                   56452                                     0
  54  quilm         547/2                                     457                                       0
  55  quilm         6333/2                                    6342                                      0
  56  quilm         66936/3                                   09836                                     0
  57  quilm         3486/3                                    3486                                      0
  58  quilm         70923/3                                   70529                                     0
  59  quilm         330/2                                     339                                       0
  60  quilm         3959/3                                    8425                                      0
  61  quilm         5621/4                                    6621                                      0
  62  quilm         58018/3                                   58108                                     0
  63  quilm         3567/4                                    3564                                      0
  64  quilm         2736/2                                    2796                                      0
  65  quilm         8392/2                                    8325                                      0
  66  quilm         9454/3                                    9620                                      0
  67  quilm         468/4                                     None                                      0
  68  quilm         87837/2                                   86207                                     0
  69  quilm         5649/2                                    5649                                      0
  70  quilm         9123/3                                    9312                                      0
  71  quilm         753709/2                                  753704                                    0
  72  quilm         481/2                                     961                                       0
  73  quilm         51215/1                                   51218                                     0
  74  quilm         9327/2                                    9037                                      0
  75  quilm         57489/3                                   57105                                     0
  76  quilm         5990/2                                    5262                                      0
  77  quilm         5693/3                                    2693                                      0
  78  quilm         02145/2                                   01245                                     0
  79  quilm         4382/3                                    4391                                      0
  80  quilm         3273/4                                    0864                                      0
  81  quilm         2928/3                                    2671                                      0
  82  quilm         4589/4                                    3468                                      1
  83  quilm         76050/4                                   77727                                     0
  84  quilm         793/2                                     014                                       0
  85  quilm         915343/3                                  915843                                    0
  86  quilm         98011/1                                   98011                                     0
  87  quilm         9344/3                                    9349                                      0
  88  quilm         577/2                                     717                                       0
  89  quilm         656/1                                     686                                       0
  90  quilm         4374/2                                    4314                                      0
  91  quilm         14069/2                                   14009                                     0
  92  quilm         207/2                                     519                                       0
  93  quilm         318/3                                     358                                       0
  94  quilm         98612/2                                   98612                                     0
  95  quilm         0021/2                                    0019                                      0
  96  quilm         326/3                                     412                                       0
  97  quilm         9904/2                                    9934                                      0
  98  quilm         084/3                                     925                                       0
  99  quilm         84043/2                                   87043                                     0
 100  quilm         103/2                                     316                                       0
 101  quilm         16931/1                                   11931                                     0
 102  quilm         100/3                                     001                                       0
 103  quilm         130/2                                     128                                       0
 104  quilm         701/2                                     743                                       0
 105  quilm         34546/2                                   46546                                     0
 106  quilm         14837/3                                   19897                                     0
 107  quilm         1940/2                                    1980                                      0
 108  quilm         40620/1                                   94620                                     0
 109  quilm         130/4                                     134                                       0
 110  quilm         2609/4                                    2960                                      0
 111  quilm         565/2                                     574                                       0
 112  quilm         450/1                                     750                                       0
 113  quilm         919/4                                     None                                      0
 114  quilm         1430/2                                    5930                                      0
 115  quilm         960340/1                                  960840                                    0
 116  quilm         830/2                                     568                                       0
 117  quilm         5603/2                                    5303                                      0
 118  quilm         4232/2                                    4322                                      0
 119  quilm         28564/2                                   28567                                     0
 120  quilm         893269/2                                  893283                                    0
 121  quilm         177/2                                     897                                       0
 122  quilm         541/2                                     491                                       0
